date,type,locale,locale_name,description
2013-01-01,Holiday,National,Ecuador,Primer dia del ano
2013-01-02,Working Day,Working Day,Working Day,Working Day
2013-01-03,Working Day,Working Day,Working Day,Working Day
2013-01-04,Working Day,Working Day,Working Day,Working Day
2013-01-05,Sat/Sun Working Day,National,Ecuador,Recupero puente Navidad
2013-01-06,Working Day,Working Day,Working Day,Working Day
2013-01-07,Working Day,Working Day,Working Day,Working Day
2013-01-08,Working Day,Working Day,Working Day,Working Day
2013-01-09,Working Day,Working Day,Working Day,Working Day
2013-01-10,Working Day,Working Day,Working Day,Working Day
2013-01-11,Working Day,Working Day,Working Day,Working Day
2013-01-12,Sat/Sun Working Day,National,Ecuador,Recupero puente primer dia del ano
2013-01-13,Working Day,Working Day,Working Day,Working Day
2013-01-14,Working Day,Working Day,Working Day,Working Day
2013-01-15,Working Day,Working Day,Working Day,Working Day
2013-01-16,Working Day,Working Day,Working Day,Working Day
2013-01-17,Working Day,Working Day,Working Day,Working Day
2013-01-18,Working Day,Working Day,Working Day,Working Day
2013-01-19,Working Day,Working Day,Working Day,Working Day
2013-01-20,Working Day,Working Day,Working Day,Working Day
2013-01-21,Working Day,Working Day,Working Day,Working Day
2013-01-22,Working Day,Working Day,Working Day,Working Day
2013-01-23,Working Day,Working Day,Working Day,Working Day
2013-01-24,Working Day,Working Day,Working Day,Working Day
2013-01-25,Working Day,Working Day,Working Day,Working Day
2013-01-26,Working Day,Working Day,Working Day,Working Day
2013-01-27,Working Day,Working Day,Working Day,Working Day
2013-01-28,Working Day,Working Day,Working Day,Working Day
2013-01-29,Working Day,Working Day,Working Day,Working Day
2013-01-30,Working Day,Working Day,Working Day,Working Day
2013-01-31,Working Day,Working Day,Working Day,Working Day
2013-02-01,Working Day,Working Day,Working Day,Working Day
2013-02-02,Working Day,Working Day,Working Day,Working Day
2013-02-03,Working Day,Working Day,Working Day,Working Day
2013-02-04,Working Day,Working Day,Working Day,Working Day
2013-02-05,Working Day,Working Day,Working Day,Working Day
2013-02-06,Working Day,Working Day,Working Day,Working Day
2013-02-07,Working Day,Working Day,Working Day,Working Day
2013-02-08,Working Day,Working Day,Working Day,Working Day
2013-02-09,Working Day,Working Day,Working Day,Working Day
2013-02-10,Working Day,Working Day,Working Day,Working Day
2013-02-11,Holiday,National,Ecuador,Carnaval
2013-02-12,Holiday,National,Ecuador,Carnaval
2013-02-13,Working Day,Working Day,Working Day,Working Day
2013-02-14,Working Day,Working Day,Working Day,Working Day
2013-02-15,Working Day,Working Day,Working Day,Working Day
2013-02-16,Working Day,Working Day,Working Day,Working Day
2013-02-17,Working Day,Working Day,Working Day,Working Day
2013-02-18,Working Day,Working Day,Working Day,Working Day
2013-02-19,Working Day,Working Day,Working Day,Working Day
2013-02-20,Working Day,Working Day,Working Day,Working Day
2013-02-21,Working Day,Working Day,Working Day,Working Day
2013-02-22,Working Day,Working Day,Working Day,Working Day
2013-02-23,Working Day,Working Day,Working Day,Working Day
2013-02-24,Working Day,Working Day,Working Day,Working Day
