date,sales
2013-01-02,31.0
2013-01-03,13.0
2013-01-04,22.0
2013-01-05,35.0
2013-01-06,45.0
2013-01-07,15.0
2013-01-08,11.0
2013-01-09,10.0
2013-01-10,16.0
2013-01-11,12.0
2013-01-12,35.0
2013-01-13,23.0
2013-01-14,17.0
2013-01-15,16.0
2013-01-16,18.0
2013-01-17,14.0
2013-01-18,16.0
2013-01-19,37.0
2013-01-20,21.0
2013-01-21,20.0
2013-01-22,19.0
2013-01-23,20.0
2013-01-24,17.0
2013-01-25,15.0
2013-01-26,28.0
2013-01-27,23.0
2013-01-28,10.0
2013-01-29,19.0
2013-01-30,19.0
2013-01-31,27.0
2013-02-01,16.0
2013-02-02,24.0
2013-02-03,30.0
2013-02-04,21.0
2013-02-05,33.0
2013-02-06,31.0
2013-02-07,21.0
2013-02-08,17.0
2013-02-09,21.0
2013-02-10,40.0
2013-02-11,49.0
2013-02-12,31.0
2013-02-13,32.0
2013-02-14,29.0
2013-02-15,22.0
2013-02-16,31.0
2013-02-17,39.0
2013-02-18,19.0
2013-02-19,25.0
2013-02-20,36.0
2013-02-21,15.0
2013-02-22,20.0
2013-02-23,19.0
2013-02-24,26.0
2013-02-25,19.0
2013-02-26,20.0
2013-02-27,18.0
2013-02-28,22.0
2013-03-01,24.0
2013-03-02,37.0
2013-03-03,43.0
2013-03-04,31.0
2013-03-05,20.0
2013-03-06,26.0
2013-03-07,50.0
2013-03-08,16.0
2013-03-09,41.0
2013-03-10,17.0
2013-03-11,39.0
2013-03-12,29.0
2013-03-13,31.0
2013-03-14,29.0
2013-03-15,19.0
2013-03-16,38.0
2013-03-17,29.0
2013-03-18,19.0
2013-03-19,15.0
2013-03-20,27.0
2013-03-21,31.0
2013-03-22,30.0
2013-03-23,37.0
2013-03-24,33.0
2013-03-25,20.0
2013-03-26,28.0
2013-03-27,36.0
2013-03-28,41.0
2013-03-29,52.0
2013-03-30,35.0
2013-03-31,35.0
2013-04-01,24.0
2013-04-02,42.0
2013-04-03,29.0
2013-04-04,21.0
2013-04-05,17.0
2013-04-06,24.0
2013-04-07,40.0
2013-04-08,39.0
2013-04-09,28.0
2013-04-10,24.0
2013-04-11,37.0
2013-04-12,15.0
2013-04-13,32.0
2013-04-14,24.0
2013-04-15,37.0
2013-04-16,21.0
2013-04-17,28.0
2013-04-18,13.0
2013-04-19,16.0
2013-04-20,27.0
2013-04-21,31.0
2013-04-22,17.0
2013-04-23,19.0
2013-04-24,22.0
2013-04-25,24.0
2013-04-26,9.0
2013-04-27,21.0
2013-04-28,28.0
2013-04-29,13.0
2013-04-30,19.0
2013-05-01,40.0
2013-05-02,15.0
2013-05-03,21.0
2013-05-04,54.0
2013-05-05,42.0
2013-05-06,37.0
2013-05-07,18.0
2013-05-08,34.0
2013-05-09,19.0
2013-05-10,29.0
2013-05-11,25.0
2013-05-12,26.0
2013-05-13,17.0
2013-05-14,14.0
2013-05-15,17.0
2013-05-16,17.0
2013-05-17,21.0
2013-05-18,28.0
2013-05-19,23.0
2013-05-20,31.0
2013-05-21,24.0
2013-05-22,15.0
2013-05-23,16.0
2013-05-24,25.0
2013-05-25,28.0
2013-05-26,23.0
2013-05-27,24.0
2013-05-28,23.0
2013-05-29,20.0
2013-05-30,23.0
2013-05-31,11.0
2013-06-01,27.0
2013-06-02,34.0
2013-06-03,37.0
2013-06-04,20.0
2013-06-05,25.0
2013-06-06,32.0
2013-06-07,25.0
2013-06-08,47.0
2013-06-09,25.0
2013-06-10,30.0
2013-06-11,19.0
2013-06-12,20.0
2013-06-13,18.0
2013-06-14,17.0
2013-06-15,32.0
2013-06-16,22.0
2013-06-17,48.0
2013-06-18,25.0
2013-06-19,17.0
2013-06-20,19.0
2013-06-21,26.0
2013-06-22,25.0
2013-06-23,38.0
2013-06-24,17.0
2013-06-25,15.0
2013-06-26,21.0
2013-06-27,21.0
2013-06-28,33.0
2013-06-29,31.0
2013-06-30,37.0
2013-07-01,29.0
2013-07-02,34.0
2013-07-03,19.0
2013-07-04,34.0
2013-07-05,21.0
2013-07-06,28.0
2013-07-07,19.0
2013-07-08,30.0
2013-07-09,31.0
2013-07-10,31.0
2013-07-11,16.0
2013-07-12,25.0
2013-07-13,33.0
2013-07-14,29.0
2013-07-15,23.0
2013-07-16,20.0
2013-07-17,27.0
2013-07-18,18.0
2013-07-19,11.0
2013-07-20,16.0
2013-07-21,14.0
2013-07-22,11.0
2013-07-23,15.0
2013-07-24,20.0
2013-07-25,24.0
2013-07-26,28.0
2013-07-27,23.0
