date,sales
2013-01-02,28.541
2013-01-03,15.989
2013-01-04,6.0
2013-01-05,13.291
2013-01-06,15.0
2013-01-07,15.459
2013-01-08,16.85
2013-01-09,23.916
2013-01-10,19.261
2013-01-11,12.466
2013-01-12,26.883999
2013-01-13,10.0
2013-01-14,3.0
2013-01-15,4.0
2013-01-16,7.473
2013-01-17,6.0
2013-01-18,10.0
2013-01-19,10.0
2013-01-20,8.0
2013-01-21,8.0
2013-01-22,5.0
2013-01-23,2.0
2013-01-24,7.0
2013-01-25,1.0
2013-01-26,5.0
2013-01-27,11.0
2013-01-28,7.0
2013-01-29,1.0
2013-01-30,3.0
2013-01-31,7.0
2013-02-01,7.0
2013-02-02,17.0
2013-02-03,8.0
2013-02-04,6.0
2013-02-05,9.0
2013-02-06,7.0
2013-02-07,11.0
2013-02-08,5.0
2013-02-09,12.0
2013-02-10,8.0
2013-02-11,12.809
2013-02-12,10.0
2013-02-13,13.543
2013-02-14,6.0
2013-02-15,11.0
2013-02-16,18.880001
2013-02-17,11.0
2013-02-18,13.0
2013-02-19,9.0
2013-02-20,5.0
2013-02-21,1.0
2013-02-22,4.0
2013-02-23,10.0
2013-02-24,15.0
2013-02-25,6.0
2013-02-26,8.0
2013-02-27,5.0
2013-02-28,2.0
2013-03-01,8.0
2013-03-02,9.0
2013-03-03,5.0
2013-03-04,4.0
2013-03-05,17.845001
2013-03-06,5.0
2013-03-07,4.0
2013-03-08,8.0
2013-03-09,19.48
2013-03-10,13.0
2013-03-11,2.0
2013-03-12,12.316
2013-03-13,6.0
2013-03-14,6.0
2013-03-15,2.0
2013-03-16,14.0
2013-03-17,16.0
2013-03-18,3.0
2013-03-19,8.0
2013-03-20,11.0
2013-03-21,5.0
2013-03-22,13.0
2013-03-23,9.0
2013-03-24,11.0
2013-03-25,6.0
2013-03-26,10.0
2013-03-27,27.17
2013-03-28,11.0
2013-03-29,8.0
2013-03-30,14.0
2013-03-31,12.0
2013-04-01,13.0
2013-04-02,7.0
2013-04-03,7.0
2013-04-04,7.0
2013-04-05,14.0
2013-04-06,14.0
2013-04-07,8.0
2013-04-08,9.0
2013-04-09,5.0
2013-04-10,21.0
2013-04-11,3.0
2013-04-12,11.0
2013-04-13,13.0
2013-04-14,18.0
2013-04-15,6.0
2013-04-16,5.0
2013-04-17,4.0
2013-04-18,6.0
2013-04-19,17.0
2013-04-20,26.275
2013-04-21,18.0
2013-04-22,7.0
2013-04-23,5.0
2013-04-24,14.0
2013-04-25,16.0
2013-04-26,10.0
2013-04-27,17.0
2013-04-28,21.0
2013-04-29,10.0
2013-04-30,6.0
2013-05-01,13.0
2013-05-02,10.0
2013-05-03,14.0
2013-05-04,13.0
2013-05-05,20.0
2013-05-06,9.0
2013-05-07,9.0
2013-05-08,7.0
2013-05-09,9.0
2013-05-10,14.0
2013-05-11,21.0
2013-05-12,10.0
2013-05-13,6.0
2013-05-14,2.0
2013-05-15,3.0
2013-05-16,10.0
2013-05-17,8.0
2013-05-18,25.0
2013-05-19,8.0
2013-05-20,7.0
2013-05-21,5.0
2013-05-22,15.034
2013-05-23,17.0
2013-05-24,9.0
2013-05-25,15.0
2013-05-26,6.0
2013-05-27,9.0
2013-05-28,9.0
2013-05-29,15.0
2013-05-30,5.0
2013-05-31,15.0
2013-06-01,29.0
2013-06-02,26.0
2013-06-03,10.0
2013-06-04,8.0
2013-06-05,8.0
2013-06-06,13.0
2013-06-07,14.0
2013-06-08,14.0
2013-06-09,17.0
2013-06-10,4.0
2013-06-11,11.0
2013-06-12,14.709
2013-06-13,6.0
2013-06-14,8.0
2013-06-15,24.93
2013-06-16,29.0
2013-06-17,6.0
2013-06-18,10.0
2013-06-19,6.0
2013-06-20,5.0
2013-06-21,11.0
2013-06-22,41.0
2013-06-23,18.0
2013-06-24,10.0
2013-06-25,13.0
2013-06-26,3.0
2013-06-27,7.0
2013-06-28,23.0
2013-06-29,18.0
2013-06-30,14.0
2013-07-01,6.0
2013-07-02,14.0
2013-07-03,18.0
2013-07-04,21.0
2013-07-05,11.0
2013-07-06,21.0
2013-07-07,21.0
2013-07-08,13.0
2013-07-09,6.0
2013-07-10,9.0
2013-07-11,23.609001
2013-07-12,8.0
2013-07-13,25.0
2013-07-14,11.0
2013-07-15,5.0
2013-07-16,5.0
2013-07-17,11.0
2013-07-18,14.0
2013-07-19,22.0
2013-07-20,34.0
2013-07-21,12.0
2013-07-22,10.0
2013-07-23,8.0
2013-07-24,14.0
2013-07-25,9.0
2013-07-26,8.0
2013-07-27,17.0
2013-07-28,12.0
2013-07-29,7.0
2013-07-30,14.0
2013-07-31,10.0
2013-08-01,13.0
2013-08-02,11.0
2013-08-03,29.0
2013-08-04,17.0
2013-08-05,9.0
2013-08-06,19.0
2013-08-07,5.0
2013-08-08,14.0
2013-08-09,18.0
