date,sales
2015-02-13,25.0
2015-02-14,24.0
2015-02-15,19.0
2015-02-16,9.0
2015-02-17,13.0
2015-02-18,2.0
2015-02-19,6.0
2015-02-20,8.0
2015-02-21,3.0
2015-02-22,9.0
2015-02-23,8.0
2015-02-24,7.0
2015-02-25,8.0
2015-02-26,6.0
2015-02-27,6.0
2015-02-28,16.0
2015-03-01,18.0
2015-03-02,13.0
2015-03-03,3.0
2015-03-04,9.0
2015-03-05,4.0
2015-03-06,4.0
2015-03-07,17.0
2015-03-08,23.0
2015-03-09,3.0
2015-03-10,12.0
2015-03-11,6.0
2015-03-12,3.0
2015-03-13,8.0
2015-03-14,9.0
2015-03-15,7.0
2015-03-16,8.0
2015-03-17,15.0
2015-03-18,11.0
2015-03-19,7.0
2015-03-20,12.0
2015-03-21,11.0
2015-03-22,12.0
2015-03-23,3.0
2015-03-24,6.0
2015-03-25,7.0
2015-03-26,7.0
2015-03-27,9.0
2015-03-28,21.0
2015-03-29,7.0
2015-03-30,5.0
2015-03-31,4.0
2015-04-01,4.0
2015-04-02,3.0
2015-04-03,10.0
2015-04-04,19.0
2015-04-05,9.0
2015-04-06,8.0
2015-04-07,5.0
2015-04-08,11.0
2015-04-09,5.0
2015-04-10,10.0
2015-04-11,4.0
2015-04-12,17.0
2015-04-13,10.0
2015-04-14,9.0
2015-04-15,7.0
2015-04-16,1.0
2015-04-17,3.0
2015-04-18,13.0
2015-04-19,10.0
2015-04-20,2.0
2015-04-21,4.0
2015-04-22,6.0
2015-04-23,5.0
2015-04-24,6.0
2015-04-25,6.0
2015-04-26,4.0
2015-04-27,5.0
2015-04-28,4.0
2015-04-29,1.0
2015-04-30,4.0
2015-05-01,18.0
2015-05-02,20.0
2015-05-03,9.0
2015-05-04,4.0
2015-05-05,6.0
2015-05-06,6.0
2015-05-07,10.0
2015-05-08,15.0
2015-05-09,24.0
2015-05-10,17.0
2015-05-11,4.0
2015-05-12,6.0
2015-05-13,2.0
2015-05-14,4.0
2015-05-15,2.0
2015-05-16,5.0
2015-05-17,6.0
2015-05-18,1.0
2015-05-19,14.0
2015-05-20,7.0
2015-05-21,6.0
2015-05-22,2.0
2015-05-23,3.0
2015-05-24,7.0
2015-05-25,5.0
2015-05-26,4.0
2015-05-27,6.0
2015-05-28,4.0
2015-05-29,8.0
2015-05-30,8.0
2015-05-31,13.0
2015-06-01,1.0
2015-06-02,11.0
2015-06-03,10.0
2015-06-04,4.0
2015-06-05,6.0
2015-06-06,8.0
2015-06-07,6.0
2015-06-08,9.0
2015-06-09,12.0
2015-06-10,3.0
2015-06-11,3.0
2015-06-12,2.0
2015-06-13,3.0
2015-06-14,11.0
2015-06-15,6.0
2015-06-16,8.0
2015-06-17,2.0
2015-06-18,1.0
2015-06-19,7.0
2015-06-20,18.0
2015-06-21,9.0
2015-06-22,11.0
2015-06-23,11.0
2015-06-24,5.0
2015-06-25,4.0
2015-06-26,3.0
2015-06-27,9.0
2015-06-28,9.0
2015-06-29,3.0
2015-06-30,3.0
2015-07-01,1.0
2015-07-02,6.0
2015-07-03,6.0
2015-07-04,12.0
2015-07-05,10.0
2015-07-06,12.0
2015-07-07,4.0
2015-07-08,3.0
2015-07-09,2.0
2015-07-10,1.0
2015-07-11,4.0
2015-07-12,4.0
2015-07-13,1.0
2015-07-14,7.0
2015-07-15,6.0
2015-07-16,3.0
2015-07-17,5.0
2015-07-18,5.0
2015-07-19,15.0
2015-07-20,7.0
2015-07-21,14.0
2015-07-22,20.0
2015-07-23,6.0
2015-07-24,5.0
2015-07-25,21.0
2015-07-26,10.0
2015-07-27,13.0
2015-07-28,2.0
2015-07-29,2.0
2015-07-30,3.0
2015-07-31,4.0
2015-08-01,8.0
2015-08-02,15.0
2015-08-03,5.0
2015-08-04,5.0
2015-08-05,11.0
2015-08-06,7.0
2015-08-07,3.0
2015-08-08,17.0
2015-08-09,10.0
2015-08-10,5.0
2015-08-11,2.0
2015-08-12,3.0
2015-08-13,8.0
2015-08-14,3.0
2015-08-15,1.0
2015-08-16,8.0
2015-08-17,2.0
2015-08-18,11.0
2015-08-19,8.0
2015-08-20,8.0
2015-08-21,6.0
2015-08-22,9.0
2015-08-23,11.0
2015-08-24,3.0
2015-08-25,4.0
2015-08-26,14.0
2015-08-27,10.0
2015-08-28,15.0
2015-08-29,10.0
2015-08-30,10.0
2015-08-31,1.0
2015-09-01,8.0
2015-09-02,1.0
2015-09-03,3.0
2015-09-04,5.0
2015-09-05,11.0
2015-09-06,7.0
2015-09-07,1.0
2015-09-08,4.0
2015-09-09,1.0
2015-09-10,7.0
2015-09-11,4.0
2015-09-12,11.0
2015-09-13,4.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,8.0
2015-09-17,2.0
2015-09-18,8.0
2015-09-19,6.0
2015-09-20,5.0
2015-09-21,6.0
2015-09-22,9.0
2015-09-23,1.0
2015-09-24,7.0
2015-09-25,4.0
2015-09-26,4.0
2015-09-27,9.0
2015-09-28,7.0
2015-09-29,7.0
2015-09-30,7.0
2015-10-01,5.0
2015-10-02,4.0
2015-10-03,11.0
2015-10-04,18.0
2015-10-05,3.0
2015-10-06,14.0
2015-10-07,7.0
2015-10-08,3.0
2015-10-09,5.0
2015-10-10,5.0
2015-10-11,2.0
2015-10-12,1.0
2015-10-13,1.0
2015-10-14,6.0
2015-10-15,3.0
2015-10-16,2.0
2015-10-17,5.0
2015-10-18,6.0
2015-10-19,1.0
2015-10-20,9.0
2015-10-21,5.0
2015-10-22,4.0
2015-10-23,3.0
