date,sales
2015-07-24,14.0
2015-07-25,18.0
2015-07-26,35.0
2015-07-27,14.0
2015-07-28,15.0
2015-07-29,12.0
2015-07-30,29.0
2015-07-31,12.0
2015-08-01,17.0
2015-08-02,22.0
2015-08-03,9.0
2015-08-04,5.0
2015-08-05,15.0
2015-08-06,8.0
2015-08-07,18.0
2015-08-08,16.0
2015-08-09,12.0
2015-08-10,11.0
2015-08-11,15.0
2015-08-12,18.0
2015-08-13,5.0
2015-08-14,3.0
2015-08-15,9.0
2015-08-16,16.0
2015-08-17,5.0
2015-08-18,7.0
2015-08-19,4.0
2015-08-20,3.0
2015-08-21,3.0
2015-08-22,12.0
2015-08-23,12.0
2015-08-24,5.0
2015-08-25,3.0
2015-08-26,10.0
2015-08-27,15.0
2015-08-28,8.0
2015-08-29,15.0
2015-08-30,18.0
2015-08-31,8.0
2015-09-01,6.0
2015-09-02,10.0
2015-09-03,5.0
2015-09-04,1.0
2015-09-05,9.0
2015-09-06,18.0
2015-09-07,5.0
2015-09-08,6.0
2015-09-09,9.0
2015-09-10,5.0
2015-09-11,10.0
2015-09-12,11.0
2015-09-13,27.0
2015-09-14,7.0
2015-09-15,9.0
2015-09-16,5.0
2015-09-17,3.0
2015-09-18,13.0
2015-09-19,9.0
2015-09-20,16.0
2015-09-21,6.0
2015-09-22,4.0
2015-09-23,8.0
2015-09-24,3.0
2015-09-25,1.0
2015-09-26,13.0
2015-09-27,14.0
2015-09-28,7.0
2015-09-29,3.0
2015-09-30,3.0
2015-10-01,15.0
2015-10-02,9.0
2015-10-03,23.0
2015-10-04,19.0
2015-10-05,16.0
2015-10-06,18.0
2015-10-07,11.0
2015-10-08,2.0
2015-10-09,12.0
2015-10-10,22.0
2015-10-11,14.0
2015-10-12,4.0
2015-10-13,18.0
2015-10-14,11.0
2015-10-15,13.0
2015-10-16,5.0
2015-10-17,24.0
2015-10-18,25.0
2015-10-19,6.0
2015-10-20,9.0
2015-10-21,4.0
2015-10-22,8.0
2015-10-23,15.0
2015-10-24,14.0
2015-10-25,18.0
2015-10-26,9.0
2015-10-27,9.0
2015-10-28,10.0
2015-10-29,2.0
2015-10-30,6.0
2015-10-31,6.0
2015-11-01,21.0
2015-11-02,9.0
2015-11-03,23.0
2015-11-04,4.0
2015-11-05,12.0
2015-11-06,11.0
2015-11-07,5.0
2015-11-08,11.0
2015-11-09,11.0
2015-11-10,8.0
2015-11-11,10.0
2015-11-12,6.0
2015-11-13,9.0
2015-11-14,8.0
2015-11-15,24.0
2015-11-16,6.0
2015-11-17,6.0
2015-11-18,2.0
2015-11-19,9.0
2015-11-20,7.0
2015-11-21,11.0
2015-11-22,13.0
2015-11-23,5.0
2015-11-24,5.0
2015-11-25,15.0
2015-11-26,8.0
2015-11-27,4.0
2015-11-28,11.0
2015-11-29,16.0
2015-11-30,9.0
2015-12-01,12.0
2015-12-02,8.0
2015-12-03,18.0
2015-12-04,10.0
2015-12-05,22.0
2015-12-06,14.0
2015-12-07,9.0
2015-12-08,11.0
2015-12-09,10.0
2015-12-10,15.0
2015-12-11,3.0
2015-12-12,12.0
2015-12-13,19.0
2015-12-14,9.0
2015-12-15,6.0
2015-12-16,9.0
2015-12-17,6.0
2015-12-18,15.0
2015-12-19,14.0
2015-12-20,24.0
2015-12-21,10.0
2015-12-22,18.0
2015-12-23,20.0
2015-12-24,17.0
2015-12-25,12.3
2015-12-26,18.0
2015-12-27,16.0
2015-12-28,11.0
2015-12-29,7.0
2015-12-30,10.0
2015-12-31,18.0
2016-01-01,13.1
2016-01-02,20.0
2016-01-03,33.0
2016-01-04,8.0
2016-01-05,11.0
2016-01-06,12.0
2016-01-07,11.0
2016-01-08,14.0
2016-01-09,21.0
2016-01-10,22.0
2016-01-11,5.0
2016-01-12,3.0
2016-01-13,4.0
2016-01-14,9.0
2016-01-15,8.0
2016-01-16,19.0
2016-01-17,13.0
2016-01-18,12.0
2016-01-19,5.0
2016-01-20,8.0
2016-01-21,13.0
2016-01-22,6.0
2016-01-23,12.0
2016-01-24,17.0
2016-01-25,9.0
2016-01-26,8.0
2016-01-27,9.0
2016-01-28,8.0
2016-01-29,7.0
2016-01-30,8.0
2016-01-31,14.0
2016-02-01,15.0
2016-02-02,12.0
2016-02-03,8.0
2016-02-04,10.0
2016-02-05,6.0
2016-02-06,17.0
2016-02-07,9.0
2016-02-08,10.0
2016-02-09,10.0
2016-02-10,5.0
2016-02-11,4.0
2016-02-12,5.0
2016-02-13,10.0
2016-02-14,13.0
2016-02-15,7.0
2016-02-16,8.0
2016-02-17,9.0
2016-02-18,11.0
2016-02-19,14.0
2016-02-20,5.0
2016-02-21,11.0
2016-02-22,6.0
2016-02-23,5.0
2016-02-24,8.0
2016-02-25,5.0
2016-02-26,6.0
2016-02-27,13.0
2016-02-28,14.0
2016-02-29,10.0
2016-03-01,14.0
2016-03-02,4.0
2016-03-03,12.0
2016-03-04,7.0
2016-03-05,12.0
2016-03-06,6.0
2016-03-07,5.0
2016-03-08,9.0
2016-03-09,4.0
2016-03-10,2.0
2016-03-11,6.0
2016-03-12,6.0
2016-03-13,6.0
2016-03-14,8.0
2016-03-15,2.0
2016-03-16,8.0
2016-03-17,7.0
2016-03-18,1.0
2016-03-19,12.0
2016-03-20,13.0
2016-03-21,2.0
2016-03-22,12.0
2016-03-23,5.0
2016-03-24,8.0
2016-03-25,11.0
2016-03-26,9.0
2016-03-27,16.0
2016-03-28,5.0
2016-03-29,3.0
2016-03-30,10.0
2016-03-31,14.0
2016-04-01,8.0
2016-04-02,16.0
2016-04-03,19.0
2016-04-04,3.0
2016-04-05,6.0
2016-04-06,5.0
2016-04-07,6.0
2016-04-08,7.0
2016-04-09,12.0
2016-04-10,6.0
2016-04-11,1.0
2016-04-12,3.0
2016-04-13,7.0
2016-04-14,10.0
2016-04-15,7.0
2016-04-16,10.0
2016-04-17,10.0
2016-04-18,10.0
2016-04-19,7.0
2016-04-20,3.0
2016-04-21,4.0
2016-04-22,9.0
2016-04-23,18.0
2016-04-24,14.0
2016-04-25,10.0
2016-04-26,6.0
2016-04-27,10.0
2016-04-28,6.0
2016-04-29,9.0
2016-04-30,6.0
2016-05-01,14.0
2016-05-02,7.0
2016-05-03,7.0
2016-05-04,13.0
2016-05-05,5.0
2016-05-06,8.0
2016-05-07,16.0
2016-05-08,7.0
2016-05-09,11.0
2016-05-10,3.0
2016-05-11,8.0
2016-05-12,13.0
2016-05-13,4.0
2016-05-14,16.0
2016-05-15,19.0
2016-05-16,6.0
2016-05-17,4.0
2016-05-18,5.0
2016-05-19,7.0
2016-05-20,5.0
2016-05-21,9.0
2016-05-22,20.0
2016-05-23,8.0
2016-05-24,5.0
2016-05-25,6.0
2016-05-26,6.0
2016-05-27,4.0
2016-05-28,7.0
2016-05-29,21.0
2016-05-30,8.0
2016-05-31,12.0
2016-06-01,12.0
2016-06-02,14.0
2016-06-03,3.0
2016-06-04,16.0
2016-06-05,27.0
2016-06-06,4.0
2016-06-07,4.0
2016-06-08,10.0
2016-06-09,10.0
2016-06-10,7.0
2016-06-11,12.0
2016-06-12,7.0
2016-06-13,4.0
2016-06-14,7.0
2016-06-15,10.0
2016-06-16,10.0
2016-06-17,3.0
2016-06-18,15.0
2016-06-19,12.0
2016-06-20,11.0
2016-06-21,5.0
2016-06-22,5.0
2016-06-23,6.0
2016-06-24,4.0
2016-06-25,6.0
2016-06-26,14.0
2016-06-27,8.0
2016-06-28,5.0
2016-06-29,4.0
2016-06-30,13.0
2016-07-01,9.0
2016-07-02,16.0
2016-07-03,15.0
2016-07-04,10.0
2016-07-05,8.0
2016-07-06,4.0
2016-07-07,6.0
2016-07-08,9.0
2016-07-09,12.0
2016-07-10,18.0
2016-07-11,8.0
2016-07-12,6.0
2016-07-13,5.0
2016-07-14,9.0
2016-07-15,7.0
2016-07-16,8.0
2016-07-17,18.0
2016-07-18,8.0
2016-07-19,5.0
2016-07-20,2.0
2016-07-21,2.0
2016-07-22,5.0
2016-07-23,10.0
2016-07-24,19.0
2016-07-25,14.0
2016-07-26,2.0
2016-07-27,3.0
2016-07-28,3.0
2016-07-29,5.0
2016-07-30,12.0
2016-07-31,21.0
2016-08-01,10.0
2016-08-02,11.0
2016-08-03,7.0
2016-08-04,9.0
2016-08-05,5.0
2016-08-06,9.0
2016-08-07,12.0
2016-08-08,14.0
2016-08-09,10.0
2016-08-10,6.0
2016-08-11,3.0
2016-08-12,11.0
2016-08-13,7.0
2016-08-14,10.0
2016-08-15,10.0
2016-08-16,5.0
2016-08-17,8.0
2016-08-18,2.0
2016-08-19,6.0
2016-08-20,14.0
2016-08-21,18.0
2016-08-22,6.0
2016-08-23,12.0
2016-08-24,6.0
2016-08-25,2.0
2016-08-26,10.0
2016-08-27,13.0
