date,sales
2015-07-24,13.0
2015-07-25,21.0
2015-07-26,12.0
2015-07-27,13.0
2015-07-28,8.0
2015-07-29,14.0
2015-07-30,14.0
2015-07-31,24.0
2015-08-01,32.0
2015-08-02,43.0
2015-08-03,8.0
2015-08-04,10.0
2015-08-05,5.0
2015-08-06,15.0
2015-08-07,20.0
2015-08-08,51.0
2015-08-09,6.0
2015-08-10,17.0
2015-08-11,10.0
2015-08-12,54.0
2015-08-13,6.0
2015-08-14,11.0
2015-08-15,12.0
2015-08-16,17.0
2015-08-17,12.0
2015-08-18,8.0
2015-08-19,11.0
2015-08-20,17.0
2015-08-21,7.0
2015-08-22,18.0
2015-08-23,12.0
2015-08-24,15.0
2015-08-25,6.0
2015-08-26,5.0
2015-08-27,12.0
2015-08-28,15.0
2015-08-29,19.0
2015-08-30,11.0
2015-08-31,13.0
2015-09-01,18.0
2015-09-02,24.0
2015-09-03,11.0
2015-09-04,18.0
2015-09-05,23.0
2015-09-06,11.0
2015-09-07,7.0
2015-09-08,5.0
2015-09-09,9.0
2015-09-10,8.0
2015-09-11,10.0
2015-09-12,11.0
2015-09-13,5.0
2015-09-14,5.0
2015-09-15,4.0
2015-09-16,8.0
2015-09-17,24.0
2015-09-18,6.0
2015-09-19,18.0
2015-09-20,7.0
2015-09-21,0.0
2015-09-22,3.0
2015-09-23,5.0
2015-09-24,6.0
2015-09-25,12.0
2015-09-26,13.0
2015-09-27,26.0
2015-09-28,18.0
2015-09-29,11.0
2015-09-30,4.0
2015-10-01,9.0
2015-10-02,6.0
2015-10-03,31.0
2015-10-04,23.0
2015-10-05,10.0
2015-10-06,15.0
2015-10-07,19.0
2015-10-08,18.0
2015-10-09,10.0
2015-10-10,15.0
2015-10-11,24.0
2015-10-12,3.0
2015-10-13,7.0
2015-10-14,9.0
2015-10-15,2.0
2015-10-16,19.0
2015-10-17,11.0
2015-10-18,18.0
2015-10-19,14.0
2015-10-20,8.0
2015-10-21,11.0
2015-10-22,14.0
2015-10-23,43.0
2015-10-24,27.0
2015-10-25,19.0
2015-10-26,6.0
2015-10-27,14.0
2015-10-28,9.0
2015-10-29,10.0
2015-10-30,6.0
2015-10-31,24.0
2015-11-01,13.0
2015-11-02,11.0
2015-11-03,6.0
2015-11-04,4.0
2015-11-05,19.0
2015-11-06,18.0
2015-11-07,20.0
2015-11-08,11.0
2015-11-09,7.0
2015-11-10,2.0
2015-11-11,19.0
2015-11-12,10.0
2015-11-13,5.0
2015-11-14,16.0
2015-11-15,17.0
2015-11-16,3.0
2015-11-17,6.0
2015-11-18,4.0
2015-11-19,14.0
2015-11-20,6.0
2015-11-21,16.0
2015-11-22,3.0
2015-11-23,3.0
2015-11-24,7.0
2015-11-25,7.0
2015-11-26,6.0
2015-11-27,22.0
2015-11-28,16.0
2015-11-29,11.0
2015-11-30,5.0
2015-12-01,11.0
2015-12-02,47.0
2015-12-03,7.0
2015-12-04,6.0
2015-12-05,11.0
2015-12-06,14.0
2015-12-07,1.0
2015-12-08,4.0
2015-12-09,8.0
2015-12-10,11.0
2015-12-11,10.0
2015-12-12,11.0
2015-12-13,11.0
2015-12-14,7.0
2015-12-15,7.0
2015-12-16,5.0
2015-12-17,10.0
2015-12-18,5.0
2015-12-19,34.0
2015-12-20,11.0
2015-12-21,3.0
2015-12-22,2.0
2015-12-23,9.0
2015-12-24,7.0
2015-12-25,6.9
2015-12-26,3.0
2015-12-27,0.0
2015-12-28,3.0
2015-12-29,5.0
2015-12-30,2.0
2015-12-31,7.0
2016-01-01,6.5
2016-01-02,13.0
2016-01-03,13.0
2016-01-04,7.0
2016-01-05,5.0
2016-01-06,2.0
2016-01-07,6.0
2016-01-08,8.0
2016-01-09,9.0
2016-01-10,12.0
2016-01-11,3.0
2016-01-12,9.0
2016-01-13,5.0
2016-01-14,8.0
2016-01-15,5.0
2016-01-16,9.0
2016-01-17,5.0
2016-01-18,3.0
2016-01-19,4.0
2016-01-20,52.0
2016-01-21,3.0
2016-01-22,1.0
2016-01-23,10.0
2016-01-24,7.0
2016-01-25,1.0
2016-01-26,31.0
2016-01-27,1.0
2016-01-28,2.0
2016-01-29,11.0
2016-01-30,12.0
2016-01-31,6.0
2016-02-01,5.0
2016-02-02,9.0
2016-02-03,2.0
2016-02-04,1.0
2016-02-05,3.0
2016-02-06,11.0
2016-02-07,9.0
2016-02-08,5.0
2016-02-09,4.0
2016-02-10,7.0
2016-02-11,5.0
2016-02-12,11.0
2016-02-13,7.0
2016-02-14,5.0
2016-02-15,6.0
2016-02-16,0.0
2016-02-17,4.0
2016-02-18,4.0
2016-02-19,6.0
2016-02-20,12.0
2016-02-21,6.0
2016-02-22,5.0
2016-02-23,10.0
2016-02-24,3.0
2016-02-25,7.0
2016-02-26,8.0
2016-02-27,12.0
2016-02-28,3.0
2016-02-29,8.0
2016-03-01,4.0
2016-03-02,4.0
2016-03-03,4.0
2016-03-04,2.0
2016-03-05,12.0
2016-03-06,4.0
2016-03-07,4.0
2016-03-08,7.0
2016-03-09,10.0
2016-03-10,6.0
2016-03-11,13.0
2016-03-12,10.0
2016-03-13,2.0
2016-03-14,1.0
2016-03-15,7.0
2016-03-16,1.0
2016-03-17,26.0
2016-03-18,6.0
2016-03-19,10.0
2016-03-20,10.0
2016-03-21,1.0
2016-03-22,5.0
2016-03-23,5.0
2016-03-24,6.0
2016-03-25,2.0
2016-03-26,7.0
2016-03-27,2.0
2016-03-28,1.0
2016-03-29,5.0
2016-03-30,2.0
2016-03-31,5.0
2016-04-01,12.0
2016-04-02,23.0
2016-04-03,11.0
2016-04-04,1.0
2016-04-05,1.0
2016-04-06,5.0
2016-04-07,5.0
2016-04-08,2.0
2016-04-09,16.0
2016-04-10,6.0
2016-04-11,34.0
2016-04-12,19.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,8.0
2016-04-16,5.0
2016-04-17,1.0
2016-04-18,1.0
2016-04-19,5.0
2016-04-20,5.0
2016-04-21,1.0
2016-04-22,2.0
2016-04-23,3.0
2016-04-24,5.0
2016-04-25,6.0
2016-04-26,2.0
2016-04-27,1.0
2016-04-28,1.0
2016-04-29,4.0
2016-04-30,5.0
2016-05-01,48.0
2016-05-02,0.0
2016-05-03,6.0
2016-05-04,2.0
2016-05-05,2.0
2016-05-06,5.0
2016-05-07,13.0
2016-05-08,1.0
2016-05-09,3.0
2016-05-10,1.0
2016-05-11,6.0
2016-05-12,6.0
2016-05-13,12.0
2016-05-14,15.0
2016-05-15,3.0
2016-05-16,12.0
2016-05-17,5.0
2016-05-18,4.0
2016-05-19,5.0
2016-05-20,12.0
2016-05-21,10.0
2016-05-22,8.0
2016-05-23,3.0
2016-05-24,3.0
2016-05-25,7.0
2016-05-26,2.0
2016-05-27,6.0
2016-05-28,15.0
2016-05-29,5.0
2016-05-30,2.0
2016-05-31,19.0
2016-06-01,1.0
2016-06-02,6.0
2016-06-03,3.0
2016-06-04,14.0
2016-06-05,9.0
2016-06-06,15.0
2016-06-07,3.0
2016-06-08,5.0
2016-06-09,8.0
2016-06-10,9.0
2016-06-11,12.0
2016-06-12,13.0
2016-06-13,4.0
2016-06-14,7.0
2016-06-15,3.0
2016-06-16,3.0
2016-06-17,11.0
2016-06-18,28.0
2016-06-19,12.0
2016-06-20,8.0
2016-06-21,8.0
2016-06-22,6.0
2016-06-23,18.0
2016-06-24,9.0
2016-06-25,12.0
2016-06-26,8.0
2016-06-27,4.0
2016-06-28,3.0
2016-06-29,8.0
2016-06-30,11.0
2016-07-01,18.0
2016-07-02,12.0
2016-07-03,11.0
2016-07-04,8.0
2016-07-05,4.0
2016-07-06,7.0
2016-07-07,13.0
2016-07-08,13.0
2016-07-09,11.0
2016-07-10,8.0
2016-07-11,2.0
2016-07-12,8.0
2016-07-13,2.0
2016-07-14,9.0
2016-07-15,9.0
2016-07-16,10.0
2016-07-17,6.0
2016-07-18,2.0
2016-07-19,8.0
2016-07-20,4.0
2016-07-21,5.0
2016-07-22,13.0
2016-07-23,14.0
2016-07-24,8.0
2016-07-25,7.0
2016-07-26,4.0
2016-07-27,3.0
2016-07-28,16.0
2016-07-29,12.0
2016-07-30,15.0
2016-07-31,10.0
2016-08-01,5.0
2016-08-02,8.0
2016-08-03,24.0
2016-08-04,1.0
2016-08-05,7.0
2016-08-06,8.0
2016-08-07,9.0
2016-08-08,1.0
2016-08-09,6.0
2016-08-10,3.0
2016-08-11,5.0
2016-08-12,3.0
2016-08-13,7.0
2016-08-14,2.0
2016-08-15,8.0
2016-08-16,5.0
2016-08-17,9.0
2016-08-18,4.0
2016-08-19,9.0
2016-08-20,19.0
2016-08-21,8.0
2016-08-22,4.0
2016-08-23,3.0
2016-08-24,7.0
2016-08-25,3.0
2016-08-26,5.0
2016-08-27,5.0
2016-08-28,11.0
2016-08-29,2.0
2016-08-30,4.0
2016-08-31,2.0
2016-09-01,8.0
2016-09-02,1.0
2016-09-03,13.0
2016-09-04,5.0
2016-09-05,4.0
2016-09-06,4.0
2016-09-07,20.0
2016-09-08,4.0
2016-09-09,6.0
2016-09-10,10.0
2016-09-11,1.0
2016-09-12,2.0
2016-09-13,4.0
2016-09-14,1.0
2016-09-15,6.0
2016-09-16,2.0
2016-09-17,16.0
2016-09-18,8.0
2016-09-19,9.0
2016-09-20,3.0
2016-09-21,2.0
2016-09-22,7.0
2016-09-23,7.0
2016-09-24,13.0
2016-09-25,5.0
2016-09-26,2.0
2016-09-27,4.0
2016-09-28,6.0
2016-09-29,5.0
2016-09-30,4.0
2016-10-01,12.0
2016-10-02,12.0
2016-10-03,31.0
2016-10-04,8.0
2016-10-05,2.0
2016-10-06,2.0
2016-10-07,17.0
2016-10-08,14.0
2016-10-09,15.0
2016-10-10,6.0
2016-10-11,5.0
2016-10-12,7.0
2016-10-13,4.0
2016-10-14,6.0
2016-10-15,9.0
2016-10-16,5.0
2016-10-17,7.0
2016-10-18,2.0
2016-10-19,0.0
2016-10-20,3.0
2016-10-21,3.0
2016-10-22,6.0
2016-10-23,8.0
2016-10-24,5.0
2016-10-25,1.0
2016-10-26,0.0
2016-10-27,6.0
2016-10-28,1.0
2016-10-29,8.0
2016-10-30,2.0
2016-10-31,1.0
2016-11-01,2.0
2016-11-02,4.0
2016-11-03,7.0
2016-11-04,9.0
2016-11-05,5.0
2016-11-06,4.0
2016-11-07,5.0
2016-11-08,16.0
2016-11-09,2.0
2016-11-10,5.0
2016-11-11,3.0
2016-11-12,5.0
2016-11-13,1.0
2016-11-14,1.0
2016-11-15,2.0
2016-11-16,3.0
2016-11-17,3.0
2016-11-18,4.0
2016-11-19,8.0
2016-11-20,1.0
2016-11-21,2.0
2016-11-22,1.0
2016-11-23,2.0
2016-11-24,18.0
2016-11-25,8.0
2016-11-26,9.0
2016-11-27,3.0
2016-11-28,0.0
2016-11-29,5.0
2016-11-30,5.0
2016-12-01,6.0
2016-12-02,4.0
2016-12-03,13.0
2016-12-04,7.0
2016-12-05,3.0
2016-12-06,4.0
2016-12-07,1.0
2016-12-08,2.0
2016-12-09,2.0
2016-12-10,6.0
2016-12-11,12.0
2016-12-12,2.0
2016-12-13,0.0
2016-12-14,2.0
2016-12-15,5.0
2016-12-16,5.0
2016-12-17,5.0
2016-12-18,2.0
2016-12-19,3.0
2016-12-20,7.0
2016-12-21,13.0
2016-12-22,25.0
2016-12-23,8.0
2016-12-24,4.0
2016-12-25,4.6000000000000005
2016-12-26,12.0
2016-12-27,7.0
2016-12-28,2.0
2016-12-29,1.0
2016-12-30,7.0
2016-12-31,9.0
2017-01-01,4.0
2017-01-02,6.0
2017-01-03,6.0
2017-01-04,1.0
