date,sales
2013-01-02,2545.0
2013-01-03,1467.0
2013-01-04,1698.0
2013-01-05,2158.0
2013-01-06,2887.0
2013-01-07,1774.0
2013-01-08,1689.0
2013-01-09,1640.0
2013-01-10,1326.0
2013-01-11,1172.0
2013-01-12,2302.0
2013-01-13,3192.0
2013-01-14,1744.0
2013-01-15,1639.0
2013-01-16,1889.0
2013-01-17,1566.0
2013-01-18,1402.0
2013-01-19,2213.0
2013-01-20,3165.0
2013-01-21,1827.0
2013-01-22,1524.0
2013-01-23,1696.0
2013-01-24,1491.0
2013-01-25,1422.0
2013-01-26,2221.0
2013-01-27,3108.0
2013-01-28,1532.0
2013-01-29,1384.0
2013-01-30,1554.0
2013-01-31,1365.0
2013-02-01,1767.0
2013-02-02,2598.0
2013-02-03,2916.0
2013-02-04,1827.0
2013-02-05,1579.0
2013-02-06,1893.0
2013-02-07,1446.0
2013-02-08,1420.0
2013-02-09,2601.0
2013-02-10,1883.0
2013-02-11,1789.0
2013-02-12,2393.0
2013-02-13,2068.0
2013-02-14,1398.0
2013-02-15,1712.0
2013-02-16,2573.0
2013-02-17,2807.0
2013-02-18,2187.0
2013-02-19,1564.0
2013-02-20,1948.0
2013-02-21,1368.0
2013-02-22,1369.0
2013-02-23,2485.0
2013-02-24,2913.0
2013-02-25,1872.0
2013-02-26,1751.0
2013-02-27,1781.0
2013-02-28,1716.0
2013-03-01,2031.0
2013-03-02,2545.0
2013-03-03,3722.0
2013-03-04,2177.0
2013-03-05,1912.0
2013-03-06,1908.0
2013-03-07,1585.0
2013-03-08,1556.0
2013-03-09,2559.0
2013-03-10,2959.0
2013-03-11,2001.0
2013-03-12,1254.0
2013-03-13,2018.0
2013-03-14,1207.0
2013-03-15,1843.0
2013-03-16,2959.0
2013-03-17,3293.0
2013-03-18,2084.0
2013-03-19,1721.0
2013-03-20,2076.0
2013-03-21,1446.0
2013-03-22,1660.0
2013-03-23,2499.0
2013-03-24,3137.0
2013-03-25,2070.0
2013-03-26,1619.0
2013-03-27,1791.0
2013-03-28,1986.0
2013-03-29,2282.0
2013-03-30,2523.0
2013-03-31,2935.0
2013-04-01,2466.0
2013-04-02,1800.0
2013-04-03,2104.0
2013-04-04,1481.0
2013-04-05,1523.0
2013-04-06,2346.0
2013-04-07,3397.0
2013-04-08,2128.0
2013-04-09,1582.0
2013-04-10,1993.0
2013-04-11,1555.0
2013-04-12,1502.0
2013-04-13,2481.0
2013-04-14,3173.0
2013-04-15,1848.0
2013-04-16,2076.0
2013-04-17,2250.0
2013-04-18,1598.0
2013-04-19,1868.0
2013-04-20,2412.0
2013-04-21,3350.0
2013-04-22,2071.0
2013-04-23,1768.0
2013-04-24,1998.0
2013-04-25,1415.0
2013-04-26,1648.0
2013-04-27,2816.0
2013-04-28,3429.0
2013-04-29,1954.0
2013-04-30,1580.0
2013-05-01,3564.0
2013-05-02,1837.0
2013-05-03,1721.0
2013-05-04,2895.0
2013-05-05,4340.0
2013-05-06,2265.0
2013-05-07,1969.0
2013-05-08,2070.0
2013-05-09,1665.0
2013-05-10,1591.0
2013-05-11,3307.0
2013-05-12,3117.0
2013-05-13,2556.0
2013-05-14,2168.0
2013-05-15,2478.0
2013-05-16,1666.0
2013-05-17,1936.0
2013-05-18,2894.0
2013-05-19,4581.0
2013-05-20,2051.0
2013-05-21,1794.0
2013-05-22,1908.0
2013-05-23,1282.0
2013-05-24,3009.0
2013-05-25,2704.0
2013-05-26,3924.0
2013-05-27,2275.0
2013-05-28,2238.0
2013-05-29,2087.0
2013-05-30,2044.0
2013-05-31,1820.0
2013-06-01,3006.0
2013-06-02,5186.0
2013-06-03,2603.0
2013-06-04,2402.0
2013-06-05,2251.0
2013-06-06,2077.0
2013-06-07,2077.0
2013-06-08,3239.0
2013-06-09,4437.0
2013-06-10,2582.0
2013-06-11,1900.0
2013-06-12,2185.0
2013-06-13,1697.0
2013-06-14,1938.0
2013-06-15,3431.0
2013-06-16,3751.0
2013-06-17,2496.0
2013-06-18,2382.0
2013-06-19,2617.0
2013-06-20,1929.0
2013-06-21,1502.0
2013-06-22,3225.0
2013-06-23,4392.0
2013-06-24,2606.0
2013-06-25,2075.0
2013-06-26,2283.0
2013-06-27,1655.0
2013-06-28,1883.0
2013-06-29,3204.0
2013-06-30,4795.0
2013-07-01,3043.0
2013-07-02,2432.0
2013-07-03,2496.0
2013-07-04,1906.0
2013-07-05,1827.0
2013-07-06,3024.0
2013-07-07,4692.0
2013-07-08,2620.0
2013-07-09,2167.0
2013-07-10,2540.0
2013-07-11,1818.0
2013-07-12,1675.0
2013-07-13,3188.0
2013-07-14,4637.0
2013-07-15,2691.0
2013-07-16,2341.0
2013-07-17,2703.0
2013-07-18,1751.0
2013-07-19,1868.0
2013-07-20,2764.0
2013-07-21,4560.0
2013-07-22,2667.0
2013-07-23,2156.0
2013-07-24,2171.0
2013-07-25,2839.0
2013-07-26,2003.0
2013-07-27,3189.0
2013-07-28,4889.0
2013-07-29,2304.0
2013-07-30,2213.0
2013-07-31,2795.0
2013-08-01,2540.0
2013-08-02,2079.0
2013-08-03,3443.0
2013-08-04,4979.0
2013-08-05,2437.0
2013-08-06,2370.0
2013-08-07,2372.0
