date,sales
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,203.0
2015-05-05,202.0
2015-05-06,145.0
2015-05-07,114.0
2015-05-08,123.0
2015-05-09,208.0
2015-05-10,211.0
2015-05-11,168.0
2015-05-12,139.0
2015-05-13,102.0
2015-05-14,119.0
2015-05-15,142.0
2015-05-16,284.0
2015-05-17,319.0
2015-05-18,145.0
2015-05-19,120.0
2015-05-20,154.0
2015-05-21,128.0
2015-05-22,98.0
2015-05-23,212.0
2015-05-24,302.0
2015-05-25,122.0
2015-05-26,148.0
2015-05-27,117.0
2015-05-28,113.0
2015-05-29,146.0
2015-05-30,244.0
2015-05-31,360.0
2015-06-01,161.0
2015-06-02,208.0
2015-06-03,127.0
2015-06-04,164.0
2015-06-05,85.0
2015-06-06,213.0
2015-06-07,331.0
2015-06-08,158.0
2015-06-09,139.0
2015-06-10,144.0
2015-06-11,97.0
2015-06-12,91.0
2015-06-13,221.0
2015-06-14,266.0
2015-06-15,146.0
2015-06-16,195.0
2015-06-17,138.0
2015-06-18,132.0
2015-06-19,138.0
2015-06-20,194.0
2015-06-21,238.0
2015-06-22,195.0
2015-06-23,191.0
2015-06-24,136.0
2015-06-25,113.0
2015-06-26,99.0
2015-06-27,185.0
2015-06-28,319.0
2015-06-29,176.0
2015-06-30,207.0
2015-07-01,233.0
2015-07-02,182.0
2015-07-03,129.0
2015-07-04,276.0
2015-07-05,351.0
2015-07-06,246.0
2015-07-07,214.0
2015-07-08,187.0
2015-07-09,137.0
2015-07-10,123.0
2015-07-11,232.0
2015-07-12,295.0
2015-07-13,161.0
2015-07-14,146.0
2015-07-15,210.0
2015-07-16,179.0
2015-07-17,140.0
2015-07-18,234.0
2015-07-19,363.0
2015-07-20,183.0
2015-07-21,187.0
2015-07-22,149.0
2015-07-23,185.0
2015-07-24,220.0
2015-07-25,336.0
2015-07-26,562.0
2015-07-27,342.0
2015-07-28,425.0
2015-07-29,297.0
2015-07-30,412.0
2015-07-31,318.0
2015-08-01,559.0
2015-08-02,726.0
2015-08-03,443.0
2015-08-04,401.0
2015-08-05,313.0
2015-08-06,305.0
2015-08-07,293.0
2015-08-08,367.0
2015-08-09,263.0
2015-08-10,303.0
2015-08-11,246.0
2015-08-12,167.0
2015-08-13,112.0
2015-08-14,111.0
2015-08-15,207.0
2015-08-16,360.0
2015-08-17,188.0
2015-08-18,154.0
2015-08-19,146.0
2015-08-20,214.0
2015-08-21,112.0
2015-08-22,204.0
2015-08-23,325.0
2015-08-24,156.0
2015-08-25,149.0
2015-08-26,136.0
2015-08-27,130.0
2015-08-28,132.0
2015-08-29,265.0
2015-08-30,370.0
2015-08-31,233.0
2015-09-01,273.0
2015-09-02,235.0
2015-09-03,235.0
2015-09-04,235.0
2015-09-05,389.0
2015-09-06,515.0
2015-09-07,264.0
2015-09-08,269.0
2015-09-09,214.0
2015-09-10,296.0
2015-09-11,169.0
2015-09-12,278.0
2015-09-13,458.0
2015-09-14,243.0
2015-09-15,315.0
2015-09-16,295.0
2015-09-17,219.0
2015-09-18,157.0
2015-09-19,286.0
2015-09-20,424.0
2015-09-21,250.0
2015-09-22,247.0
2015-09-23,185.0
2015-09-24,199.0
2015-09-25,155.0
2015-09-26,238.0
2015-09-27,363.0
2015-09-28,171.0
2015-09-29,201.0
2015-09-30,215.0
2015-10-01,265.0
2015-10-02,201.0
2015-10-03,301.0
2015-10-04,413.0
2015-10-05,234.0
2015-10-06,237.0
2015-10-07,180.0
2015-10-08,138.0
2015-10-09,213.0
2015-10-10,218.0
2015-10-11,325.0
2015-10-12,187.0
2015-10-13,249.0
2015-10-14,174.0
2015-10-15,168.0
2015-10-16,154.0
2015-10-17,231.0
2015-10-18,323.0
2015-10-19,183.0
2015-10-20,226.0
2015-10-21,175.0
2015-10-22,147.0
2015-10-23,145.0
2015-10-24,233.0
2015-10-25,350.0
2015-10-26,153.0
2015-10-27,149.0
2015-10-28,136.0
2015-10-29,166.0
2015-10-30,144.0
2015-10-31,279.0
2015-11-01,239.0
2015-11-02,235.0
2015-11-03,324.0
2015-11-04,164.0
2015-11-05,164.0
2015-11-06,134.0
2015-11-07,207.0
2015-11-08,321.0
2015-11-09,162.0
2015-11-10,159.0
2015-11-11,141.0
2015-11-12,116.0
2015-11-13,123.0
2015-11-14,192.0
2015-11-15,318.0
2015-11-16,168.0
2015-11-17,151.0
2015-11-18,168.0
2015-11-19,145.0
2015-11-20,121.0
2015-11-21,226.0
2015-11-22,286.0
2015-11-23,156.0
2015-11-24,147.0
2015-11-25,111.0
2015-11-26,120.0
2015-11-27,97.0
2015-11-28,228.0
2015-11-29,325.0
2015-11-30,203.0
2015-12-01,240.0
2015-12-02,168.0
2015-12-03,175.0
2015-12-04,128.0
2015-12-05,246.0
2015-12-06,363.0
2015-12-07,199.0
2015-12-08,188.0
2015-12-09,137.0
2015-12-10,157.0
2015-12-11,88.0
2015-12-12,186.0
2015-12-13,246.0
2015-12-14,135.0
2015-12-15,185.0
2015-12-16,164.0
2015-12-17,180.0
2015-12-18,138.0
2015-12-19,230.0
2015-12-20,324.0
2015-12-21,179.0
2015-12-22,237.0
2015-12-23,232.0
2015-12-24,248.0
2015-12-25,126.5
2015-12-26,204.0
2015-12-27,241.0
2015-12-28,153.0
2015-12-29,251.0
2015-12-30,224.0
2015-12-31,301.0
2016-01-01,140.10000000000002
2016-01-02,238.0
2016-01-03,319.0
2016-01-04,285.0
2016-01-05,242.0
2016-01-06,179.0
2016-01-07,167.0
2016-01-08,133.0
2016-01-09,277.0
2016-01-10,286.0
2016-01-11,149.0
2016-01-12,181.0
2016-01-13,157.0
2016-01-14,146.0
2016-01-15,161.0
2016-01-16,302.0
2016-01-17,346.0
2016-01-18,220.0
2016-01-19,161.0
2016-01-20,179.0
2016-01-21,188.0
2016-01-22,174.0
2016-01-23,265.0
2016-01-24,355.0
2016-01-25,196.0
2016-01-26,198.0
2016-01-27,132.0
2016-01-28,175.0
2016-01-29,151.0
2016-01-30,353.0
2016-01-31,479.0
2016-02-01,269.0
2016-02-02,276.0
2016-02-03,180.0
2016-02-04,192.0
2016-02-05,202.0
2016-02-06,313.0
2016-02-07,209.0
2016-02-08,126.0
2016-02-09,203.0
2016-02-10,143.0
2016-02-11,190.0
2016-02-12,163.0
2016-02-13,211.0
2016-02-14,280.0
2016-02-15,190.0
2016-02-16,226.0
2016-02-17,165.0
2016-02-18,146.0
2016-02-19,149.0
2016-02-20,228.0
2016-02-21,309.0
2016-02-22,200.0
2016-02-23,209.0
2016-02-24,171.0
2016-02-25,170.0
2016-02-26,130.0
2016-02-27,197.0
2016-02-28,277.0
2016-02-29,219.0
2016-03-01,283.0
2016-03-02,219.0
2016-03-03,213.0
2016-03-04,187.0
2016-03-05,246.0
2016-03-06,315.0
2016-03-07,216.0
2016-03-08,166.0
2016-03-09,169.0
2016-03-10,180.0
2016-03-11,167.0
2016-03-12,232.0
2016-03-13,301.0
2016-03-14,178.0
2016-03-15,229.0
2016-03-16,220.0
2016-03-17,201.0
2016-03-18,131.0
2016-03-19,255.0
2016-03-20,286.0
2016-03-21,202.0
2016-03-22,196.0
2016-03-23,164.0
2016-03-24,171.0
2016-03-25,233.0
2016-03-26,245.0
2016-03-27,273.0
2016-03-28,194.0
2016-03-29,237.0
2016-03-30,222.0
2016-03-31,239.0
2016-04-01,241.0
2016-04-02,370.0
2016-04-03,508.0
2016-04-04,275.0
2016-04-05,227.0
2016-04-06,205.0
2016-04-07,173.0
2016-04-08,154.0
2016-04-09,237.0
2016-04-10,322.0
2016-04-11,180.0
2016-04-12,187.0
2016-04-13,177.0
2016-04-14,137.0
2016-04-15,183.0
2016-04-16,222.0
2016-04-17,610.0
2016-04-18,997.0
2016-04-19,600.0
2016-04-20,429.0
2016-04-21,412.0
2016-04-22,542.0
2016-04-23,377.0
2016-04-24,346.0
2016-04-25,176.0
2016-04-26,219.0
2016-04-27,158.0
2016-04-28,186.0
2016-04-29,295.0
2016-04-30,324.0
2016-05-01,526.0
2016-05-02,224.0
2016-05-03,332.0
2016-05-04,192.0
2016-05-05,193.0
2016-05-06,170.0
2016-05-07,292.0
2016-05-08,300.0
2016-05-09,258.0
2016-05-10,224.0
2016-05-11,164.0
2016-05-12,145.0
2016-05-13,143.0
2016-05-14,278.0
2016-05-15,379.0
2016-05-16,201.0
2016-05-17,224.0
2016-05-18,165.0
2016-05-19,133.0
2016-05-20,158.0
2016-05-21,252.0
2016-05-22,370.0
2016-05-23,182.0
2016-05-24,206.0
2016-05-25,221.0
2016-05-26,135.0
2016-05-27,247.0
2016-05-28,214.0
2016-05-29,277.0
2016-05-30,216.0
2016-05-31,337.0
2016-06-01,213.0
2016-06-02,194.0
2016-06-03,167.0
2016-06-04,313.0
2016-06-05,397.0
2016-06-06,195.0
2016-06-07,208.0
2016-06-08,186.0
2016-06-09,136.0
2016-06-10,136.0
2016-06-11,239.0
2016-06-12,332.0
2016-06-13,169.0
2016-06-14,187.0
2016-06-15,242.0
2016-06-16,170.0
2016-06-17,160.0
2016-06-18,292.0
2016-06-19,298.0
2016-06-20,234.0
2016-06-21,199.0
2016-06-22,177.0
2016-06-23,180.0
2016-06-24,151.0
2016-06-25,234.0
2016-06-26,344.0
2016-06-27,152.0
2016-06-28,179.0
2016-06-29,163.0
2016-06-30,222.0
2016-07-01,276.0
2016-07-02,397.0
2016-07-03,449.0
2016-07-04,272.0
2016-07-05,244.0
2016-07-06,173.0
2016-07-07,165.0
2016-07-08,185.0
2016-07-09,304.0
2016-07-10,365.0
2016-07-11,205.0
2016-07-12,186.0
2016-07-13,171.0
2016-07-14,153.0
2016-07-15,200.0
2016-07-16,373.0
2016-07-17,495.0
2016-07-18,230.0
2016-07-19,288.0
2016-07-20,212.0
2016-07-21,194.0
2016-07-22,193.0
2016-07-23,277.0
2016-07-24,263.0
2016-07-25,294.0
2016-07-26,231.0
2016-07-27,187.0
2016-07-28,159.0
2016-07-29,193.0
2016-07-30,333.0
2016-07-31,517.0
2016-08-01,308.0
2016-08-02,311.0
2016-08-03,241.0
2016-08-04,216.0
2016-08-05,199.0
2016-08-06,302.0
2016-08-07,442.0
2016-08-08,263.0
2016-08-09,268.0
2016-08-10,208.0
2016-08-11,198.0
2016-08-12,289.0
2016-08-13,278.0
2016-08-14,339.0
2016-08-15,262.0
2016-08-16,274.0
2016-08-17,229.0
2016-08-18,243.0
2016-08-19,188.0
2016-08-20,289.0
2016-08-21,490.0
2016-08-22,217.0
2016-08-23,249.0
2016-08-24,243.0
2016-08-25,177.0
2016-08-26,155.0
2016-08-27,342.0
2016-08-28,402.0
2016-08-29,227.0
2016-08-30,233.0
2016-08-31,280.0
2016-09-01,271.0
2016-09-02,266.0
2016-09-03,444.0
2016-09-04,504.0
2016-09-05,306.0
2016-09-06,216.0
2016-09-07,193.0
2016-09-08,152.0
2016-09-09,141.0
2016-09-10,198.0
2016-09-11,313.0
2016-09-12,182.0
2016-09-13,154.0
2016-09-14,155.0
2016-09-15,234.0
2016-09-16,166.0
2016-09-17,259.0
2016-09-18,371.0
2016-09-19,235.0
