date,sales
2013-01-02,178.85
2013-01-03,174.621
2013-01-04,166.12
2013-01-05,176.95801
2013-01-06,213.663
2013-01-07,132.301
2013-01-08,130.668
2013-01-09,113.893
2013-01-10,129.538
2013-01-11,107.341
2013-01-12,161.014
2013-01-13,202.61
2013-01-14,126.619
2013-01-15,121.296
2013-01-16,109.715004
2013-01-17,142.256
2013-01-18,106.872
2013-01-19,196.36101
2013-01-20,195.757
2013-01-21,182.769
2013-01-22,133.478
2013-01-23,113.259
2013-01-24,121.411
2013-01-25,140.826
2013-01-26,169.92
2013-01-27,148.935
2013-01-28,164.39
2013-01-29,146.20801
2013-01-30,135.084
2013-01-31,153.931
2013-02-01,143.881
2013-02-02,260.225
2013-02-03,200.26
2013-02-04,166.079
2013-02-05,153.474
2013-02-06,121.787
2013-02-07,165.163
2013-02-08,184.769
2013-02-09,156.777
2013-02-10,128.895
2013-02-11,88.925
2013-02-12,178.99
2013-02-13,168.515
2013-02-14,166.82
2013-02-15,138.722
2013-02-16,194.312
2013-02-17,154.759
2013-02-18,167.751
2013-02-19,143.014
2013-02-20,114.21
2013-02-21,179.474
2013-02-22,129.386
2013-02-23,161.337
2013-02-24,191.025
2013-02-25,152.668
2013-02-26,114.187996
2013-02-27,129.69
2013-02-28,175.072
2013-03-01,174.553
2013-03-02,264.122
2013-03-03,218.707
2013-03-04,213.79
2013-03-05,169.75
2013-03-06,134.039
2013-03-07,164.78
2013-03-08,123.951
2013-03-09,181.204
2013-03-10,166.048
2013-03-11,143.1
2013-03-12,162.542
2013-03-13,112.432
2013-03-14,148.556
2013-03-15,144.326
2013-03-16,212.626
2013-03-17,220.454
2013-03-18,168.522
2013-03-19,200.154
2013-03-20,122.93
2013-03-21,161.31
2013-03-22,92.335
2013-03-23,155.726
2013-03-24,138.548
2013-03-25,142.206
2013-03-26,125.844
2013-03-27,83.544
2013-03-28,131.076
2013-03-29,98.511
2013-03-30,203.592
2013-03-31,194.327
2013-04-01,194.995
2013-04-02,150.264
2013-04-03,120.491
2013-04-04,144.574
2013-04-05,138.207
2013-04-06,189.279
2013-04-07,153.064
2013-04-08,138.364
2013-04-09,148.079
2013-04-10,129.987
2013-04-11,136.687
2013-04-12,109.143
2013-04-13,158.7
2013-04-14,207.843
2013-04-15,174.087
2013-04-16,163.723
2013-04-17,94.12
2013-04-18,188.532
2013-04-19,125.863
2013-04-20,234.079
2013-04-21,201.883
2013-04-22,124.166
2013-04-23,166.339
2013-04-24,146.262
2013-04-25,151.09
2013-04-26,111.067
2013-04-27,180.635
2013-04-28,192.908
2013-04-29,145.073
2013-04-30,156.807
2013-05-01,269.942
2013-05-02,177.029
2013-05-03,130.192
2013-05-04,245.442
2013-05-05,308.415
2013-05-06,149.992
2013-05-07,168.63
2013-05-08,102.163
2013-05-09,124.717
2013-05-10,117.174
2013-05-11,242.104
2013-05-12,195.321
2013-05-13,146.226
2013-05-14,184.391
2013-05-15,136.89
2013-05-16,151.324
2013-05-17,127.676
2013-05-18,210.094
2013-05-19,219.228
2013-05-20,174.766
2013-05-21,139.512
2013-05-22,127.609
2013-05-23,133.061
2013-05-24,147.959
2013-05-25,186.776
2013-05-26,185.49
2013-05-27,185.357
2013-05-28,187.617
2013-05-29,119.395996
2013-05-30,179.284
2013-05-31,107.022
2013-06-01,212.123
2013-06-02,257.574
2013-06-03,112.006
2013-06-04,136.353
2013-06-05,153.633
2013-06-06,162.786
2013-06-07,101.752
2013-06-08,223.377
2013-06-09,267.708
2013-06-10,192.579
2013-06-11,153.314
2013-06-12,125.165
2013-06-13,144.032
2013-06-14,119.776
2013-06-15,234.648
2013-06-16,195.948
2013-06-17,165.197
2013-06-18,126.266
2013-06-19,101.367
2013-06-20,140.337
2013-06-21,125.047
2013-06-22,179.615
2013-06-23,241.923
2013-06-24,175.008
2013-06-25,164.197
2013-06-26,124.327
2013-06-27,140.657
2013-06-28,121.22
2013-06-29,219.77
2013-06-30,278.713
2013-07-01,137.736
2013-07-02,198.258
2013-07-03,137.792
2013-07-04,189.576
2013-07-05,127.54
2013-07-06,214.824
2013-07-07,226.84799
2013-07-08,140.58
2013-07-09,127.031
2013-07-10,80.62
2013-07-11,118.48
2013-07-12,121.336
2013-07-13,152.166
2013-07-14,193.794
2013-07-15,142.274
2013-07-16,138.313
2013-07-17,143.214
2013-07-18,131.708
2013-07-19,129.762
2013-07-20,185.451
2013-07-21,244.024
2013-07-22,147.949
2013-07-23,131.36101
2013-07-24,89.426
2013-07-25,149.129
2013-07-26,100.78
