date,sales
2013-01-02,45.0
2013-01-03,58.0
2013-01-04,63.0
2013-01-05,86.0
2013-01-06,76.0
2013-01-07,60.0
2013-01-08,58.0
2013-01-09,30.0
2013-01-10,52.0
2013-01-11,46.0
2013-01-12,62.0
2013-01-13,73.0
2013-01-14,62.0
2013-01-15,94.0
2013-01-16,46.0
2013-01-17,52.0
2013-01-18,68.0
2013-01-19,64.0
2013-01-20,70.0
2013-01-21,42.0
2013-01-22,47.0
2013-01-23,41.0
2013-01-24,43.0
2013-01-25,40.0
2013-01-26,60.0
2013-01-27,56.0
2013-01-28,39.0
2013-01-29,48.0
2013-01-30,49.0
2013-01-31,55.0
2013-02-01,53.0
2013-02-02,99.0
2013-02-03,64.0
2013-02-04,73.0
2013-02-05,67.0
2013-02-06,39.0
2013-02-07,37.0
2013-02-08,47.0
2013-02-09,91.0
2013-02-10,54.0
2013-02-11,37.0
2013-02-12,50.0
2013-02-13,54.0
2013-02-14,47.0
2013-02-15,65.0
2013-02-16,81.0
2013-02-17,59.0
2013-02-18,57.0
2013-02-19,49.0
2013-02-20,36.0
2013-02-21,70.0
2013-02-22,46.0
2013-02-23,89.0
2013-02-24,65.0
2013-02-25,50.0
2013-02-26,50.0
2013-02-27,33.0
2013-02-28,47.0
2013-03-01,49.0
2013-03-02,111.0
2013-03-03,98.0
2013-03-04,63.0
2013-03-05,52.0
2013-03-06,45.0
2013-03-07,54.0
2013-03-08,44.0
2013-03-09,72.0
2013-03-10,69.0
2013-03-11,55.0
2013-03-12,43.0
2013-03-13,40.0
2013-03-14,26.0
2013-03-15,66.0
2013-03-16,101.0
2013-03-17,91.0
2013-03-18,68.0
2013-03-19,69.0
2013-03-20,40.0
2013-03-21,35.0
2013-03-22,43.0
2013-03-23,96.0
2013-03-24,56.0
2013-03-25,41.0
2013-03-26,45.0
2013-03-27,52.0
2013-03-28,70.0
2013-03-29,75.0
2013-03-30,77.0
2013-03-31,87.0
2013-04-01,74.0
2013-04-02,57.0
2013-04-03,75.0
2013-04-04,48.0
2013-04-05,45.0
2013-04-06,65.0
2013-04-07,73.0
2013-04-08,57.0
2013-04-09,64.0
2013-04-10,51.0
2013-04-11,55.0
2013-04-12,70.0
2013-04-13,93.0
2013-04-14,95.0
2013-04-15,49.0
2013-04-16,55.0
2013-04-17,66.0
2013-04-18,69.0
2013-04-19,56.0
2013-04-20,42.0
2013-04-21,100.0
2013-04-22,44.0
2013-04-23,49.0
2013-04-24,27.0
2013-04-25,48.0
2013-04-26,59.0
2013-04-27,76.0
2013-04-28,83.0
2013-04-29,45.0
2013-04-30,59.0
2013-05-01,75.0
2013-05-02,54.0
2013-05-03,55.0
2013-05-04,101.0
2013-05-05,113.0
2013-05-06,58.0
2013-05-07,69.0
2013-05-08,48.0
2013-05-09,47.0
2013-05-10,58.0
2013-05-11,97.0
2013-05-12,116.0
2013-05-13,50.0
2013-05-14,50.0
2013-05-15,59.0
2013-05-16,50.0
2013-05-17,47.0
2013-05-18,57.0
2013-05-19,117.0
2013-05-20,66.0
2013-05-21,68.0
2013-05-22,38.0
2013-05-23,48.0
2013-05-24,55.0
2013-05-25,66.0
2013-05-26,84.0
2013-05-27,51.0
2013-05-28,51.0
2013-05-29,42.0
2013-05-30,86.0
2013-05-31,40.0
2013-06-01,88.0
2013-06-02,98.0
2013-06-03,94.0
2013-06-04,60.0
2013-06-05,58.0
2013-06-06,56.0
2013-06-07,52.0
2013-06-08,89.0
2013-06-09,113.0
2013-06-10,60.0
2013-06-11,37.0
2013-06-12,56.0
2013-06-13,65.0
2013-06-14,46.0
2013-06-15,113.0
2013-06-16,102.0
2013-06-17,71.0
2013-06-18,61.0
2013-06-19,40.0
2013-06-20,71.0
2013-06-21,42.0
2013-06-22,90.0
2013-06-23,96.0
2013-06-24,57.0
2013-06-25,47.0
2013-06-26,53.0
2013-06-27,38.0
2013-06-28,68.0
2013-06-29,77.0
2013-06-30,103.0
2013-07-01,77.0
2013-07-02,71.0
2013-07-03,62.0
2013-07-04,51.0
2013-07-05,49.0
2013-07-06,80.0
2013-07-07,76.0
2013-07-08,59.0
2013-07-09,66.0
2013-07-10,40.0
2013-07-11,55.0
2013-07-12,44.0
2013-07-13,67.0
2013-07-14,77.0
2013-07-15,78.0
2013-07-16,49.0
2013-07-17,40.0
2013-07-18,51.0
2013-07-19,54.0
2013-07-20,87.0
2013-07-21,81.0
2013-07-22,56.0
2013-07-23,40.0
2013-07-24,23.0
2013-07-25,59.0
2013-07-26,34.0
2013-07-27,84.0
2013-07-28,67.0
2013-07-29,47.0
2013-07-30,56.0
2013-07-31,70.0
2013-08-01,62.0
2013-08-02,52.0
2013-08-03,115.0
2013-08-04,79.0
2013-08-05,50.0
2013-08-06,60.0
2013-08-07,45.0
2013-08-08,48.0
2013-08-09,42.0
2013-08-10,72.0
2013-08-11,69.0
2013-08-12,56.0
2013-08-13,52.0
2013-08-14,43.0
2013-08-15,44.0
2013-08-16,54.0
2013-08-17,114.0
2013-08-18,94.0
2013-08-19,80.0
2013-08-20,57.0
2013-08-21,49.0
2013-08-22,38.0
2013-08-23,49.0
2013-08-24,71.0
2013-08-25,68.0
2013-08-26,55.0
2013-08-27,39.0
2013-08-28,51.0
2013-08-29,46.0
2013-08-30,73.0
2013-08-31,74.0
2013-09-01,87.0
2013-09-02,61.0
2013-09-03,55.0
2013-09-04,34.0
2013-09-05,55.0
2013-09-06,66.0
2013-09-07,85.0
2013-09-08,84.0
2013-09-09,36.0
2013-09-10,63.0
2013-09-11,37.0
2013-09-12,56.0
2013-09-13,48.0
2013-09-14,57.0
2013-09-15,103.0
2013-09-16,61.0
2013-09-17,49.0
2013-09-18,46.0
2013-09-19,32.0
2013-09-20,53.0
2013-09-21,67.0
2013-09-22,47.0
2013-09-23,45.0
2013-09-24,47.0
2013-09-25,43.0
2013-09-26,51.0
2013-09-27,38.0
2013-09-28,79.0
2013-09-29,74.0
2013-09-30,57.0
2013-10-01,59.0
2013-10-02,66.0
2013-10-03,48.0
2013-10-04,52.0
2013-10-05,66.0
2013-10-06,74.0
2013-10-07,51.0
2013-10-08,58.0
2013-10-09,39.0
2013-10-10,53.0
2013-10-11,61.0
2013-10-12,53.0
2013-10-13,72.0
2013-10-14,53.0
2013-10-15,48.0
2013-10-16,49.0
2013-10-17,79.0
2013-10-18,46.0
2013-10-19,70.0
2013-10-20,81.0
2013-10-21,55.0
2013-10-22,43.0
2013-10-23,27.0
2013-10-24,41.0
2013-10-25,40.0
2013-10-26,53.0
2013-10-27,72.0
2013-10-28,41.0
2013-10-29,48.0
2013-10-30,31.0
2013-10-31,54.0
2013-11-01,61.0
2013-11-02,74.0
2013-11-03,89.0
2013-11-04,52.0
2013-11-05,140.0
2013-11-06,134.0
2013-11-07,100.0
2013-11-08,76.0
2013-11-09,153.0
2013-11-10,238.0
2013-11-11,133.0
2013-11-12,134.0
2013-11-13,76.0
2013-11-14,116.0
2013-11-15,94.0
2013-11-16,179.0
2013-11-17,273.0
2013-11-18,173.0
2013-11-19,108.0
2013-11-20,93.0
2013-11-21,80.0
2013-11-22,87.0
2013-11-23,143.0
2013-11-24,207.0
2013-11-25,125.0
2013-11-26,129.0
2013-11-27,93.0
2013-11-28,124.0
2013-11-29,71.0
2013-11-30,189.0
2013-12-01,301.0
2013-12-02,197.0
2013-12-03,151.0
2013-12-04,139.0
2013-12-05,137.0
2013-12-06,89.0
2013-12-07,187.0
2013-12-08,204.0
2013-12-09,142.0
2013-12-10,111.0
2013-12-11,140.0
2013-12-12,103.0
2013-12-13,149.0
2013-12-14,157.0
2013-12-15,202.0
2013-12-16,170.0
2013-12-17,156.0
2013-12-18,141.0
2013-12-19,139.0
2013-12-20,104.0
2013-12-21,200.0
2013-12-22,206.0
2013-12-23,225.0
2013-12-24,492.0
2013-12-25,134.2
2013-12-26,141.0
2013-12-27,119.0
2013-12-28,188.0
2013-12-29,202.0
2013-12-30,271.0
2013-12-31,494.0
2014-01-01,129.6
2014-01-02,165.0
2014-01-03,138.0
2014-01-04,265.0
2014-01-05,223.0
2014-01-06,200.0
2014-01-07,136.0
2014-01-08,119.0
2014-01-09,108.0
2014-01-10,109.0
2014-01-11,193.0
2014-01-12,200.0
2014-01-13,166.0
2014-01-14,164.0
2014-01-15,139.0
2014-01-16,123.0
2014-01-17,127.0
2014-01-18,196.0
2014-01-19,230.0
2014-01-20,103.0
2014-01-21,162.0
2014-01-22,147.0
2014-01-23,130.0
2014-01-24,125.0
2014-01-25,169.0
2014-01-26,239.0
2014-01-27,150.0
2014-01-28,163.0
2014-01-29,109.0
2014-01-30,178.0
2014-01-31,136.0
2014-02-01,209.0
2014-02-02,265.0
2014-02-03,186.0
2014-02-04,169.0
2014-02-05,162.0
2014-02-06,136.0
2014-02-07,128.0
2014-02-08,213.0
2014-02-09,226.0
2014-02-10,158.0
2014-02-11,167.0
2014-02-12,122.0
2014-02-13,126.0
2014-02-14,114.0
2014-02-15,239.0
2014-02-16,204.0
2014-02-17,192.0
2014-02-18,194.0
2014-02-19,132.0
2014-02-20,139.0
2014-02-21,141.0
2014-02-22,190.0
2014-02-23,134.0
2014-02-24,154.0
2014-02-25,143.0
2014-02-26,104.0
2014-02-27,101.0
2014-02-28,176.0
2014-03-01,225.0
2014-03-02,146.0
2014-03-03,159.0
2014-03-04,180.0
2014-03-05,147.0
2014-03-06,151.0
2014-03-07,155.0
2014-03-08,169.0
2014-03-09,157.0
2014-03-10,125.0
2014-03-11,152.0
2014-03-12,89.0
2014-03-13,157.0
2014-03-14,136.0
2014-03-15,198.0
2014-03-16,188.0
2014-03-17,158.0
2014-03-18,179.0
2014-03-19,164.0
2014-03-20,162.0
2014-03-21,149.0
2014-03-22,157.0
2014-03-23,179.0
2014-03-24,160.0
2014-03-25,155.0
2014-03-26,106.0
2014-03-27,136.0
2014-03-28,110.0
2014-03-29,184.0
2014-03-30,201.0
2014-03-31,146.0
2014-04-01,210.0
2014-04-02,146.0
2014-04-03,139.0
2014-04-04,132.0
2014-04-05,199.0
2014-04-06,191.0
2014-04-07,163.0
2014-04-08,146.0
2014-04-09,87.0
2014-04-10,132.0
2014-04-11,125.0
2014-04-12,164.0
2014-04-13,164.0
2014-04-14,130.0
2014-04-15,139.0
2014-04-16,125.0
2014-04-17,192.0
2014-04-18,158.0
2014-04-19,182.0
2014-04-20,197.0
2014-04-21,96.0
2014-04-22,132.0
2014-04-23,88.0
2014-04-24,113.0
2014-04-25,90.0
2014-04-26,140.0
2014-04-27,167.0
2014-04-28,131.0
2014-04-29,150.0
2014-04-30,99.0
2014-05-01,158.0
2014-05-02,109.0
2014-05-03,212.0
2014-05-04,209.0
2014-05-05,161.0
2014-05-06,159.0
2014-05-07,125.0
2014-05-08,145.0
2014-05-09,128.0
2014-05-10,206.0
2014-05-11,176.0
2014-05-12,189.0
2014-05-13,104.0
2014-05-14,108.0
2014-05-15,103.0
2014-05-16,119.0
2014-05-17,185.0
2014-05-18,278.0
2014-05-19,120.0
2014-05-20,101.0
2014-05-21,100.0
2014-05-22,110.0
2014-05-23,100.0
2014-05-24,181.0
2014-05-25,170.0
2014-05-26,137.0
2014-05-27,100.0
2014-05-28,94.0
2014-05-29,53.0
2014-05-30,95.0
2014-05-31,176.0
2014-06-01,271.0
2014-06-02,139.0
2014-06-03,142.0
2014-06-04,117.0
2014-06-05,98.0
2014-06-06,87.0
2014-06-07,184.0
2014-06-08,222.0
2014-06-09,194.0
2014-06-10,124.0
2014-06-11,84.0
2014-06-12,118.0
2014-06-13,86.0
2014-06-14,176.0
2014-06-15,192.0
2014-06-16,151.0
2014-06-17,125.0
2014-06-18,104.0
2014-06-19,126.0
2014-06-20,82.0
2014-06-21,162.0
2014-06-22,207.0
2014-06-23,110.0
2014-06-24,115.0
2014-06-25,127.0
2014-06-26,117.0
2014-06-27,109.0
2014-06-28,171.0
2014-06-29,194.0
2014-06-30,162.0
2014-07-01,182.0
2014-07-02,159.0
2014-07-03,104.0
2014-07-04,100.0
2014-07-05,148.0
2014-07-06,235.0
2014-07-07,145.0
2014-07-08,124.0
2014-07-09,106.0
2014-07-10,102.0
2014-07-11,105.0
2014-07-12,131.0
2014-07-13,206.0
2014-07-14,124.0
2014-07-15,159.0
2014-07-16,142.0
2014-07-17,109.0
2014-07-18,98.0
2014-07-19,165.0
2014-07-20,236.0
2014-07-21,164.0
2014-07-22,105.0
2014-07-23,87.0
2014-07-24,78.0
2014-07-25,134.0
2014-07-26,154.0
2014-07-27,172.0
2014-07-28,132.0
2014-07-29,111.0
2014-07-30,116.0
2014-07-31,104.0
2014-08-01,144.0
2014-08-02,207.0
2014-08-03,287.0
2014-08-04,139.0
2014-08-05,119.0
2014-08-06,101.0
2014-08-07,122.0
2014-08-08,75.0
2014-08-09,150.0
2014-08-10,241.0
2014-08-11,115.0
2014-08-12,137.0
2014-08-13,100.0
2014-08-14,86.0
2014-08-15,88.0
2014-08-16,159.0
2014-08-17,173.0
2014-08-18,142.0
2014-08-19,155.0
2014-08-20,101.0
2014-08-21,102.0
2014-08-22,108.0
2014-08-23,132.0
2014-08-24,201.0
2014-08-25,99.0
2014-08-26,138.0
2014-08-27,128.0
2014-08-28,71.0
2014-08-29,106.0
2014-08-30,190.0
2014-08-31,251.0
2014-09-01,223.0
2014-09-02,150.0
2014-09-03,130.0
2014-09-04,114.0
2014-09-05,100.0
2014-09-06,185.0
2014-09-07,227.0
2014-09-08,117.0
2014-09-09,133.0
2014-09-10,112.0
2014-09-11,82.0
2014-09-12,83.0
2014-09-13,129.0
2014-09-14,183.0
2014-09-15,201.0
2014-09-16,189.0
2014-09-17,124.0
2014-09-18,105.0
2014-09-19,88.0
2014-09-20,116.0
2014-09-21,189.0
2014-09-22,127.0
2014-09-23,103.0
2014-09-24,86.0
2014-09-25,84.0
2014-09-26,66.0
2014-09-27,141.0
2014-09-28,118.0
2014-09-29,97.0
2014-09-30,112.0
2014-10-01,107.0
2014-10-02,113.0
2014-10-03,124.0
2014-10-04,127.0
2014-10-05,137.0
2014-10-06,109.0
2014-10-07,106.0
2014-10-08,95.0
2014-10-09,106.0
2014-10-10,126.0
2014-10-11,151.0
2014-10-12,161.0
2014-10-13,142.0
2014-10-14,107.0
2014-10-15,157.0
2014-10-16,143.0
2014-10-17,96.0
2014-10-18,169.0
2014-10-19,162.0
2014-10-20,126.0
2014-10-21,118.0
2014-10-22,83.0
2014-10-23,116.0
2014-10-24,68.0
2014-10-25,138.0
2014-10-26,183.0
2014-10-27,152.0
2014-10-28,143.0
2014-10-29,116.0
2014-10-30,108.0
2014-10-31,123.0
2014-11-01,179.0
2014-11-02,139.0
2014-11-03,193.0
2014-11-04,160.0
2014-11-05,159.0
2014-11-06,105.0
2014-11-07,105.0
2014-11-08,160.0
2014-11-09,213.0
2014-11-10,122.0
2014-11-11,132.0
2014-11-12,82.0
2014-11-13,91.0
2014-11-14,104.0
2014-11-15,174.0
2014-11-16,230.0
2014-11-17,172.0
2014-11-18,136.0
2014-11-19,78.0
2014-11-20,115.0
2014-11-21,74.0
2014-11-22,140.0
2014-11-23,183.0
2014-11-24,107.0
2014-11-25,104.0
2014-11-26,106.0
2014-11-27,79.0
2014-11-28,119.0
2014-11-29,210.0
2014-11-30,188.0
2014-12-01,137.0
2014-12-02,171.0
2014-12-03,156.0
2014-12-04,103.0
2014-12-05,117.0
2014-12-06,178.0
2014-12-07,217.0
2014-12-08,162.0
2014-12-09,106.0
2014-12-10,112.0
2014-12-11,93.0
2014-12-12,83.0
2014-12-13,144.0
2014-12-14,177.0
2014-12-15,139.0
2014-12-16,140.0
2014-12-17,163.0
2014-12-18,166.0
2014-12-19,129.0
2014-12-20,191.0
2014-12-21,167.0
2014-12-22,134.0
2014-12-23,200.0
2014-12-24,446.0
2014-12-25,131.89999999999998
2014-12-26,115.0
2014-12-27,146.0
2014-12-28,115.0
2014-12-29,125.0
2014-12-30,227.0
2014-12-31,422.0
2015-01-01,123.5
2015-01-02,166.0
2015-01-03,173.0
2015-01-04,202.0
2015-01-05,173.0
2015-01-06,134.0
2015-01-07,172.0
2015-01-08,101.0
2015-01-09,103.0
2015-01-10,183.0
2015-01-11,195.0
2015-01-12,138.0
2015-01-13,99.0
2015-01-14,106.0
2015-01-15,116.0
2015-01-16,114.0
2015-01-17,126.0
2015-01-18,255.0
2015-01-19,134.0
2015-01-20,141.0
2015-01-21,124.0
2015-01-22,113.0
2015-01-23,95.0
2015-01-24,164.0
2015-01-25,207.0
2015-01-26,147.0
2015-01-27,152.0
2015-01-28,105.0
2015-01-29,108.0
2015-01-30,83.0
2015-01-31,210.0
2015-02-01,312.0
2015-02-02,187.0
2015-02-03,157.0
2015-02-04,170.0
2015-02-05,117.0
2015-02-06,77.0
2015-02-07,147.0
2015-02-08,172.0
2015-02-09,106.0
2015-02-10,149.0
2015-02-11,148.0
2015-02-12,125.0
2015-02-13,97.0
2015-02-14,201.0
2015-02-15,147.0
2015-02-16,113.0
2015-02-17,130.0
2015-02-18,111.0
2015-02-19,127.0
2015-02-20,112.0
2015-02-21,124.0
2015-02-22,148.0
2015-02-23,121.0
2015-02-24,114.0
2015-02-25,116.0
2015-02-26,96.0
2015-02-27,114.0
2015-02-28,179.0
2015-03-01,221.0
2015-03-02,184.0
2015-03-03,186.0
2015-03-04,127.0
2015-03-05,131.0
2015-03-06,123.0
2015-03-07,142.0
2015-03-08,143.0
2015-03-09,126.0
2015-03-10,126.0
2015-03-11,123.0
2015-03-12,113.0
2015-03-13,132.0
2015-03-14,141.0
2015-03-15,248.0
2015-03-16,158.0
2015-03-17,143.0
2015-03-18,98.0
2015-03-19,125.0
2015-03-20,149.0
2015-03-21,165.0
2015-03-22,176.0
2015-03-23,137.0
2015-03-24,134.0
2015-03-25,129.0
2015-03-26,102.0
2015-03-27,103.0
2015-03-28,131.0
2015-03-29,122.0
2015-03-30,111.0
2015-03-31,132.0
2015-04-01,172.0
2015-04-02,118.0
2015-04-03,150.0
2015-04-04,136.0
2015-04-05,146.0
2015-04-06,131.0
2015-04-07,135.0
2015-04-08,133.0
2015-04-09,112.0
2015-04-10,125.0
2015-04-11,126.0
2015-04-12,170.0
2015-04-13,123.0
2015-04-14,114.0
2015-04-15,129.0
2015-04-16,126.0
2015-04-17,129.0
2015-04-18,176.0
2015-04-19,177.0
2015-04-20,171.0
2015-04-21,156.0
2015-04-22,134.0
2015-04-23,112.0
2015-04-24,92.0
2015-04-25,153.0
2015-04-26,156.0
2015-04-27,118.0
2015-04-28,100.0
2015-04-29,147.0
2015-04-30,110.0
2015-05-01,175.0
2015-05-02,152.0
2015-05-03,179.0
2015-05-04,166.0
2015-05-05,174.0
2015-05-06,157.0
2015-05-07,161.0
2015-05-08,112.0
2015-05-09,161.0
2015-05-10,237.0
2015-05-11,161.0
2015-05-12,144.0
2015-05-13,112.0
2015-05-14,115.0
2015-05-15,114.0
2015-05-16,150.0
2015-05-17,244.0
2015-05-18,121.0
2015-05-19,128.0
2015-05-20,140.0
2015-05-21,91.0
2015-05-22,103.0
2015-05-23,212.0
2015-05-24,218.0
2015-05-25,120.0
2015-05-26,87.0
2015-05-27,117.0
2015-05-28,90.0
2015-05-29,121.0
2015-05-30,204.0
2015-05-31,266.0
2015-06-01,172.0
2015-06-02,181.0
2015-06-03,126.0
2015-06-04,121.0
2015-06-05,100.0
2015-06-06,111.0
2015-06-07,267.0
2015-06-08,163.0
2015-06-09,136.0
2015-06-10,115.0
2015-06-11,112.0
2015-06-12,79.0
2015-06-13,160.0
2015-06-14,253.0
2015-06-15,134.0
2015-06-16,160.0
2015-06-17,139.0
2015-06-18,122.0
2015-06-19,98.0
2015-06-20,181.0
2015-06-21,227.0
2015-06-22,153.0
2015-06-23,166.0
2015-06-24,128.0
2015-06-25,122.0
2015-06-26,112.0
2015-06-27,161.0
2015-06-28,220.0
2015-06-29,132.0
2015-06-30,143.0
2015-07-01,191.0
2015-07-02,147.0
2015-07-03,95.0
2015-07-04,166.0
2015-07-05,200.0
2015-07-06,167.0
2015-07-07,162.0
2015-07-08,126.0
2015-07-09,118.0
2015-07-10,108.0
2015-07-11,150.0
2015-07-12,195.0
2015-07-13,135.0
2015-07-14,128.0
2015-07-15,148.0
2015-07-16,116.0
2015-07-17,116.0
2015-07-18,168.0
2015-07-19,221.0
2015-07-20,121.0
2015-07-21,128.0
2015-07-22,155.0
2015-07-23,110.0
2015-07-24,67.0
2015-07-25,153.0
2015-07-26,194.0
2015-07-27,124.0
2015-07-28,137.0
2015-07-29,94.0
2015-07-30,87.0
2015-07-31,130.0
2015-08-01,198.0
2015-08-02,255.0
2015-08-03,158.0
2015-08-04,124.0
2015-08-05,118.0
2015-08-06,106.0
2015-08-07,79.0
2015-08-08,162.0
2015-08-09,164.0
2015-08-10,177.0
2015-08-11,111.0
2015-08-12,97.0
2015-08-13,96.0
2015-08-14,120.0
2015-08-15,168.0
2015-08-16,245.0
2015-08-17,137.0
2015-08-18,128.0
2015-08-19,104.0
2015-08-20,99.0
2015-08-21,98.0
2015-08-22,181.0
2015-08-23,222.0
2015-08-24,136.0
2015-08-25,120.0
2015-08-26,111.0
2015-08-27,112.0
2015-08-28,91.0
2015-08-29,175.0
2015-08-30,195.0
2015-08-31,177.0
2015-09-01,205.0
2015-09-02,146.0
2015-09-03,143.0
2015-09-04,102.0
2015-09-05,138.0
2015-09-06,211.0
2015-09-07,145.0
2015-09-08,127.0
2015-09-09,89.0
2015-09-10,119.0
2015-09-11,98.0
2015-09-12,147.0
2015-09-13,209.0
2015-09-14,113.0
2015-09-15,124.0
2015-09-16,137.0
2015-09-17,135.0
2015-09-18,76.0
2015-09-19,180.0
2015-09-20,207.0
2015-09-21,137.0
2015-09-22,101.0
2015-09-23,122.0
2015-09-24,100.0
2015-09-25,70.0
2015-09-26,164.0
2015-09-27,203.0
2015-09-28,121.0
2015-09-29,119.0
2015-09-30,169.0
2015-10-01,176.0
2015-10-02,104.0
2015-10-03,155.0
2015-10-04,173.0
2015-10-05,150.0
2015-10-06,149.0
2015-10-07,105.0
2015-10-08,82.0
2015-10-09,103.0
2015-10-10,112.0
2015-10-11,161.0
2015-10-12,147.0
2015-10-13,100.0
2015-10-14,111.0
2015-10-15,134.0
2015-10-16,83.0
2015-10-17,174.0
2015-10-18,181.0
2015-10-19,136.0
2015-10-20,113.0
2015-10-21,110.0
2015-10-22,100.0
2015-10-23,99.0
2015-10-24,169.0
2015-10-25,216.0
2015-10-26,120.0
2015-10-27,110.0
2015-10-28,116.0
2015-10-29,129.0
2015-10-30,139.0
2015-10-31,172.0
2015-11-01,173.0
2015-11-02,140.0
2015-11-03,151.0
2015-11-04,112.0
2015-11-05,137.0
2015-11-06,98.0
2015-11-07,133.0
2015-11-08,181.0
2015-11-09,104.0
2015-11-10,118.0
2015-11-11,133.0
2015-11-12,102.0
2015-11-13,117.0
2015-11-14,133.0
2015-11-15,196.0
2015-11-16,147.0
