date,sales
2013-01-02,8.0
2013-01-03,3.0
2013-01-04,10.0
2013-01-05,4.0
2013-01-06,11.0
2013-01-07,5.0
2013-01-08,4.0
2013-01-09,5.0
2013-01-10,10.0
2013-01-11,7.0
2013-01-12,9.0
2013-01-13,23.0
2013-01-14,6.0
2013-01-15,4.0
2013-01-16,8.0
2013-01-17,8.0
2013-01-18,5.0
2013-01-19,10.0
2013-01-20,21.0
2013-01-21,21.0
2013-01-22,11.0
2013-01-23,8.0
2013-01-24,3.0
2013-01-25,8.0
2013-01-26,12.0
2013-01-27,6.0
2013-01-28,2.0
2013-01-29,4.0
2013-01-30,4.0
2013-01-31,5.0
2013-02-01,5.0
2013-02-02,14.0
2013-02-03,19.0
2013-02-04,10.0
2013-02-05,6.0
2013-02-06,7.0
2013-02-07,8.0
2013-02-08,16.0
2013-02-09,11.0
2013-02-10,17.0
2013-02-11,8.0
2013-02-12,5.0
2013-02-13,7.0
2013-02-14,10.0
2013-02-15,18.0
2013-02-16,17.0
2013-02-17,8.0
2013-02-18,7.0
2013-02-19,11.0
2013-02-20,7.0
2013-02-21,8.0
2013-02-22,3.0
2013-02-23,16.0
2013-02-24,11.0
2013-02-25,9.0
2013-02-26,4.0
2013-02-27,10.0
2013-02-28,2.0
2013-03-01,11.0
2013-03-02,15.0
2013-03-03,12.0
2013-03-04,14.0
2013-03-05,18.0
2013-03-06,9.0
2013-03-07,24.0
2013-03-08,15.0
2013-03-09,13.0
2013-03-10,15.0
2013-03-11,4.0
2013-03-12,13.0
2013-03-13,16.0
2013-03-14,6.0
2013-03-15,15.0
2013-03-16,18.0
2013-03-17,13.0
2013-03-18,24.0
2013-03-19,17.0
2013-03-20,20.0
2013-03-21,10.0
2013-03-22,7.0
2013-03-23,7.0
2013-03-24,10.0
2013-03-25,10.0
2013-03-26,4.0
2013-03-27,7.0
2013-03-28,15.0
2013-03-29,14.0
2013-03-30,8.0
2013-03-31,12.0
2013-04-01,24.0
2013-04-02,13.0
2013-04-03,7.0
2013-04-04,15.0
2013-04-05,3.0
2013-04-06,7.0
2013-04-07,7.0
2013-04-08,15.0
2013-04-09,4.0
2013-04-10,1.0
2013-04-11,0.0
2013-04-12,8.0
2013-04-13,10.0
2013-04-14,16.0
2013-04-15,9.0
2013-04-16,8.0
2013-04-17,7.0
2013-04-18,9.0
2013-04-19,11.0
2013-04-20,7.0
2013-04-21,17.0
2013-04-22,13.0
2013-04-23,9.0
2013-04-24,13.0
2013-04-25,8.0
2013-04-26,9.0
2013-04-27,19.0
2013-04-28,26.0
2013-04-29,13.0
2013-04-30,7.0
2013-05-01,23.0
2013-05-02,5.0
2013-05-03,3.0
2013-05-04,17.0
2013-05-05,8.0
2013-05-06,2.0
2013-05-07,7.0
2013-05-08,6.0
2013-05-09,7.0
2013-05-10,2.0
2013-05-11,13.0
2013-05-12,7.0
2013-05-13,12.0
2013-05-14,2.0
2013-05-15,2.0
2013-05-16,0.0
2013-05-17,2.0
2013-05-18,9.0
2013-05-19,12.0
2013-05-20,13.0
2013-05-21,4.0
2013-05-22,6.0
2013-05-23,5.0
2013-05-24,4.0
2013-05-25,2.0
2013-05-26,2.0
2013-05-27,0.0
2013-05-28,12.0
2013-05-29,4.0
2013-05-30,1.0
2013-05-31,5.0
2013-06-01,7.0
2013-06-02,5.0
2013-06-03,6.0
2013-06-04,5.0
2013-06-05,2.0
2013-06-06,2.0
2013-06-07,1.0
2013-06-08,4.0
2013-06-09,2.0
2013-06-10,9.0
2013-06-11,14.0
2013-06-12,11.0
2013-06-13,5.0
2013-06-14,2.0
2013-06-15,9.0
2013-06-16,5.0
2013-06-17,8.0
2013-06-18,4.0
2013-06-19,16.0
2013-06-20,4.0
2013-06-21,3.0
2013-06-22,18.0
2013-06-23,18.0
2013-06-24,13.0
2013-06-25,6.0
2013-06-26,14.0
2013-06-27,3.0
2013-06-28,6.0
2013-06-29,13.0
2013-06-30,5.0
2013-07-01,13.0
2013-07-02,1.0
2013-07-03,7.0
2013-07-04,4.0
2013-07-05,7.0
2013-07-06,5.0
2013-07-07,15.0
2013-07-08,10.0
2013-07-09,13.0
2013-07-10,8.0
2013-07-11,11.0
2013-07-12,13.0
2013-07-13,13.0
2013-07-14,5.0
2013-07-15,11.0
2013-07-16,10.0
2013-07-17,5.0
2013-07-18,3.0
2013-07-19,10.0
2013-07-20,6.0
2013-07-21,15.0
2013-07-22,7.0
2013-07-23,11.0
2013-07-24,7.0
2013-07-25,6.0
2013-07-26,8.0
2013-07-27,11.0
2013-07-28,7.0
2013-07-29,4.0
2013-07-30,0.0
2013-07-31,9.0
2013-08-01,14.0
2013-08-02,13.0
2013-08-03,16.0
2013-08-04,15.0
2013-08-05,9.0
2013-08-06,7.0
2013-08-07,7.0
2013-08-08,2.0
2013-08-09,5.0
2013-08-10,4.0
2013-08-11,4.0
2013-08-12,2.0
2013-08-13,5.0
2013-08-14,0.0
2013-08-15,9.0
2013-08-16,10.0
2013-08-17,16.0
2013-08-18,14.0
2013-08-19,13.0
2013-08-20,6.0
2013-08-21,19.0
2013-08-22,5.0
2013-08-23,5.0
2013-08-24,11.0
2013-08-25,12.0
2013-08-26,6.0
2013-08-27,11.0
2013-08-28,4.0
2013-08-29,8.0
2013-08-30,5.0
2013-08-31,23.0
2013-09-01,14.0
2013-09-02,6.0
2013-09-03,10.0
2013-09-04,10.0
2013-09-05,17.0
2013-09-06,11.0
2013-09-07,13.0
2013-09-08,20.0
2013-09-09,16.0
2013-09-10,17.0
2013-09-11,5.0
2013-09-12,2.0
2013-09-13,2.0
2013-09-14,5.0
2013-09-15,15.0
2013-09-16,7.0
2013-09-17,3.0
2013-09-18,10.0
2013-09-19,13.0
2013-09-20,5.0
2013-09-21,8.0
2013-09-22,7.0
2013-09-23,5.0
2013-09-24,13.0
2013-09-25,13.0
2013-09-26,6.0
2013-09-27,15.0
2013-09-28,12.0
2013-09-29,12.0
2013-09-30,26.0
2013-10-01,5.0
2013-10-02,9.0
2013-10-03,5.0
2013-10-04,3.0
2013-10-05,2.0
2013-10-06,3.0
2013-10-07,9.0
2013-10-08,7.0
2013-10-09,11.0
2013-10-10,19.0
2013-10-11,7.0
2013-10-12,18.0
2013-10-13,21.0
2013-10-14,14.0
2013-10-15,5.0
2013-10-16,5.0
2013-10-17,5.0
2013-10-18,1.0
2013-10-19,3.0
2013-10-20,3.0
2013-10-21,2.0
2013-10-22,1.0
2013-10-23,3.0
2013-10-24,3.0
2013-10-25,2.0
2013-10-26,10.0
2013-10-27,7.0
2013-10-28,3.0
2013-10-29,0.0
2013-10-30,15.0
2013-10-31,3.0
2013-11-01,19.0
2013-11-02,15.0
2013-11-03,8.0
2013-11-04,9.0
2013-11-05,4.0
2013-11-06,17.0
2013-11-07,5.0
2013-11-08,8.0
2013-11-09,10.0
2013-11-10,9.0
2013-11-11,4.0
2013-11-12,6.0
2013-11-13,14.0
2013-11-14,10.0
2013-11-15,7.0
2013-11-16,30.0
2013-11-17,7.0
2013-11-18,15.0
2013-11-19,6.0
2013-11-20,7.0
2013-11-21,11.0
2013-11-22,5.0
2013-11-23,4.0
2013-11-24,13.0
2013-11-25,8.0
2013-11-26,13.0
2013-11-27,9.0
2013-11-28,4.0
2013-11-29,17.0
2013-11-30,11.0
2013-12-01,10.0
2013-12-02,8.0
2013-12-03,12.0
2013-12-04,11.0
2013-12-05,5.0
2013-12-06,1.0
2013-12-07,10.0
2013-12-08,5.0
2013-12-09,16.0
2013-12-10,3.0
2013-12-11,11.0
2013-12-12,7.0
2013-12-13,11.0
2013-12-14,7.0
2013-12-15,8.0
2013-12-16,6.0
2013-12-17,8.0
2013-12-18,2.0
2013-12-19,10.0
2013-12-20,10.0
2013-12-21,10.0
2013-12-22,25.0
2013-12-23,14.0
2013-12-24,13.0
2013-12-25,6.8
2013-12-26,7.0
2013-12-27,3.0
2013-12-28,7.0
2013-12-29,10.0
2013-12-30,20.0
2013-12-31,12.0
2014-01-01,7.6
2014-01-02,4.0
2014-01-03,2.0
2014-01-04,19.0
2014-01-05,18.0
2014-01-06,12.0
2014-01-07,4.0
2014-01-08,12.0
2014-01-09,4.0
2014-01-10,4.0
2014-01-11,11.0
2014-01-12,9.0
2014-01-13,12.0
2014-01-14,7.0
2014-01-15,5.0
2014-01-16,5.0
2014-01-17,10.0
2014-01-18,17.0
2014-01-19,16.0
2014-01-20,23.0
2014-01-21,14.0
2014-01-22,16.0
2014-01-23,0.0
2014-01-24,18.0
2014-01-25,21.0
2014-01-26,9.0
2014-01-27,5.0
2014-01-28,11.0
2014-01-29,5.0
2014-01-30,6.0
2014-01-31,16.0
2014-02-01,17.0
2014-02-02,22.0
2014-02-03,5.0
2014-02-04,0.0
2014-02-05,2.0
2014-02-06,3.0
2014-02-07,3.0
2014-02-08,1.0
2014-02-09,2.0
2014-02-10,4.0
2014-02-11,2.0
2014-02-12,15.0
2014-02-13,12.0
2014-02-14,10.0
2014-02-15,10.0
2014-02-16,5.0
2014-02-17,9.0
2014-02-18,11.0
2014-02-19,14.0
2014-02-20,14.0
2014-02-21,8.0
2014-02-22,11.0
2014-02-23,7.0
2014-02-24,6.0
2014-02-25,10.0
2014-02-26,6.0
2014-02-27,10.0
2014-02-28,3.0
2014-03-01,26.0
2014-03-02,6.0
2014-03-03,4.0
2014-03-04,7.0
2014-03-05,9.0
2014-03-06,7.0
2014-03-07,1.0
2014-03-08,1.0
2014-03-09,8.0
2014-03-10,10.0
2014-03-11,6.0
2014-03-12,8.0
2014-03-13,12.0
2014-03-14,7.0
2014-03-15,10.0
2014-03-16,26.0
2014-03-17,6.0
2014-03-18,9.0
2014-03-19,6.0
2014-03-20,10.0
2014-03-21,8.0
2014-03-22,8.0
2014-03-23,5.0
2014-03-24,8.0
2014-03-25,4.0
2014-03-26,3.0
2014-03-27,0.0
2014-03-28,13.0
2014-03-29,22.0
2014-03-30,13.0
2014-03-31,9.0
2014-04-01,9.0
2014-04-02,7.0
2014-04-03,6.0
2014-04-04,10.0
2014-04-05,11.0
2014-04-06,21.0
2014-04-07,3.0
2014-04-08,3.0
2014-04-09,7.0
2014-04-10,0.0
2014-04-11,7.0
2014-04-12,10.0
2014-04-13,10.0
2014-04-14,5.0
2014-04-15,11.0
2014-04-16,6.0
2014-04-17,9.0
2014-04-18,2.0
2014-04-19,4.0
2014-04-20,6.0
2014-04-21,2.0
2014-04-22,6.0
2014-04-23,1.0
2014-04-24,9.0
2014-04-25,8.0
2014-04-26,4.0
2014-04-27,12.0
2014-04-28,10.0
2014-04-29,12.0
2014-04-30,3.0
2014-05-01,10.0
2014-05-02,10.0
2014-05-03,0.0
2014-05-04,7.0
2014-05-05,2.0
2014-05-06,5.0
2014-05-07,4.0
2014-05-08,11.0
2014-05-09,9.0
2014-05-10,3.0
2014-05-11,3.0
2014-05-12,4.0
2014-05-13,3.0
2014-05-14,3.0
2014-05-15,2.0
2014-05-16,5.0
2014-05-17,23.0
2014-05-18,5.0
2014-05-19,7.0
2014-05-20,1.0
2014-05-21,4.0
2014-05-22,0.0
2014-05-23,5.0
2014-05-24,3.0
2014-05-25,20.0
2014-05-26,5.0
2014-05-27,5.0
2014-05-28,3.0
2014-05-29,4.0
2014-05-30,17.0
2014-05-31,31.0
2014-06-01,21.0
2014-06-02,7.0
2014-06-03,11.0
2014-06-04,23.0
2014-06-05,11.0
2014-06-06,10.0
2014-06-07,15.0
2014-06-08,10.0
2014-06-09,14.0
2014-06-10,11.0
2014-06-11,8.0
2014-06-12,14.0
2014-06-13,6.0
2014-06-14,18.0
2014-06-15,18.0
2014-06-16,15.0
2014-06-17,13.0
2014-06-18,7.0
2014-06-19,14.0
2014-06-20,1.0
2014-06-21,18.0
2014-06-22,26.0
2014-06-23,10.0
2014-06-24,10.0
2014-06-25,7.0
2014-06-26,13.0
2014-06-27,3.0
2014-06-28,18.0
2014-06-29,6.0
2014-06-30,9.0
2014-07-01,17.0
2014-07-02,23.0
2014-07-03,17.0
2014-07-04,11.0
2014-07-05,30.0
2014-07-06,29.0
2014-07-07,27.0
2014-07-08,19.0
2014-07-09,15.0
2014-07-10,7.0
2014-07-11,12.0
2014-07-12,17.0
2014-07-13,14.0
2014-07-14,9.0
2014-07-15,11.0
2014-07-16,3.0
2014-07-17,4.0
2014-07-18,8.0
2014-07-19,18.0
2014-07-20,6.0
2014-07-21,4.0
2014-07-22,3.0
2014-07-23,13.0
2014-07-24,12.0
2014-07-25,13.0
2014-07-26,12.0
2014-07-27,9.0
2014-07-28,17.0
2014-07-29,17.0
2014-07-30,3.0
2014-07-31,26.0
2014-08-01,23.0
2014-08-02,25.0
2014-08-03,22.0
2014-08-04,12.0
2014-08-05,13.0
2014-08-06,21.0
2014-08-07,13.0
2014-08-08,17.0
2014-08-09,21.0
2014-08-10,19.0
2014-08-11,18.0
2014-08-12,12.0
2014-08-13,21.0
2014-08-14,11.0
2014-08-15,15.0
2014-08-16,26.0
2014-08-17,30.0
2014-08-18,21.0
2014-08-19,11.0
2014-08-20,14.0
2014-08-21,10.0
2014-08-22,9.0
2014-08-23,20.0
2014-08-24,24.0
2014-08-25,9.0
2014-08-26,5.0
2014-08-27,14.0
2014-08-28,17.0
2014-08-29,14.0
2014-08-30,35.0
2014-08-31,41.0
2014-09-01,26.0
2014-09-02,26.0
2014-09-03,12.0
2014-09-04,13.0
2014-09-05,11.0
2014-09-06,19.0
2014-09-07,12.0
2014-09-08,19.0
2014-09-09,13.0
2014-09-10,18.0
2014-09-11,6.0
2014-09-12,16.0
2014-09-13,20.0
2014-09-14,38.0
2014-09-15,19.0
2014-09-16,17.0
2014-09-17,6.0
2014-09-18,5.0
2014-09-19,22.0
2014-09-20,27.0
2014-09-21,26.0
2014-09-22,31.0
2014-09-23,16.0
2014-09-24,8.0
2014-09-25,9.0
2014-09-26,7.0
2014-09-27,19.0
2014-09-28,14.0
2014-09-29,5.0
2014-09-30,16.0
2014-10-01,11.0
2014-10-02,17.0
2014-10-03,16.0
2014-10-04,21.0
2014-10-05,32.0
2014-10-06,19.0
2014-10-07,22.0
2014-10-08,11.0
2014-10-09,27.0
2014-10-10,9.0
2014-10-11,24.0
2014-10-12,34.0
2014-10-13,11.0
2014-10-14,16.0
2014-10-15,14.0
2014-10-16,31.0
2014-10-17,7.0
2014-10-18,20.0
2014-10-19,23.0
2014-10-20,10.0
2014-10-21,31.0
2014-10-22,17.0
2014-10-23,9.0
2014-10-24,12.0
2014-10-25,13.0
2014-10-26,14.0
2014-10-27,11.0
2014-10-28,14.0
2014-10-29,9.0
2014-10-30,16.0
2014-10-31,16.0
2014-11-01,28.0
2014-11-02,27.0
2014-11-03,23.0
2014-11-04,40.0
2014-11-05,8.0
2014-11-06,24.0
2014-11-07,11.0
2014-11-08,25.0
2014-11-09,28.0
2014-11-10,9.0
2014-11-11,8.0
2014-11-12,17.0
2014-11-13,21.0
2014-11-14,7.0
2014-11-15,18.0
2014-11-16,23.0
2014-11-17,19.0
2014-11-18,7.0
2014-11-19,8.0
2014-11-20,28.0
2014-11-21,9.0
2014-11-22,15.0
2014-11-23,17.0
2014-11-24,11.0
2014-11-25,20.0
2014-11-26,12.0
2014-11-27,10.0
2014-11-28,12.0
2014-11-29,17.0
2014-11-30,28.0
2014-12-01,28.0
2014-12-02,10.0
2014-12-03,22.0
2014-12-04,16.0
2014-12-05,19.0
2014-12-06,62.0
2014-12-07,20.0
2014-12-08,27.0
2014-12-09,18.0
2014-12-10,11.0
2014-12-11,19.0
2014-12-12,12.0
2014-12-13,12.0
2014-12-14,18.0
2014-12-15,21.0
2014-12-16,19.0
2014-12-17,4.0
2014-12-18,16.0
2014-12-19,11.0
2014-12-20,26.0
2014-12-21,27.0
2014-12-22,18.0
2014-12-23,27.0
2014-12-24,22.0
2014-12-25,13.600000000000001
2014-12-26,9.0
2014-12-27,10.0
2014-12-28,15.0
2014-12-29,7.0
2014-12-30,15.0
2014-12-31,10.0
2015-01-01,10.8
2015-01-02,8.0
2015-01-03,19.0
2015-01-04,10.0
2015-01-05,4.0
2015-01-06,9.0
2015-01-07,13.0
2015-01-08,6.0
2015-01-09,5.0
2015-01-10,17.0
2015-01-11,3.0
2015-01-12,10.0
2015-01-13,9.0
2015-01-14,8.0
2015-01-15,15.0
2015-01-16,7.0
2015-01-17,25.0
2015-01-18,33.0
2015-01-19,12.0
2015-01-20,11.0
2015-01-21,11.0
2015-01-22,4.0
2015-01-23,6.0
2015-01-24,16.0
2015-01-25,23.0
2015-01-26,15.0
2015-01-27,26.0
2015-01-28,8.0
2015-01-29,4.0
2015-01-30,4.0
2015-01-31,6.0
2015-02-01,25.0
2015-02-02,14.0
2015-02-03,34.0
2015-02-04,6.0
2015-02-05,18.0
2015-02-06,5.0
2015-02-07,10.0
2015-02-08,21.0
2015-02-09,12.0
2015-02-10,14.0
2015-02-11,21.0
