date,sales
2013-01-02,1119.0
2013-01-03,1016.0
2013-01-04,991.0
2013-01-05,1373.0
2013-01-06,1090.0
2013-01-07,775.0
2013-01-08,796.0
2013-01-09,974.0
2013-01-10,737.0
2013-01-11,959.0
2013-01-12,1192.0
2013-01-13,1015.0
2013-01-14,1024.0
2013-01-15,1072.0
2013-01-16,923.0
2013-01-17,671.0
2013-01-18,1059.0
2013-01-19,1132.0
2013-01-20,1083.0
2013-01-21,855.0
2013-01-22,681.0
2013-01-23,824.0
2013-01-24,662.0
2013-01-25,890.0
2013-01-26,1208.0
2013-01-27,1027.0
2013-01-28,677.0
2013-01-29,671.0
2013-01-30,715.0
2013-01-31,637.0
2013-02-01,1149.0
2013-02-02,1282.0
2013-02-03,930.0
2013-02-04,947.0
2013-02-05,682.0
2013-02-06,949.0
2013-02-07,1070.0
2013-02-08,1490.0
2013-02-09,1190.0
2013-02-10,476.0
2013-02-11,360.0
2013-02-12,443.0
2013-02-13,915.0
2013-02-14,720.0
2013-02-15,879.0
2013-02-16,1446.0
2013-02-17,1037.0
2013-02-18,941.0
2013-02-19,782.0
2013-02-20,895.0
2013-02-21,768.0
2013-02-22,959.0
2013-02-23,1098.0
2013-02-24,1158.0
2013-02-25,841.0
2013-02-26,739.0
2013-02-27,750.0
2013-02-28,629.0
2013-03-01,1057.0
2013-03-02,1437.0
2013-03-03,1077.0
2013-03-04,1113.0
2013-03-05,770.0
2013-03-06,896.0
2013-03-07,981.0
2013-03-08,957.0
2013-03-09,1252.0
2013-03-10,1078.0
2013-03-11,848.0
2013-03-12,689.0
2013-03-13,706.0
2013-03-14,789.0
2013-03-15,1011.0
2013-03-16,1466.0
2013-03-17,1277.0
2013-03-18,828.0
2013-03-19,721.0
2013-03-20,764.0
2013-03-21,680.0
2013-03-22,832.0
2013-03-23,1223.0
2013-03-24,1029.0
2013-03-25,742.0
2013-03-26,778.0
2013-03-27,847.0
2013-03-28,1063.0
2013-03-29,640.0
2013-03-30,1076.0
2013-03-31,991.0
2013-04-01,1137.0
2013-04-02,1036.0
2013-04-03,991.0
2013-04-04,933.0
2013-04-05,889.0
2013-04-06,1363.0
2013-04-07,1225.0
2013-04-08,949.0
2013-04-09,732.0
2013-04-10,876.0
2013-04-11,872.0
2013-04-12,970.0
2013-04-13,997.0
2013-04-14,748.0
2013-04-15,866.0
2013-04-16,824.0
2013-04-17,855.0
2013-04-18,709.0
2013-04-19,832.0
2013-04-20,1325.0
2013-04-21,977.0
2013-04-22,881.0
2013-04-23,593.0
2013-04-24,664.0
2013-04-25,726.0
2013-04-26,1045.0
2013-04-27,1282.0
2013-04-28,1061.0
2013-04-29,802.0
2013-04-30,893.0
2013-05-01,1098.0
2013-05-02,1010.0
2013-05-03,872.0
2013-05-04,1318.0
2013-05-05,1068.0
2013-05-06,783.0
2013-05-07,735.0
2013-05-08,771.0
2013-05-09,640.0
2013-05-10,1051.0
2013-05-11,1281.0
2013-05-12,764.0
2013-05-13,872.0
2013-05-14,561.0
2013-05-15,1087.0
2013-05-16,1058.0
2013-05-17,1042.0
2013-05-18,1125.0
2013-05-19,968.0
2013-05-20,840.0
2013-05-21,797.0
2013-05-22,976.0
2013-05-23,1049.0
2013-05-24,1029.0
2013-05-25,914.0
2013-05-26,811.0
2013-05-27,1091.0
2013-05-28,744.0
2013-05-29,746.0
2013-05-30,763.0
2013-05-31,820.0
2013-06-01,1522.0
2013-06-02,1309.0
2013-06-03,1059.0
2013-06-04,827.0
2013-06-05,868.0
2013-06-06,772.0
2013-06-07,1062.0
2013-06-08,1059.0
2013-06-09,969.0
2013-06-10,735.0
2013-06-11,650.0
2013-06-12,713.0
2013-06-13,753.0
2013-06-14,1012.0
2013-06-15,1132.0
2013-06-16,1020.0
2013-06-17,725.0
2013-06-18,810.0
2013-06-19,752.0
2013-06-20,740.0
2013-06-21,906.0
2013-06-22,1035.0
2013-06-23,985.0
2013-06-24,698.0
2013-06-25,695.0
2013-06-26,754.0
2013-06-27,653.0
2013-06-28,1011.0
2013-06-29,1289.0
2013-06-30,798.0
2013-07-01,1047.0
2013-07-02,923.0
2013-07-03,845.0
2013-07-04,837.0
2013-07-05,918.0
2013-07-06,1022.0
2013-07-07,786.0
2013-07-08,737.0
2013-07-09,612.0
2013-07-10,687.0
2013-07-11,841.0
2013-07-12,779.0
2013-07-13,1078.0
2013-07-14,680.0
2013-07-15,775.0
2013-07-16,604.0
2013-07-17,869.0
2013-07-18,805.0
2013-07-19,961.0
2013-07-20,997.0
2013-07-21,656.0
2013-07-22,917.0
2013-07-23,656.0
2013-07-24,904.0
2013-07-25,823.0
2013-07-26,1004.0
2013-07-27,1253.0
2013-07-28,628.0
2013-07-29,797.0
2013-07-30,620.0
2013-07-31,669.0
2013-08-01,1040.0
2013-08-02,1055.0
2013-08-03,1172.0
2013-08-04,941.0
2013-08-05,796.0
2013-08-06,632.0
2013-08-07,662.0
2013-08-08,648.0
2013-08-09,900.0
2013-08-10,845.0
2013-08-11,514.0
2013-08-12,707.0
2013-08-13,697.0
2013-08-14,646.0
2013-08-15,564.0
2013-08-16,1035.0
2013-08-17,737.0
2013-08-18,656.0
2013-08-19,776.0
2013-08-20,627.0
2013-08-21,790.0
2013-08-22,610.0
2013-08-23,766.0
2013-08-24,896.0
2013-08-25,617.0
2013-08-26,801.0
2013-08-27,620.0
2013-08-28,813.0
2013-08-29,668.0
2013-08-30,845.0
2013-08-31,1087.0
2013-09-01,1194.0
2013-09-02,1163.0
2013-09-03,1067.0
2013-09-04,1011.0
2013-09-05,738.0
2013-09-06,946.0
2013-09-07,1104.0
2013-09-08,1044.0
2013-09-09,977.0
2013-09-10,595.0
2013-09-11,776.0
2013-09-12,707.0
2013-09-13,955.0
2013-09-14,1214.0
2013-09-15,932.0
2013-09-16,1054.0
2013-09-17,891.0
2013-09-18,814.0
2013-09-19,767.0
2013-09-20,878.0
2013-09-21,1176.0
2013-09-22,1033.0
2013-09-23,796.0
2013-09-24,679.0
2013-09-25,860.0
2013-09-26,695.0
2013-09-27,925.0
2013-09-28,1364.0
2013-09-29,882.0
2013-09-30,908.0
2013-10-01,939.0
2013-10-02,1189.0
2013-10-03,844.0
2013-10-04,1060.0
2013-10-05,1332.0
2013-10-06,1159.0
2013-10-07,1038.0
2013-10-08,780.0
2013-10-09,857.0
2013-10-10,970.0
2013-10-11,892.0
2013-10-12,1034.0
2013-10-13,755.0
2013-10-14,804.0
2013-10-15,811.0
2013-10-16,1008.0
2013-10-17,673.0
2013-10-18,1062.0
2013-10-19,1120.0
2013-10-20,935.0
2013-10-21,872.0
2013-10-22,757.0
2013-10-23,850.0
2013-10-24,694.0
2013-10-25,944.0
2013-10-26,1079.0
2013-10-27,822.0
2013-10-28,1065.0
2013-10-29,749.0
2013-10-30,1054.0
2013-10-31,938.0
2013-11-01,1216.0
2013-11-02,1836.0
2013-11-03,1229.0
2013-11-04,1335.0
2013-11-05,1200.0
2013-11-06,1047.0
2013-11-07,895.0
2013-11-08,1132.0
2013-11-09,1367.0
2013-11-10,1086.0
2013-11-11,1153.0
2013-11-12,983.0
2013-11-13,932.0
2013-11-14,876.0
2013-11-15,985.0
2013-11-16,1325.0
2013-11-17,1165.0
2013-11-18,1061.0
2013-11-19,853.0
2013-11-20,845.0
2013-11-21,768.0
2013-11-22,1023.0
2013-11-23,1150.0
2013-11-24,1338.0
2013-11-25,886.0
2013-11-26,1003.0
2013-11-27,966.0
2013-11-28,794.0
2013-11-29,1120.0
2013-11-30,1403.0
2013-12-01,1493.0
2013-12-02,1228.0
2013-12-03,1003.0
2013-12-04,1022.0
2013-12-05,1061.0
2013-12-06,1089.0
2013-12-07,1356.0
2013-12-08,1230.0
2013-12-09,1038.0
2013-12-10,775.0
2013-12-11,1103.0
2013-12-12,897.0
2013-12-13,1031.0
2013-12-14,1367.0
2013-12-15,1500.0
2013-12-16,1248.0
2013-12-17,909.0
2013-12-18,1010.0
2013-12-19,936.0
2013-12-20,1236.0
2013-12-21,1314.0
2013-12-22,1289.0
2013-12-23,1346.0
2013-12-24,1336.0
2013-12-25,1659.1999999999998
2013-12-26,1187.0
2013-12-27,1187.0
2013-12-28,1247.0
2013-12-29,880.0
2013-12-30,1530.0
2013-12-31,1310.0
2014-01-01,2441.8
2014-01-02,4121.0
2014-01-03,3498.0
2014-01-04,4125.0
2014-01-05,3740.0
2014-01-06,3022.0
2014-01-07,2905.0
2014-01-08,3112.0
2014-01-09,2409.0
2014-01-10,2408.0
2014-01-11,3469.0
2014-01-12,3135.0
2014-01-13,2679.0
2014-01-14,2559.0
2014-01-15,2914.0
2014-01-16,2700.0
2014-01-17,2635.0
2014-01-18,3420.0
2014-01-19,3234.0
2014-01-20,2762.0
2014-01-21,2241.0
2014-01-22,2809.0
2014-01-23,2392.0
2014-01-24,2390.0
2014-01-25,3469.0
2014-01-26,3000.0
2014-01-27,2457.0
2014-01-28,2272.0
2014-01-29,2383.0
2014-01-30,2266.0
2014-01-31,3025.0
2014-02-01,1489.0
2014-02-02,1086.0
2014-02-03,1221.0
2014-02-04,1024.0
2014-02-05,963.0
2014-02-06,1025.0
2014-02-07,1122.0
2014-02-08,1361.0
2014-02-09,1034.0
2014-02-10,1075.0
2014-02-11,937.0
2014-02-12,1077.0
2014-02-13,790.0
2014-02-14,1063.0
2014-02-15,1304.0
2014-02-16,1150.0
2014-02-17,1199.0
2014-02-18,864.0
2014-02-19,1223.0
2014-02-20,1029.0
2014-02-21,997.0
2014-02-22,1330.0
2014-02-23,1017.0
2014-02-24,1161.0
2014-02-25,1029.0
2014-02-26,1232.0
2014-02-27,1198.0
2014-02-28,1597.0
2014-03-01,4257.0
2014-03-02,1640.0
2014-03-03,1525.0
2014-03-04,2032.0
2014-03-05,4150.0
2014-03-06,3956.0
2014-03-07,2913.0
2014-03-08,4147.0
2014-03-09,3986.0
2014-03-10,3330.0
2014-03-11,2634.0
2014-03-12,2786.0
2014-03-13,2433.0
2014-03-14,2608.0
2014-03-15,3886.0
2014-03-16,3540.0
2014-03-17,3184.0
2014-03-18,2624.0
2014-03-19,3128.0
2014-03-20,2403.0
2014-03-21,2437.0
2014-03-22,3666.0
2014-03-23,3430.0
2014-03-24,2691.0
2014-03-25,2543.0
2014-03-26,2989.0
2014-03-27,2325.0
2014-03-28,2817.0
2014-03-29,3635.0
2014-03-30,3459.0
2014-03-31,3036.0
2014-04-01,1310.0
2014-04-02,1396.0
2014-04-03,1104.0
2014-04-04,1191.0
2014-04-05,1569.0
