date,sales
2013-01-02,105.501
2013-01-03,82.101
2013-01-04,86.754
2013-01-05,70.251
2013-01-06,90.483
2013-01-07,77.835
2013-01-08,66.53
2013-01-09,43.64
2013-01-10,44.485
2013-01-11,59.232
2013-01-12,49.298
2013-01-13,91.497
2013-01-14,48.849
2013-01-15,57.079002
2013-01-16,60.372
2013-01-17,85.72
2013-01-18,71.203
2013-01-19,83.075005
2013-01-20,89.214
2013-01-21,61.89
2013-01-22,58.333
2013-01-23,58.849
2013-01-24,56.88
2013-01-25,37.252
2013-01-26,80.976
2013-01-27,133.291
2013-01-28,67.163
2013-01-29,53.994
2013-01-30,54.266003
2013-01-31,91.487
2013-02-01,77.692
2013-02-02,101.921
2013-02-03,124.111
2013-02-04,70.742
2013-02-05,68.629
2013-02-06,61.69
2013-02-07,79.794
2013-02-08,70.417
2013-02-09,100.696
2013-02-10,99.992004
2013-02-11,73.017
2013-02-12,53.725998
2013-02-13,84.697
2013-02-14,68.799
2013-02-15,75.8
2013-02-16,101.695
2013-02-17,113.064
2013-02-18,68.475
2013-02-19,60.435
2013-02-20,52.626
2013-02-21,69.976
2013-02-22,60.069
2013-02-23,92.113
2013-02-24,122.105
2013-02-25,93.401
2013-02-26,56.227
2013-02-27,63.818
2013-02-28,70.046
2013-03-01,79.516
2013-03-02,81.164
2013-03-03,121.164
2013-03-04,69.366
2013-03-05,78.028
2013-03-06,64.726
2013-03-07,69.657
2013-03-08,79.68
2013-03-09,55.611
2013-03-10,126.636
2013-03-11,80.89
2013-03-12,63.968
2013-03-13,68.249
2013-03-14,65.067
2013-03-15,50.036
2013-03-16,91.57
2013-03-17,100.981
2013-03-18,60.994
2013-03-19,73.898
2013-03-20,86.346
2013-03-21,26.141
2013-03-22,49.511
2013-03-23,151.256
2013-03-24,68.394
2013-03-25,86.202
2013-03-26,42.135002
2013-03-27,75.86
2013-03-28,57.649002
2013-03-29,74.865
2013-03-30,91.520004
2013-03-31,77.129
2013-04-01,93.919
2013-04-02,71.87
2013-04-03,95.371
2013-04-04,67.033
2013-04-05,51.959
2013-04-06,43.508
2013-04-07,134.328
2013-04-08,75.574
2013-04-09,73.107
2013-04-10,51.413
2013-04-11,71.406
2013-04-12,69.594
2013-04-13,88.645
2013-04-14,125.382
2013-04-15,93.19
2013-04-16,52.298
2013-04-17,79.418
2013-04-18,85.39
2013-04-19,50.503002
2013-04-20,74.716
2013-04-21,119.68
2013-04-22,80.982
2013-04-23,93.589005
2013-04-24,64.356
2013-04-25,47.187
2013-04-26,88.788
2013-04-27,84.317
2013-04-28,78.575
2013-04-29,60.916
2013-04-30,71.854996
2013-05-01,71.484
2013-05-02,80.413
2013-05-03,72.358
2013-05-04,107.562
2013-05-05,109.351
2013-05-06,68.145996
2013-05-07,81.47
2013-05-08,74.425
2013-05-09,68.963
2013-05-10,88.554
2013-05-11,139.33301
2013-05-12,105.733
2013-05-13,41.753998
2013-05-14,62.384
2013-05-15,91.936
2013-05-16,67.091
2013-05-17,86.881004
2013-05-18,95.183
2013-05-19,140.431
2013-05-20,59.473
2013-05-21,67.179
2013-05-22,85.852
2013-05-23,62.434
2013-05-24,103.859
2013-05-25,82.549
2013-05-26,106.529
2013-05-27,58.368
2013-05-28,82.885
2013-05-29,68.999
2013-05-30,100.001
2013-05-31,65.349
2013-06-01,125.897
2013-06-02,149.354
2013-06-03,99.707
2013-06-04,69.017
2013-06-05,76.701004
2013-06-06,96.887
2013-06-07,36.281
2013-06-08,85.941
2013-06-09,155.116
2013-06-10,51.277
2013-06-11,47.405
2013-06-12,67.748
2013-06-13,69.297005
2013-06-14,61.248
2013-06-15,108.468
2013-06-16,92.937004
2013-06-17,88.24
2013-06-18,67.705
2013-06-19,68.972
2013-06-20,59.549
2013-06-21,92.682
2013-06-22,118.048
2013-06-23,102.772995
2013-06-24,58.334
2013-06-25,58.354
2013-06-26,82.144
2013-06-27,67.979
2013-06-28,89.264
2013-06-29,76.867004
2013-06-30,131.632
2013-07-01,73.316
2013-07-02,96.671
2013-07-03,80.132
2013-07-04,80.668
2013-07-05,40.861
2013-07-06,83.349
2013-07-07,134.795
2013-07-08,67.072
2013-07-09,100.428
2013-07-10,95.577
2013-07-11,74.959
2013-07-12,113.463
2013-07-13,57.288998
2013-07-14,113.672
2013-07-15,75.234
2013-07-16,34.338
2013-07-17,97.383
2013-07-18,88.562
2013-07-19,68.248
2013-07-20,80.664
2013-07-21,113.989
2013-07-22,98.279
2013-07-23,66.622
2013-07-24,42.232998
2013-07-25,93.636
2013-07-26,73.197
2013-07-27,98.391
2013-07-28,105.045
2013-07-29,64.86
2013-07-30,63.924
2013-07-31,84.973
2013-08-01,73.597
2013-08-02,101.427
2013-08-03,103.091
2013-08-04,144.186
2013-08-05,68.337
2013-08-06,75.998
2013-08-07,112.1
2013-08-08,81.819
2013-08-09,79.834
2013-08-10,108.714
2013-08-11,130.937
2013-08-12,76.538
2013-08-13,42.33
2013-08-14,79.910995
2013-08-15,53.194
2013-08-16,97.479
2013-08-17,117.96
2013-08-18,141.657
2013-08-19,66.652
2013-08-20,73.245
2013-08-21,89.582
2013-08-22,67.54
2013-08-23,72.815
2013-08-24,77.562
2013-08-25,129.299
2013-08-26,83.81
2013-08-27,77.855
2013-08-28,92.594
2013-08-29,96.618996
2013-08-30,57.896
2013-08-31,132.043
2013-09-01,161.319
2013-09-02,71.612
2013-09-03,64.682
2013-09-04,95.924
2013-09-05,87.444
2013-09-06,61.874
2013-09-07,120.861
2013-09-08,132.161
2013-09-09,66.601
2013-09-10,57.046
2013-09-11,74.641
2013-09-12,64.902
2013-09-13,99.26
2013-09-14,71.908
2013-09-15,118.006996
2013-09-16,64.121
2013-09-17,90.129
2013-09-18,89.622
2013-09-19,48.767
2013-09-20,94.196
2013-09-21,107.692
2013-09-22,86.757
2013-09-23,80.47
2013-09-24,52.813
2013-09-25,64.388
2013-09-26,82.127
2013-09-27,93.788
2013-09-28,98.138
2013-09-29,122.57
2013-09-30,85.215996
2013-10-01,84.641
2013-10-02,92.252
2013-10-03,87.381
2013-10-04,90.147995
2013-10-05,102.145
2013-10-06,118.383
2013-10-07,58.17
2013-10-08,71.051
2013-10-09,95.767
2013-10-10,80.186
2013-10-11,111.384
2013-10-12,90.698
2013-10-13,90.377
2013-10-14,100.316
2013-10-15,60.311
2013-10-16,83.17
2013-10-17,65.453
2013-10-18,111.09
2013-10-19,120.679
2013-10-20,133.508
2013-10-21,73.639
2013-10-22,56.932
2013-10-23,82.586
2013-10-24,65.698
2013-10-25,104.848
2013-10-26,87.079
2013-10-27,115.539
2013-10-28,73.033005
2013-10-29,48.324
2013-10-30,87.722
2013-10-31,63.895
2013-11-01,130.415
2013-11-02,147.368
2013-11-03,116.917
2013-11-04,78.588
2013-11-05,173.076
2013-11-06,153.175
2013-11-07,139.013
2013-11-08,113.093
2013-11-09,199.135
2013-11-10,254.612
2013-11-11,167.24
2013-11-12,100.789
2013-11-13,146.97299
2013-11-14,97.311
2013-11-15,92.953
2013-11-16,173.888
2013-11-17,213.589
2013-11-18,128.969
2013-11-19,104.939
2013-11-20,129.969
2013-11-21,164.304
2013-11-22,142.396
2013-11-23,171.707
2013-11-24,223.09401
2013-11-25,120.039
2013-11-26,134.537
2013-11-27,104.3
2013-11-28,114.287
2013-11-29,149.368
2013-11-30,146.694
2013-12-01,232.967
2013-12-02,142.761
2013-12-03,146.109
2013-12-04,56.779
2013-12-05,104.458
2013-12-06,92.045
2013-12-07,157.758
2013-12-08,216.544
2013-12-09,103.503
2013-12-10,122.746
2013-12-11,155.615
2013-12-12,134.195
2013-12-13,148.449
2013-12-14,196.603
2013-12-15,176.509
2013-12-16,196.927
2013-12-17,142.483
2013-12-18,164.854
2013-12-19,285.98502
2013-12-20,476.41202
2013-12-21,273.412
2013-12-22,391.973
2013-12-23,514.289
2013-12-24,299.739
2013-12-25,161.5773
2013-12-26,41.919
2013-12-27,153.59
2013-12-28,191.38
2013-12-29,182.693
2013-12-30,280.246
2013-12-31,138.002
2014-01-01,163.2573
2014-01-02,173.532
2014-01-03,147.6716
2014-01-04,177.422
2014-01-05,164.452
2014-01-06,62.463
2014-01-07,109.413
2014-01-08,160.091
2014-01-09,115.576
2014-01-10,175.9943
2014-01-11,165.251
2014-01-12,222.972
2014-01-13,154.508
2014-01-14,88.895996
2014-01-15,168.778
2014-01-16,148.648
2014-01-17,130.5297
2014-01-18,185.082
2014-01-19,244.057
2014-01-20,140.854
2014-01-21,100.409
2014-01-22,127.879
2014-01-23,114.869
2014-01-24,153.5547
2014-01-25,183.793
2014-01-26,209.91699
2014-01-27,163.136
2014-01-28,127.059
2014-01-29,114.979
2014-01-30,89.197
2014-01-31,188.178
2014-02-01,210.056
2014-02-02,245.348
2014-02-03,165.265
2014-02-04,125.804
2014-02-05,135.465
2014-02-06,96.765
2014-02-07,148.5117
2014-02-08,169.942
2014-02-09,220.069
2014-02-10,157.19499
2014-02-11,109.568
2014-02-12,178.21
2014-02-13,101.681
2014-02-14,137.4421
2014-02-15,174.722
2014-02-16,222.232
2014-02-17,130.812
2014-02-18,122.603
2014-02-19,131.85
2014-02-20,106.823
2014-02-21,133.0191
2014-02-22,221.835
2014-02-23,211.506
2014-02-24,158.551
2014-02-25,120.397
2014-02-26,154.996
2014-02-27,97.917
2014-02-28,163.8039
2014-03-01,244.918
2014-03-02,158.557
2014-03-03,177.186
2014-03-04,151.429
2014-03-05,211.98
2014-03-06,147.273
2014-03-07,111.1962
2014-03-08,127.258
2014-03-09,190.926
2014-03-10,135.869
2014-03-11,109.267
2014-03-12,149.529
2014-03-13,102.381004
2014-03-14,149.8674
2014-03-15,204.588
2014-03-16,241.34
2014-03-17,162.884
2014-03-18,127.848
2014-03-19,166.009
2014-03-20,145.212
2014-03-21,132.2279
2014-03-22,195.892
