date,sales
2015-08-21,38.0
2015-08-22,43.0
2015-08-23,46.0
2015-08-24,25.0
2015-08-25,19.0
2015-08-26,18.0
2015-08-27,20.0
2015-08-28,11.0
2015-08-29,37.0
2015-08-30,34.0
2015-08-31,25.0
2015-09-01,17.0
2015-09-02,30.0
2015-09-03,24.0
2015-09-04,19.0
2015-09-05,59.0
2015-09-06,67.0
2015-09-07,12.0
2015-09-08,27.0
2015-09-09,11.0
2015-09-10,15.0
2015-09-11,8.0
2015-09-12,44.0
2015-09-13,46.0
2015-09-14,32.0
2015-09-15,14.0
2015-09-16,12.0
2015-09-17,9.0
2015-09-18,6.0
2015-09-19,49.0
2015-09-20,36.0
2015-09-21,11.0
2015-09-22,11.0
2015-09-23,17.0
2015-09-24,2.0
2015-09-25,9.0
2015-09-26,35.0
2015-09-27,62.0
2015-09-28,30.0
2015-09-29,7.0
2015-09-30,14.0
2015-10-01,12.0
2015-10-02,11.0
2015-10-03,78.0
2015-10-04,38.0
2015-10-05,18.0
2015-10-06,20.0
2015-10-07,11.0
2015-10-08,16.0
2015-10-09,47.0
2015-10-10,38.0
2015-10-11,38.0
2015-10-12,5.0
2015-10-13,17.0
2015-10-14,9.0
2015-10-15,13.0
2015-10-16,12.0
2015-10-17,14.0
2015-10-18,49.0
2015-10-19,10.0
2015-10-20,7.0
2015-10-21,12.0
2015-10-22,12.0
2015-10-23,11.0
2015-10-24,41.0
2015-10-25,35.0
2015-10-26,23.0
2015-10-27,7.0
2015-10-28,8.0
2015-10-29,3.0
2015-10-30,8.0
2015-10-31,25.0
2015-11-01,25.0
2015-11-02,17.0
2015-11-03,38.0
2015-11-04,19.0
2015-11-05,11.0
2015-11-06,21.0
2015-11-07,12.0
2015-11-08,51.0
2015-11-09,9.0
2015-11-10,22.0
2015-11-11,15.0
2015-11-12,6.0
2015-11-13,13.0
2015-11-14,18.0
2015-11-15,35.0
2015-11-16,14.0
2015-11-17,6.0
2015-11-18,8.0
2015-11-19,6.0
2015-11-20,14.0
2015-11-21,20.0
2015-11-22,38.0
2015-11-23,14.0
2015-11-24,9.0
2015-11-25,10.0
2015-11-26,8.0
2015-11-27,5.0
2015-11-28,28.0
2015-11-29,25.0
2015-11-30,8.0
2015-12-01,4.0
2015-12-02,21.0
2015-12-03,11.0
2015-12-04,10.0
2015-12-05,22.0
2015-12-06,42.0
2015-12-07,7.0
2015-12-08,7.0
2015-12-09,5.0
2015-12-10,10.0
2015-12-11,10.0
2015-12-12,36.0
2015-12-13,21.0
2015-12-14,13.0
2015-12-15,15.0
2015-12-16,13.0
2015-12-17,9.0
2015-12-18,9.0
2015-12-19,26.0
2015-12-20,35.0
2015-12-21,12.0
2015-12-22,19.0
2015-12-23,12.0
2015-12-24,14.0
2015-12-25,7.7
2015-12-26,30.0
2015-12-27,10.0
2015-12-28,18.0
2015-12-29,5.0
2015-12-30,14.0
2015-12-31,23.0
2016-01-01,5.699999999999999
2016-01-02,54.0
2016-01-03,63.0
2016-01-04,16.0
2016-01-05,20.0
2016-01-06,14.0
2016-01-07,9.0
2016-01-08,4.0
2016-01-09,10.0
2016-01-10,21.0
2016-01-11,5.0
2016-01-12,7.0
2016-01-13,10.0
2016-01-14,24.0
2016-01-15,5.0
2016-01-16,10.0
2016-01-17,25.0
2016-01-18,10.0
2016-01-19,6.0
2016-01-20,9.0
2016-01-21,2.0
2016-01-22,15.0
2016-01-23,52.0
2016-01-24,41.0
2016-01-25,8.0
2016-01-26,20.0
2016-01-27,6.0
2016-01-28,11.0
2016-01-29,9.0
2016-01-30,22.0
2016-01-31,43.0
2016-02-01,26.0
2016-02-02,14.0
2016-02-03,2.0
2016-02-04,5.0
2016-02-05,6.0
2016-02-06,32.0
2016-02-07,24.0
2016-02-08,12.0
2016-02-09,22.0
2016-02-10,8.0
2016-02-11,9.0
2016-02-12,12.0
2016-02-13,30.0
2016-02-14,33.0
2016-02-15,10.0
2016-02-16,16.0
2016-02-17,21.0
2016-02-18,13.0
2016-02-19,6.0
2016-02-20,22.0
2016-02-21,38.0
2016-02-22,17.0
2016-02-23,10.0
2016-02-24,4.0
2016-02-25,9.0
2016-02-26,10.0
2016-02-27,45.0
2016-02-28,42.0
2016-02-29,7.0
2016-03-01,14.0
2016-03-02,25.0
2016-03-03,20.0
2016-03-04,6.0
2016-03-05,22.0
2016-03-06,34.0
2016-03-07,7.0
2016-03-08,16.0
2016-03-09,9.0
2016-03-10,12.0
2016-03-11,7.0
2016-03-12,33.0
2016-03-13,47.0
2016-03-14,6.0
2016-03-15,15.0
2016-03-16,12.0
2016-03-17,10.0
2016-03-18,18.0
2016-03-19,29.0
2016-03-20,36.0
2016-03-21,14.0
2016-03-22,9.0
2016-03-23,3.0
2016-03-24,8.0
2016-03-25,8.0
2016-03-26,32.0
2016-03-27,23.0
2016-03-28,3.0
2016-03-29,9.0
2016-03-30,19.0
2016-03-31,7.0
2016-04-01,9.0
2016-04-02,37.0
2016-04-03,24.0
2016-04-04,28.0
