date,sales
2015-08-21,12.0
2015-08-22,25.0
2015-08-23,24.0
2015-08-24,9.0
2015-08-25,9.0
2015-08-26,17.0
2015-08-27,4.0
2015-08-28,4.0
2015-08-29,22.0
2015-08-30,10.0
2015-08-31,11.0
2015-09-01,9.0
2015-09-02,8.0
2015-09-03,6.0
2015-09-04,10.0
2015-09-05,5.0
2015-09-06,17.0
2015-09-07,4.0
2015-09-08,4.0
2015-09-09,4.0
2015-09-10,1.0
2015-09-11,5.0
2015-09-12,15.0
2015-09-13,17.0
2015-09-14,7.0
2015-09-15,6.0
2015-09-16,7.0
2015-09-17,7.0
2015-09-18,7.0
2015-09-19,12.0
2015-09-20,11.0
2015-09-21,3.0
2015-09-22,6.0
2015-09-23,1.0
2015-09-24,2.0
2015-09-25,7.0
2015-09-26,9.0
2015-09-27,15.0
2015-09-28,4.0
2015-09-29,2.0
2015-09-30,5.0
2015-10-01,4.0
2015-10-02,6.0
2015-10-03,18.0
2015-10-04,17.0
2015-10-05,3.0
2015-10-06,3.0
2015-10-07,6.0
2015-10-08,4.0
2015-10-09,16.0
2015-10-10,10.0
2015-10-11,8.0
2015-10-12,9.0
2015-10-13,3.0
2015-10-14,15.0
2015-10-15,5.0
2015-10-16,4.0
2015-10-17,19.0
2015-10-18,12.0
2015-10-19,4.0
2015-10-20,1.0
2015-10-21,5.0
2015-10-22,13.0
2015-10-23,4.0
2015-10-24,9.0
2015-10-25,5.0
2015-10-26,7.0
2015-10-27,4.0
2015-10-28,5.0
2015-10-29,2.0
2015-10-30,3.0
2015-10-31,3.0
2015-11-01,7.0
2015-11-02,4.0
2015-11-03,14.0
2015-11-04,7.0
2015-11-05,6.0
2015-11-06,4.0
2015-11-07,11.0
2015-11-08,10.0
2015-11-09,4.0
2015-11-10,2.0
2015-11-11,11.0
2015-11-12,0.0
2015-11-13,4.0
2015-11-14,9.0
2015-11-15,8.0
2015-11-16,4.0
2015-11-17,1.0
2015-11-18,6.0
2015-11-19,3.0
2015-11-20,2.0
2015-11-21,8.0
2015-11-22,4.0
2015-11-23,8.0
2015-11-24,8.0
2015-11-25,3.0
2015-11-26,3.0
2015-11-27,1.0
2015-11-28,4.0
2015-11-29,11.0
2015-11-30,3.0
2015-12-01,4.0
2015-12-02,5.0
2015-12-03,4.0
2015-12-04,6.0
2015-12-05,8.0
2015-12-06,10.0
2015-12-07,9.0
2015-12-08,7.0
2015-12-09,3.0
2015-12-10,4.0
2015-12-11,4.0
2015-12-12,4.0
2015-12-13,9.0
2015-12-14,9.0
2015-12-15,5.0
2015-12-16,6.0
2015-12-17,0.0
2015-12-18,5.0
2015-12-19,4.0
2015-12-20,12.0
2015-12-21,8.0
2015-12-22,8.0
2015-12-23,9.0
2015-12-24,6.0
2015-12-25,3.3
2015-12-26,17.0
2015-12-27,10.0
2015-12-28,6.0
2015-12-29,6.0
2015-12-30,4.0
2015-12-31,6.0
2016-01-01,1.9
2016-01-02,7.0
2016-01-03,6.0
2016-01-04,3.0
2016-01-05,2.0
2016-01-06,3.0
2016-01-07,1.0
2016-01-08,0.0
2016-01-09,11.0
2016-01-10,9.0
2016-01-11,9.0
2016-01-12,2.0
2016-01-13,1.0
2016-01-14,0.0
2016-01-15,2.0
2016-01-16,15.0
2016-01-17,11.0
2016-01-18,6.0
2016-01-19,6.0
2016-01-20,3.0
2016-01-21,9.0
2016-01-22,11.0
2016-01-23,8.0
2016-01-24,15.0
2016-01-25,7.0
2016-01-26,5.0
2016-01-27,3.0
2016-01-28,1.0
2016-01-29,3.0
2016-01-30,11.0
2016-01-31,11.0
2016-02-01,2.0
2016-02-02,7.0
2016-02-03,6.0
2016-02-04,6.0
2016-02-05,8.0
2016-02-06,8.0
2016-02-07,7.0
2016-02-08,4.0
2016-02-09,7.0
2016-02-10,10.0
2016-02-11,1.0
2016-02-12,1.0
2016-02-13,8.0
2016-02-14,5.0
2016-02-15,5.0
2016-02-16,3.0
2016-02-17,6.0
2016-02-18,4.0
2016-02-19,4.0
2016-02-20,15.0
2016-02-21,3.0
2016-02-22,5.0
2016-02-23,4.0
2016-02-24,5.0
2016-02-25,5.0
2016-02-26,1.0
2016-02-27,10.0
2016-02-28,15.0
2016-02-29,3.0
2016-03-01,11.0
2016-03-02,13.0
2016-03-03,4.0
2016-03-04,12.0
2016-03-05,11.0
2016-03-06,13.0
2016-03-07,2.0
2016-03-08,6.0
2016-03-09,3.0
2016-03-10,4.0
2016-03-11,4.0
2016-03-12,10.0
2016-03-13,14.0
2016-03-14,2.0
2016-03-15,8.0
2016-03-16,8.0
2016-03-17,3.0
2016-03-18,3.0
2016-03-19,16.0
2016-03-20,11.0
2016-03-21,1.0
2016-03-22,7.0
2016-03-23,2.0
2016-03-24,4.0
2016-03-25,6.0
2016-03-26,8.0
2016-03-27,10.0
2016-03-28,3.0
2016-03-29,3.0
2016-03-30,6.0
2016-03-31,3.0
2016-04-01,4.0
2016-04-02,10.0
2016-04-03,14.0
2016-04-04,5.0
2016-04-05,6.0
2016-04-06,1.0
2016-04-07,3.0
2016-04-08,1.0
2016-04-09,6.0
2016-04-10,10.0
2016-04-11,7.0
2016-04-12,9.0
2016-04-13,4.0
2016-04-14,3.0
2016-04-15,6.0
2016-04-16,8.0
2016-04-17,15.0
2016-04-18,15.0
2016-04-19,4.0
2016-04-20,10.0
2016-04-21,13.0
2016-04-22,9.0
2016-04-23,9.0
2016-04-24,6.0
2016-04-25,6.0
2016-04-26,2.0
2016-04-27,5.0
2016-04-28,3.0
2016-04-29,4.0
2016-04-30,11.0
2016-05-01,17.0
2016-05-02,5.0
2016-05-03,7.0
2016-05-04,4.0
2016-05-05,2.0
2016-05-06,6.0
2016-05-07,6.0
2016-05-08,11.0
2016-05-09,4.0
2016-05-10,8.0
2016-05-11,4.0
2016-05-12,7.0
2016-05-13,17.0
2016-05-14,10.0
2016-05-15,13.0
2016-05-16,6.0
2016-05-17,2.0
2016-05-18,8.0
2016-05-19,0.0
2016-05-20,3.0
2016-05-21,3.0
2016-05-22,8.0
2016-05-23,3.0
2016-05-24,3.0
2016-05-25,3.0
2016-05-26,3.0
2016-05-27,6.0
2016-05-28,4.0
2016-05-29,3.0
2016-05-30,2.0
2016-05-31,9.0
2016-06-01,2.0
2016-06-02,7.0
2016-06-03,5.0
2016-06-04,8.0
2016-06-05,5.0
2016-06-06,5.0
2016-06-07,4.0
2016-06-08,2.0
2016-06-09,6.0
2016-06-10,2.0
2016-06-11,7.0
2016-06-12,10.0
2016-06-13,9.0
2016-06-14,3.0
2016-06-15,3.0
2016-06-16,4.0
2016-06-17,6.0
2016-06-18,5.0
2016-06-19,6.0
2016-06-20,5.0
2016-06-21,5.0
2016-06-22,5.0
2016-06-23,3.0
2016-06-24,12.0
2016-06-25,10.0
2016-06-26,7.0
2016-06-27,7.0
2016-06-28,4.0
2016-06-29,6.0
2016-06-30,7.0
2016-07-01,12.0
2016-07-02,12.0
2016-07-03,14.0
2016-07-04,8.0
2016-07-05,4.0
2016-07-06,3.0
2016-07-07,5.0
2016-07-08,5.0
2016-07-09,13.0
2016-07-10,6.0
2016-07-11,7.0
2016-07-12,6.0
2016-07-13,4.0
2016-07-14,5.0
2016-07-15,0.0
2016-07-16,6.0
2016-07-17,10.0
2016-07-18,9.0
2016-07-19,5.0
2016-07-20,5.0
2016-07-21,3.0
2016-07-22,4.0
2016-07-23,11.0
2016-07-24,9.0
2016-07-25,7.0
2016-07-26,5.0
2016-07-27,12.0
2016-07-28,6.0
2016-07-29,7.0
2016-07-30,14.0
2016-07-31,9.0
2016-08-01,10.0
2016-08-02,3.0
2016-08-03,7.0
2016-08-04,4.0
