date,sales
2013-01-02,250.0
2013-01-03,207.0
2013-01-04,284.0
2013-01-05,478.0
2013-01-06,0.0
2013-01-07,157.0
2013-01-08,159.0
2013-01-09,199.0
2013-01-10,186.0
2013-01-11,404.0
2013-01-12,448.0
2013-01-13,0.0
2013-01-14,150.0
2013-01-15,170.0
2013-01-16,275.0
2013-01-17,219.0
2013-01-18,405.0
2013-01-19,574.0
2013-01-20,0.0
2013-01-21,150.0
2013-01-22,190.0
2013-01-23,209.0
2013-01-24,157.0
2013-01-25,409.0
2013-01-26,532.0
2013-01-27,0.0
2013-01-28,141.0
2013-01-29,179.0
2013-01-30,236.0
2013-01-31,238.0
2013-02-01,383.0
2013-02-02,555.0
2013-02-03,0.0
2013-02-04,164.0
2013-02-05,196.0
2013-02-06,254.0
2013-02-07,297.0
2013-02-08,472.0
2013-02-09,461.0
2013-02-10,234.0
2013-02-11,297.0
2013-02-12,232.0
2013-02-13,215.0
2013-02-14,366.0
2013-02-15,71.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,169.0
2013-02-19,177.0
2013-02-20,250.0
2013-02-21,210.0
2013-02-22,297.0
2013-02-23,534.0
2013-02-24,0.0
2013-02-25,161.0
2013-02-26,197.0
2013-02-27,171.0
2013-02-28,193.0
2013-03-01,458.0
2013-03-02,552.0
2013-03-03,0.0
2013-03-04,152.0
2013-03-05,200.0
2013-03-06,266.0
2013-03-07,181.0
2013-03-08,376.0
2013-03-09,612.0
2013-03-10,0.0
2013-03-11,191.0
2013-03-12,166.0
2013-03-13,212.0
2013-03-14,184.0
2013-03-15,346.0
2013-03-16,511.0
2013-03-17,0.0
2013-03-18,139.0
2013-03-19,152.0
2013-03-20,200.0
2013-03-21,265.0
2013-03-22,308.0
2013-03-23,624.0
2013-03-24,0.0
2013-03-25,190.0
2013-03-26,254.0
2013-03-27,261.0
2013-03-28,462.0
2013-03-29,366.0
2013-03-30,408.0
2013-03-31,0.0
2013-04-01,183.0
2013-04-02,159.0
2013-04-03,224.0
2013-04-04,184.0
2013-04-05,372.0
2013-04-06,574.0
2013-04-07,0.0
2013-04-08,172.0
2013-04-09,127.0
2013-04-10,208.0
2013-04-11,160.0
2013-04-12,433.0
2013-04-13,588.0
2013-04-14,0.0
2013-04-15,181.0
2013-04-16,182.0
2013-04-17,229.0
2013-04-18,191.0
2013-04-19,456.0
2013-04-20,595.0
2013-04-21,0.0
2013-04-22,144.0
2013-04-23,237.0
2013-04-24,210.0
2013-04-25,253.0
2013-04-26,419.0
2013-04-27,650.0
2013-04-28,0.0
2013-04-29,164.0
2013-04-30,335.0
2013-05-01,548.0
2013-05-02,179.0
2013-05-03,323.0
2013-05-04,600.0
2013-05-05,0.0
2013-05-06,160.0
2013-05-07,220.0
2013-05-08,331.0
2013-05-09,262.0
2013-05-10,457.0
2013-05-11,867.0
2013-05-12,0.0
2013-05-13,160.0
2013-05-14,121.0
2013-05-15,197.0
2013-05-16,195.0
2013-05-17,424.0
2013-05-18,593.0
2013-05-19,0.0
2013-05-20,144.0
2013-05-21,166.0
2013-05-22,330.0
2013-05-23,395.0
2013-05-24,521.0
2013-05-25,457.0
2013-05-26,0.0
2013-05-27,164.0
2013-05-28,187.0
2013-05-29,201.0
2013-05-30,247.0
2013-05-31,362.0
2013-06-01,544.0
2013-06-02,0.0
2013-06-03,213.0
2013-06-04,216.0
2013-06-05,316.0
2013-06-06,235.0
2013-06-07,770.0
2013-06-08,528.0
2013-06-09,0.0
2013-06-10,205.0
2013-06-11,292.0
2013-06-12,268.0
2013-06-13,294.0
2013-06-14,532.0
2013-06-15,1016.0
2013-06-16,0.0
2013-06-17,159.0
2013-06-18,163.0
2013-06-19,206.0
2013-06-20,260.0
2013-06-21,338.0
2013-06-22,505.0
2013-06-23,0.0
2013-06-24,169.0
2013-06-25,192.0
2013-06-26,206.0
2013-06-27,223.0
2013-06-28,444.0
2013-06-29,604.0
2013-06-30,0.0
2013-07-01,201.0
2013-07-02,170.0
2013-07-03,237.0
2013-07-04,245.0
2013-07-05,399.0
2013-07-06,565.0
2013-07-07,0.0
2013-07-08,162.0
2013-07-09,229.0
2013-07-10,242.0
2013-07-11,254.0
2013-07-12,478.0
2013-07-13,595.0
2013-07-14,0.0
2013-07-15,165.0
2013-07-16,200.0
2013-07-17,291.0
2013-07-18,278.0
2013-07-19,336.0
2013-07-20,559.0
2013-07-21,0.0
2013-07-22,174.0
2013-07-23,272.0
2013-07-24,268.0
2013-07-25,232.0
2013-07-26,498.0
2013-07-27,677.0
2013-07-28,0.0
2013-07-29,175.0
2013-07-30,212.0
2013-07-31,231.0
2013-08-01,292.0
2013-08-02,570.0
2013-08-03,550.0
2013-08-04,0.0
2013-08-05,220.0
2013-08-06,190.0
2013-08-07,205.0
2013-08-08,216.0
2013-08-09,428.0
2013-08-10,429.0
2013-08-11,0.0
2013-08-12,219.0
2013-08-13,157.0
2013-08-14,291.0
2013-08-15,229.0
2013-08-16,485.0
2013-08-17,607.0
2013-08-18,0.0
2013-08-19,188.0
2013-08-20,216.0
2013-08-21,240.0
2013-08-22,257.0
2013-08-23,396.0
2013-08-24,501.0
2013-08-25,0.0
2013-08-26,172.0
2013-08-27,155.0
2013-08-28,188.0
2013-08-29,226.0
2013-08-30,410.0
2013-08-31,520.0
2013-09-01,0.0
2013-09-02,197.0
2013-09-03,172.0
2013-09-04,239.0
2013-09-05,328.0
2013-09-06,574.0
2013-09-07,593.0
2013-09-08,0.0
2013-09-09,140.0
2013-09-10,232.0
2013-09-11,187.0
2013-09-12,209.0
2013-09-13,441.0
2013-09-14,609.0
2013-09-15,0.0
2013-09-16,186.0
2013-09-17,163.0
2013-09-18,229.0
2013-09-19,293.0
2013-09-20,391.0
2013-09-21,718.0
2013-09-22,0.0
2013-09-23,191.0
2013-09-24,140.0
2013-09-25,242.0
2013-09-26,217.0
2013-09-27,359.0
2013-09-28,616.0
2013-09-29,0.0
2013-09-30,126.0
2013-10-01,203.0
2013-10-02,257.0
2013-10-03,201.0
2013-10-04,401.0
2013-10-05,540.0
2013-10-06,0.0
2013-10-07,155.0
2013-10-08,185.0
2013-10-09,258.0
2013-10-10,369.0
2013-10-11,391.0
2013-10-12,451.0
2013-10-13,0.0
2013-10-14,161.0
2013-10-15,227.0
2013-10-16,192.0
2013-10-17,212.0
2013-10-18,293.0
2013-10-19,527.0
2013-10-20,0.0
2013-10-21,139.0
2013-10-22,167.0
2013-10-23,238.0
2013-10-24,447.0
2013-10-25,390.0
2013-10-26,605.0
2013-10-27,0.0
2013-10-28,163.0
2013-10-29,135.0
2013-10-30,193.0
2013-10-31,174.0
2013-11-01,464.0
2013-11-02,555.0
2013-11-03,0.0
2013-11-04,134.0
2013-11-05,148.0
2013-11-06,250.0
2013-11-07,1312.0
2013-11-08,369.0
2013-11-09,626.0
2013-11-10,0.0
2013-11-11,181.0
2013-11-12,221.0
2013-11-13,207.0
2013-11-14,255.0
2013-11-15,424.0
2013-11-16,638.0
2013-11-17,0.0
2013-11-18,190.0
2013-11-19,218.0
2013-11-20,217.0
2013-11-21,263.0
2013-11-22,467.0
2013-11-23,565.0
2013-11-24,0.0
