date,sales
2013-01-02,18.0
2013-01-03,13.0
2013-01-04,6.0
2013-01-05,13.0
2013-01-06,35.0
2013-01-07,7.0
2013-01-08,4.0
2013-01-09,8.0
2013-01-10,4.0
2013-01-11,11.0
2013-01-12,12.0
2013-01-13,23.0
2013-01-14,7.0
2013-01-15,10.0
2013-01-16,13.0
2013-01-17,9.0
2013-01-18,4.0
2013-01-19,8.0
2013-01-20,18.0
2013-01-21,8.0
2013-01-22,9.0
2013-01-23,8.0
2013-01-24,8.0
2013-01-25,5.0
2013-01-26,11.0
2013-01-27,7.0
2013-01-28,9.0
2013-01-29,8.0
2013-01-30,2.0
2013-01-31,3.0
2013-02-01,15.0
2013-02-02,17.0
2013-02-03,22.0
2013-02-04,9.0
2013-02-05,14.0
2013-02-06,9.0
2013-02-07,7.0
2013-02-08,7.0
2013-02-09,12.0
2013-02-10,7.0
2013-02-11,8.0
2013-02-12,10.0
2013-02-13,5.0
2013-02-14,4.0
2013-02-15,1.0
2013-02-16,9.0
2013-02-17,15.0
2013-02-18,5.0
2013-02-19,8.0
2013-02-20,9.0
2013-02-21,3.0
2013-02-22,8.0
2013-02-23,7.0
2013-02-24,20.0
2013-02-25,7.0
2013-02-26,6.0
2013-02-27,4.0
2013-02-28,4.0
2013-03-01,9.0
2013-03-02,15.0
2013-03-03,21.0
2013-03-04,10.0
2013-03-05,4.0
2013-03-06,5.0
2013-03-07,6.0
2013-03-08,7.0
2013-03-09,15.0
2013-03-10,13.0
2013-03-11,6.0
2013-03-12,6.0
2013-03-13,5.0
2013-03-14,5.0
2013-03-15,0.0
2013-03-16,5.0
2013-03-17,14.0
2013-03-18,4.0
2013-03-19,6.0
2013-03-20,11.0
2013-03-21,2.0
2013-03-22,2.0
2013-03-23,9.0
2013-03-24,20.0
2013-03-25,12.0
2013-03-26,4.0
2013-03-27,4.0
2013-03-28,7.0
2013-03-29,13.0
2013-03-30,8.0
2013-03-31,13.0
2013-04-01,7.0
2013-04-02,4.0
2013-04-03,5.0
2013-04-04,5.0
2013-04-05,6.0
2013-04-06,11.0
2013-04-07,10.0
2013-04-08,4.0
2013-04-09,5.0
2013-04-10,5.0
2013-04-11,8.0
2013-04-12,1.0
2013-04-13,14.0
2013-04-14,11.0
2013-04-15,6.0
2013-04-16,7.0
2013-04-17,6.0
2013-04-18,5.0
2013-04-19,1.0
2013-04-20,18.0
2013-04-21,12.0
2013-04-22,4.0
2013-04-23,13.0
2013-04-24,6.0
2013-04-25,8.0
2013-04-26,6.0
2013-04-27,12.0
2013-04-28,13.0
2013-04-29,3.0
2013-04-30,4.0
2013-05-01,14.0
2013-05-02,3.0
2013-05-03,14.0
2013-05-04,12.0
2013-05-05,12.0
2013-05-06,5.0
2013-05-07,6.0
2013-05-08,7.0
2013-05-09,7.0
2013-05-10,1.0
2013-05-11,9.0
2013-05-12,7.0
2013-05-13,10.0
2013-05-14,1.0
2013-05-15,9.0
2013-05-16,4.0
2013-05-17,9.0
2013-05-18,6.0
2013-05-19,16.0
2013-05-20,6.0
2013-05-21,1.0
2013-05-22,3.0
2013-05-23,6.0
2013-05-24,10.0
2013-05-25,10.0
2013-05-26,16.0
2013-05-27,6.0
2013-05-28,2.0
2013-05-29,4.0
2013-05-30,5.0
2013-05-31,5.0
2013-06-01,13.0
2013-06-02,13.0
2013-06-03,13.0
2013-06-04,12.0
2013-06-05,4.0
2013-06-06,4.0
2013-06-07,11.0
2013-06-08,7.0
2013-06-09,16.0
2013-06-10,5.0
2013-06-11,3.0
2013-06-12,6.0
2013-06-13,5.0
2013-06-14,5.0
2013-06-15,12.0
2013-06-16,7.0
2013-06-17,5.0
2013-06-18,5.0
2013-06-19,5.0
2013-06-20,5.0
2013-06-21,3.0
2013-06-22,8.0
2013-06-23,20.0
2013-06-24,6.0
2013-06-25,1.0
2013-06-26,6.0
2013-06-27,1.0
2013-06-28,6.0
2013-06-29,16.0
2013-06-30,20.0
2013-07-01,9.0
2013-07-02,12.0
2013-07-03,8.0
2013-07-04,6.0
2013-07-05,6.0
2013-07-06,17.0
2013-07-07,21.0
2013-07-08,6.0
2013-07-09,6.0
2013-07-10,7.0
2013-07-11,8.0
2013-07-12,5.0
2013-07-13,16.0
2013-07-14,17.0
2013-07-15,6.0
2013-07-16,6.0
2013-07-17,9.0
2013-07-18,5.0
2013-07-19,10.0
2013-07-20,12.0
2013-07-21,16.0
2013-07-22,8.0
2013-07-23,8.0
2013-07-24,6.0
2013-07-25,6.0
2013-07-26,5.0
2013-07-27,16.0
2013-07-28,11.0
2013-07-29,5.0
2013-07-30,9.0
2013-07-31,4.0
2013-08-01,8.0
2013-08-02,7.0
2013-08-03,8.0
2013-08-04,19.0
2013-08-05,11.0
2013-08-06,13.0
2013-08-07,8.0
2013-08-08,7.0
2013-08-09,9.0
2013-08-10,14.0
2013-08-11,16.0
2013-08-12,10.0
2013-08-13,12.0
2013-08-14,6.0
2013-08-15,8.0
2013-08-16,12.0
2013-08-17,8.0
2013-08-18,28.0
2013-08-19,7.0
2013-08-20,14.0
2013-08-21,10.0
2013-08-22,8.0
2013-08-23,7.0
2013-08-24,10.0
2013-08-25,9.0
2013-08-26,11.0
2013-08-27,3.0
2013-08-28,8.0
2013-08-29,3.0
2013-08-30,8.0
2013-08-31,14.0
2013-09-01,18.0
2013-09-02,10.0
2013-09-03,6.0
2013-09-04,5.0
2013-09-05,2.0
2013-09-06,1.0
2013-09-07,6.0
2013-09-08,11.0
2013-09-09,3.0
2013-09-10,4.0
2013-09-11,0.0
2013-09-12,6.0
2013-09-13,3.0
2013-09-14,8.0
2013-09-15,6.0
2013-09-16,9.0
2013-09-17,7.0
2013-09-18,4.0
2013-09-19,5.0
2013-09-20,6.0
2013-09-21,11.0
2013-09-22,16.0
2013-09-23,5.0
2013-09-24,2.0
2013-09-25,4.0
2013-09-26,1.0
2013-09-27,3.0
2013-09-28,11.0
2013-09-29,16.0
2013-09-30,3.0
2013-10-01,7.0
2013-10-02,7.0
2013-10-03,8.0
2013-10-04,13.0
2013-10-05,16.0
2013-10-06,13.0
2013-10-07,3.0
2013-10-08,6.0
2013-10-09,6.0
2013-10-10,4.0
2013-10-11,8.0
2013-10-12,8.0
2013-10-13,8.0
2013-10-14,2.0
2013-10-15,1.0
2013-10-16,10.0
2013-10-17,5.0
2013-10-18,3.0
2013-10-19,7.0
2013-10-20,16.0
2013-10-21,4.0
2013-10-22,2.0
2013-10-23,2.0
2013-10-24,6.0
2013-10-25,1.0
2013-10-26,11.0
2013-10-27,13.0
2013-10-28,5.0
2013-10-29,7.0
2013-10-30,4.0
2013-10-31,7.0
2013-11-01,6.0
2013-11-02,14.0
2013-11-03,10.0
2013-11-04,4.0
2013-11-05,6.0
2013-11-06,8.0
2013-11-07,3.0
2013-11-08,5.0
2013-11-09,8.0
2013-11-10,11.0
2013-11-11,7.0
2013-11-12,7.0
2013-11-13,5.0
2013-11-14,1.0
2013-11-15,7.0
2013-11-16,4.0
2013-11-17,8.0
2013-11-18,7.0
2013-11-19,4.0
2013-11-20,3.0
2013-11-21,2.0
2013-11-22,5.0
2013-11-23,10.0
2013-11-24,3.0
2013-11-25,1.0
2013-11-26,5.0
2013-11-27,5.0
2013-11-28,4.0
2013-11-29,5.0
2013-11-30,10.0
2013-12-01,14.0
2013-12-02,5.0
2013-12-03,3.0
2013-12-04,3.0
2013-12-05,8.0
2013-12-06,10.0
2013-12-07,15.0
2013-12-08,12.0
2013-12-09,6.0
2013-12-10,5.0
2013-12-11,9.0
2013-12-12,7.0
2013-12-13,3.0
2013-12-14,9.0
2013-12-15,17.0
2013-12-16,8.0
2013-12-17,5.0
2013-12-18,11.0
2013-12-19,2.0
2013-12-20,7.0
2013-12-21,5.0
2013-12-22,10.0
2013-12-23,13.0
2013-12-24,12.0
2013-12-25,8.5
2013-12-26,14.0
2013-12-27,10.0
2013-12-28,6.0
2013-12-29,12.0
2013-12-30,8.0
2013-12-31,7.0
2014-01-01,6.1
2014-01-02,8.0
2014-01-03,4.0
2014-01-04,14.0
2014-01-05,13.0
2014-01-06,4.0
2014-01-07,6.0
2014-01-08,4.0
2014-01-09,3.0
2014-01-10,2.0
2014-01-11,5.0
2014-01-12,10.0
2014-01-13,3.0
2014-01-14,4.0
2014-01-15,4.0
2014-01-16,1.0
2014-01-17,10.0
2014-01-18,13.0
2014-01-19,14.0
2014-01-20,7.0
2014-01-21,6.0
2014-01-22,10.0
2014-01-23,8.0
2014-01-24,4.0
2014-01-25,6.0
2014-01-26,17.0
2014-01-27,4.0
2014-01-28,1.0
2014-01-29,5.0
2014-01-30,4.0
2014-01-31,11.0
2014-02-01,18.0
2014-02-02,15.0
2014-02-03,10.0
2014-02-04,3.0
2014-02-05,7.0
2014-02-06,5.0
2014-02-07,3.0
2014-02-08,14.0
2014-02-09,10.0
2014-02-10,8.0
2014-02-11,2.0
2014-02-12,2.0
2014-02-13,4.0
2014-02-14,2.0
2014-02-15,18.0
2014-02-16,17.0
2014-02-17,6.0
2014-02-18,4.0
2014-02-19,5.0
2014-02-20,1.0
2014-02-21,4.0
2014-02-22,10.0
2014-02-23,9.0
2014-02-24,4.0
2014-02-25,5.0
2014-02-26,8.0
2014-02-27,4.0
2014-02-28,8.0
2014-03-01,19.0
2014-03-02,12.0
2014-03-03,12.0
2014-03-04,15.0
2014-03-05,10.0
2014-03-06,8.0
2014-03-07,6.0
2014-03-08,15.0
2014-03-09,15.0
2014-03-10,10.0
2014-03-11,5.0
2014-03-12,6.0
2014-03-13,8.0
2014-03-14,3.0
2014-03-15,8.0
2014-03-16,17.0
2014-03-17,12.0
2014-03-18,7.0
2014-03-19,7.0
2014-03-20,4.0
2014-03-21,7.0
2014-03-22,14.0
2014-03-23,18.0
2014-03-24,3.0
2014-03-25,3.0
2014-03-26,2.0
2014-03-27,3.0
2014-03-28,10.0
2014-03-29,11.0
2014-03-30,18.0
2014-03-31,11.0
2014-04-01,12.0
2014-04-02,9.0
2014-04-03,8.0
2014-04-04,5.0
2014-04-05,17.0
2014-04-06,19.0
2014-04-07,8.0
2014-04-08,9.0
2014-04-09,8.0
2014-04-10,4.0
2014-04-11,4.0
2014-04-12,7.0
2014-04-13,8.0
2014-04-14,2.0
2014-04-15,8.0
2014-04-16,9.0
2014-04-17,7.0
2014-04-18,7.0
2014-04-19,19.0
2014-04-20,17.0
2014-04-21,7.0
2014-04-22,6.0
2014-04-23,5.0
2014-04-24,5.0
2014-04-25,4.0
2014-04-26,11.0
2014-04-27,15.0
2014-04-28,6.0
2014-04-29,8.0
2014-04-30,5.0
2014-05-01,14.0
2014-05-02,9.0
2014-05-03,14.0
2014-05-04,15.0
2014-05-05,4.0
2014-05-06,6.0
2014-05-07,6.0
2014-05-08,4.0
2014-05-09,3.0
2014-05-10,7.0
2014-05-11,10.0
2014-05-12,1.0
2014-05-13,1.0
2014-05-14,4.0
2014-05-15,5.0
2014-05-16,5.0
2014-05-17,8.0
2014-05-18,11.0
2014-05-19,7.0
2014-05-20,5.0
2014-05-21,6.0
2014-05-22,3.0
2014-05-23,4.0
2014-05-24,15.0
2014-05-25,13.0
2014-05-26,5.0
2014-05-27,3.0
2014-05-28,4.0
2014-05-29,4.0
2014-05-30,10.0
2014-05-31,10.0
2014-06-01,17.0
2014-06-02,8.0
2014-06-03,6.0
2014-06-04,6.0
2014-06-05,1.0
2014-06-06,3.0
2014-06-07,9.0
2014-06-08,13.0
2014-06-09,5.0
2014-06-10,3.0
2014-06-11,2.0
2014-06-12,3.0
2014-06-13,5.0
2014-06-14,9.0
2014-06-15,10.0
2014-06-16,5.0
2014-06-17,6.0
2014-06-18,8.0
2014-06-19,3.0
2014-06-20,2.0
2014-06-21,11.0
2014-06-22,14.0
2014-06-23,11.0
2014-06-24,2.0
2014-06-25,3.0
2014-06-26,6.0
2014-06-27,3.0
2014-06-28,8.0
2014-06-29,24.0
2014-06-30,6.0
2014-07-01,12.0
2014-07-02,10.0
2014-07-03,9.0
2014-07-04,5.0
2014-07-05,13.0
2014-07-06,18.0
2014-07-07,12.0
2014-07-08,9.0
2014-07-09,2.0
2014-07-10,4.0
2014-07-11,9.0
2014-07-12,12.0
2014-07-13,15.0
2014-07-14,8.0
2014-07-15,3.0
2014-07-16,3.0
2014-07-17,7.0
2014-07-18,7.0
2014-07-19,13.0
2014-07-20,16.0
2014-07-21,7.0
2014-07-22,11.0
2014-07-23,12.0
2014-07-24,7.0
2014-07-25,9.0
2014-07-26,14.0
2014-07-27,14.0
2014-07-28,14.0
2014-07-29,8.0
2014-07-30,6.0
2014-07-31,10.0
2014-08-01,14.0
2014-08-02,23.0
2014-08-03,23.0
2014-08-04,18.0
2014-08-05,14.0
2014-08-06,12.0
2014-08-07,9.0
2014-08-08,11.0
2014-08-09,19.0
2014-08-10,10.0
2014-08-11,6.0
2014-08-12,6.0
2014-08-13,8.0
2014-08-14,15.0
2014-08-15,11.0
2014-08-16,20.0
2014-08-17,20.0
2014-08-18,15.0
2014-08-19,14.0
2014-08-20,11.0
2014-08-21,7.0
2014-08-22,11.0
2014-08-23,11.0
2014-08-24,17.0
2014-08-25,9.0
2014-08-26,6.0
2014-08-27,3.0
2014-08-28,11.0
2014-08-29,5.0
2014-08-30,16.0
2014-08-31,15.0
2014-09-01,12.0
2014-09-02,9.0
2014-09-03,13.0
2014-09-04,6.0
2014-09-05,7.0
2014-09-06,18.0
2014-09-07,19.0
2014-09-08,2.0
2014-09-09,4.0
2014-09-10,5.0
2014-09-11,6.0
2014-09-12,7.0
2014-09-13,15.0
2014-09-14,17.0
2014-09-15,5.0
2014-09-16,3.0
2014-09-17,2.0
2014-09-18,5.0
2014-09-19,6.0
2014-09-20,13.0
2014-09-21,18.0
2014-09-22,5.0
2014-09-23,7.0
2014-09-24,5.0
2014-09-25,15.0
2014-09-26,6.0
2014-09-27,13.0
2014-09-28,23.0
2014-09-29,6.0
2014-09-30,7.0
2014-10-01,13.0
2014-10-02,9.0
2014-10-03,9.0
2014-10-04,14.0
2014-10-05,32.0
2014-10-06,14.0
2014-10-07,7.0
2014-10-08,9.0
2014-10-09,13.0
2014-10-10,11.0
2014-10-11,13.0
2014-10-12,13.0
2014-10-13,7.0
2014-10-14,1.0
2014-10-15,8.0
2014-10-16,7.0
2014-10-17,7.0
2014-10-18,17.0
2014-10-19,12.0
2014-10-20,6.0
2014-10-21,9.0
2014-10-22,9.0
2014-10-23,5.0
2014-10-24,9.0
2014-10-25,17.0
2014-10-26,17.0
