date,sales
2013-01-02,860.43
2013-01-03,325.69
2013-01-04,481.58398
2013-01-05,918.70703
2013-01-06,930.69
2013-01-07,412.856
2013-01-08,471.532
2013-01-09,334.175
2013-01-10,321.213
2013-01-11,313.402
2013-01-12,648.035
2013-01-13,873.355
2013-01-14,498.991
2013-01-15,372.232
2013-01-16,417.19598
2013-01-17,377.565
2013-01-18,342.111
2013-01-19,673.794
2013-01-20,849.991
2013-01-21,531.735
2013-01-22,362.173
2013-01-23,368.397
2013-01-24,358.752
2013-01-25,372.258
2013-01-26,693.236
2013-01-27,905.98303
2013-01-28,431.697
2013-01-29,350.097
2013-01-30,329.565
2013-01-31,314.889
2013-02-01,461.035
2013-02-02,760.139
2013-02-03,785.357
2013-02-04,569.993
2013-02-05,470.158
2013-02-06,406.638
2013-02-07,368.494
2013-02-08,445.411
2013-02-09,541.005
2013-02-10,477.922
2013-02-11,620.478
2013-02-12,571.286
2013-02-13,407.629
2013-02-14,391.277
2013-02-15,476.82
2013-02-16,762.652
2013-02-17,776.078
2013-02-18,594.643
2013-02-19,417.553
2013-02-20,420.939
2013-02-21,293.931
2013-02-22,372.208
2013-02-23,631.411
2013-02-24,938.054
2013-02-25,439.442
2013-02-26,373.499
2013-02-27,384.22
2013-02-28,339.572
2013-03-01,512.764
2013-03-02,946.865
2013-03-03,1063.111
2013-03-04,667.149
2013-03-05,400.726
2013-03-06,452.232
2013-03-07,358.057
2013-03-08,379.189
2013-03-09,614.537
2013-03-10,816.336
2013-03-11,445.563
2013-03-12,361.482
2013-03-13,386.147
2013-03-14,397.028
2013-03-15,401.792
2013-03-16,708.936
2013-03-17,1031.005
2013-03-18,552.939
2013-03-19,403.73
2013-03-20,375.539
2013-03-21,331.137
2013-03-22,421.069
2013-03-23,822.071
2013-03-24,865.378
2013-03-25,582.191
2013-03-26,309.18
2013-03-27,385.411
2013-03-28,342.345
2013-03-29,455.13
2013-03-30,774.274
2013-03-31,900.08
2013-04-01,691.397
2013-04-02,405.4
2013-04-03,443.721
2013-04-04,412.518
2013-04-05,443.574
