date,sales
2013-01-02,25.998
2013-01-03,28.934
2013-01-04,28.026001
2013-01-05,32.705
2013-01-06,25.228
2013-01-07,24.529
2013-01-08,22.003
2013-01-09,31.041
2013-01-10,19.581
2013-01-11,30.159
2013-01-12,35.958
2013-01-13,66.827
2013-01-14,7.606
2013-01-15,29.146
2013-01-16,33.025
2013-01-17,22.279
2013-01-18,37.724
2013-01-19,34.267998
2013-01-20,58.366
2013-01-21,31.573
2013-01-22,30.211
2013-01-23,25.043
2013-01-24,19.86
2013-01-25,26.878
2013-01-26,43.113
2013-01-27,47.519
2013-01-28,24.541
2013-01-29,29.505001
2013-01-30,24.186
2013-01-31,14.409
2013-02-01,31.062
2013-02-02,43.208
2013-02-03,42.906998
2013-02-04,20.468
2013-02-05,25.085
2013-02-06,21.062
2013-02-07,15.485001
2013-02-08,23.813
2013-02-09,21.228
2013-02-10,28.932999
2013-02-11,23.509
2013-02-12,36.411
2013-02-13,29.353
2013-02-14,21.624
2013-02-15,29.809
2013-02-16,37.49
2013-02-17,33.264
2013-02-18,27.322
2013-02-19,22.396
2013-02-20,32.674
2013-02-21,19.214
2013-02-22,33.396
2013-02-23,36.451
2013-02-24,34.845
2013-02-25,27.816
2013-02-26,26.02
2013-02-27,18.284
2013-02-28,20.434
2013-03-01,45.846
2013-03-02,48.288
2013-03-03,46.588
2013-03-04,39.955
2013-03-05,22.279
2013-03-06,32.186
2013-03-07,25.615
2013-03-08,37.22
2013-03-09,40.968
2013-03-10,66.441
2013-03-11,20.351
2013-03-12,25.175001
2013-03-13,39.633
2013-03-14,16.744
2013-03-15,25.967
2013-03-16,46.048
2013-03-17,69.864
2013-03-18,24.824
2013-03-19,36.417
2013-03-20,18.465
2013-03-21,22.976
2013-03-22,30.234
2013-03-23,41.336998
2013-03-24,55.732
2013-03-25,19.721
2013-03-26,22.313
2013-03-27,42.446
2013-03-28,27.998001
2013-03-29,37.329
2013-03-30,31.105
2013-03-31,43.151
2013-04-01,32.446
2013-04-02,25.221
2013-04-03,25.812
2013-04-04,16.092001
2013-04-05,28.739
2013-04-06,23.133
2013-04-07,21.081001
2013-04-08,21.017
2013-04-09,18.316
2013-04-10,16.084
2013-04-11,15.818
2013-04-12,32.979
2013-04-13,46.566
2013-04-14,60.01
2013-04-15,33.232
2013-04-16,26.132
2013-04-17,30.782
2013-04-18,16.601
2013-04-19,29.985
2013-04-20,38.778
2013-04-21,44.451
2013-04-22,21.998001
2013-04-23,19.761
2013-04-24,23.751
2013-04-25,22.295
2013-04-26,36.29
2013-04-27,37.322998
2013-04-28,47.187
2013-04-29,22.146
2013-04-30,28.133
2013-05-01,43.749
2013-05-02,19.022
2013-05-03,30.211
2013-05-04,32.254997
2013-05-05,59.235
2013-05-06,14.383
2013-05-07,30.215
