date,sales
2017-04-20,4.0
2017-04-21,5.0
2017-04-22,10.0
2017-04-23,5.0
2017-04-24,5.0
2017-04-25,2.0
2017-04-26,2.0
2017-04-27,0.0
2017-04-28,5.0
2017-04-29,4.0
2017-04-30,5.0
2017-05-01,5.0
2017-05-02,2.0
2017-05-03,2.0
2017-05-04,2.0
2017-05-05,3.0
2017-05-06,7.0
2017-05-07,7.0
2017-05-08,0.0
2017-05-09,3.0
2017-05-10,2.0
2017-05-11,3.0
2017-05-12,3.0
2017-05-13,3.0
2017-05-14,6.0
2017-05-15,1.0
2017-05-16,4.0
2017-05-17,4.0
2017-05-18,2.0
2017-05-19,2.0
2017-05-20,2.0
2017-05-21,6.0
2017-05-22,4.0
2017-05-23,1.0
2017-05-24,1.0
2017-05-25,4.0
2017-05-26,7.0
2017-05-27,1.0
2017-05-28,3.0
2017-05-29,6.0
2017-05-30,3.0
2017-05-31,2.0
2017-06-01,2.0
2017-06-02,2.0
2017-06-03,4.0
2017-06-04,3.0
2017-06-05,1.0
2017-06-06,3.0
2017-06-07,4.0
2017-06-08,1.0
2017-06-09,11.0
2017-06-10,3.0
2017-06-11,2.0
2017-06-12,3.0
2017-06-13,2.0
2017-06-14,5.0
2017-06-15,3.0
2017-06-16,2.0
2017-06-17,4.0
2017-06-18,2.0
2017-06-19,3.0
2017-06-20,4.0
2017-06-21,0.0
2017-06-22,3.0
2017-06-23,0.0
2017-06-24,2.0
2017-06-25,1.0
2017-06-26,3.0
2017-06-27,2.0
2017-06-28,0.0
2017-06-29,3.0
2017-06-30,3.0
2017-07-01,7.0
2017-07-02,0.0
2017-07-03,2.0
2017-07-04,3.0
2017-07-05,4.0
2017-07-06,5.0
2017-07-07,2.0
2017-07-08,7.0
2017-07-09,5.0
2017-07-10,1.0
2017-07-11,5.0
2017-07-12,4.0
2017-07-13,5.0
2017-07-14,2.0
2017-07-15,1.0
2017-07-16,4.0
2017-07-17,6.0
2017-07-18,0.0
2017-07-19,2.0
2017-07-20,4.0
2017-07-21,3.0
2017-07-22,10.0
2017-07-23,3.0
2017-07-24,5.0
2017-07-25,0.0
2017-07-26,3.0
2017-07-27,4.0
2017-07-28,6.0
2017-07-29,4.0
2017-07-30,2.0
2017-07-31,3.0
2017-08-01,6.0
2017-08-02,4.0
2017-08-03,2.0
2017-08-04,2.0
2017-08-05,0.0
2017-08-06,6.0
2017-08-07,3.0
2017-08-08,3.0
2017-08-09,9.0
2017-08-10,2.0
2017-08-11,1.0
2017-08-12,8.0
2017-08-13,1.0
2017-08-14,6.0
2017-08-15,1.0
