date,sales
2017-04-20,4.0
2017-04-21,1.0
2017-04-22,2.0
2017-04-23,5.0
2017-04-24,1.0
2017-04-25,2.0
2017-04-26,2.0
2017-04-27,1.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,3.0
2017-05-01,5.0
2017-05-02,0.0
2017-05-03,2.0
2017-05-04,6.0
2017-05-05,0.0
2017-05-06,3.0
2017-05-07,2.0
2017-05-08,1.0
2017-05-09,1.0
2017-05-10,0.0
2017-05-11,2.0
2017-05-12,2.0
2017-05-13,2.0
2017-05-14,1.0
2017-05-15,1.0
2017-05-16,1.0
2017-05-17,1.0
2017-05-18,2.0
2017-05-19,1.0
2017-05-20,4.0
2017-05-21,4.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,1.0
2017-05-25,0.0
2017-05-26,1.0
2017-05-27,1.0
2017-05-28,1.0
2017-05-29,1.0
2017-05-30,1.0
2017-05-31,1.0
2017-06-01,2.0
2017-06-02,1.0
2017-06-03,2.0
2017-06-04,0.0
2017-06-05,1.0
2017-06-06,0.0
2017-06-07,1.0
2017-06-08,0.0
2017-06-09,1.0
2017-06-10,3.0
2017-06-11,2.0
2017-06-12,2.0
2017-06-13,1.0
2017-06-14,2.0
2017-06-15,0.0
2017-06-16,1.0
2017-06-17,1.0
2017-06-18,1.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,2.0
2017-06-23,3.0
2017-06-24,1.0
2017-06-25,1.0
2017-06-26,1.0
2017-06-27,0.0
2017-06-28,2.0
2017-06-29,0.0
2017-06-30,2.0
2017-07-01,1.0
2017-07-02,1.0
2017-07-03,1.0
2017-07-04,0.0
2017-07-05,1.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,1.0
2017-07-09,1.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,1.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,2.0
2017-07-23,0.0
2017-07-24,1.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,1.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,1.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,1.0
2017-08-06,2.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
