date,sales
2017-04-20,16.0
2017-04-21,18.0
2017-04-22,18.0
2017-04-23,11.0
2017-04-24,19.0
2017-04-25,14.0
2017-04-26,13.0
2017-04-27,12.0
2017-04-28,11.0
2017-04-29,21.0
2017-04-30,14.0
2017-05-01,15.0
2017-05-02,10.0
2017-05-03,14.0
2017-05-04,7.0
2017-05-05,18.0
2017-05-06,11.0
2017-05-07,13.0
2017-05-08,8.0
2017-05-09,4.0
2017-05-10,10.0
2017-05-11,13.0
2017-05-12,17.0
2017-05-13,19.0
2017-05-14,11.0
2017-05-15,11.0
2017-05-16,11.0
2017-05-17,7.0
2017-05-18,13.0
2017-05-19,13.0
2017-05-20,17.0
2017-05-21,19.0
2017-05-22,10.0
2017-05-23,7.0
2017-05-24,5.0
2017-05-25,7.0
2017-05-26,16.0
2017-05-27,14.0
2017-05-28,8.0
2017-05-29,10.0
2017-05-30,10.0
2017-05-31,6.0
2017-06-01,7.0
2017-06-02,6.0
2017-06-03,7.0
2017-06-04,11.0
2017-06-05,8.0
2017-06-06,4.0
2017-06-07,7.0
2017-06-08,9.0
2017-06-09,8.0
2017-06-10,19.0
2017-06-11,18.0
2017-06-12,6.0
2017-06-13,11.0
2017-06-14,8.0
2017-06-15,7.0
2017-06-16,9.0
2017-06-17,17.0
2017-06-18,9.0
2017-06-19,9.0
2017-06-20,6.0
2017-06-21,6.0
2017-06-22,7.0
2017-06-23,4.0
2017-06-24,11.0
2017-06-25,8.0
2017-06-26,6.0
2017-06-27,3.0
2017-06-28,6.0
2017-06-29,3.0
2017-06-30,10.0
2017-07-01,14.0
2017-07-02,7.0
2017-07-03,6.0
2017-07-04,5.0
2017-07-05,4.0
2017-07-06,8.0
2017-07-07,12.0
2017-07-08,19.0
2017-07-09,16.0
2017-07-10,9.0
2017-07-11,7.0
2017-07-12,2.0
2017-07-13,6.0
2017-07-14,7.0
2017-07-15,10.0
2017-07-16,17.0
2017-07-17,3.0
2017-07-18,6.0
2017-07-19,6.0
2017-07-20,19.0
2017-07-21,6.0
2017-07-22,24.0
2017-07-23,12.0
2017-07-24,18.0
2017-07-25,4.0
2017-07-26,8.0
2017-07-27,7.0
2017-07-28,8.0
2017-07-29,15.0
2017-07-30,13.0
2017-07-31,3.0
2017-08-01,8.0
2017-08-02,11.0
2017-08-03,5.0
2017-08-04,8.0
2017-08-05,13.0
2017-08-06,12.0
2017-08-07,8.0
2017-08-08,10.0
2017-08-09,11.0
2017-08-10,16.0
2017-08-11,19.0
2017-08-12,10.0
2017-08-13,14.0
2017-08-14,11.0
2017-08-15,19.0
