date,sales
2014-05-29,515.599
2014-05-30,303.909
2014-05-31,342.464
2014-06-01,461.405
2014-06-02,229.391
2014-06-03,183.028
2014-06-04,264.364
2014-06-05,160.86
2014-06-06,291.8151
2014-06-07,296.183
2014-06-08,334.643
2014-06-09,167.826
2014-06-10,128.493
2014-06-11,207.88
2014-06-12,134.812
2014-06-13,239.342
2014-06-14,380.517
2014-06-15,266.156
2014-06-16,219.416
2014-06-17,158.771
2014-06-18,199.454
2014-06-19,167.634
2014-06-20,242.9111
2014-06-21,249.957
2014-06-22,332.854
2014-06-23,152.133
2014-06-24,119.415
2014-06-25,203.694
2014-06-26,136.982
2014-06-27,236.905
2014-06-28,205.841
2014-06-29,253.65
2014-06-30,144.808
2014-07-01,156.11
2014-07-02,223.099
2014-07-03,162.731
2014-07-04,256.668
2014-07-05,229.442
2014-07-06,306.518
2014-07-07,126.634
2014-07-08,111.152
2014-07-09,133.041
2014-07-10,96.687996
2014-07-11,245.562
2014-07-12,226.964
2014-07-13,199.724
2014-07-14,166.54
2014-07-15,123.139
2014-07-16,142.015
2014-07-17,134.119
2014-07-18,236.689
2014-07-19,210.834
2014-07-20,250.643
2014-07-21,145.863
2014-07-22,139.954
2014-07-23,140.802
2014-07-24,115.826
2014-07-25,255.248
2014-07-26,211.71
2014-07-27,249.317
2014-07-28,132.365
2014-07-29,87.473
2014-07-30,124.111
2014-07-31,155.582
2014-08-01,247.034
2014-08-02,271.079
2014-08-03,271.599
2014-08-04,93.375
2014-08-05,144.887
2014-08-06,156.551
2014-08-07,114.286
2014-08-08,179.228
2014-08-09,202.172
2014-08-10,234.366
2014-08-11,160.143
2014-08-12,108.242
2014-08-13,167.767
2014-08-14,144.519
2014-08-15,197.937
2014-08-16,263.124
2014-08-17,233.658
2014-08-18,126.184
2014-08-19,91.578
2014-08-20,147.588
2014-08-21,90.567
2014-08-22,196.94699
2014-08-23,179.539
2014-08-24,234.139
2014-08-25,122.74
2014-08-26,131.536
2014-08-27,147.46
2014-08-28,111.23
2014-08-29,208.735
2014-08-30,195.599
2014-08-31,256.33
2014-09-01,185.884
2014-09-02,178.815
2014-09-03,172.838
2014-09-04,83.547
2014-09-05,215.912
2014-09-06,209.88
2014-09-07,239.199
2014-09-08,152.397
2014-09-09,113.653
2014-09-10,117.836
2014-09-11,99.652
2014-09-12,275.734
2014-09-13,165.838
2014-09-14,239.153
2014-09-15,88.852
2014-09-16,111.509
2014-09-17,136.342
2014-09-18,105.227
2014-09-19,196.534
2014-09-20,178.514
2014-09-21,229.612
2014-09-22,136.977
2014-09-23,128.775
2014-09-24,179.686
2014-09-25,115.0
2014-09-26,153.998
2014-09-27,167.526
2014-09-28,215.019
2014-09-29,105.869
2014-09-30,143.961
2014-10-01,161.634
2014-10-02,107.826004
2014-10-03,223.007
2014-10-04,204.061
2014-10-05,218.68199
2014-10-06,103.371
2014-10-07,87.166
2014-10-08,134.635
2014-10-09,96.67
2014-10-10,262.88
2014-10-11,158.141
2014-10-12,229.869
2014-10-13,97.924995
2014-10-14,105.427
2014-10-15,142.034
2014-10-16,130.582
2014-10-17,183.851
2014-10-18,209.657
2014-10-19,211.953
2014-10-20,126.236
2014-10-21,95.229996
2014-10-22,118.796
2014-10-23,94.028
2014-10-24,188.293
2014-10-25,165.26
2014-10-26,209.082
2014-10-27,131.27
2014-10-28,77.595
2014-10-29,146.197
2014-10-30,122.519
2014-10-31,198.51399
2014-11-01,202.975
2014-11-02,212.422
2014-11-03,165.453
2014-11-04,171.137
2014-11-05,177.566
2014-11-06,83.358
2014-11-07,201.961
2014-11-08,119.809
2014-11-09,169.076
2014-11-10,79.076
2014-11-11,96.858
2014-11-12,117.345
2014-11-13,108.451996
2014-11-14,241.005
2014-11-15,182.352
2014-11-16,244.478
2014-11-17,82.135
2014-11-18,81.196
2014-11-19,131.163
2014-11-20,96.562004
2014-11-21,180.575
2014-11-22,197.031
2014-11-23,198.167
2014-11-24,62.934002
2014-11-25,105.585
2014-11-26,162.265
2014-11-27,79.826004
2014-11-28,185.116
2014-11-29,200.547
2014-11-30,306.915
2014-12-01,102.672
2014-12-02,155.38
2014-12-03,206.363
2014-12-04,136.801
2014-12-05,246.808
2014-12-06,213.01
2014-12-07,203.161
2014-12-08,124.089
2014-12-09,105.651
2014-12-10,122.069
2014-12-11,108.321
2014-12-12,209.306
2014-12-13,186.243
2014-12-14,250.851
2014-12-15,110.163
2014-12-16,138.116
2014-12-17,157.214
2014-12-18,138.73
2014-12-19,249.377
2014-12-20,179.525
2014-12-21,311.237
2014-12-22,211.07901
2014-12-23,265.494
2014-12-24,279.247
2014-12-25,136.0451
2014-12-26,226.76
2014-12-27,213.029
2014-12-28,193.367
2014-12-29,146.74901
2014-12-30,238.765
2014-12-31,228.77
2015-01-01,142.6139
2015-01-02,210.935
2015-01-03,236.998
2015-01-04,240.37599
2015-01-05,165.854
2015-01-06,172.47101
2015-01-07,164.83
2015-01-08,150.053
2015-01-09,297.496
2015-01-10,183.221
2015-01-11,313.894
2015-01-12,108.871
2015-01-13,142.864
2015-01-14,202.656
2015-01-15,129.842
2015-01-16,312.13
2015-01-17,148.781
2015-01-18,265.28
2015-01-19,157.52
2015-01-20,143.624
2015-01-21,171.656
2015-01-22,129.902
2015-01-23,287.431
2015-01-24,242.544
2015-01-25,252.315
2015-01-26,152.669
2015-01-27,117.661
2015-01-28,176.526
2015-01-29,131.627
2015-01-30,264.467
2015-01-31,238.144
2015-02-01,317.671
2015-02-02,179.62401
