date,sales
2013-01-02,1090.0
2013-01-03,868.0
2013-01-04,678.0
2013-01-05,1090.0
2013-01-06,1440.0
2013-01-07,795.0
2013-01-08,503.0
2013-01-09,568.0
2013-01-10,520.0
2013-01-11,605.0
2013-01-12,850.0
2013-01-13,1306.0
2013-01-14,768.0
2013-01-15,702.0
2013-01-16,460.0
2013-01-17,520.0
2013-01-18,663.0
2013-01-19,930.0
2013-01-20,1270.0
2013-01-21,742.0
2013-01-22,777.0
2013-01-23,496.0
2013-01-24,408.0
2013-01-25,478.0
2013-01-26,942.0
2013-01-27,1371.0
2013-01-28,717.0
2013-01-29,693.0
2013-01-30,603.0
2013-01-31,607.0
2013-02-01,743.0
2013-02-02,1184.0
2013-02-03,1625.0
2013-02-04,637.0
2013-02-05,755.0
2013-02-06,582.0
2013-02-07,687.0
2013-02-08,586.0
2013-02-09,934.0
2013-02-10,1238.0
2013-02-11,546.0
2013-02-12,521.0
2013-02-13,846.0
2013-02-14,598.0
2013-02-15,754.0
2013-02-16,975.0
2013-02-17,1031.0
2013-02-18,800.0
2013-02-19,812.0
2013-02-20,563.0
2013-02-21,783.0
2013-02-22,459.0
2013-02-23,871.0
2013-02-24,1272.0
2013-02-25,721.0
2013-02-26,716.0
2013-02-27,541.0
2013-02-28,605.0
2013-03-01,824.0
2013-03-02,985.0
2013-03-03,1544.0
2013-03-04,790.0
2013-03-05,705.0
2013-03-06,471.0
2013-03-07,535.0
2013-03-08,694.0
2013-03-09,1076.0
2013-03-10,1402.0
2013-03-11,793.0
2013-03-12,613.0
2013-03-13,541.0
2013-03-14,588.0
2013-03-15,659.0
2013-03-16,1013.0
2013-03-17,1369.0
2013-03-18,847.0
2013-03-19,738.0
2013-03-20,557.0
2013-03-21,489.0
2013-03-22,685.0
2013-03-23,862.0
2013-03-24,1560.0
2013-03-25,780.0
2013-03-26,654.0
2013-03-27,664.0
2013-03-28,882.0
2013-03-29,511.0
2013-03-30,765.0
2013-03-31,1261.0
2013-04-01,885.0
2013-04-02,817.0
2013-04-03,593.0
2013-04-04,703.0
2013-04-05,820.0
2013-04-06,1095.0
2013-04-07,1295.0
2013-04-08,858.0
2013-04-09,762.0
2013-04-10,747.0
2013-04-11,767.0
2013-04-12,657.0
2013-04-13,932.0
2013-04-14,1373.0
2013-04-15,849.0
2013-04-16,739.0
2013-04-17,707.0
2013-04-18,669.0
2013-04-19,692.0
2013-04-20,924.0
2013-04-21,1282.0
2013-04-22,948.0
2013-04-23,656.0
2013-04-24,475.0
2013-04-25,468.0
2013-04-26,744.0
2013-04-27,904.0
2013-04-28,1271.0
2013-04-29,751.0
2013-04-30,822.0
2013-05-01,592.0
2013-05-02,878.0
2013-05-03,679.0
2013-05-04,1233.0
2013-05-05,1614.0
2013-05-06,833.0
2013-05-07,762.0
2013-05-08,558.0
2013-05-09,470.0
2013-05-10,686.0
2013-05-11,1072.0
2013-05-12,1247.0
2013-05-13,947.0
2013-05-14,856.0
2013-05-15,582.0
2013-05-16,466.0
2013-05-17,642.0
2013-05-18,1047.0
2013-05-19,1631.0
2013-05-20,871.0
2013-05-21,662.0
2013-05-22,468.0
2013-05-23,845.0
2013-05-24,581.0
2013-05-25,1133.0
2013-05-26,1567.0
2013-05-27,750.0
2013-05-28,700.0
2013-05-29,524.0
2013-05-30,777.0
2013-05-31,736.0
2013-06-01,1161.0
2013-06-02,1771.0
2013-06-03,751.0
2013-06-04,940.0
2013-06-05,627.0
2013-06-06,481.0
2013-06-07,702.0
2013-06-08,998.0
2013-06-09,1628.0
2013-06-10,742.0
2013-06-11,636.0
2013-06-12,567.0
2013-06-13,457.0
2013-06-14,499.0
2013-06-15,1023.0
2013-06-16,1406.0
2013-06-17,867.0
2013-06-18,666.0
2013-06-19,681.0
2013-06-20,626.0
2013-06-21,627.0
2013-06-22,1025.0
2013-06-23,1353.0
2013-06-24,896.0
2013-06-25,606.0
2013-06-26,541.0
2013-06-27,431.0
2013-06-28,669.0
2013-06-29,1052.0
2013-06-30,1486.0
2013-07-01,906.0
2013-07-02,832.0
2013-07-03,497.0
2013-07-04,580.0
2013-07-05,816.0
2013-07-06,968.0
2013-07-07,1374.0
2013-07-08,864.0
2013-07-09,706.0
2013-07-10,659.0
2013-07-11,567.0
2013-07-12,578.0
2013-07-13,784.0
2013-07-14,1071.0
2013-07-15,632.0
2013-07-16,647.0
2013-07-17,625.0
2013-07-18,597.0
2013-07-19,655.0
2013-07-20,985.0
2013-07-21,1242.0
2013-07-22,769.0
2013-07-23,688.0
2013-07-24,516.0
2013-07-25,552.0
2013-07-26,627.0
2013-07-27,870.0
2013-07-28,1497.0
2013-07-29,828.0
2013-07-30,622.0
2013-07-31,665.0
2013-08-01,671.0
2013-08-02,568.0
2013-08-03,1077.0
2013-08-04,1445.0
2013-08-05,927.0
2013-08-06,771.0
2013-08-07,795.0
2013-08-08,554.0
2013-08-09,632.0
2013-08-10,920.0
2013-08-11,1492.0
2013-08-12,907.0
2013-08-13,653.0
2013-08-14,509.0
2013-08-15,573.0
2013-08-16,718.0
2013-08-17,1158.0
2013-08-18,1411.0
2013-08-19,955.0
2013-08-20,707.0
2013-08-21,556.0
2013-08-22,525.0
2013-08-23,612.0
2013-08-24,942.0
2013-08-25,1507.0
2013-08-26,917.0
2013-08-27,600.0
2013-08-28,616.0
2013-08-29,566.0
2013-08-30,525.0
2013-08-31,1059.0
2013-09-01,1634.0
2013-09-02,849.0
2013-09-03,665.0
2013-09-04,669.0
2013-09-05,588.0
2013-09-06,610.0
2013-09-07,1044.0
2013-09-08,1571.0
2013-09-09,919.0
2013-09-10,628.0
2013-09-11,621.0
2013-09-12,751.0
2013-09-13,559.0
2013-09-14,838.0
2013-09-15,1307.0
2013-09-16,845.0
2013-09-17,641.0
2013-09-18,444.0
2013-09-19,554.0
2013-09-20,483.0
2013-09-21,724.0
2013-09-22,1360.0
2013-09-23,673.0
2013-09-24,809.0
2013-09-25,581.0
2013-09-26,487.0
2013-09-27,559.0
2013-09-28,872.0
2013-09-29,1261.0
2013-09-30,773.0
2013-10-01,738.0
2013-10-02,678.0
2013-10-03,546.0
2013-10-04,610.0
2013-10-05,803.0
2013-10-06,1207.0
2013-10-07,925.0
2013-10-08,703.0
2013-10-09,486.0
2013-10-10,507.0
2013-10-11,551.0
2013-10-12,735.0
2013-10-13,1549.0
2013-10-14,867.0
2013-10-15,1138.0
2013-10-16,481.0
2013-10-17,446.0
2013-10-18,596.0
2013-10-19,871.0
2013-10-20,1423.0
2013-10-21,806.0
2013-10-22,722.0
2013-10-23,611.0
2013-10-24,330.0
2013-10-25,626.0
2013-10-26,880.0
2013-10-27,1420.0
2013-10-28,883.0
2013-10-29,771.0
2013-10-30,621.0
2013-10-31,454.0
2013-11-01,759.0
2013-11-02,871.0
2013-11-03,1591.0
2013-11-04,1028.0
2013-11-05,765.0
2013-11-06,595.0
2013-11-07,614.0
2013-11-08,602.0
2013-11-09,910.0
2013-11-10,1544.0
2013-11-11,871.0
2013-11-12,712.0
2013-11-13,486.0
2013-11-14,452.0
2013-11-15,564.0
2013-11-16,892.0
2013-11-17,1532.0
2013-11-18,875.0
2013-11-19,632.0
2013-11-20,795.0
2013-11-21,485.0
2013-11-22,589.0
2013-11-23,789.0
2013-11-24,1514.0
2013-11-25,834.0
2013-11-26,645.0
2013-11-27,511.0
2013-11-28,536.0
2013-11-29,635.0
2013-11-30,1047.0
2013-12-01,1631.0
2013-12-02,922.0
2013-12-03,946.0
2013-12-04,693.0
2013-12-05,569.0
2013-12-06,813.0
2013-12-07,1054.0
2013-12-08,1380.0
2013-12-09,881.0
2013-12-10,793.0
2013-12-11,615.0
2013-12-12,565.0
2013-12-13,654.0
2013-12-14,847.0
2013-12-15,1472.0
2013-12-16,768.0
2013-12-17,842.0
2013-12-18,681.0
2013-12-19,802.0
2013-12-20,602.0
2013-12-21,1073.0
2013-12-22,1483.0
2013-12-23,1091.0
2013-12-24,1106.0
2013-12-25,705.6
2013-12-26,924.0
2013-12-27,828.0
2013-12-28,988.0
2013-12-29,1135.0
2013-12-30,1189.0
2013-12-31,909.0
2014-01-01,726.5999999999999
2014-01-02,1190.0
2014-01-03,750.0
2014-01-04,1115.0
2014-01-05,1716.0
2014-01-06,832.0
2014-01-07,858.0
2014-01-08,807.0
2014-01-09,546.0
2014-01-10,583.0
2014-01-11,1086.0
2014-01-12,1700.0
2014-01-13,764.0
2014-01-14,570.0
2014-01-15,594.0
2014-01-16,474.0
2014-01-17,735.0
2014-01-18,1010.0
2014-01-19,1648.0
2014-01-20,763.0
2014-01-21,904.0
2014-01-22,566.0
2014-01-23,482.0
2014-01-24,586.0
2014-01-25,926.0
2014-01-26,1421.0
2014-01-27,1069.0
2014-01-28,763.0
2014-01-29,489.0
2014-01-30,513.0
2014-01-31,733.0
2014-02-01,1289.0
2014-02-02,1727.0
2014-02-03,1055.0
2014-02-04,742.0
2014-02-05,717.0
2014-02-06,752.0
2014-02-07,728.0
2014-02-08,1061.0
2014-02-09,1349.0
2014-02-10,904.0
2014-02-11,867.0
2014-02-12,626.0
2014-02-13,566.0
2014-02-14,736.0
2014-02-15,821.0
2014-02-16,1389.0
2014-02-17,797.0
2014-02-18,649.0
2014-02-19,572.0
2014-02-20,597.0
2014-02-21,726.0
2014-02-22,981.0
2014-02-23,1329.0
2014-02-24,1043.0
2014-02-25,786.0
2014-02-26,650.0
2014-02-27,564.0
2014-02-28,511.0
2014-03-01,1244.0
2014-03-02,1690.0
2014-03-03,797.0
2014-03-04,635.0
2014-03-05,1529.0
2014-03-06,1007.0
2014-03-07,940.0
2014-03-08,1124.0
2014-03-09,1890.0
2014-03-10,894.0
2014-03-11,771.0
2014-03-12,684.0
2014-03-13,676.0
2014-03-14,956.0
2014-03-15,1285.0
2014-03-16,1587.0
2014-03-17,1244.0
2014-03-18,919.0
2014-03-19,826.0
2014-03-20,859.0
2014-03-21,752.0
2014-03-22,1378.0
2014-03-23,1537.0
2014-03-24,844.0
2014-03-25,913.0
2014-03-26,601.0
2014-03-27,686.0
2014-03-28,889.0
2014-03-29,1068.0
2014-03-30,1460.0
2014-03-31,1140.0
2014-04-01,842.0
2014-04-02,701.0
2014-04-03,686.0
2014-04-04,692.0
2014-04-05,1137.0
2014-04-06,1319.0
2014-04-07,798.0
2014-04-08,732.0
2014-04-09,643.0
2014-04-10,666.0
2014-04-11,594.0
2014-04-12,937.0
2014-04-13,1393.0
2014-04-14,916.0
2014-04-15,756.0
2014-04-16,825.0
2014-04-17,858.0
2014-04-18,481.0
2014-04-19,848.0
2014-04-20,1140.0
2014-04-21,928.0
2014-04-22,710.0
2014-04-23,669.0
2014-04-24,562.0
2014-04-25,546.0
2014-04-26,1195.0
2014-04-27,1411.0
2014-04-28,733.0
2014-04-29,716.0
2014-04-30,663.0
2014-05-01,756.0
2014-05-02,798.0
2014-05-03,1049.0
2014-05-04,1575.0
2014-05-05,952.0
2014-05-06,845.0
2014-05-07,937.0
2014-05-08,545.0
2014-05-09,734.0
2014-05-10,1043.0
2014-05-11,1113.0
2014-05-12,1006.0
2014-05-13,800.0
2014-05-14,591.0
2014-05-15,503.0
2014-05-16,699.0
2014-05-17,1185.0
2014-05-18,1601.0
2014-05-19,736.0
2014-05-20,547.0
2014-05-21,790.0
2014-05-22,458.0
2014-05-23,689.0
2014-05-24,989.0
2014-05-25,1427.0
2014-05-26,789.0
2014-05-27,625.0
2014-05-28,593.0
2014-05-29,586.0
2014-05-30,663.0
2014-05-31,1135.0
2014-06-01,1609.0
2014-06-02,1006.0
2014-06-03,988.0
2014-06-04,648.0
2014-06-05,582.0
2014-06-06,627.0
2014-06-07,1049.0
2014-06-08,1567.0
2014-06-09,815.0
2014-06-10,685.0
2014-06-11,611.0
2014-06-12,509.0
2014-06-13,670.0
2014-06-14,981.0
2014-06-15,1178.0
2014-06-16,998.0
2014-06-17,737.0
2014-06-18,640.0
2014-06-19,588.0
2014-06-20,610.0
2014-06-21,1048.0
2014-06-22,1704.0
2014-06-23,848.0
2014-06-24,705.0
2014-06-25,613.0
2014-06-26,636.0
2014-06-27,652.0
2014-06-28,1050.0
2014-06-29,1551.0
2014-06-30,820.0
2014-07-01,1157.0
2014-07-02,906.0
2014-07-03,750.0
2014-07-04,1071.0
2014-07-05,1247.0
2014-07-06,2069.0
2014-07-07,1008.0
2014-07-08,805.0
2014-07-09,723.0
2014-07-10,648.0
2014-07-11,731.0
2014-07-12,1045.0
2014-07-13,1515.0
2014-07-14,996.0
2014-07-15,758.0
2014-07-16,770.0
2014-07-17,861.0
2014-07-18,862.0
2014-07-19,980.0
2014-07-20,1791.0
2014-07-21,1094.0
2014-07-22,963.0
2014-07-23,707.0
2014-07-24,647.0
2014-07-25,691.0
2014-07-26,1145.0
2014-07-27,1798.0
2014-07-28,951.0
2014-07-29,872.0
2014-07-30,836.0
2014-07-31,771.0
2014-08-01,872.0
2014-08-02,1236.0
2014-08-03,1782.0
2014-08-04,901.0
2014-08-05,821.0
2014-08-06,789.0
2014-08-07,609.0
2014-08-08,746.0
2014-08-09,1043.0
2014-08-10,1626.0
2014-08-11,976.0
2014-08-12,717.0
2014-08-13,601.0
2014-08-14,636.0
2014-08-15,675.0
2014-08-16,844.0
2014-08-17,1612.0
2014-08-18,988.0
2014-08-19,794.0
2014-08-20,656.0
2014-08-21,704.0
2014-08-22,647.0
2014-08-23,929.0
2014-08-24,1501.0
2014-08-25,910.0
2014-08-26,591.0
2014-08-27,737.0
2014-08-28,580.0
2014-08-29,787.0
2014-08-30,1115.0
2014-08-31,1759.0
