date,sales
2013-01-02,360.0
2013-01-03,253.0
2013-01-04,204.0
2013-01-05,259.0
2013-01-06,445.0
2013-01-07,189.0
2013-01-08,168.0
2013-01-09,172.0
2013-01-10,122.0
2013-01-11,139.0
2013-01-12,235.0
2013-01-13,352.0
2013-01-14,193.0
2013-01-15,169.0
2013-01-16,221.0
2013-01-17,134.0
2013-01-18,142.0
2013-01-19,300.0
2013-01-20,371.0
2013-01-21,216.0
2013-01-22,176.0
2013-01-23,174.0
2013-01-24,124.0
2013-01-25,164.0
2013-01-26,253.0
2013-01-27,346.0
2013-01-28,213.0
2013-01-29,164.0
2013-01-30,173.0
2013-01-31,142.0
2013-02-01,159.0
2013-02-02,309.0
2013-02-03,360.0
2013-02-04,219.0
2013-02-05,184.0
2013-02-06,178.0
2013-02-07,142.0
2013-02-08,153.0
2013-02-09,199.0
2013-02-10,201.0
2013-02-11,181.0
2013-02-12,246.0
2013-02-13,211.0
2013-02-14,153.0
2013-02-15,178.0
2013-02-16,314.0
2013-02-17,381.0
2013-02-18,222.0
2013-02-19,152.0
2013-02-20,208.0
2013-02-21,129.0
2013-02-22,158.0
2013-02-23,249.0
2013-02-24,350.0
2013-02-25,221.0
2013-02-26,117.0
2013-02-27,171.0
2013-02-28,123.0
2013-03-01,183.0
2013-03-02,343.0
2013-03-03,444.0
2013-03-04,256.0
2013-03-05,173.0
2013-03-06,190.0
2013-03-07,141.0
2013-03-08,161.0
2013-03-09,290.0
2013-03-10,362.0
2013-03-11,204.0
2013-03-12,154.0
2013-03-13,192.0
2013-03-14,129.0
2013-03-15,182.0
2013-03-16,289.0
2013-03-17,394.0
2013-03-18,204.0
2013-03-19,172.0
2013-03-20,199.0
2013-03-21,140.0
2013-03-22,144.0
2013-03-23,263.0
2013-03-24,355.0
2013-03-25,227.0
2013-03-26,151.0
2013-03-27,198.0
2013-03-28,200.0
2013-03-29,218.0
2013-03-30,247.0
2013-03-31,356.0
2013-04-01,220.0
2013-04-02,189.0
2013-04-03,203.0
2013-04-04,134.0
2013-04-05,177.0
2013-04-06,272.0
2013-04-07,400.0
2013-04-08,174.0
2013-04-09,127.0
2013-04-10,203.0
2013-04-11,137.0
2013-04-12,144.0
2013-04-13,253.0
2013-04-14,352.0
2013-04-15,219.0
2013-04-16,176.0
2013-04-17,229.0
2013-04-18,147.0
2013-04-19,158.0
2013-04-20,283.0
2013-04-21,369.0
2013-04-22,204.0
2013-04-23,189.0
2013-04-24,196.0
2013-04-25,141.0
2013-04-26,146.0
2013-04-27,239.0
2013-04-28,394.0
2013-04-29,175.0
2013-04-30,141.0
2013-05-01,285.0
2013-05-02,187.0
2013-05-03,166.0
2013-05-04,299.0
2013-05-05,428.0
2013-05-06,238.0
2013-05-07,144.0
2013-05-08,194.0
2013-05-09,127.0
2013-05-10,156.0
2013-05-11,289.0
2013-05-12,279.0
2013-05-13,219.0
2013-05-14,152.0
2013-05-15,175.0
2013-05-16,168.0
2013-05-17,193.0
2013-05-18,280.0
2013-05-19,346.0
2013-05-20,200.0
2013-05-21,158.0
2013-05-22,155.0
2013-05-23,152.0
2013-05-24,189.0
2013-05-25,245.0
2013-05-26,319.0
2013-05-27,212.0
2013-05-28,165.0
2013-05-29,158.0
2013-05-30,137.0
2013-05-31,175.0
2013-06-01,286.0
2013-06-02,382.0
2013-06-03,255.0
2013-06-04,197.0
2013-06-05,212.0
2013-06-06,147.0
2013-06-07,177.0
2013-06-08,229.0
2013-06-09,372.0
2013-06-10,214.0
2013-06-11,145.0
2013-06-12,195.0
2013-06-13,122.0
2013-06-14,187.0
2013-06-15,285.0
2013-06-16,313.0
2013-06-17,235.0
2013-06-18,194.0
2013-06-19,188.0
2013-06-20,156.0
2013-06-21,177.0
2013-06-22,249.0
2013-06-23,348.0
2013-06-24,207.0
2013-06-25,204.0
2013-06-26,183.0
2013-06-27,153.0
2013-06-28,167.0
2013-06-29,278.0
2013-06-30,361.0
2013-07-01,258.0
2013-07-02,258.0
2013-07-03,225.0
2013-07-04,158.0
2013-07-05,173.0
2013-07-06,276.0
2013-07-07,397.0
2013-07-08,225.0
2013-07-09,165.0
2013-07-10,173.0
2013-07-11,131.0
2013-07-12,183.0
2013-07-13,275.0
2013-07-14,285.0
2013-07-15,211.0
2013-07-16,190.0
2013-07-17,200.0
2013-07-18,139.0
2013-07-19,144.0
2013-07-20,228.0
2013-07-21,343.0
2013-07-22,235.0
2013-07-23,181.0
2013-07-24,174.0
2013-07-25,133.0
2013-07-26,146.0
2013-07-27,260.0
2013-07-28,316.0
2013-07-29,216.0
2013-07-30,140.0
2013-07-31,200.0
2013-08-01,219.0
2013-08-02,162.0
2013-08-03,241.0
2013-08-04,331.0
2013-08-05,234.0
2013-08-06,179.0
2013-08-07,213.0
2013-08-08,111.0
2013-08-09,123.0
2013-08-10,202.0
2013-08-11,266.0
2013-08-12,202.0
2013-08-13,166.0
2013-08-14,187.0
2013-08-15,146.0
2013-08-16,155.0
2013-08-17,260.0
2013-08-18,330.0
2013-08-19,221.0
2013-08-20,166.0
2013-08-21,183.0
2013-08-22,130.0
2013-08-23,165.0
2013-08-24,236.0
2013-08-25,311.0
2013-08-26,216.0
2013-08-27,147.0
2013-08-28,171.0
2013-08-29,132.0
2013-08-30,168.0
2013-08-31,251.0
2013-09-01,385.0
2013-09-02,260.0
2013-09-03,235.0
2013-09-04,219.0
2013-09-05,193.0
2013-09-06,150.0
2013-09-07,259.0
2013-09-08,312.0
2013-09-09,197.0
2013-09-10,179.0
2013-09-11,200.0
2013-09-12,118.0
2013-09-13,141.0
2013-09-14,237.0
2013-09-15,359.0
2013-09-16,246.0
2013-09-17,172.0
2013-09-18,202.0
2013-09-19,142.0
2013-09-20,162.0
2013-09-21,283.0
2013-09-22,342.0
2013-09-23,227.0
2013-09-24,151.0
2013-09-25,176.0
2013-09-26,152.0
2013-09-27,177.0
2013-09-28,263.0
2013-09-29,375.0
