date,sales
2013-01-02,44.0
2013-01-03,62.0
2013-01-04,37.0
2013-01-05,36.0
2013-01-06,21.0
2013-01-07,13.0
2013-01-08,37.0
2013-01-09,25.0
2013-01-10,72.0
2013-01-11,37.0
2013-01-12,44.0
2013-01-13,35.0
2013-01-14,39.0
2013-01-15,36.0
2013-01-16,20.0
2013-01-17,95.0
2013-01-18,17.0
2013-01-19,17.0
2013-01-20,42.0
2013-01-21,27.0
2013-01-22,39.0
2013-01-23,84.0
2013-01-24,38.0
2013-01-25,29.0
2013-01-26,20.0
2013-01-27,25.0
2013-01-28,60.0
2013-01-29,22.0
2013-01-30,19.0
2013-01-31,19.0
2013-02-01,25.0
2013-02-02,25.0
2013-02-03,25.0
2013-02-04,31.0
2013-02-05,40.0
2013-02-06,28.0
2013-02-07,27.0
2013-02-08,16.0
2013-02-09,25.0
2013-02-10,35.0
2013-02-11,7.0
2013-02-12,30.0
2013-02-13,25.0
2013-02-14,20.0
2013-02-15,122.0
2013-02-16,31.0
2013-02-17,32.0
2013-02-18,37.0
2013-02-19,28.0
2013-02-20,6.0
2013-02-21,7.0
2013-02-22,40.0
2013-02-23,25.0
2013-02-24,23.0
2013-02-25,54.0
2013-02-26,26.0
2013-02-27,49.0
2013-02-28,22.0
2013-03-01,41.0
2013-03-02,25.0
2013-03-03,43.0
2013-03-04,38.0
2013-03-05,33.0
2013-03-06,50.0
2013-03-07,42.0
2013-03-08,19.0
2013-03-09,65.0
2013-03-10,23.0
2013-03-11,55.0
2013-03-12,18.0
2013-03-13,34.0
2013-03-14,48.0
2013-03-15,66.0
2013-03-16,28.0
2013-03-17,33.0
2013-03-18,46.0
2013-03-19,30.0
2013-03-20,48.0
2013-03-21,55.0
2013-03-22,33.0
2013-03-23,26.0
2013-03-24,54.0
2013-03-25,45.0
2013-03-26,58.0
2013-03-27,39.0
2013-03-28,34.0
2013-03-29,5.0
2013-03-30,35.0
2013-03-31,29.0
2013-04-01,37.0
2013-04-02,60.0
2013-04-03,34.0
2013-04-04,27.0
2013-04-05,46.0
2013-04-06,35.0
2013-04-07,11.0
2013-04-08,58.0
2013-04-09,31.0
2013-04-10,45.0
2013-04-11,30.0
2013-04-12,38.0
2013-04-13,45.0
2013-04-14,30.0
2013-04-15,49.0
