date,sales
2013-01-02,443.0
2013-01-03,307.0
2013-01-04,238.0
2013-01-05,431.0
2013-01-06,528.0
2013-01-07,299.0
2013-01-08,241.0
2013-01-09,296.0
2013-01-10,246.0
2013-01-11,219.0
2013-01-12,301.0
2013-01-13,361.0
2013-01-14,229.0
2013-01-15,206.0
2013-01-16,225.0
2013-01-17,179.0
2013-01-18,173.0
2013-01-19,339.0
2013-01-20,372.0
2013-01-21,211.0
2013-01-22,188.0
2013-01-23,194.0
2013-01-24,137.0
2013-01-25,173.0
2013-01-26,317.0
2013-01-27,335.0
2013-01-28,205.0
2013-01-29,178.0
2013-01-30,217.0
2013-01-31,161.0
2013-02-01,254.0
2013-02-02,422.0
2013-02-03,393.0
2013-02-04,262.0
2013-02-05,219.0
2013-02-06,242.0
2013-02-07,188.0
2013-02-08,183.0
2013-02-09,277.0
2013-02-10,205.0
2013-02-11,171.0
2013-02-12,220.0
2013-02-13,194.0
2013-02-14,139.0
2013-02-15,164.0
2013-02-16,400.0
2013-02-17,318.0
2013-02-18,307.0
2013-02-19,208.0
2013-02-20,240.0
2013-02-21,155.0
2013-02-22,144.0
2013-02-23,363.0
2013-02-24,367.0
2013-02-25,233.0
2013-02-26,165.0
2013-02-27,207.0
2013-02-28,176.0
2013-03-01,232.0
2013-03-02,392.0
2013-03-03,467.0
2013-03-04,259.0
2013-03-05,195.0
2013-03-06,196.0
2013-03-07,181.0
2013-03-08,162.0
2013-03-09,303.0
2013-03-10,314.0
2013-03-11,186.0
2013-03-12,143.0
2013-03-13,146.0
2013-03-14,138.0
2013-03-15,174.0
2013-03-16,320.0
2013-03-17,374.0
2013-03-18,180.0
2013-03-19,168.0
2013-03-20,194.0
2013-03-21,140.0
2013-03-22,152.0
2013-03-23,292.0
2013-03-24,292.0
2013-03-25,149.0
2013-03-26,169.0
2013-03-27,176.0
2013-03-28,167.0
2013-03-29,172.0
2013-03-30,247.0
2013-03-31,287.0
2013-04-01,234.0
2013-04-02,254.0
2013-04-03,214.0
2013-04-04,161.0
2013-04-05,248.0
2013-04-06,425.0
2013-04-07,475.0
2013-04-08,236.0
2013-04-09,177.0
2013-04-10,226.0
2013-04-11,172.0
2013-04-12,178.0
2013-04-13,384.0
2013-04-14,429.0
2013-04-15,213.0
2013-04-16,220.0
2013-04-17,230.0
2013-04-18,205.0
2013-04-19,196.0
2013-04-20,353.0
2013-04-21,368.0
2013-04-22,233.0
2013-04-23,158.0
2013-04-24,190.0
2013-04-25,148.0
2013-04-26,151.0
2013-04-27,323.0
2013-04-28,304.0
2013-04-29,206.0
2013-04-30,160.0
2013-05-01,285.0
2013-05-02,183.0
2013-05-03,196.0
2013-05-04,328.0
2013-05-05,379.0
2013-05-06,247.0
2013-05-07,168.0
2013-05-08,182.0
2013-05-09,161.0
2013-05-10,159.0
2013-05-11,281.0
2013-05-12,213.0
2013-05-13,198.0
2013-05-14,157.0
2013-05-15,193.0
2013-05-16,184.0
2013-05-17,171.0
2013-05-18,387.0
2013-05-19,363.0
2013-05-20,195.0
2013-05-21,175.0
2013-05-22,163.0
2013-05-23,139.0
2013-05-24,259.0
2013-05-25,284.0
2013-05-26,245.0
2013-05-27,158.0
2013-05-28,182.0
2013-05-29,163.0
2013-05-30,162.0
2013-05-31,182.0
2013-06-01,372.0
2013-06-02,370.0
2013-06-03,256.0
2013-06-04,180.0
2013-06-05,227.0
2013-06-06,161.0
2013-06-07,117.0
2013-06-08,281.0
2013-06-09,302.0
2013-06-10,178.0
2013-06-11,139.0
2013-06-12,162.0
2013-06-13,131.0
2013-06-14,131.0
2013-06-15,289.0
