,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
664727,2014-01-10,10,Dairy,241.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,354.0,227.0,335.2857142857143,367.0,313.1111111111111,275.0,219.0,48.0,84.23076923076923,91.0,85.8,71.0,81.6470588235294
666509,2014-01-11,10,Dairy,382.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,433.0,216.0,319.7142857142857,313.0,331.3333333333333,394.0,226.9090909090909,63.0,82.38461538461539,64.0,85.26666666666667,68.0,82.11764705882354
668291,2014-01-12,10,Dairy,432.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,281.0,347.0,318.42857142857144,224.0,356.77777777777777,223.0,232.1818181818182,105.0,77.84615384615384,109.0,87.53333333333333,105.0,80.82352941176471
670073,2014-01-13,10,Dairy,371.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,329.0,409.0,334.0,263.0,343.6666666666667,268.0,244.0,82.0,75.76923076923077,78.0,84.66666666666667,119.0,81.3529411764706
671855,2014-01-14,10,Dairy,324.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,274.0,352.0,341.7142857142857,236.0,323.0,156.0,251.0909090909091,97.0,77.76923076923077,92.0,82.26666666666667,62.0,82.05882352941177
673637,2014-01-15,10,Dairy,272.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,366.0,354.0,357.85714285714283,356.0,307.44444444444446,168.0,257.72727272727275,93.0,80.15384615384616,91.0,80.2,71.0,79.3529411764706
675419,2014-01-16,10,Dairy,244.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,396.0,433.0,347.42857142857144,461.0,296.6666666666667,163.0,248.8181818181818,66.0,80.61538461538461,74.0,78.13333333333334,68.0,78.88235294117646
677201,2014-01-17,10,Dairy,236.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,311.0,281.0,341.2857142857143,363.0,310.3333333333333,308.0,229.1818181818182,61.0,81.3076923076923,76.0,75.46666666666667,73.0,78.76470588235294
678983,2014-01-18,10,Dairy,386.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,457.0,329.0,347.57142857142856,324.0,326.55555555555554,340.0,219.54545454545453,48.0,81.23076923076923,60.0,73.6,58.0,79.23529411764706
680765,2014-01-19,10,Dairy,482.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,295.0,274.0,341.42857142857144,227.0,339.44444444444446,298.0,221.9090909090909,110.0,77.23076923076923,100.0,75.66666666666667,109.0,81.6470588235294
682547,2014-01-20,10,Dairy,362.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,446.0,366.0,344.85714285714283,216.0,339.22222222222223,242.0,241.72727272727272,115.0,76.84615384615384,82.0,73.33333333333333,91.0,83.17647058823529
684329,2014-01-21,10,Dairy,256.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,462.0,396.0,346.85714285714283,347.0,336.1111111111111,177.0,248.0,104.0,76.61538461538461,68.0,71.8,75.0,80.29411764705883
686111,2014-01-22,10,Dairy,204.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,316.0,311.0,363.57142857142856,409.0,327.0,178.0,247.27272727272728,56.0,75.6923076923077,66.0,73.0,100.0,77.52941176470588
687893,2014-01-23,10,Dairy,241.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,204.0,457.0,390.42857142857144,352.0,327.55555555555554,117.0,234.36363636363637,57.0,76.0,46.0,71.26666666666667,63.0,78.6470588235294
689675,2014-01-24,10,Dairy,239.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,350.0,295.0,383.2857142857143,354.0,332.77777777777777,294.0,219.72727272727272,62.0,75.84615384615384,35.0,73.0,63.0,79.11764705882354
691457,2014-01-25,10,Dairy,294.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,262.0,446.0,355.85714285714283,433.0,349.44444444444446,374.0,208.8181818181818,53.0,76.6923076923077,63.0,72.86666666666666,70.0,82.11764705882354
693239,2014-01-26,10,Dairy,453.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,241.0,462.0,361.42857142857144,281.0,354.8888888888889,237.0,225.63636363636363,77.0,71.76923076923077,95.0,77.06666666666666,81.0,84.76470588235294
695021,2014-01-27,10,Dairy,197.0,0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,2014,382.0,316.0,333.57142857142856,329.0,344.0,155.0,259.45454545454544,94.0,71.23076923076923,74.0,76.8,112.0,85.6470588235294
696803,2014-01-28,10,Dairy,260.0,0,97.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,2014,432.0,204.0,325.85714285714283,274.0,355.6666666666667,166.0,276.8181818181818,81.0,72.15384615384616,55.0,77.46666666666667,94.0,84.94117647058823
698585,2014-01-29,10,Dairy,132.0,0,97.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,1,2014,371.0,350.0,316.7142857142857,366.0,349.1111111111111,179.0,309.8181818181818,70.0,73.6923076923077,110.0,78.93333333333334,56.0,84.76470588235294
700367,2014-01-30,10,Dairy,177.0,0,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,1,2014,324.0,262.0,312.42857142857144,396.0,350.55555555555554,178.0,303.45454545454544,59.0,88.53846153846153,65.0,78.8,72.0,84.94117647058823
702149,2014-01-31,10,Dairy,213.0,0,97.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,1,2014,272.0,241.0,320.2857142857143,311.0,370.6666666666667,427.0,286.90909090909093,59.0,99.92307692307692,100.0,80.66666666666667,81.0,84.3529411764706
703931,2014-02-01,10,Dairy,333.0,0,97.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,2014,244.0,382.0,337.42857142857144,457.0,369.22222222222223,549.0,286.45454545454544,46.0,112.76923076923077,74.0,81.73333333333333,79.0,87.52941176470588
705713,2014-02-02,10,Dairy,339.0,0,96.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,2,2014,236.0,432.0,326.2857142857143,295.0,361.44444444444446,369.0,316.09090909090907,108.0,119.84615384615384,123.0,83.73333333333333,119.0,88.94117647058823
707495,2014-02-03,10,Dairy,360.0,0,96.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,2014,386.0,371.0,323.7142857142857,446.0,359.6666666666667,480.0,347.3636363636364,116.0,133.76923076923077,96.0,82.86666666666666,118.0,89.05882352941177
709277,2014-02-04,10,Dairy,316.0,0,97.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,2014,482.0,324.0,323.0,462.0,344.77777777777777,224.0,364.45454545454544,76.0,157.84615384615384,92.0,82.73333333333333,73.0,89.0
