,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
664774,2014-01-10,11,"Liquor,wine,beer",73.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,227.0,489.0,128.28571428571428,13.0,49.888888888888886,57.0,18.90909090909091,32.0,33.07692307692308,16.0,28.933333333333334,31.0,32.1764705882353
666556,2014-01-11,11,"Liquor,wine,beer",57.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,264.0,85.0,128.28571428571428,10.0,47.0,0.0,23.454545454545453,70.0,27.615384615384617,90.0,28.666666666666668,73.0,34.11764705882353
668338,2014-01-12,11,"Liquor,wine,beer",0.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,101.0,145.0,157.42857142857142,40.0,41.333333333333336,19.0,35.09090909090909,41.0,23.53846153846154,45.0,31.866666666666667,44.0,33.0
670120,2014-01-13,11,"Liquor,wine,beer",23.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,120.0,122.0,190.28571428571428,93.0,39.333333333333336,16.0,33.54545454545455,0.0,29.46153846153846,0.0,28.4,0.0,32.05882352941177
671902,2014-01-14,11,"Liquor,wine,beer",23.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,178.0,0.0,134.85714285714286,122.0,43.111111111111114,17.0,33.81818181818182,29.0,28.384615384615383,9.0,29.066666666666666,28.0,28.058823529411764
673684,2014-01-15,11,"Liquor,wine,beer",17.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,0.0,227.0,139.85714285714286,53.0,96.0,8.0,32.09090909090909,39.0,27.923076923076923,29.0,30.466666666666665,14.0,28.470588235294116
675466,2014-01-16,11,"Liquor,wine,beer",38.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,346.0,264.0,144.57142857142858,0.0,104.33333333333333,60.0,28.363636363636363,10.0,27.23076923076923,39.0,30.2,45.0,29.823529411764707
677248,2014-01-17,11,"Liquor,wine,beer",52.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,338.0,101.0,127.14285714285714,23.0,116.0,150.0,32.72727272727273,11.0,25.615384615384617,28.0,31.6,38.0,31.647058823529413
679030,2014-01-18,11,"Liquor,wine,beer",63.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,16.0,120.0,176.57142857142858,34.0,119.22222222222223,0.0,33.72727272727273,25.0,22.0,24.0,35.0,43.0,34.05882352941177
680812,2014-01-19,11,"Liquor,wine,beer",0.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,35.0,178.0,192.42857142857142,489.0,105.66666666666667,16.0,39.0,77.0,20.846153846153847,92.0,33.2,62.0,32.23529411764706
682594,2014-01-20,11,"Liquor,wine,beer",11.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,51.0,0.0,157.0,85.0,125.0,10.0,37.45454545454545,0.0,24.615384615384617,0.0,30.2,0.0,28.294117647058822
684376,2014-01-21,11,"Liquor,wine,beer",27.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,0.0,346.0,147.57142857142858,145.0,154.33333333333334,16.0,37.63636363636363,8.0,22.384615384615383,10.0,30.8,16.0,26.58823529411765
686158,2014-01-22,11,"Liquor,wine,beer",15.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,4.0,338.0,137.71428571428572,122.0,163.0,48.0,33.27272727272727,12.0,19.46153846153846,35.0,32.13333333333333,24.0,27.88235294117647
687940,2014-01-23,11,"Liquor,wine,beer",39.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,7.0,16.0,112.28571428571429,0.0,172.55555555555554,30.0,19.727272727272727,11.0,19.615384615384617,26.0,30.8,7.0,26.823529411764707
689722,2014-01-24,11,"Liquor,wine,beer",40.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,12.0,35.0,112.85714285714286,227.0,138.0,74.0,22.636363636363637,23.0,19.692307692307693,31.0,30.133333333333333,45.0,27.11764705882353
