,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
664806,2014-01-10,12,Lingerie,1.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,4.0,31.0,10.0,11.0,8.222222222222221,8.0,9.0,8.0,10.153846153846153,13.0,9.8,4.0,9.117647058823529
666588,2014-01-11,12,Lingerie,5.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,7.0,2.0,9.571428571428571,5.0,7.444444444444445,11.0,8.545454545454545,13.0,10.615384615384615,8.0,9.866666666666667,1.0,9.058823529411764
668370,2014-01-12,12,Lingerie,5.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,4.0,5.0,9.428571428571429,0.0,7.222222222222222,7.0,9.545454545454545,3.0,9.0,10.0,8.933333333333334,12.0,9.176470588235293
670152,2014-01-13,12,Lingerie,8.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,10.0,12.0,10.142857142857142,4.0,7.0,7.0,10.454545454545455,9.0,8.461538461538462,17.0,8.8,16.0,8.705882352941176
671934,2014-01-14,12,Lingerie,10.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,8.0,10.0,6.285714285714286,1.0,5.111111111111111,17.0,10.909090909090908,4.0,7.0,8.0,8.466666666666667,9.0,8.411764705882353
673716,2014-01-15,12,Lingerie,17.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,13.0,4.0,7.428571428571429,5.0,7.333333333333333,7.0,10.909090909090908,6.0,7.076923076923077,3.0,8.4,11.0,8.529411764705882
675498,2014-01-16,12,Lingerie,12.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,8.0,7.0,7.857142857142857,13.0,7.0,4.0,11.090909090909092,8.0,7.0,8.0,8.2,12.0,8.294117647058824
677280,2014-01-17,12,Lingerie,3.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,0.0,4.0,8.0,5.0,7.555555555555555,19.0,10.090909090909092,7.0,6.923076923076923,8.0,7.666666666666667,11.0,7.764705882352941
679062,2014-01-18,12,Lingerie,14.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,6.0,10.0,7.714285714285714,2.0,8.444444444444445,16.0,9.818181818181818,2.0,6.769230769230769,8.0,7.0,11.0,7.411764705882353
680844,2014-01-19,12,Lingerie,14.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,7.0,8.0,7.142857142857143,31.0,9.444444444444445,14.0,9.909090909090908,6.0,7.384615384615385,6.0,7.266666666666667,8.0,7.411764705882353
682626,2014-01-20,12,Lingerie,3.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,6.0,13.0,7.0,2.0,9.333333333333334,10.0,9.272727272727273,10.0,7.230769230769231,8.0,7.466666666666667,4.0,7.470588235294118
684408,2014-01-21,12,Lingerie,9.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,10.0,8.0,7.428571428571429,5.0,8.666666666666666,10.0,9.727272727272727,9.0,7.384615384615385,9.0,6.866666666666666,5.0,6.9411764705882355
686190,2014-01-22,12,Lingerie,15.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,0.0,0.0,6.857142857142857,12.0,8.555555555555555,0.0,9.818181818181818,6.0,7.3076923076923075,3.0,6.666666666666667,3.0,6.117647058823529
687972,2014-01-23,12,Lingerie,12.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,6.0,6.0,7.142857142857143,10.0,9.444444444444445,4.0,9.0,7.0,7.461538461538462,3.0,8.133333333333333,10.0,5.823529411764706
689754,2014-01-24,12,Lingerie,6.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,12.0,7.0,5.285714285714286,4.0,6.888888888888889,8.0,8.454545454545455,11.0,6.923076923076923,3.0,9.466666666666667,3.0,5.411764705882353
691536,2014-01-25,12,Lingerie,6.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,16.0,6.0,5.0,7.0,8.11111111111111,10.0,7.909090909090909,11.0,7.153846153846154,3.0,9.6,2.0,5.117647058823529
693318,2014-01-26,12,Lingerie,11.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,1.0,10.0,6.714285714285714,4.0,8.444444444444445,12.0,8.272727272727273,7.0,7.3076923076923075,12.0,10.133333333333333,4.0,5.294117647058823
695100,2014-01-27,12,Lingerie,5.0,0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,2014,5.0,0.0,8.142857142857142,10.0,7.111111111111111,5.0,8.090909090909092,6.0,7.076923076923077,13.0,10.333333333333334,4.0,5.0
696882,2014-01-28,12,Lingerie,7.0,0,97.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,2014,5.0,6.0,7.285714285714286,8.0,6.666666666666667,10.0,9.454545454545455,5.0,6.923076923076923,8.0,11.066666666666666,2.0,4.9411764705882355
698664,2014-01-29,12,Lingerie,4.0,0,97.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,1,2014,8.0,12.0,7.142857142857143,13.0,7.0,10.0,9.909090909090908,10.0,7.153846153846154,5.0,12.333333333333334,3.0,5.176470588235294
700446,2014-01-30,12,Lingerie,0.0,0,98.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,1,2014,10.0,16.0,6.428571428571429,8.0,6.888888888888889,8.0,10.272727272727273,0.0,7.230769230769231,25.0,14.0,2.0,5.294117647058823
702228,2014-01-31,12,Lingerie,2.0,0,97.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,4,1,2014,17.0,1.0,7.571428571428571,0.0,7.555555555555555,14.0,10.454545454545455,5.0,6.846153846153846,28.0,14.866666666666667,4.0,5.352941176470588
704010,2014-02-01,12,Lingerie,8.0,0,97.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,2,2014,12.0,5.0,8.142857142857142,6.0,6.444444444444445,8.0,10.727272727272727,8.0,6.6923076923076925,10.0,15.533333333333333,4.0,5.352941176470588
705792,2014-02-02,12,Lingerie,6.0,0,96.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,2,2014,3.0,5.0,8.857142857142858,7.0,6.222222222222222,15.0,10.909090909090908,7.0,6.923076923076923,16.0,16.4,7.0,5.764705882352941
707574,2014-02-03,12,Lingerie,11.0,0,96.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,2014,14.0,8.0,8.285714285714286,6.0,6.111111111111111,9.0,11.727272727272727,7.0,7.076923076923077,9.0,16.4,14.0,5.764705882352941
709356,2014-02-04,12,Lingerie,7.0,0,97.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,2014,14.0,10.0,8.571428571428571,10.0,7.0,12.0,11.818181818181818,9.0,7.538461538461538,19.0,16.2,6.0,5.882352941176471
711138,2014-02-05,12,Lingerie,10.0,0,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2014,3.0,17.0,9.857142857142858,0.0,7.111111111111111,12.0,11.545454545454545,8.0,7.3076923076923075,28.0,17.066666666666666,7.0,5.823529411764706
712920,2014-02-06,12,Lingerie,13.0,0,97.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,2,2014,9.0,12.0,11.142857142857142,6.0,7.0,15.0,10.272727272727273,6.0,7.846153846153846,28.0,18.133333333333333,8.0,5.9411764705882355
714702,2014-02-07,12,Lingerie,3.0,0,99.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,2,2014,15.0,3.0,10.428571428571429,12.0,6.777777777777778,7.0,9.909090909090908,9.0,8.76923076923077,16.0,17.333333333333332,7.0,5.882352941176471
716484,2014-02-08,12,Lingerie,11.0,0,100.02666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,2,2014,12.0,14.0,10.285714285714286,16.0,7.0,19.0,8.636363636363637,10.0,8.692307692307692,13.0,16.6,4.0,6.0588235294117645
