,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
664814,2014-01-10,12,Prepared foods,18.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,12.0,13.0,10.857142857142858,29.0,17.666666666666668,7.0,15.545454545454545,6.0,12.615384615384615,10.0,19.066666666666666,27.0,21.58823529411765
666596,2014-01-11,12,Prepared foods,23.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,14.0,15.0,12.0,11.0,17.444444444444443,14.0,15.181818181818182,7.0,13.615384615384615,14.0,17.8,25.0,20.647058823529413
668378,2014-01-12,12,Prepared foods,14.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,13.0,7.0,12.285714285714286,6.0,15.222222222222221,15.0,15.818181818181818,12.0,13.846153846153847,19.0,18.8,19.0,21.058823529411764
670160,2014-01-13,12,Prepared foods,39.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,8.0,18.0,13.285714285714286,25.0,14.666666666666666,15.0,15.909090909090908,25.0,13.153846153846153,21.0,18.466666666666665,16.0,20.88235294117647
671942,2014-01-14,12,Prepared foods,14.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,18.0,14.0,13.285714285714286,9.0,13.222222222222221,17.0,14.727272727272727,24.0,14.538461538461538,14.0,18.6,2.0,21.58823529411765
673724,2014-01-15,12,Prepared foods,10.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,19.0,12.0,12.285714285714286,16.0,11.444444444444445,14.0,14.090909090909092,19.0,15.307692307692308,20.0,18.133333333333333,21.0,20.11764705882353
675506,2014-01-16,12,Prepared foods,15.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,25.0,14.0,13.857142857142858,6.0,11.88888888888889,8.0,14.272727272727273,2.0,15.692307692307692,21.0,17.866666666666667,32.0,20.58823529411765
677288,2014-01-17,12,Prepared foods,18.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,14.0,13.0,14.0,10.0,12.0,25.0,14.0,22.0,16.23076923076923,24.0,17.666666666666668,19.0,19.58823529411765
679070,2014-01-18,12,Prepared foods,22.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,16.0,8.0,15.571428571428571,7.0,11.222222222222221,13.0,13.545454545454545,15.0,16.307692307692307,14.0,18.133333333333333,10.0,19.235294117647058
680852,2014-01-19,12,Prepared foods,26.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,7.0,18.0,15.857142857142858,13.0,11.777777777777779,15.0,14.272727272727273,16.0,16.76923076923077,23.0,18.533333333333335,25.0,19.352941176470587
682634,2014-01-20,12,Prepared foods,16.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,22.0,19.0,16.142857142857142,15.0,11.333333333333334,12.0,14.363636363636363,24.0,17.153846153846153,26.0,18.466666666666665,31.0,18.647058823529413
684416,2014-01-21,12,Prepared foods,23.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,29.0,25.0,15.285714285714286,7.0,12.222222222222221,9.0,14.454545454545455,15.0,16.846153846153847,23.0,18.533333333333335,10.0,18.41176470588235
686198,2014-01-22,12,Prepared foods,22.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,7.0,14.0,17.285714285714285,18.0,12.555555555555555,11.0,14.727272727272727,17.0,16.23076923076923,9.0,19.066666666666666,35.0,18.352941176470587
687980,2014-01-23,12,Prepared foods,18.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,18.0,16.0,18.857142857142858,14.0,12.666666666666666,10.0,13.909090909090908,13.0,16.923076923076923,14.0,19.8,5.0,19.0
689762,2014-01-24,12,Prepared foods,21.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,15.0,7.0,17.142857142857142,12.0,13.222222222222221,23.0,13.454545454545455,8.0,16.153846153846153,13.0,19.933333333333334,25.0,18.58823529411765
691544,2014-01-25,12,Prepared foods,21.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,12.0,22.0,16.142857142857142,14.0,13.666666666666666,18.0,12.818181818181818,18.0,15.615384615384615,17.0,19.133333333333333,11.0,18.0
