,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
664818,2014-01-10,13,Automotive,6.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,4.0,1.0,3.7142857142857144,1.0,4.0,4.0,2.6363636363636362,3.0,3.923076923076923,0.0,5.0,6.0,3.235294117647059
666600,2014-01-11,13,Automotive,9.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,5.0,2.0,3.4285714285714284,4.0,4.666666666666667,4.0,2.727272727272727,6.0,3.6923076923076925,7.0,5.333333333333333,3.0,2.9411764705882355
668382,2014-01-12,13,Automotive,7.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,5.0,4.0,3.4285714285714284,4.0,5.444444444444445,2.0,3.090909090909091,4.0,3.4615384615384617,3.0,5.4,7.0,3.235294117647059
670164,2014-01-13,13,Automotive,5.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,7.0,2.0,3.5714285714285716,4.0,5.666666666666667,2.0,3.4545454545454546,3.0,3.4615384615384617,6.0,5.066666666666666,1.0,3.2941176470588234
671946,2014-01-14,13,Automotive,1.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,12.0,7.0,4.142857142857143,9.0,5.222222222222222,5.0,3.5454545454545454,3.0,3.6153846153846154,2.0,4.733333333333333,2.0,3.411764705882353
673728,2014-01-15,13,Automotive,3.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,13.0,4.0,4.857142857142857,8.0,5.222222222222222,4.0,3.4545454545454546,2.0,3.4615384615384617,4.0,4.933333333333334,4.0,3.411764705882353
675510,2014-01-16,13,Automotive,2.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,11.0,5.0,6.0,9.0,5.0,2.0,3.3636363636363638,4.0,3.6923076923076925,3.0,4.8,1.0,3.176470588235294
677292,2014-01-17,13,Automotive,4.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,11.0,5.0,7.571428571428571,4.0,5.0,4.0,3.1818181818181817,4.0,4.0,6.0,4.533333333333333,1.0,3.4705882352941178
679074,2014-01-18,13,Automotive,3.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,6.0,7.0,8.142857142857142,4.0,4.777777777777778,7.0,3.3636363636363638,2.0,4.0,8.0,5.0,1.0,3.588235294117647
680856,2014-01-19,13,Automotive,5.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,6.0,12.0,9.142857142857142,1.0,4.555555555555555,3.0,3.727272727272727,5.0,4.153846153846154,5.0,4.866666666666666,2.0,3.5294117647058822
