,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709339,2015-08-20,20,Bread/bakery,341.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,573.0,387.0,482.42857142857144,439.0,470.44444444444446,934.0,524.6363636363636,347.0,516.9230769230769,586.0,699.4760666666666
1711121,2015-08-21,20,Bread/bakery,272.0,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,407.0,377.0,474.57142857142856,356.0,502.44444444444446,642.0,541.8181818181819,614.0,486.15384615384613,734.0,663.2950666666667
1712903,2015-08-22,20,Bread/bakery,350.0,0,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,432.0,641.0,508.2857142857143,313.0,489.22222222222223,460.0,606.0909090909091,867.0,473.9230769230769,942.0,668.6950666666667
1714685,2015-08-23,20,Bread/bakery,720.0,67,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,345.0,771.0,512.5714285714286,400.0,438.3333333333333,443.0,599.6363636363636,360.0,529.8461538461538,434.0,661.5617333333333
1716467,2015-08-24,20,Bread/bakery,346.0,0,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,482.0,432.0,519.0,576.0,441.3333333333333,436.0,601.6363636363636,421.0,541.7692307692307,522.0,657.619
1718249,2015-08-25,20,Bread/bakery,357.0,0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,520.0,573.0,514.4285714285714,687.0,435.55555555555554,457.0,597.3636363636364,416.0,546.0769230769231,458.0,629.8856666666667
1720031,2015-08-26,20,Bread/bakery,333.0,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,491.0,407.0,491.7142857142857,487.0,437.8888888888889,589.0,553.3636363636364,416.0,552.2307692307693,564.0,635.6856666666666
1721813,2015-08-27,20,Bread/bakery,391.0,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,364.0,432.0,455.85714285714283,337.0,474.3333333333333,1102.0,533.7272727272727,282.0,554.9230769230769,342.0,620.7523333333334
1723595,2015-08-28,20,Bread/bakery,323.0,0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,384.0,345.0,464.2857142857143,377.0,515.5555555555555,520.0,556.6363636363636,729.0,528.8461538461538,655.285,636.6856666666666
1725377,2015-08-29,20,Bread/bakery,459.0,0,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,377.0,482.0,434.42857142857144,387.0,499.55555555555554,404.0,583.6363636363636,1198.0,512.0769230769231,928.0,651.5523333333333
1727159,2015-08-30,20,Bread/bakery,786.0,70,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,328.0,520.0,431.14285714285717,377.0,486.8888888888889,584.0,585.6363636363636,564.0,555.9230769230769,675.0,622.4856666666667
