,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709344,2015-08-20,20,Eggs,73.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,75.0,167.0,123.0,49.0,99.33333333333333,199.0,85.27272727272727,70.0,115.38461538461539,65.0,125.0
1711126,2015-08-21,20,Eggs,120.0,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,118.0,45.0,118.0,86.0,111.88888888888889,89.0,95.54545454545455,152.0,109.38461538461539,100.0,130.8
1712908,2015-08-22,20,Eggs,145.0,0,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,165.0,130.0,111.14285714285714,106.0,105.55555555555556,103.0,108.81818181818181,295.0,98.23076923076923,166.0,139.86666666666667
1714690,2015-08-23,20,Eggs,104.0,0,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,34.0,222.0,122.28571428571429,84.0,101.77777777777777,69.0,108.81818181818181,75.0,118.76923076923077,217.0,142.26666666666668
1716472,2015-08-24,20,Eggs,65.0,16,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,77.0,99.0,122.0,68.0,93.77777777777777,42.0,114.0909090909091,111.0,117.92307692307692,110.0,149.33333333333334
1718254,2015-08-25,20,Eggs,35.0,0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,110.0,75.0,120.42857142857143,154.0,106.88888888888889,60.0,111.27272727272727,32.0,128.30769230769232,99.0,145.2
1720036,2015-08-26,20,Eggs,69.0,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,99.0,118.0,112.85714285714286,134.0,102.33333333333333,166.0,105.72727272727273,46.0,126.53846153846153,65.0,151.4
1721818,2015-08-27,20,Eggs,38.0,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,159.0,165.0,96.85714285714286,123.0,105.0,255.0,105.36363636363636,79.0,125.38461538461539,36.0,139.2
1723600,2015-08-28,20,Eggs,51.0,0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,42.0,34.0,96.85714285714286,40.0,120.33333333333333,66.0,102.81818181818181,105.0,118.84615384615384,199.0,144.33333333333334
1725382,2015-08-29,20,Eggs,162.0,0,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,36.0,77.0,108.85714285714286,167.0,123.77777777777777,85.0,120.9090909090909,353.0,105.6923076923077,273.0,152.93333333333334
1727164,2015-08-30,20,Eggs,166.0,0,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,28.0,110.0,98.0,45.0,115.0,90.0,125.72727272727273,70.0,115.46153846153847,183.0,148.73333333333332
1728946,2015-08-31,20,Eggs,94.0,14,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,8,2015,92.0,99.0,79.57142857142857,130.0,113.22222222222223,138.0,139.0,197.0,114.84615384615384,220.0,137.06666666666666
1730728,2015-09-01,20,Eggs,144.0,0,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,2015,82.0,159.0,78.71428571428571,222.0,117.88888888888889,85.0,129.1818181818182,60.0,115.53846153846153,91.0,132.73333333333332
1732510,2015-09-02,20,Eggs,77.0,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,2015,63.0,42.0,80.85714285714286,99.0,117.22222222222223,75.0,112.54545454545455,55.0,125.61538461538461,197.0,133.06666666666666
