,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709347,2015-08-20,20,Grocery ii,8.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,4.0,15.0,15.428571428571429,8.0,12.444444444444445,4.0,6.090909090909091,14.0,9.846153846153847,5.0,17.333333333333332
1711129,2015-08-21,20,Grocery ii,12.0,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,10.0,13.0,14.285714285714286,10.0,11.555555555555555,2.0,8.454545454545455,16.0,9.23076923076923,27.0,17.4
1712911,2015-08-22,20,Grocery ii,19.0,0,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,4.0,15.0,13.428571428571429,20.0,12.0,1.0,9.727272727272727,11.0,7.923076923076923,35.0,18.133333333333333
1714693,2015-08-23,20,Grocery ii,10.0,0,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,0.0,20.0,12.285714285714286,10.0,11.777777777777779,8.0,9.636363636363637,7.0,9.0,14.0,17.933333333333334
1716475,2015-08-24,20,Grocery ii,5.0,0,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,14.0,9.0,10.714285714285714,2.0,11.444444444444445,4.0,10.0,3.0,8.615384615384615,11.0,17.133333333333333
1718257,2015-08-25,20,Grocery ii,14.0,0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,11.0,4.0,8.857142857142858,8.0,12.222222222222221,4.0,10.636363636363637,1.0,8.307692307692308,10.0,17.0
1720039,2015-08-26,20,Grocery ii,14.0,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,10.0,10.0,8.714285714285714,17.0,12.555555555555555,33.0,10.818181818181818,7.0,8.153846153846153,15.0,17.2
1721821,2015-08-27,20,Grocery ii,25.0,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,4.0,4.0,7.428571428571429,10.0,12.0,19.0,11.818181818181818,10.0,7.923076923076923,16.0,17.8
1723603,2015-08-28,20,Grocery ii,13.0,0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,1.0,0.0,7.571428571428571,18.0,13.11111111111111,16.0,12.909090909090908,5.0,6.846153846153846,33.0,20.466666666666665
1725385,2015-08-29,20,Grocery ii,11.0,0,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,14.0,14.0,7.571428571428571,15.0,13.88888888888889,11.0,12.909090909090908,19.0,6.3076923076923075,26.0,19.533333333333335
1727167,2015-08-30,20,Grocery ii,20.0,0,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,26.0,11.0,6.285714285714286,13.0,13.444444444444445,15.0,12.909090909090908,2.0,7.538461538461538,13.0,17.933333333333334
1728949,2015-08-31,20,Grocery ii,15.0,0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,8,2015,11.0,10.0,7.714285714285714,15.0,12.666666666666666,6.0,13.0,8.0,8.384615384615385,6.0,17.8
1730731,2015-09-01,20,Grocery ii,15.0,0,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,2015,17.0,4.0,11.428571428571429,20.0,12.0,13.0,10.818181818181818,3.0,8.538461538461538,16.0,18.066666666666666
1732513,2015-09-02,20,Grocery ii,31.0,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,2015,13.0,1.0,11.0,9.0,10.0,13.0,9.636363636363637,11.0,8.461538461538462,20.0,19.266666666666666
1734295,2015-09-03,20,Grocery ii,12.0,0,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,9,2015,18.0,14.0,11.857142857142858,4.0,9.88888888888889,8.0,9.727272727272727,2.0,8.692307692307692,20.0,18.666666666666668
1736077,2015-09-04,20,Grocery ii,15.0,0,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,9,2015,7.0,26.0,12.285714285714286,10.0,9.666666666666666,4.0,9.818181818181818,4.0,9.923076923076923,45.0,19.2
1737859,2015-09-05,20,Grocery ii,19.0,0,45.995000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,9,2015,8.0,11.0,14.285714285714286,4.0,9.11111111111111,5.0,10.272727272727273,23.0,10.538461538461538,13.0,18.466666666666665
1739641,2015-09-06,20,Grocery ii,20.0,0,45.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,9,2015,12.0,17.0,15.142857142857142,0.0,7.333333333333333,9.0,10.727272727272727,14.0,11.692307692307692,11.0,17.933333333333334
1741423,2015-09-07,20,Grocery ii,4.0,0,45.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,9,2015,19.0,13.0,14.285714285714286,14.0,6.444444444444445,6.0,10.181818181818182,3.0,12.846153846153847,12.0,17.933333333333334
1743205,2015-09-08,20,Grocery ii,13.0,0,45.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,9,2015,10.0,18.0,12.285714285714286,11.0,7.555555555555555,17.0,9.545454545454545,6.0,13.153846153846153,15.0,18.533333333333335
1744987,2015-09-09,20,Grocery ii,5.0,0,44.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,9,2015,5.0,7.0,13.428571428571429,10.0,9.333333333333334,12.0,10.0,13.0,12.692307692307692,28.0,17.866666666666667
1746769,2015-09-10,20,Grocery ii,13.0,0,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,9,2015,14.0,8.0,12.428571428571429,4.0,10.11111111111111,20.0,11.090909090909092,21.0,13.846153846153847,6.0,17.066666666666666
