,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709348,2015-08-20,20,Hardware,2.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,1.0,0.0,0.7142857142857143,1.0,0.7777777777777778,0.0,0.36363636363636365,0.0,0.46153846153846156,5.0,2.1333333333333333
1711130,2015-08-21,20,Hardware,1.0,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,0.0,0.0,0.7142857142857143,1.0,0.7777777777777778,0.0,0.36363636363636365,2.0,0.6153846153846154,1.0,2.066666666666667
1712912,2015-08-22,20,Hardware,0.0,0,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,1.0,2.0,0.8571428571428571,1.0,0.6666666666666666,0.0,0.36363636363636365,1.0,0.5384615384615384,2.0,1.6
1714694,2015-08-23,20,Hardware,0.0,0,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,0.0,1.0,0.7142857142857143,0.0,0.5555555555555556,1.0,0.5454545454545454,1.0,0.46153846153846156,0.0,1.5333333333333334
1716476,2015-08-24,20,Hardware,2.0,0,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,2.0,1.0,0.8571428571428571,0.0,0.5555555555555556,0.0,0.5454545454545454,0.0,0.6153846153846154,2.0,1.6
1718258,2015-08-25,20,Hardware,0.0,0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,4.0,1.0,0.8571428571428571,0.0,0.4444444444444444,1.0,0.45454545454545453,0.0,0.6153846153846154,1.0,1.6
1720040,2015-08-26,20,Hardware,1.0,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,2.0,0.0,0.8571428571428571,1.0,0.3333333333333333,0.0,0.5454545454545454,0.0,0.6153846153846154,0.0,1.4666666666666666
1721822,2015-08-27,20,Hardware,0.0,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,0.0,1.0,1.2857142857142858,0.0,0.4444444444444444,0.0,0.7272727272727273,2.0,0.6923076923076923,1.0,1.4
1723604,2015-08-28,20,Hardware,1.0,0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,2.0,0.0,1.4285714285714286,1.0,0.5555555555555556,2.0,0.8181818181818182,0.0,0.6923076923076923,2.0,1.2
1725386,2015-08-29,20,Hardware,0.0,0,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,2.0,2.0,1.2857142857142858,0.0,0.6666666666666666,0.0,1.0,0.0,0.6153846153846154,2.0,1.2666666666666666
1727168,2015-08-30,20,Hardware,1.0,0,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,3.0,4.0,1.5714285714285714,0.0,0.7777777777777778,1.0,1.0,2.0,0.5384615384615384,0.0,1.1333333333333333
1728950,2015-08-31,20,Hardware,0.0,0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,8,2015,1.0,2.0,1.7142857142857142,2.0,0.6666666666666666,1.0,0.9090909090909091,0.0,0.6923076923076923,1.0,1.1333333333333333
1730732,2015-09-01,20,Hardware,3.0,0,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,2015,0.0,0.0,2.142857142857143,1.0,0.7777777777777778,2.0,1.0,0.0,0.7692307692307693,2.0,1.0666666666666667
1732514,2015-09-02,20,Hardware,1.0,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,2015,0.0,2.0,2.0,1.0,0.6666666666666666,1.0,1.2727272727272727,1.0,0.9230769230769231,0.0,1.0
1734296,2015-09-03,20,Hardware,1.0,0,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,9,2015,0.0,2.0,1.4285714285714286,1.0,0.8888888888888888,3.0,1.0909090909090908,2.0,0.7692307692307693,2.0,1.2
1736078,2015-09-04,20,Hardware,1.0,0,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,9,2015,1.0,3.0,1.1428571428571428,0.0,1.3333333333333333,0.0,1.1818181818181819,0.0,0.9230769230769231,2.0,1.2
1737860,2015-09-05,20,Hardware,2.0,0,45.995000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,9,2015,2.0,1.0,1.1428571428571428,1.0,1.3333333333333333,0.0,1.1818181818181819,0.0,0.9230769230769231,2.0,1.2
1739642,2015-09-06,20,Hardware,1.0,0,45.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,9,2015,1.0,0.0,1.0,0.0,1.2222222222222223,1.0,1.0909090909090908,2.0,0.7692307692307693,0.0,1.1333333333333333
1741424,2015-09-07,20,Hardware,1.0,0,45.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,9,2015,0.0,0.0,1.0,2.0,1.3333333333333333,3.0,0.9090909090909091,1.0,0.9230769230769231,0.0,1.2
1743206,2015-09-08,20,Hardware,0.0,0,45.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,9,2015,0.0,0.0,0.7142857142857143,4.0,1.4444444444444444,0.0,0.8181818181818182,2.0,0.9230769230769231,1.0,1.1333333333333333
1744988,2015-09-09,20,Hardware,0.0,0,44.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,9,2015,2.0,1.0,0.5714285714285714,2.0,1.7777777777777777,1.0,0.5454545454545454,0.0,0.8461538461538461,0.0,1.3333333333333333
1746770,2015-09-10,20,Hardware,1.0,0,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,9,2015,0.0,2.0,0.5714285714285714,0.0,1.7777777777777777,1.0,0.5454545454545454,2.0,0.6923076923076923,3.0,1.3333333333333333
1748552,2015-09-11,20,Hardware,4.0,0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,9,2015,1.0,1.0,0.8571428571428571,2.0,1.7777777777777777,0.0,0.7272727272727273,0.0,0.6923076923076923,1.0,1.2666666666666666
1750334,2015-09-12,20,Hardware,2.0,0,44.52333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,9,2015,0.0,0.0,0.8571428571428571,2.0,1.5555555555555556,0.0,0.7272727272727273,0.0,0.8461538461538461,2.0,1.2
1752116,2015-09-13,20,Hardware,2.0,0,44.29666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,9,2015,1.0,0.0,0.8571428571428571,3.0,1.1111111111111112,0.0,0.5454545454545454,2.0,0.6923076923076923,1.0,1.0666666666666667
1753898,2015-09-14,20,Hardware,1.0,0,44.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,9,2015,0.0,2.0,0.5714285714285714,1.0,1.0,0.0,0.6363636363636364,0.0,0.6153846153846154,1.0,1.0666666666666667
1755680,2015-09-15,20,Hardware,0.0,0,44.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,9,2015,1.0,0.0,0.5714285714285714,0.0,1.2222222222222223,0.0,0.6363636363636364,0.0,0.46153846153846156,0.0,1.1333333333333333
1757462,2015-09-16,20,Hardware,0.0,0,47.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,9,2015,0.0,1.0,0.5714285714285714,0.0,1.1111111111111112,2.0,0.6363636363636364,0.0,0.5384615384615384,5.0,1.0666666666666667
1759244,2015-09-17,20,Hardware,0.0,0,46.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,9,2015,3.0,0.0,0.7142857142857143,0.0,0.8888888888888888,1.0,0.6363636363636364,0.0,0.38461538461538464,0.0,1.0666666666666667
1761026,2015-09-18,20,Hardware,0.0,0,44.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,9,2015,1.0,1.0,0.42857142857142855,1.0,0.5555555555555556,1.0,0.6363636363636364,2.0,0.46153846153846156,1.0,0.8666666666666667
1762808,2015-09-19,20,Hardware,0.0,0,45.36333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,9,2015,1.0,0.0,0.8571428571428571,2.0,0.6666666666666666,1.0,0.6363636363636364,0.0,0.46153846153846156,1.0,0.8666666666666667
1764590,2015-09-20,20,Hardware,4.0,0,46.016666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,9,2015,1.0,1.0,0.8571428571428571,1.0,0.6666666666666666,1.0,0.7272727272727273,0.0,0.3076923076923077,0.0,0.8666666666666667
1766372,2015-09-21,20,Hardware,0.0,0,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,9,2015,2.0,0.0,1.0,0.0,0.7777777777777778,1.0,0.7272727272727273,0.0,0.46153846153846156,0.0,0.8
1768154,2015-09-22,20,Hardware,0.0,0,46.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,9,2015,1.0,3.0,1.0,0.0,0.7777777777777778,0.0,0.6363636363636364,1.0,0.46153846153846156,1.0,0.7333333333333333
