,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709359,2015-08-20,20,Personal care,237.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,336.0,318.0,382.7142857142857,293.0,295.77777777777777,426.0,282.0,153.0,278.38461538461536,692.0,811.4666666666667
1711141,2015-08-21,20,Personal care,173.0,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,296.0,289.0,407.7142857142857,206.0,315.0,325.0,286.45454545454544,313.0,261.38461538461536,852.0,749.8666666666667
1712923,2015-08-22,20,Personal care,293.0,0,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,290.0,629.0,425.0,267.0,297.44444444444446,316.0,326.1818181818182,519.0,260.2307692307692,1128.0,743.2666666666667
1714705,2015-08-23,20,Personal care,382.0,1,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,202.0,794.0,438.2857142857143,164.0,265.8888888888889,209.0,330.6363636363636,233.0,299.9230769230769,530.0,714.2
1716487,2015-08-24,20,Personal care,178.0,0,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,340.0,406.0,434.2857142857143,355.0,256.77777777777777,213.0,346.0,202.0,320.2307692307692,574.0,701.4666666666667
1718269,2015-08-25,20,Personal care,194.0,0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,351.0,336.0,421.85714285714283,377.0,259.55555555555554,209.0,348.90909090909093,210.0,337.84615384615387,383.0,697.7333333333333
1720051,2015-08-26,20,Personal care,201.0,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,491.0,296.0,380.57142857142856,231.0,268.77777777777777,378.0,349.90909090909093,196.0,351.7692307692308,384.0,680.8
1721833,2015-08-27,20,Personal care,292.0,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,225.0,290.0,317.2857142857143,215.0,309.0,659.0,349.09090909090907,195.0,370.53846153846155,317.0,632.4666666666667
1723615,2015-08-28,20,Personal care,195.0,1,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,215.0,202.0,329.42857142857144,203.0,379.0,258.0,379.09090909090907,537.0,366.84615384615387,822.0,625.2
1725397,2015-08-29,20,Personal care,409.0,0,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,196.0,340.0,313.57142857142856,318.0,384.6666666666667,366.0,422.3636363636364,774.0,372.38461538461536,1172.0,609.7333333333333
1727179,2015-08-30,20,Personal care,544.0,0,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,179.0,351.0,302.0,289.0,380.1111111111111,479.0,445.8181818181818,478.0,418.2307692307692,567.0,554.9333333333333
1728961,2015-08-31,20,Personal care,325.0,0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,8,2015,291.0,491.0,288.57142857142856,629.0,387.3333333333333,437.0,471.6363636363636,430.0,430.53846153846155,653.0,538.7333333333333
1730743,2015-09-01,20,Personal care,443.0,1,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,2015,495.0,225.0,285.2857142857143,794.0,395.6666666666667,316.0,471.6363636363636,333.0,432.3076923076923,834.0,520.1333333333333
1732525,2015-09-02,20,Personal care,375.0,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,2015,252.0,215.0,278.2857142857143,406.0,395.55555555555554,646.0,439.45454545454544,397.0,438.15384615384613,341.0,509.3333333333333
1734307,2015-09-03,20,Personal care,331.0,2,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,9,2015,260.0,196.0,298.85714285714283,336.0,398.0,685.0,442.6363636363636,265.0,443.6923076923077,238.0,495.93333333333334
1736089,2015-09-04,20,Personal care,263.0,1,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,9,2015,243.0,179.0,264.7142857142857,296.0,404.8888888888889,471.0,446.09090909090907,591.0,422.46153846153845,583.0,498.0
