,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709364,2015-08-20,20,Produce,708.291,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,1600.904,795.968,1104.9759999999999,1041.086,919.8208888888888,1701.078,1028.3137272727272,0.0,0.0,0.0,0.0
1711146,2015-08-21,20,Produce,527.35803,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,797.223,804.812,1125.9950000000001,633.923,1031.4446666666668,868.014,1015.4051818181819,0.0,0.0,0.0,0.0
1712928,2015-08-22,20,Produce,904.433,0,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,804.872,1383.637,1202.1417142857142,770.567,1008.9915555555557,1499.848,1136.0565454545454,0.0,0.0,0.0,0.0
1714710,2015-08-23,20,Produce,1426.901,0,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,441.362,2111.643,1229.008857142857,686.303,950.4775555555555,819.511,1122.638,0.0,0.0,0.0,0.0
1716492,2015-08-24,20,Produce,762.497,1,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,869.016,1108.875,1230.2808571428573,1126.57,943.3964444444443,865.417,1187.1702727272727,0.0,66.83246153846154,0.0,0.0
1718274,2015-08-25,20,Produce,1015.12103,117,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,974.693,1600.904,1178.3594285714285,1593.347,916.161111111111,740.499,1170.8593636363637,0.0,195.1213076923077,0.0,0.0
1720056,2015-08-26,20,Produce,732.152,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,1388.437,797.223,1104.842142857143,961.742,935.1487777777778,1253.633,1104.5171818181816,0.0,253.43876923076925,0.0,0.0
1721838,2015-08-27,20,Produce,660.366,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,1256.968,804.872,942.4207142857142,1067.877,1003.2676666666666,2035.785,1096.4496363636363,0.0,318.82869230769234,0.0,0.0
1723620,2015-08-28,20,Produce,638.654,0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,703.515,441.362,982.3581428571428,609.153,1161.6387777777777,708.005,1076.3907272727272,0.0,373.63723076923077,0.0,0.0
1725402,2015-08-29,20,Produce,1031.313,0,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,638.935,869.016,933.2244285714286,795.968,1159.6726666666666,1380.931,1157.6937272727273,0.0,471.01,0.0,0.0
1727184,2015-08-30,20,Produce,1756.451,0,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,519.892,974.693,919.8375714285713,804.812,1160.5123333333333,1006.732,1176.0658181818183,868.822,631.7205384615385,0.0,0.0
1728966,2015-08-31,20,Produce,888.091,0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,8,2015,1068.702,1388.437,896.1322857142858,1383.637,1142.2324444444446,971.314,1236.9334545454547,1667.755,692.739,0.0,0.0
1730748,2015-09-01,20,Produce,1460.939,117,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,2015,1315.248,1256.968,907.3508571428572,2111.643,1113.0096666666666,779.271,1189.6136363636363,758.127,797.005,0.0,0.0
1732530,2015-09-02,20,Produce,980.919,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,2015,807.824,703.515,935.8774285714286,1108.875,1094.3662222222222,1279.2,1082.9876363636363,850.069,851.044,0.0,0.0
1734312,2015-09-03,20,Produce,950.712,0,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,9,2015,1086.76,638.935,984.5281428571428,1600.904,1102.4826666666668,1713.844,1074.9506363636362,712.511,916.2773076923077,0.0,0.0
1736094,2015-09-04,20,Produce,676.1,0,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,9,2015,655.353,519.892,901.5834285714285,797.223,1121.3583333333331,1067.51,1049.8173636363636,1265.846,960.8231538461539,0.0,0.0
1737876,2015-09-05,20,Produce,1240.665,3,45.995000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,9,2015,708.291,1068.702,877.268,804.872,1121.8916666666667,1410.043,1104.5547272727272,2089.237,1050.8473076923076,0.0,0.0
1739658,2015-09-06,20,Produce,1877.37,0,45.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,9,2015,527.35803,1315.248,870.3877142857143,441.362,1026.927777777778,733.115,1082.997090909091,793.24,1134.0626923076923,0.0,0.0
1741440,2015-09-07,20,Produce,907.075,0,45.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,9,2015,904.433,807.824,880.2957142857142,869.016,981.8877777777777,862.899,1109.1211818181816,1355.458,1074.8124615384618,0.0,0.0
1743222,2015-09-08,20,Produce,1149.559,115,45.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,9,2015,1426.901,1086.76,881.3622899999999,974.693,875.0023333333334,619.598,1074.9818181818182,702.507,1123.850923076923,0.0,0.0
1745004,2015-09-09,20,Produce,790.763,0,44.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,9,2015,762.497,655.353,857.89529,1388.437,844.1877777777778,1104.465,979.6802727272727,848.033,1112.9702307692307,0.0,0.0
1746786,2015-09-10,20,Produce,636.171,6,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,9,2015,1015.12103,708.291,873.8457185714285,1256.968,873.5022222222223,1608.843,936.155090909091,579.096,1123.9777692307694,0.0,0.0
1748568,2015-09-11,20,Produce,540.761,0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,9,2015,732.152,527.35803,867.3704328571429,703.515,970.6006666666666,734.18,913.7711818181818,1170.314,1078.2262307692308,0.0,0.0
1750350,2015-09-12,20,Produce,1061.598,0,44.52333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,9,2015,660.366,904.433,857.1362942857143,638.935,963.8015555555555,1066.636,992.0791818181817,1950.622,1008.7581538461538,0.0,0.0
1752132,2015-09-13,20,Produce,1761.2109,0,44.29666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,9,2015,638.654,1426.901,868.10758,519.892,976.2534444444443,903.667,974.805,897.502,1078.591846153846,0.0,0.0
1753914,2015-09-14,20,Produce,737.746,0,44.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,9,2015,1031.313,762.497,861.2611514285715,1068.702,894.7996666666667,665.527,1013.122090909091,1395.627,1041.0961538461538,0.0,0.0
1755696,2015-09-15,20,Produce,1054.152,111,44.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,9,2015,1756.451,1015.12103,877.1605757142858,1315.248,833.8355555555555,588.733,970.3455454545455,708.62,1102.430076923077,0.0,0.0
1757478,2015-09-16,20,Produce,672.981,0,47.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,9,2015,888.091,732.152,895.28629,807.824,814.2625588888889,1163.82,894.1386363636364,855.609,1100.236076923077,0.0,0.0
1759260,2015-09-17,20,Produce,570.379,0,46.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,9,2015,1460.939,660.366,942.3648614285715,1086.76,843.7623366666666,1594.503,889.7861818181817,671.076,1122.2607692307693,0.0,0.0
1761042,2015-09-18,20,Produce,535.054,9,44.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,9,2015,980.919,638.654,960.3068614285714,655.353,944.5411144444445,672.883,895.2347272727271,1186.152,1089.198076923077,0.0,0.0
1762824,2015-09-19,20,Produce,1205.634,0,45.36333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,9,2015,950.712,1031.313,1023.9951428571429,708.291,910.5183366666666,1041.086,957.932909090909,1701.078,1035.5835384615384,0.0,0.0
1764606,2015-09-20,20,Produce,1754.53,4,46.016666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,9,2015,676.1,1756.451,1059.5332857142857,527.35803,877.1708955555555,633.923,984.8615454545453,868.014,1123.143769230769,0.0,0.0
1766388,2015-09-21,20,Produce,784.677,0,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,9,2015,1240.665,888.091,1101.0112857142858,904.433,868.7628955555556,770.567,1028.4200909090907,1499.848,1070.2497692307693,0.0,0.0
1768170,2015-09-22,20,Produce,951.549,115,46.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,9,2015,1877.37,1460.939,1106.3607142857143,1426.901,821.3857844444444,686.303,977.9958181818182,819.511,1121.9660000000001,0.0,0.0
1769952,2015-09-23,20,Produce,588.293,0,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,9,2015,907.075,980.919,1136.2681428571427,762.497,819.5303399999999,1126.57,905.4017272727273,865.417,1133.590846153846,0.0,0.0
1771734,2015-09-24,20,Produce,529.675,0,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,9,2015,1149.559,950.712,1153.5422857142855,1015.12103,855.4216733333334,1593.347,917.3952727272729,740.499,1156.6860769230768,0.0,0.0
1773516,2015-09-25,20,Produce,535.107,0,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,9,2015,790.763,676.1,1156.2542857142857,732.152,991.9875588888889,961.742,948.5362727272727,1253.633,1125.3875384615385,0.0,0.0
1775298,2015-09-26,20,Produce,1089.242,0,45.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,9,2015,636.171,1240.665,1111.7714285714285,660.366,990.1717811111113,1067.877,1082.8744545454545,2035.785,1092.9353846153847,0.0,0.0
1777080,2015-09-27,20,Produce,1639.495,0,44.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,9,2015,540.761,1877.37,1084.6062857142856,638.654,993.9537811111113,609.153,1113.6297272727272,708.005,1157.9992307692307,0.0,0.0
1778862,2015-09-28,20,Produce,788.401,11,44.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,9,2015,1061.598,907.075,1039.671857142857,1031.313,1018.2228922222223,795.968,1196.7752727272727,1380.931,1124.7424615384616,0.0,0.0
1780644,2015-09-29,20,Produce,1132.374,121,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,9,2015,1761.2109,1149.559,1020.3377142857144,1756.451,1011.0663333333333,804.812,1166.8346363636365,1006.732,1170.168,0.0,0.0
