,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1709366,2015-08-20,20,Seafood,0.0,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,8,2015,18.0,2.0,10.269000142857143,7.499,9.10566671111111,22.091,8.705454545454545,5.0,11.670615384615385,9.0,10.266666666666667
1711148,2015-08-21,20,Seafood,0.0,0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,8,2015,9.808,7.251,11.178143,2.0,9.708111044444443,13.083,9.39872731818182,28.206,11.477384615384615,12.0,10.466666666666667
1712930,2015-08-22,20,Seafood,1.605,1,39.70666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,5,8,2015,9.032,16.72,13.178143,5.0,9.00555548888889,5.792,11.456000045454545,21.0,11.861999999999998,21.0,11.866666666666667
1714712,2015-08-23,20,Seafood,3.622,0,38.96333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,8,2015,6.044,29.276001,14.007857285714286,4.6070004,7.385888822222221,6.466,11.653090954545455,9.0,12.785076923076922,5.0,12.8
1716494,2015-08-24,20,Seafood,0.3,0,38.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,8,2015,14.007999,15.0,15.012428714285715,17.342,7.239777711111111,4.119,12.12363640909091,8.0,13.005769192307692,7.0,12.666666666666666
1718276,2015-08-25,20,Seafood,2.246,0,39.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,8,2015,10.129,18.0,14.840000142857141,12.073999,6.628777711111111,11.793,11.233727318181819,5.0,14.02569226923077,2.0,11.4
1720058,2015-08-26,20,Seafood,4.51,0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,8,2015,24.644001,9.808,14.452571428571428,8.636,7.212222155555556,13.1310005,11.255727318181817,16.0,14.333384576923077,6.0,12.0
1721840,2015-08-27,20,Seafood,3.475,0,42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,8,2015,6.639,9.032,11.717285571428572,4.0,8.514444377777778,24.97,10.987636409090909,7.0,14.717999961538462,2.0,11.133333333333333
1723622,2015-08-28,20,Seafood,3.78,0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,8,2015,7.291,6.044,13.094999999999999,4.0,11.255444444444443,8.76,12.097454590909091,19.0,12.890923038461539,16.0,11.266666666666667
1725404,2015-08-29,20,Seafood,8.566999,2,46.593333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,8,2015,10.004,14.007999,11.472,2.0,10.995222222222221,8.366,13.0785455,18.0,12.140923038461539,33.0,11.066666666666666
1727186,2015-08-30,20,Seafood,9.757999,0,47.89666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,8,2015,6.432,10.129,11.11242857142857,7.251,11.653666777777778,5.0,13.638818227272726,14.8689995,13.315384576923076,21.0,10.733333333333333
1728968,2015-08-31,20,Seafood,9.0,0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,8,2015,14.951,24.644001,11.251285714285714,16.72,11.783889,22.333,14.27327277272727,21.259,13.039846115384616,7.0,10.866666666666667
1730750,2015-09-01,20,Seafood,2.0,0,45.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,9,2015,17.789,6.639,11.306714285714287,29.276001,12.343000111111111,10.134,14.260727272727273,14.0,13.19369226923077,5.0,10.933333333333334
1732532,2015-09-02,20,Seafood,11.181,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,2015,6.284,7.291,11.441428714285715,15.0,12.570111222222222,18.0,13.506545454545455,10.0,12.402923061538463,19.0,11.133333333333333
1734314,2015-09-03,20,Seafood,13.196,0,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,9,2015,1.0,10.004,12.535714428571428,18.0,13.904333333333334,17.258,13.74390909090909,4.454,12.696923100000001,2.0,11.0
1736096,2015-09-04,20,Seafood,6.075,0,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,9,2015,0.0,6.432,9.912857142857144,9.808,14.22411111111111,10.282,13.788636363636362,11.25,11.768923099999999,11.0,11.333333333333334
