,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998058,2016-01-30,21,Cleaning,1632.0,0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,806.0,1421.0,1227.2857142857142,1228.0,1561.5555555555557,2169.0,1087.8181818181818,748.0,1185.0,2260.0,2154.9333333333334
1999840,2016-01-31,21,Cleaning,2047.0,1,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,1006.0,2047.0,1163.7142857142858,1314.0,1552.2222222222222,1184.0,1170.1818181818182,1624.0,1189.1538461538462,3600.0,2127.5333333333333
2001622,2016-02-01,21,Cleaning,1362.0,1,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,1208.0,982.0,1135.0,2001.0,1493.6666666666667,1223.0,1314.8181818181818,1901.0,1165.8461538461538,3655.0,2095.133333333333
2003404,2016-02-02,21,Cleaning,1322.0,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,2128.0,956.0,1138.857142857143,2487.0,1483.3333333333333,1090.0,1354.2727272727273,1468.0,1238.6153846153845,2032.0,2018.2
2005186,2016-02-03,21,Cleaning,1073.0,1,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,892.0,754.0,1108.4285714285713,1464.0,1460.2222222222222,991.0,1369.4545454545455,1929.0,1261.923076923077,1759.0,1971.2666666666667
2006968,2016-02-04,21,Cleaning,1158.0,1,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,753.0,806.0,1120.0,1463.0,1481.6666666666667,1140.0,1354.3636363636363,1114.0,1278.7692307692307,1539.0,1957.2
2008750,2016-02-05,21,Cleaning,1073.0,0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,734.0,1006.0,1107.142857142857,1199.0,1563.111111111111,1802.0,1227.7272727272727,781.0,1289.8461538461538,1218.0,1943.4666666666667
2010532,2016-02-06,21,Cleaning,2068.0,1,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,842.0,1208.0,1078.142857142857,1007.0,1449.888888888889,2367.0,1183.8181818181818,1076.0,1286.5384615384614,1381.0,1932.8666666666666
2012314,2016-02-07,21,Cleaning,1643.0,0,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,797.0,2128.0,1075.2857142857142,979.0,1279.7777777777778,1084.0,1178.090909090909,1418.0,1225.1538461538462,2114.0,1890.4
2014096,2016-02-08,21,Cleaning,990.0,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,1185.0,892.0,1080.4285714285713,1421.0,1200.888888888889,866.0,1261.909090909091,1824.0,1172.1538461538462,2258.0,1807.6666666666667
