,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998059,2016-01-30,21,Dairy,415.0,0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,272.0,470.0,443.0,389.0,530.2222222222222,864.0,420.27272727272725,280.0,459.0769230769231,734.0,789.4
1999841,2016-01-31,21,Dairy,720.0,1,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,288.0,778.0,425.2857142857143,467.0,539.1111111111111,425.0,436.27272727272725,551.0,454.0769230769231,1133.0,785.4
2001623,2016-02-01,21,Dairy,441.0,0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,510.0,377.0,409.85714285714283,567.0,517.8888888888889,453.0,476.45454545454544,594.0,428.2307692307692,1355.0,769.9333333333333
2003405,2016-02-02,21,Dairy,428.0,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,750.0,380.0,407.7142857142857,980.0,514.2222222222222,383.0,490.45454545454544,480.0,458.15384615384613,777.0,746.3333333333334
2005187,2016-02-03,21,Dairy,306.0,96,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,379.0,289.0,413.42857142857144,533.0,508.6666666666667,389.0,499.54545454545456,724.0,468.61538461538464,735.0,737.0666666666667
2006969,2016-02-04,21,Dairy,309.0,0,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,334.0,272.0,409.42857142857144,546.0,517.6666666666666,332.0,494.90909090909093,488.0,468.2307692307692,594.0,730.9333333333333
2008751,2016-02-05,21,Dairy,302.0,0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,308.0,288.0,409.7142857142857,413.0,552.2222222222222,531.0,440.54545454545456,274.0,474.46153846153845,478.0,719.8666666666667
2010533,2016-02-06,21,Dairy,463.0,0,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,236.0,510.0,403.14285714285717,380.0,531.1111111111111,852.0,430.27272727272725,363.0,472.6923076923077,433.0,715.1333333333333
2012315,2016-02-07,21,Dairy,444.0,0,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,254.0,750.0,405.85714285714283,303.0,464.44444444444446,403.0,429.54545454545456,494.0,464.46153846153845,740.0,718.9333333333333
2014097,2016-02-08,21,Dairy,359.0,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,438.0,379.0,400.7142857142857,470.0,437.3333333333333,389.0,462.54545454545456,750.0,452.0769230769231,838.0,717.2666666666667
2015879,2016-02-09,21,Dairy,383.0,0,27.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,1,2,2016,731.0,334.0,395.85714285714283,778.0,406.8888888888889,423.0,465.1818181818182,485.0,484.2307692307692,987.0,664.4
2017661,2016-02-10,21,Dairy,430.0,117,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,2,2016,275.0,308.0,385.57142857142856,377.0,393.0,266.0,469.54545454545456,329.0,462.9230769230769,549.0,646.6666666666666
2019443,2016-02-11,21,Dairy,374.0,0,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,2,2016,289.0,236.0,382.85714285714283,380.0,407.44444444444446,312.0,451.27272727272725,356.0,455.46153846153845,539.0,627.6
2021225,2016-02-12,21,Dairy,295.0,0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,2,2016,269.0,254.0,368.0,289.0,457.1111111111111,445.0,400.27272727272725,257.0,465.2307692307692,405.0,613.7333333333333
2023007,2016-02-13,21,Dairy,463.0,0,29.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,2,2016,271.0,438.0,361.57142857142856,272.0,447.0,746.0,390.27272727272725,444.0,458.0769230769231,430.0,606.4
2024789,2016-02-14,21,Dairy,598.0,0,29.185000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,2,2016,266.0,731.0,356.0,288.0,397.6666666666667,418.0,403.90909090909093,433.0,444.7692307692308,791.0,623.6
