,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998062,2016-01-30,21,Frozen foods,112.292,25,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,50.0,140.387,87.35957142857141,385.05603,259.4734457777778,109.654,56.35218181818182,45.0,44.610615384615386,83.673,69.65413333333332
1999844,2016-01-31,21,Frozen foods,81.957,2,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,98.858,150.176,83.71885714285713,383.771,232.956668,43.0,67.58454545454546,88.0,44.533692307692306,103.0,71.9208
2001626,2016-02-01,21,Frozen foods,70.0,0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,118.645,49.781,81.23299999999999,81.534,220.40189022222222,91.511,76.47472727272726,64.32,45.321,109.0,69.65413333333332
2003408,2016-02-02,21,Frozen foods,85.351,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,69.565,68.0,85.78657142857142,112.314,180.11500133333334,60.425,80.99572727272727,66.0,49.39792307692308,44.0,70.05413333333333
2005190,2016-02-03,21,Frozen foods,41.857,0,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,75.325,43.304,82.68057142857143,48.010002,139.225448,48.231,86.04472727272727,78.853,50.47484615384615,54.0,68.85413333333332
2006972,2016-02-04,21,Frozen foods,75.0,1,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,51.463,50.0,71.16471428571428,39.171,112.04000022222222,57.701,83.48890909090909,22.0,51.36938461538462,45.952,67.38746666666667
2008754,2016-02-05,21,Frozen foods,84.251,0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,40.0,98.858,74.81385714285715,68.789,86.0850002222222,162.556,77.561,30.0,54.06169230769231,59.591,67.5208
2010536,2016-02-06,21,Frozen foods,129.0,19,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,24.0,118.645,72.45142857142858,67.401,82.5568891111111,133.248,78.1497270909091,45.0,54.15323076923077,62.0,65.94773333333333
2012318,2016-02-07,21,Frozen foods,97.5,1,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,80.24,69.565,71.97942857142857,66.983,77.63311133333333,89.728,90.03145436363637,63.0,51.07630769230769,123.0,64.76953333333333
2014100,2016-02-08,21,Frozen foods,56.0,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,94.641,75.325,68.26514285714286,140.387,77.11022222222222,76.539,94.141818,69.0,55.31946153846154,65.0,64.13013333333333
2015882,2016-02-09,21,Frozen foods,85.0,0,27.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,1,2,2016,97.114,51.463,65.60542857142858,150.176,78.31344444444443,45.785,95.38090890909092,39.0,57.691,77.0,59.330133333333336
2017664,2016-02-10,21,Frozen foods,50.0,0,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,2,2016,45.29,40.0,62.17628571428571,49.781,81.65444444444444,44.447,106.44299981818182,47.629,55.54846153846154,40.0,58.06346666666666
2019446,2016-02-11,21,Frozen foods,42.745,0,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,2,2016,47.0,24.0,66.11185714285715,68.0,87.34822222222222,49.475998,114.33754527272727,45.0,57.42892307692307,43.0,56.7968
2021228,2016-02-12,21,Frozen foods,69.0,0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,2,2016,42.0,80.24,61.82114285714285,43.304,87.6351111111111,222.21,115.24036345454543,46.19,57.42892307692307,53.0,57.53333333333333
2023010,2016-02-13,21,Frozen foods,134.243,27,29.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,2,2016,46.0,94.641,61.183571428571426,50.0,80.406,105.639,134.910818,48.0,56.81353846153846,27.0,58.617733333333334
2024792,2016-02-14,21,Frozen foods,91.45,3,29.185000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,2,2016,64.0,97.114,61.46928571428571,98.858,69.43788888888889,61.861,242.22354527272728,119.481,54.89046153846153,66.0,64.75106666666667
2026574,2016-02-15,21,Frozen foods,48.0,0,29.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,2,2016,112.292,45.29,64.61214285714286,118.645,68.35111111111111,179.384,281.58481800000004,96.83,56.73038461538461,93.409,61.15106666666667
2028356,2016-02-16,21,Frozen foods,49.0,0,29.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2,2016,81.957,47.0,62.29214285714285,69.565,63.462222222222216,249.396,338.0549089090909,51.0,63.22338461538462,37.0,59.48440000000001
2030138,2016-02-17,21,Frozen foods,46.956,0,30.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,2,2016,70.0,42.0,64.81371428571428,75.325,67.56622222222222,143.179,433.87490909090906,46.446,62.16861538461538,25.0,56.81773333333334
2031920,2016-02-18,21,Frozen foods,54.0,0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,2,2016,85.351,46.0,62.64842857142857,51.463,72.52633333333334,306.103,518.8035454545454,30.0,61.70707692307691,35.0,55.61773333333334
2033702,2016-02-19,21,Frozen foods,38.0,0,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,2,2016,41.857,64.0,66.17842857142857,40.0,72.33255555555554,1256.979,565.0016363636364,37.0,60.88138461538461,57.0,55.15106666666667
2035484,2016-02-20,21,Frozen foods,97.0,16,30.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,2,2016,75.0,112.292,71.65714285714286,24.0,64.182,478.759,584.6344545454546,38.0,60.26576923076924,75.857,55.01773333333334
2037266,2016-02-21,21,Frozen foods,61.0,2,30.776666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6,2,2016,84.251,81.957,71.63671428571429,80.24,61.67477777777778,665.618,584.8524545454546,92.919,52.6903076923077,154.0,59.28393333333334
2039048,2016-02-22,21,Frozen foods,53.0,0,31.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,2,2016,129.0,70.0,75.77957142857143,94.641,57.97200000000001,1103.496,601.2694545454546,123.409,50.92638461538461,69.0,59.9506
2040830,2016-02-23,21,Frozen foods,59.0,0,31.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,2,2016,97.5,85.351,78.67257142857144,97.114,57.364999999999995,1156.425,627.7976345454546,33.917,55.43823076923077,40.0,56.11513333333333
2042612,2016-02-24,21,Frozen foods,41.0,0,30.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,2,2016,56.0,41.857,81.05942857142857,45.29,60.031666666666666,613.818,634.9751827272728,39.0,55.17315384615385,37.0,56.715133333333334
2044394,2016-02-25,21,Frozen foods,48.0,0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,2,2016,85.0,75.0,83.27985714285715,47.0,69.84188888888889,277.822,555.5926372727273,35.456,59.90476923076923,22.0,57.51513333333333
2046176,2016-02-26,21,Frozen foods,78.666,0,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,2,2016,50.0,84.251,81.27985714285715,42.0,70.03266666666667,181.782,519.4812736363637,39.997,61.70669230769231,36.0,58.5818
2047958,2016-02-27,21,Frozen foods,123.534,22,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,42.745,129.0,81.22971428571428,46.0,67.29477777777778,429.983,469.18091,21.0,62.49369230769231,51.0,57.248466666666666
2049740,2016-02-28,21,Frozen foods,78.925,3,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,69.0,97.5,82.393,64.0,65.98777777777778,434.98898,373.22763745454546,73.899,59.784615384615385,90.993,61.05800000000001
2051522,2016-02-29,21,Frozen foods,47.0,0,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,134.243,56.0,77.78514285714286,112.292,65.60633333333334,385.05603,271.659092,109.654,62.795923076923074,76.0,57.25800000000001
2053304,2016-03-01,21,Frozen foods,85.0,0,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,91.45,85.0,75.60642857142857,81.957,68.71744444444444,383.771,222.1110010909091,43.0,70.43676923076924,35.877,54.924666666666674
2055086,2016-03-02,21,Frozen foods,81.604996,0,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,48.0,50.0,76.35542857142858,70.0,73.412,81.534,202.98181927272728,91.511,74.33892307692308,46.0,55.458000000000006
2056868,2016-03-03,21,Frozen foods,37.0,0,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,49.0,42.745,75.49114285714286,85.351,82.63422222222223,112.314,192.54554654545456,60.425,77.49915384615385,37.0,55.82466666666667
2058650,2016-03-04,21,Frozen foods,70.0,0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,46.956,69.0,74.34828571428571,41.857,86.35644444444445,48.010002,166.21863745454547,48.231,77.9443846153846,51.0,56.69133333333334
2060432,2016-03-05,21,Frozen foods,91.0,15,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,54.0,134.243,69.20542857142857,75.0,80.10177777777777,39.171,140.32654836363636,57.701,79.74799999999999,37.0,57.424666666666674
2062214,2016-03-06,21,Frozen foods,80.0,3,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,38.0,91.45,68.77057142857143,84.251,80.4398888888889,68.789,109.84700018181819,162.556,77.86930753846153,133.0,58.20793333333334
2063996,2016-03-07,21,Frozen foods,69.825,0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,97.0,48.0,70.37842857142857,129.0,78.21766666666667,67.401,81.14054563636364,133.248,86.52746138461538,97.0,57.2084
2065778,2016-03-08,21,Frozen foods,47.089,0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,3,2016,61.0,49.0,65.94985714285714,97.5,73.48366666666666,66.983,77.66509109090909,89.728,91.345846,34.0,54.64939986666666
2067560,2016-03-09,21,Frozen foods,42.0,1,37.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,3,2016,53.0,46.956,60.62942857142857,56.0,76.49955555555556,140.387,72.000182,76.539,89.06507676923077,48.0,58.52426653333334
2069342,2016-03-10,21,Frozen foods,33.0,0,37.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,3,2016,59.0,54.0,56.279428571428575,85.0,83.08211111111112,150.176,76.62272727272727,45.785,98.21576907692308,42.5,59.454933200000006
2071124,2016-03-11,21,Frozen foods,80.0,0,38.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,3,2016,41.0,38.0,56.99371428571429,50.0,83.882,49.781,83.84763636363635,44.447,113.68999984615385,35.0,59.854933200000005
2072906,2016-03-12,21,Frozen foods,88.0,20,38.07333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,3,2016,48.0,97.0,58.422285714285714,42.745,74.882,68.0,83.91818181818181,49.475998,120.26523061538462,47.0,59.52159986666667
2074688,2016-03-13,21,Frozen foods,81.0,2,37.63666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,3,2016,78.666,61.0,57.57142857142857,69.0,69.49311111111112,43.304,84.63854545454545,222.21,131.30730753846154,62.749,62.72159986666667
2076470,2016-03-14,21,Frozen foods,27.0,0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,3,2016,123.534,53.0,56.714285714285715,134.243,68.48822222222222,50.0,83.22763636363635,105.639,217.74815369230768,76.0,59.854933200000005
2078252,2016-03-15,21,Frozen foods,46.0,0,36.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,3,2016,78.925,59.0,62.523714285714284,91.45,65.04377777777778,98.858,74.10154545454544,61.861,247.67361523076923,37.614998,55.854933200000005
2080034,2016-03-16,21,Frozen foods,63.755,0,38.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,3,2016,47.0,41.0,66.31428571428572,48.0,63.71044444444445,118.645,62.631,179.384,292.98738446153845,94.0,56.2549332
2081816,2016-03-17,21,Frozen foods,32.0,0,40.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,3,2016,85.0,48.0,68.875,49.0,69.73877777777778,69.565,65.39999999999999,249.396,374.34976907692305,59.96,55.79726666666667
2083598,2016-03-18,21,Frozen foods,35.0,0,39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,3,2016,81.604996,78.666,68.01785714285714,46.956,68.8498888888889,75.325,67.8219090909091,143.179,459.8865383076923,43.0,54.49726666666667
2085380,2016-03-19,21,Frozen foods,111.0,16,39.61666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5,3,2016,37.0,123.534,71.73214285714286,54.0,59.82288888888888,51.463,72.71372727272727,306.103,503.29746153846156,46.0,55.485400000000006
2087162,2016-03-20,21,Frozen foods,53.0,2,39.76333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,3,2016,70.0,78.925,77.53285657142858,38.0,56.217333333333336,40.0,72.28554545454546,1256.979,507.57530769230766,85.0,57.074999999999996
2088944,2016-03-21,21,Frozen foods,35.0,0,39.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,3,2016,91.0,47.0,75.961428,97.0,55.43955555555556,24.0,67.57118181818181,478.759,513.4324615384614,90.0,56.49173333333333
2090726,2016-03-22,21,Frozen foods,36.0,0,41.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,3,2016,80.0,85.0,74.723428,61.0,55.32844444444444,80.24,60.60345454545455,665.618,541.7495384615385,37.0,54.09173333333333
2092508,2016-03-23,21,Frozen foods,65.0,0,38.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,3,2016,69.825,81.604996,70.07571371428571,53.0,58.85177777777777,94.641,58.46118181818183,1103.496,561.41146,40.0,54.7840668
2094290,2016-03-24,21,Frozen foods,56.0,0,38.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,3,2016,47.089,37.0,70.22928514285715,59.0,66.57777777777778,97.114,57.431636363636365,1156.425,571.8468469230769,41.135002,51.650733466666665
2096072,2016-03-25,21,Frozen foods,47.475998,0,38.1025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25,4,3,2016,42.0,70.0,73.48999942857142,41.0,71.125,45.29,62.96154545454545,613.818,590.3539238461539,23.0,50.920066799999994
2097854,2016-03-26,21,Frozen foods,83.0,19,38.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,3,2016,33.0,91.0,68.07414228571429,48.0,65.56944444444444,47.0,66.7758181818182,277.822,573.0793853846154,49.822,51.18673346666666
2099636,2016-03-27,21,Frozen foods,57.175,1,38.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,3,2016,80.0,80.0,62.41628571428571,78.666,68.23611111111111,42.0,70.95763636363637,181.782,485.0282315384615,70.844,53.65340013333333
2101418,2016-03-28,21,Frozen foods,25.0,0,37.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,3,2016,88.0,69.825,61.844857142857144,123.534,71.414444,46.0,71.42227272727273,429.983,451.8936932307692,54.0,52.32006679999999
2103200,2016-03-29,21,Frozen foods,61.0,0,36.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,3,2016,81.0,47.089,63.27342857142857,78.925,68.96999955555556,64.0,66.62372727272727,434.98898,403.70546246153845,40.0,49.7200668
2104982,2016-03-30,21,Frozen foods,49.391,0,36.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,3,2016,27.0,42.0,62.844857142857144,47.0,72.19222177777777,112.292,64.61336363636364,385.05603,324.11261630769235,48.0,49.453400133333325
2106764,2016-03-31,21,Frozen foods,66.0,1,36.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3,3,2016,46.0,33.0,62.98771428571428,85.0,76.96999955555556,81.957,68.15527272727273,383.771,240.34153938461537,47.0,49.586733466666665
2108546,2016-04-01,21,Frozen foods,95.0,0,35.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4,4,2016,63.755,80.0,56.86985714285714,81.604996,77.11822177777779,70.0,75.60981818181818,81.534,198.2773086153846,49.0,50.71106666666666
2110328,2016-04-02,21,Frozen foods,85.0,19,35.00666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,4,2016,32.0,88.0,56.714285714285715,37.0,71.1505551111111,85.351,80.65527272727273,112.314,187.70538553846154,47.0,53.2444
2112110,2016-04-03,21,Frozen foods,72.0,4,34.65333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,4,2016,35.0,81.0,59.82214285714286,70.0,67.61322177777778,41.857,81.56436363636364,48.010002,185.2741547692308,83.0,53.65626666666666
2113892,2016-04-04,21,Frozen foods,61.0,0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,2016,111.0,27.0,59.67928571428571,91.0,67.05766622222222,75.0,83.47345454545454,39.171,156.02784707692308,65.0,54.666666666666664
2115674,2016-04-05,21,Frozen foods,59.0,0,34.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,4,2016,53.0,46.0,53.25071428571429,80.0,61.279888444444445,84.251,77.81054545454545,68.789,127.79792553846154,51.0,54.52366666666667
2117456,2016-04-06,21,Frozen foods,74.11,0,37.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,4,2016,35.0,63.755,56.53642857142857,69.825,61.10155555555556,129.0,74.2458181818182,67.401,101.50930784615386,33.0,54.123666666666665
2119238,2016-04-07,21,Frozen foods,32.0,0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,4,2016,36.0,32.0,52.53642857142857,47.089,66.76822222222222,97.5,74.15490909090909,66.983,75.83461553846153,42.0,52.99033333333333
2121020,2016-04-08,21,Frozen foods,75.0,0,39.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,4,2016,65.0,35.0,53.67928571428571,42.0,67.99044444444445,56.0,78.59963636363636,140.387,77.16723092307691,58.0,52.72366666666667
2122802,2016-04-09,21,Frozen foods,76.053,15,39.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,4,2016,56.0,111.0,52.25071428571429,33.0,60.879333333333335,85.0,83.1080909090909,150.176,77.65423092307692,61.0,52.257
2124584,2016-04-10,21,Frozen foods,68.679,2,40.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,4,2016,47.475998,53.0,52.42857142857143,80.0,57.10155555555556,50.0,80.65354545454545,49.781,79.31230769230768,56.0,54.52366666666667
2126366,2016-04-11,21,Frozen foods,38.0,1,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,2016,83.0,35.0,55.857142857142854,88.0,56.42711111111111,42.745,77.44890909090908,68.0,82.09338461538461,86.0,53.39033333333334
2128148,2016-04-12,21,Frozen foods,58.147,2,42.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,4,2016,57.175,36.0,57.63942828571429,81.0,54.75055555555556,69.0,69.99036363636364,43.304,80.76061538461538,51.855,51.657000000000004
2129930,2016-04-13,21,Frozen foods,35.0,2,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,4,2016,25.0,65.0,53.63942828571429,27.0,53.97277777777778,134.243,66.03581818181819,50.0,78.65284615384616,34.0,49.99033333333333
2131712,2016-04-14,21,Frozen foods,58.561,1,41.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,4,2016,61.0,56.0,54.235856857142856,46.0,62.63944444444444,91.45,64.39945454545455,98.858,75.34646153846153,31.0,49.190333333333335
