,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998067,2016-01-30,21,Home and kitchen ii,40.0,0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,23.0,42.0,35.57142857142857,19.0,39.333333333333336,36.0,24.545454545454547,21.0,36.38461538461539,64.0,66.73333333333333
1999849,2016-01-31,21,Home and kitchen ii,44.0,0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,29.0,67.0,32.57142857142857,24.0,39.55555555555556,32.0,27.181818181818183,40.0,36.38461538461539,115.0,64.66666666666667
2001631,2016-02-01,21,Home and kitchen ii,26.0,1,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,29.0,22.0,31.428571428571427,58.0,38.0,19.0,30.545454545454547,53.0,32.92307692307692,118.0,65.66666666666667
2003413,2016-02-02,21,Home and kitchen ii,20.0,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,64.0,24.0,31.571428571428573,72.0,38.22222222222222,20.0,30.727272727272727,45.0,34.69230769230769,44.0,66.73333333333333
2005195,2016-02-03,21,Home and kitchen ii,18.0,0,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,37.0,14.0,29.714285714285715,31.0,38.55555555555556,18.0,31.545454545454547,49.0,35.0,46.0,66.53333333333333
2006977,2016-02-04,21,Home and kitchen ii,31.0,0,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,21.0,23.0,29.285714285714285,49.0,41.111111111111114,42.0,33.81818181818182,32.0,34.69230769230769,52.0,64.4
2008759,2016-02-05,21,Home and kitchen ii,29.0,0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,24.0,29.0,31.428571428571427,35.0,45.888888888888886,54.0,31.90909090909091,18.0,34.61538461538461,42.0,63.93333333333333
2010541,2016-02-06,21,Home and kitchen ii,39.0,0,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,23.0,29.0,31.0,31.0,41.888888888888886,62.0,31.0,35.0,34.23076923076923,44.0,62.733333333333334
2012323,2016-02-07,21,Home and kitchen ii,32.0,0,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,24.0,64.0,32.42857142857143,28.0,36.55555555555556,21.0,32.0,29.0,33.46153846153846,75.0,62.2
2014105,2016-02-08,21,Home and kitchen ii,30.0,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,29.0,37.0,32.42857142857143,42.0,34.666666666666664,27.0,34.0,52.0,31.53846153846154,95.0,60.46666666666667
2015887,2016-02-09,21,Home and kitchen ii,26.0,0,27.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,1,2,2016,68.0,21.0,31.714285714285715,67.0,31.77777777777778,41.0,34.81818181818182,28.0,31.76923076923077,87.0,54.46666666666667
2017669,2016-02-10,21,Home and kitchen ii,21.0,0,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,2,2016,14.0,24.0,31.714285714285715,22.0,31.11111111111111,15.0,33.0,22.0,29.307692307692307,48.0,53.13333333333333
2019451,2016-02-11,21,Home and kitchen ii,44.0,0,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,2,2016,25.0,23.0,32.285714285714285,24.0,30.88888888888889,22.0,29.90909090909091,26.0,28.53846153846154,38.0,52.06666666666667
2021233,2016-02-12,21,Home and kitchen ii,20.0,0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,2,2016,20.0,24.0,29.0,14.0,34.888888888888886,30.0,25.454545454545453,16.0,29.076923076923077,43.0,51.2
2023015,2016-02-13,21,Home and kitchen ii,46.0,0,29.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,2,2016,15.0,29.0,29.571428571428573,23.0,34.333333333333336,42.0,26.818181818181817,30.0,28.615384615384617,30.0,49.06666666666667
2024797,2016-02-14,21,Home and kitchen ii,42.0,0,29.185000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,2,2016,17.0,68.0,29.0,29.0,29.22222222222222,27.0,27.454545454545453,28.0,28.076923076923077,56.0,50.8
2026579,2016-02-15,21,Home and kitchen ii,39.0,0,29.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,2,2016,40.0,14.0,27.857142857142858,29.0,29.444444444444443,22.0,28.90909090909091,48.0,25.846153846153847,89.0,49.86666666666667
2028361,2016-02-16,21,Home and kitchen ii,27.0,0,29.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2,2016,44.0,25.0,26.857142857142858,64.0,29.333333333333332,20.0,30.0,17.0,26.53846153846154,28.0,46.46666666666667
2030143,2016-02-17,21,Home and kitchen ii,29.0,0,30.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,2,2016,26.0,20.0,28.428571428571427,37.0,30.444444444444443,13.0,32.18181818181818,22.0,26.307692307692307,24.0,42.8
2031925,2016-02-18,21,Home and kitchen ii,18.0,0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,2,2016,20.0,15.0,25.0,21.0,31.11111111111111,36.0,32.0,25.0,26.23076923076923,30.0,40.93333333333333
2033707,2016-02-19,21,Home and kitchen ii,14.0,0,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,2,2016,18.0,17.0,26.714285714285715,24.0,35.44444444444444,34.0,30.545454545454547,29.0,26.923076923076923,39.0,40.266666666666666
2035489,2016-02-20,21,Home and kitchen ii,29.0,0,30.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,2,2016,31.0,40.0,26.0,23.0,33.77777777777778,57.0,32.36363636363637,22.0,26.076923076923077,10.0,39.0
2037271,2016-02-21,21,Home and kitchen ii,35.0,0,30.776666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6,2,2016,29.0,44.0,25.714285714285715,24.0,29.444444444444443,27.0,34.81818181818182,23.0,25.307692307692307,70.0,39.8
2039053,2016-02-22,21,Home and kitchen ii,33.0,0,31.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,2,2016,39.0,26.0,28.0,29.0,27.555555555555557,46.0,35.63636363636363,37.0,22.846153846153847,61.0,39.733333333333334
2040835,2016-02-23,21,Home and kitchen ii,28.0,0,31.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,2,2016,32.0,20.0,29.714285714285715,68.0,26.88888888888889,28.0,36.72727272727273,19.0,24.307692307692307,44.0,35.93333333333333
2042617,2016-02-24,21,Home and kitchen ii,10.0,0,30.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,2,2016,30.0,18.0,29.571428571428573,14.0,26.11111111111111,26.0,35.18181818181818,25.0,25.076923076923077,32.0,36.06666666666667
2044399,2016-02-25,21,Home and kitchen ii,18.0,0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,2,2016,26.0,31.0,27.857142857142858,25.0,28.0,47.0,34.27272727272727,25.0,24.615384615384617,20.0,37.333333333333336
2046181,2016-02-26,21,Home and kitchen ii,13.0,0,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,2,2016,21.0,29.0,28.428571428571427,20.0,30.22222222222222,49.0,34.36363636363637,19.0,23.923076923076923,28.0,36.733333333333334
2047963,2016-02-27,21,Home and kitchen ii,42.0,0,32.013333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,2,2016,44.0,39.0,29.285714285714285,15.0,29.88888888888889,29.0,38.45454545454545,18.0,23.615384615384617,24.0,36.06666666666667
2049745,2016-02-28,21,Home and kitchen ii,48.0,0,32.376666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,2,2016,20.0,32.0,29.714285714285715,17.0,24.555555555555557,25.0,37.09090909090909,16.0,25.076923076923077,42.0,40.4
2051527,2016-02-29,21,Home and kitchen ii,31.0,0,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,2016,46.0,30.0,31.571428571428573,40.0,25.0,19.0,39.0,36.0,26.384615384615383,55.0,39.733333333333334
2053309,2016-03-01,21,Home and kitchen ii,29.0,0,34.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,2016,42.0,26.0,30.285714285714285,44.0,25.666666666666668,24.0,39.81818181818182,32.0,29.692307692307693,32.0,37.8
2055091,2016-03-02,21,Home and kitchen ii,21.0,0,34.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2016,39.0,21.0,31.285714285714285,26.0,26.666666666666668,58.0,38.36363636363637,19.0,29.384615384615383,30.0,37.13333333333333
2056873,2016-03-03,21,Home and kitchen ii,18.0,0,34.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,2016,27.0,44.0,32.714285714285715,20.0,29.333333333333332,72.0,36.45454545454545,20.0,29.53846153846154,43.0,36.4
2058655,2016-03-04,21,Home and kitchen ii,20.0,0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,3,2016,29.0,20.0,34.0,18.0,31.0,31.0,37.63636363636363,18.0,31.23076923076923,21.0,36.93333333333333
2060437,2016-03-05,21,Home and kitchen ii,32.0,0,36.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,3,2016,18.0,46.0,34.142857142857146,31.0,29.88888888888889,49.0,41.45454545454545,42.0,31.0,29.0,36.2
2062219,2016-03-06,21,Home and kitchen ii,39.0,0,37.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,3,2016,14.0,42.0,35.285714285714285,29.0,27.88888888888889,35.0,41.72727272727273,54.0,31.46153846153846,75.0,37.46666666666667
2064001,2016-03-07,21,Home and kitchen ii,20.0,0,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,2016,29.0,39.0,31.571428571428573,39.0,27.333333333333332,31.0,41.72727272727273,62.0,31.0,60.0,38.86666666666667
2065783,2016-03-08,21,Home and kitchen ii,14.0,0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,3,2016,35.0,27.0,30.714285714285715,32.0,30.0,28.0,37.72727272727273,21.0,31.76923076923077,32.0,36.733333333333334
2067565,2016-03-09,21,Home and kitchen ii,20.0,0,37.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,3,2016,33.0,29.0,28.285714285714285,30.0,30.22222222222222,42.0,33.27272727272727,27.0,32.38461538461539,34.0,37.06666666666667
2069347,2016-03-10,21,Home and kitchen ii,13.0,0,37.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,3,2016,28.0,18.0,27.285714285714285,26.0,31.88888888888889,67.0,33.09090909090909,41.0,32.53846153846154,21.0,36.8
2071129,2016-03-11,21,Home and kitchen ii,23.0,0,38.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,3,2016,10.0,14.0,26.428571428571427,21.0,33.333333333333336,22.0,31.272727272727273,15.0,32.69230769230769,28.0,35.0
2072911,2016-03-12,21,Home and kitchen ii,30.0,0,38.07333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5,3,2016,18.0,29.0,26.571428571428573,44.0,33.333333333333336,24.0,33.90909090909091,22.0,30.46153846153846,17.0,35.06666666666667
