,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998068,2016-01-30,21,Home appliances,0.0,0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,0.0,0.0,0.2857142857142857,0.0,0.8888888888888888,0.0,0.18181818181818182,2.0,0.6153846153846154,0.0,0.0
1999850,2016-01-31,21,Home appliances,1.0,0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,1.0,0.0,0.2857142857142857,0.0,0.7777777777777778,0.0,0.36363636363636365,0.0,0.38461538461538464,0.0,0.0
2001632,2016-02-01,21,Home appliances,0.0,0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,0.0,0.0,0.2857142857142857,1.0,0.4444444444444444,0.0,0.36363636363636365,1.0,0.38461538461538464,0.0,0.0
2003414,2016-02-02,21,Home appliances,1.0,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,0.0,0.0,0.14285714285714285,1.0,0.3333333333333333,0.0,0.2727272727272727,1.0,0.38461538461538464,0.0,0.0
2005196,2016-02-03,21,Home appliances,0.0,0,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,0.0,0.0,0.14285714285714285,1.0,0.5555555555555556,1.0,0.2727272727272727,0.0,0.38461538461538464,0.0,0.0
2006978,2016-02-04,21,Home appliances,1.0,0,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,1.0,0.0,0.14285714285714285,0.0,0.5555555555555556,0.0,0.2727272727272727,0.0,0.38461538461538464,0.0,0.0
2008760,2016-02-05,21,Home appliances,0.0,0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,0.0,1.0,0.14285714285714285,0.0,0.5555555555555556,2.0,0.2727272727272727,0.0,0.38461538461538464,0.0,0.0
2010542,2016-02-06,21,Home appliances,1.0,0,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,0.0,0.0,0.2857142857142857,0.0,0.4444444444444444,0.0,0.2727272727272727,0.0,0.23076923076923078,0.0,0.0
2012324,2016-02-07,21,Home appliances,1.0,0,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,1.0,0.0,0.2857142857142857,2.0,0.3333333333333333,0.0,0.36363636363636365,0.0,0.23076923076923078,0.0,0.0
2014106,2016-02-08,21,Home appliances,0.0,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,0.0,0.0,0.2857142857142857,0.0,0.2222222222222222,0.0,0.45454545454545453,0.0,0.15384615384615385,0.0,0.0
