,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998070,2016-01-30,21,Ladieswear,9.0,0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,3.0,5.0,5.428571428571429,3.0,7.666666666666667,17.0,4.181818181818182,2.0,4.615384615384615,6.0,9.333333333333334
1999852,2016-01-31,21,Ladieswear,13.0,0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,1.0,14.0,5.285714285714286,5.0,7.111111111111111,2.0,4.363636363636363,8.0,5.230769230769231,22.0,10.266666666666667
2001634,2016-02-01,21,Ladieswear,13.0,0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,7.0,4.0,5.428571428571429,8.0,7.333333333333333,2.0,5.909090909090909,5.0,4.615384615384615,16.0,9.733333333333333
2003416,2016-02-02,21,Ladieswear,0.0,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,23.0,2.0,5.428571428571429,26.0,6.444444444444445,10.0,7.454545454545454,3.0,5.076923076923077,3.0,8.866666666666667
2005198,2016-02-03,21,Ladieswear,0.0,0,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,9.0,9.0,5.714285714285714,2.0,6.555555555555555,3.0,8.0,20.0,5.384615384615385,4.0,8.466666666666667
2006980,2016-02-04,21,Ladieswear,3.0,0,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,7.0,3.0,7.0,2.0,6.777777777777778,3.0,8.545454545454545,1.0,5.461538461538462,1.0,8.4
2008762,2016-02-05,21,Ladieswear,5.0,0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,9.0,1.0,7.714285714285714,10.0,7.777777777777778,2.0,7.363636363636363,1.0,5.076923076923077,6.0,8.0
2010544,2016-02-06,21,Ladieswear,6.0,0,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,4.0,7.0,8.428571428571429,2.0,7.333333333333333,18.0,7.363636363636363,10.0,5.0,2.0,7.466666666666667
2012326,2016-02-07,21,Ladieswear,1.0,0,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,0.0,23.0,8.428571428571429,1.0,4.666666666666667,17.0,7.909090909090909,3.0,4.384615384615385,18.0,8.466666666666667
2014108,2016-02-08,21,Ladieswear,8.0,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,5.0,9.0,8.571428571428571,5.0,5.444444444444445,6.0,9.090909090909092,7.0,4.3076923076923075,13.0,8.533333333333333
2015890,2016-02-09,21,Ladieswear,4.0,0,27.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,1,2,2016,16.0,7.0,8.428571428571429,14.0,5.555555555555555,14.0,9.363636363636363,5.0,5.538461538461538,13.0,8.0
2017672,2016-02-10,21,Ladieswear,1.0,0,27.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,2,2016,1.0,9.0,8.142857142857142,4.0,4.555555555555555,4.0,9.363636363636363,1.0,4.538461538461538,1.0,8.4
2019454,2016-02-11,21,Ladieswear,2.0,0,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,2,2016,5.0,4.0,7.142857142857143,2.0,5.111111111111111,2.0,9.181818181818182,0.0,4.461538461538462,4.0,8.4
2021236,2016-02-12,21,Ladieswear,0.0,0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,2,2016,2.0,0.0,6.0,9.0,7.555555555555555,8.0,8.090909090909092,1.0,4.769230769230769,2.0,8.466666666666667
2023018,2016-02-13,21,Ladieswear,5.0,0,29.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,2,2016,4.0,5.0,5.714285714285714,3.0,8.0,23.0,7.2727272727272725,0.0,4.076923076923077,1.0,8.266666666666667
2024800,2016-02-14,21,Ladieswear,6.0,0,29.185000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,2,2016,1.0,16.0,4.714285714285714,1.0,7.222222222222222,6.0,7.2727272727272725,4.0,4.076923076923077,21.0,8.533333333333333
2026582,2016-02-15,21,Ladieswear,2.0,0,29.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,2,2016,9.0,1.0,4.714285714285714,7.0,7.777777777777778,3.0,7.636363636363637,19.0,3.923076923076923,23.0,7.866666666666666
2028364,2016-02-16,21,Ladieswear,9.0,0,29.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2,2016,13.0,5.0,4.857142857142857,23.0,8.0,0.0,8.363636363636363,7.0,4.615384615384615,8.0,7.2
2030146,2016-02-17,21,Ladieswear,1.0,0,30.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,2,2016,13.0,2.0,5.428571428571429,9.0,7.0,6.0,8.727272727272727,0.0,4.6923076923076925,9.0,6.466666666666667
2031928,2016-02-18,21,Ladieswear,3.0,0,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,2,2016,0.0,4.0,5.0,7.0,7.222222222222222,8.0,8.272727272727273,5.0,4.6923076923076925,4.0,6.466666666666667
2033710,2016-02-19,21,Ladieswear,3.0,0,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,2,2016,0.0,1.0,6.714285714285714,9.0,8.88888888888889,6.0,6.454545454545454,1.0,4.6923076923076925,2.0,6.2
2035492,2016-02-20,21,Ladieswear,3.0,0,30.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,2,2016,3.0,9.0,6.0,4.0,8.222222222222221,18.0,6.545454545454546,3.0,4.6923076923076925,3.0,6.4
2037274,2016-02-21,21,Ladieswear,19.0,0,30.776666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6,2,2016,5.0,13.0,5.714285714285714,0.0,6.222222222222222,12.0,7.0,5.0,4.384615384615385,6.0,6.933333333333334
2039056,2016-02-22,21,Ladieswear,3.0,0,31.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,2,2016,6.0,13.0,5.571428571428571,5.0,5.444444444444445,6.0,7.909090909090909,14.0,3.5384615384615383,8.0,6.533333333333333
2040838,2016-02-23,21,Ladieswear,3.0,0,31.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,2,2016,1.0,0.0,6.142857142857143,16.0,5.111111111111111,3.0,7.363636363636363,2.0,4.3076923076923075,3.0,6.0
2042620,2016-02-24,21,Ladieswear,7.0,0,30.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,2,2016,8.0,0.0,5.714285714285714,1.0,4.222222222222222,3.0,6.909090909090909,0.0,4.461538461538462,2.0,5.733333333333333
2044402,2016-02-25,21,Ladieswear,0.0,0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3,2,2016,4.0,3.0,4.0,5.0,4.777777777777778,7.0,6.818181818181818,1.0,4.230769230769231,1.0,5.333333333333333
