,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1998079,2016-01-30,21,Poultry,201.158,0,32.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,1,2016,149.091,200.844,182.40386000000004,228.133,264.56822222222223,304.702,175.81163636363635,116.864,186.12838461538462,223.84799,258.3747993333333
1999861,2016-01-31,21,Poultry,237.637,0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1,2016,151.14099,291.59702,178.26443285714285,255.116,254.9835555555556,185.289,182.1589090909091,211.703,183.7924615384615,405.482,257.20799933333336
2001643,2016-02-01,21,Poultry,160.866,0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,2016,199.114,161.942,177.59343285714286,222.939,239.70711111111112,249.697,199.38945454545456,287.186,181.41523,368.444,255.886066
2003425,2016-02-02,21,Poultry,161.249,0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2016,263.06702,147.089,180.18571714285716,211.631,207.95955555555554,185.429,203.02527272727275,265.143,195.45699923076924,229.86,250.132666
2005207,2016-02-03,21,Poultry,93.662,0,32.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2016,184.963,159.59601,179.9385742857143,169.793,194.94133333333332,147.847,204.50372727272725,213.697,198.72484538461538,233.346,241.2833326666667
2006989,2016-02-04,21,Poultry,116.837,0,31.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2016,142.448,149.091,175.86286,191.505,191.9092222222222,179.572,202.23563636363636,123.242,203.00523,221.112,241.97699933333334
2008771,2016-02-05,21,Poultry,148.433,14,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2016,100.277,151.14099,179.1515742857143,188.572,195.96266888888889,240.703,183.65363636363634,156.615,205.36346076923076,172.839,242.5231326666667
2010553,2016-02-06,21,Poultry,215.33899,0,30.476666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,2,2016,83.205,199.114,178.4885742857143,153.788,189.18522444444443,296.538,180.70427272727272,162.986,210.13976846153844,197.947,247.51059933333332
2012335,2016-02-07,21,Poultry,155.321,0,30.093333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,2,2016,86.631996,263.06702,170.01442999999998,132.995,182.0138911111111,146.688,175.6239090909091,228.01599,208.6083069230769,301.033,250.122
2014117,2016-02-08,21,Poultry,156.308,0,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,2,2016,179.819,184.963,160.6021442857143,200.844,180.88089222222223,152.429,183.9663618181818,348.069,204.63246076923076,297.279,244.53553333333335
