,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2135298,2016-04-16,22,Automotive,3.0,0,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,7.0,8.0,5.571428571428571,2.0,3.3333333333333335,4.0,6.454545454545454,7.0,5.0,16.0,15.0
2137080,2016-04-17,22,Automotive,13.0,0,39.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,4,2016,3.0,2.0,5.428571428571429,1.0,2.7777777777777777,5.0,6.909090909090909,8.0,5.384615384615385,20.0,13.933333333333334
2138862,2016-04-18,22,Automotive,4.0,0,39.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,4,2016,10.0,9.0,5.714285714285714,7.0,3.111111111111111,5.0,6.2727272727272725,3.0,5.076923076923077,12.0,12.333333333333334
2140644,2016-04-19,22,Automotive,6.0,0,40.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,4,2016,8.0,2.0,4.714285714285714,6.0,3.4444444444444446,15.0,5.7272727272727275,2.0,4.615384615384615,12.0,10.6
2142426,2016-04-20,22,Automotive,4.0,0,42.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,4,2016,4.0,2.0,5.0,2.0,4.444444444444445,7.0,5.454545454545454,5.0,4.076923076923077,4.0,10.133333333333333
2144208,2016-04-21,22,Automotive,3.0,0,43.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,4,2016,2.0,7.0,5.857142857142857,4.0,5.111111111111111,5.0,5.2727272727272725,3.0,4.230769230769231,5.0,9.933333333333334
2145990,2016-04-22,22,Automotive,2.0,0,42.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,4,2016,4.0,3.0,5.142857142857143,3.0,5.222222222222222,8.0,5.363636363636363,4.0,4.538461538461538,0.0,9.2
2147772,2016-04-23,22,Automotive,3.0,0,42.39666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,4,2016,5.0,10.0,5.142857142857143,5.0,5.444444444444445,4.0,5.363636363636363,10.0,4.3076923076923075,4.0,8.866666666666667
2149554,2016-04-24,22,Automotive,4.0,0,42.03333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,4,2016,6.0,8.0,5.428571428571429,10.0,5.0,1.0,5.090909090909091,2.0,4.538461538461538,18.0,8.866666666666667
2151336,2016-04-25,22,Automotive,20.0,0,41.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,4,2016,2.0,4.0,5.142857142857143,8.0,5.0,2.0,4.363636363636363,1.0,4.615384615384615,10.0,8.466666666666667
2153118,2016-04-26,22,Automotive,3.0,0,42.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,4,2016,4.0,2.0,5.571428571428571,2.0,5.333333333333333,2.0,4.454545454545454,1.0,5.0,6.0,8.266666666666667
2154900,2016-04-27,22,Automotive,3.0,0,45.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,4,2016,2.0,4.0,4.428571428571429,9.0,5.333333333333333,5.0,4.454545454545454,4.0,4.846153846153846,5.0,8.2
2156682,2016-04-28,22,Automotive,2.0,0,46.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,4,2016,9.0,5.0,3.857142857142857,2.0,5.888888888888889,5.0,4.090909090909091,9.0,5.384615384615385,10.0,8.466666666666667
