,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2135304,2016-04-16,22,Celebration,2.0,0,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,1.0,7.0,8.142857142857142,1.0,7.222222222222222,3.0,5.909090909090909,5.0,8.23076923076923,20.0,17.333333333333332
2137086,2016-04-17,22,Celebration,8.0,0,39.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,4,2016,7.0,1.0,6.428571428571429,5.0,4.666666666666667,4.0,6.363636363636363,6.0,8.923076923076923,17.0,15.866666666666667
2138868,2016-04-18,22,Celebration,4.0,0,39.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,4,2016,7.0,4.0,5.714285714285714,13.0,6.111111111111111,9.0,6.545454545454546,9.0,7.153846153846154,13.0,14.066666666666666
2140650,2016-04-19,22,Celebration,3.0,0,40.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,4,2016,11.0,5.0,4.285714285714286,3.0,6.444444444444445,4.0,5.545454545454546,7.0,7.615384615384615,8.0,13.666666666666666
2142432,2016-04-20,22,Celebration,3.0,0,42.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,4,2016,8.0,5.0,4.285714285714286,5.0,7.666666666666667,11.0,5.454545454545454,2.0,6.769230769230769,15.0,13.266666666666667
2144214,2016-04-21,22,Celebration,0.0,0,43.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,4,2016,4.0,1.0,5.714285714285714,2.0,8.333333333333334,4.0,6.090909090909091,8.0,6.615384615384615,18.0,11.933333333333334
2145996,2016-04-22,22,Celebration,5.0,0,42.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,4,2016,5.0,7.0,6.285714285714286,17.0,7.888888888888889,10.0,6.909090909090909,8.0,6.461538461538462,6.0,11.666666666666666
2147778,2016-04-23,22,Celebration,15.0,0,42.39666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,4,2016,3.0,7.0,6.142857142857143,6.0,6.888888888888889,5.0,7.636363636363637,12.0,6.846153846153846,7.0,11.666666666666666
2149560,2016-04-24,22,Celebration,4.0,0,42.03333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,4,2016,3.0,11.0,6.142857142857143,17.0,7.111111111111111,3.0,7.090909090909091,1.0,7.076923076923077,15.0,10.733333333333333
2151342,2016-04-25,22,Celebration,0.0,0,41.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,4,2016,7.0,8.0,6.428571428571429,7.0,7.111111111111111,4.0,7.545454545454546,16.0,6.923076923076923,6.0,10.0
2153124,2016-04-26,22,Celebration,3.0,0,42.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,4,2016,4.0,4.0,5.857142857142857,1.0,7.0,10.0,7.181818181818182,0.0,7.153846153846154,16.0,9.8
2154906,2016-04-27,22,Celebration,8.0,0,45.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,4,2016,1.0,5.0,5.857142857142857,4.0,5.888888888888889,12.0,7.454545454545454,4.0,7.384615384615385,12.0,10.066666666666666
2156688,2016-04-28,22,Celebration,4.0,0,46.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,4,2016,4.0,3.0,4.857142857142857,5.0,6.0,12.0,7.636363636363637,6.0,7.615384615384615,4.0,9.666666666666666
2158470,2016-04-29,22,Celebration,13.0,0,45.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,4,2016,3.0,3.0,3.857142857142857,5.0,5.333333333333333,3.0,8.181818181818182,10.0,7.6923076923076925,9.0,8.866666666666667
2160252,2016-04-30,22,Celebration,11.0,0,45.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,4,2016,3.0,7.0,3.857142857142857,1.0,5.444444444444445,9.0,8.727272727272727,9.0,7.846153846153846,9.0,9.2
2162034,2016-05-01,22,Celebration,10.0,0,45.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6,5,2016,15.0,4.0,3.5714285714285716,7.0,5.777777777777778,7.0,9.272727272727273,7.0,8.692307692307692,6.0,10.266666666666667
2163816,2016-05-02,22,Celebration,2.0,0,44.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,5,2016,2.0,1.0,3.5714285714285716,7.0,5.888888888888889,7.0,9.0,10.0,8.307692307692308,6.0,10.333333333333334
2165598,2016-05-03,22,Celebration,8.0,0,43.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,5,2016,8.0,4.0,5.285714285714286,11.0,5.666666666666667,12.0,8.090909090909092,5.0,9.384615384615385,10.0,10.333333333333334
