,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2135313,2016-04-16,22,Home and kitchen i,31.0,0,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,20.0,83.0,64.57142857142857,8.0,20.88888888888889,6.0,22.545454545454547,28.0,32.53846153846154,145.0,133.53333333333333
2137095,2016-04-17,22,Home and kitchen i,20.0,0,39.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,4,2016,42.0,7.0,43.857142857142854,29.0,20.555555555555557,20.0,22.0,23.0,29.46153846153846,84.0,113.66666666666667
2138877,2016-04-18,22,Home and kitchen i,48.0,0,39.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,4,2016,58.0,26.0,32.142857142857146,9.0,38.666666666666664,79.0,21.727272727272727,21.0,28.384615384615383,94.0,106.86666666666666
2140659,2016-04-19,22,Home and kitchen i,16.0,0,40.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,4,2016,32.0,14.0,32.57142857142857,41.0,47.888888888888886,11.0,22.0,36.0,26.53846153846154,48.0,102.93333333333334
2142441,2016-04-20,22,Home and kitchen i,37.0,0,42.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,4,2016,33.0,36.0,29.0,35.0,50.666666666666664,15.0,24.454545454545453,36.0,27.692307692307693,43.0,100.66666666666667
2144223,2016-04-21,22,Home and kitchen i,24.0,0,43.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,4,2016,47.0,20.0,32.57142857142857,12.0,59.0,26.0,24.90909090909091,38.0,23.53846153846154,87.0,97.2
2146005,2016-04-22,22,Home and kitchen i,15.0,0,42.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,4,2016,14.0,42.0,33.57142857142857,181.0,56.55555555555556,18.0,28.363636363636363,18.0,21.76923076923077,22.0,62.0
2147787,2016-04-23,22,Home and kitchen i,21.0,0,42.39666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,4,2016,34.0,58.0,38.285714285714285,102.0,58.44444444444444,21.0,28.727272727272727,9.0,21.615384615384617,20.0,63.86666666666667
2149569,2016-04-24,22,Home and kitchen i,26.0,0,42.03333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,4,2016,21.0,32.0,35.142857142857146,39.0,55.44444444444444,14.0,24.636363636363637,6.0,21.23076923076923,55.0,59.733333333333334
2151351,2016-04-25,22,Home and kitchen i,29.0,0,41.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,4,2016,30.0,33.0,37.142857142857146,83.0,55.55555555555556,40.0,26.363636363636363,13.0,21.615384615384617,85.0,57.06666666666667
2153133,2016-04-26,22,Home and kitchen i,26.0,0,42.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,4,2016,21.0,47.0,34.142857142857146,7.0,56.44444444444444,24.0,30.0,30.0,20.692307692307693,61.0,52.86666666666667
2154915,2016-04-27,22,Home and kitchen i,15.0,0,45.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,4,2016,22.0,14.0,30.142857142857142,26.0,41.0,44.0,30.545454545454547,12.0,19.46153846153846,36.0,52.666666666666664
2156697,2016-04-28,22,Home and kitchen i,18.0,0,46.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,4,2016,33.0,34.0,28.571428571428573,14.0,36.111111111111114,24.0,47.36363636363637,13.0,18.692307692307693,63.0,53.46666666666667
2158479,2016-04-29,22,Home and kitchen i,16.0,0,45.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,4,2016,12.0,21.0,27.0,36.0,35.333333333333336,34.0,48.27272727272727,26.0,21.0,34.0,50.6
2160261,2016-04-30,22,Home and kitchen i,69.0,0,45.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,4,2016,16.0,30.0,25.0,20.0,29.77777777777778,30.0,49.27272727272727,18.0,22.692307692307693,81.0,51.666666666666664
2162043,2016-05-01,22,Home and kitchen i,23.0,0,45.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6,5,2016,23.0,21.0,24.714285714285715,42.0,34.22222222222222,55.0,47.36363636363637,26.0,35.30769230769231,83.0,58.733333333333334
