,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2135324,2016-04-16,22,Pet supplies,3.0,0,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,0.0,3.0,0.7142857142857143,1.0,1.5555555555555556,0.0,1.0909090909090908,1.0,0.7692307692307693,0.0,0.6
2137106,2016-04-17,22,Pet supplies,0.0,0,39.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,4,2016,0.0,0.0,0.7142857142857143,4.0,1.4444444444444444,2.0,1.0909090909090908,0.0,0.7692307692307693,0.0,0.5333333333333333
2138888,2016-04-18,22,Pet supplies,0.0,0,39.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,4,2016,1.0,0.0,0.5714285714285714,5.0,1.3333333333333333,0.0,1.0909090909090908,0.0,0.8461538461538461,1.0,0.4
2140670,2016-04-19,22,Pet supplies,0.0,0,40.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,4,2016,0.0,0.0,0.42857142857142855,0.0,1.4444444444444444,0.0,0.8181818181818182,1.0,0.8461538461538461,3.0,0.4666666666666667
2142452,2016-04-20,22,Pet supplies,0.0,0,42.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,4,2016,5.0,0.0,0.14285714285714285,0.0,1.4444444444444444,0.0,0.7272727272727273,0.0,0.7692307692307693,1.0,0.4666666666666667
2144234,2016-04-21,22,Pet supplies,1.0,0,43.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,4,2016,0.0,0.0,0.14285714285714285,1.0,1.6666666666666667,3.0,0.7272727272727273,2.0,0.8461538461538461,0.0,0.4666666666666667
2146016,2016-04-22,22,Pet supplies,3.0,0,42.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,4,2016,0.0,0.0,0.8571428571428571,0.0,1.2222222222222223,1.0,0.8181818181818182,2.0,0.8461538461538461,0.0,0.4666666666666667
2147798,2016-04-23,22,Pet supplies,1.0,0,42.39666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,4,2016,1.0,1.0,0.8571428571428571,1.0,0.6666666666666666,0.0,0.6363636363636364,1.0,0.8461538461538461,0.0,0.4666666666666667
2149580,2016-04-24,22,Pet supplies,0.0,0,42.03333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,4,2016,0.0,0.0,0.8571428571428571,1.0,0.6666666666666666,1.0,0.6363636363636364,1.0,0.9230769230769231,0.0,0.5333333333333333
2151362,2016-04-25,22,Pet supplies,0.0,0,41.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,4,2016,0.0,5.0,1.0,3.0,0.6666666666666666,0.0,0.7272727272727273,1.0,1.0,0.0,0.5333333333333333
2153144,2016-04-26,22,Pet supplies,0.0,0,42.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,4,2016,1.0,0.0,1.0,0.0,0.5555555555555556,1.0,0.7272727272727273,0.0,0.9230769230769231,1.0,0.4666666666666667
2154926,2016-04-27,22,Pet supplies,0.0,0,45.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,4,2016,0.0,0.0,0.8571428571428571,0.0,0.5555555555555556,1.0,0.45454545454545453,1.0,0.9230769230769231,0.0,0.3333333333333333
2156708,2016-04-28,22,Pet supplies,3.0,0,46.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,4,2016,0.0,1.0,1.0,0.0,0.5555555555555556,0.0,0.7272727272727273,1.0,0.7692307692307693,1.0,0.26666666666666666
2158490,2016-04-29,22,Pet supplies,0.0,0,45.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,4,2016,0.0,0.0,0.2857142857142857,0.0,0.4444444444444444,0.0,0.7272727272727273,1.0,0.6923076923076923,0.0,0.3333333333333333
2160272,2016-04-30,22,Pet supplies,0.0,0,45.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,4,2016,2.0,0.0,0.2857142857142857,0.0,0.6666666666666666,1.0,0.8181818181818182,1.0,0.6923076923076923,0.0,0.3333333333333333
2162054,2016-05-01,22,Pet supplies,2.0,0,45.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6,5,2016,0.0,1.0,0.2857142857142857,0.0,0.6666666666666666,0.0,1.0,1.0,0.6153846153846154,1.0,0.3333333333333333
2163836,2016-05-02,22,Pet supplies,0.0,0,44.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,5,2016,3.0,0.0,0.42857142857142855,1.0,0.6666666666666666,0.0,1.0,0.0,0.5384615384615384,0.0,0.4
2165618,2016-05-03,22,Pet supplies,0.0,0,43.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,5,2016,0.0,0.0,0.42857142857142855,0.0,0.7777777777777778,4.0,1.0,0.0,0.6153846153846154,0.0,0.4
2167400,2016-05-04,22,Pet supplies,1.0,0,43.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,5,2016,0.0,0.0,0.8571428571428571,5.0,0.7777777777777778,0.0,1.0909090909090908,0.0,0.6153846153846154,1.0,0.3333333333333333
