,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2135325,2016-04-16,22,Players and electronics,4.0,0,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,0.0,1.0,2.2857142857142856,2.0,4.444444444444445,5.0,5.363636363636363,2.0,2.3076923076923075,2.0,8.6
2137107,2016-04-17,22,Players and electronics,4.0,0,39.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,4,2016,6.0,5.0,2.857142857142857,2.0,4.111111111111111,4.0,5.2727272727272725,4.0,1.9230769230769231,7.0,8.133333333333333
2138889,2016-04-18,22,Players and electronics,2.0,0,39.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,4,2016,6.0,3.0,2.7142857142857144,2.0,3.5555555555555554,3.0,5.0,0.0,1.7692307692307692,12.0,7.2
2140671,2016-04-19,22,Players and electronics,2.0,0,40.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,4,2016,2.0,0.0,2.857142857142857,10.0,3.111111111111111,1.0,4.7272727272727275,0.0,1.7692307692307692,12.0,6.466666666666667
2142453,2016-04-20,22,Players and electronics,7.0,0,42.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,4,2016,4.0,5.0,3.5714285714285716,2.0,3.2222222222222223,8.0,4.2727272727272725,1.0,1.6923076923076923,10.0,6.333333333333333
2144235,2016-04-21,22,Players and electronics,7.0,0,43.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,4,2016,2.0,0.0,3.142857142857143,4.0,3.111111111111111,8.0,4.545454545454546,1.0,2.076923076923077,5.0,5.933333333333334
2146017,2016-04-22,22,Players and electronics,4.0,0,42.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,4,2016,6.0,6.0,3.2857142857142856,1.0,3.4444444444444446,4.0,4.363636363636363,1.0,1.8461538461538463,4.0,6.0
2147799,2016-04-23,22,Players and electronics,2.0,0,42.39666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,4,2016,4.0,6.0,3.5714285714285716,1.0,3.5555555555555554,3.0,4.909090909090909,0.0,2.1538461538461537,3.0,5.666666666666667
2149581,2016-04-24,22,Players and electronics,2.0,0,42.03333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,4,2016,1.0,2.0,3.7142857142857144,5.0,2.4444444444444446,4.0,4.909090909090909,1.0,2.1538461538461537,10.0,6.0
2151363,2016-04-25,22,Players and electronics,2.0,0,41.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,4,2016,10.0,4.0,4.285714285714286,1.0,2.7777777777777777,6.0,5.454545454545454,2.0,2.769230769230769,5.0,6.4
2153145,2016-04-26,22,Players and electronics,0.0,0,42.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,4,2016,4.0,2.0,3.5714285714285716,5.0,2.3333333333333335,4.0,5.454545454545454,3.0,3.0,2.0,6.133333333333334
2154927,2016-04-27,22,Players and electronics,1.0,0,45.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,4,2016,3.0,6.0,4.142857142857143,3.0,2.888888888888889,3.0,4.818181818181818,6.0,3.3846153846153846,4.0,6.066666666666666
2156709,2016-04-28,22,Players and electronics,0.0,0,46.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,4,2016,0.0,4.0,4.428571428571429,0.0,3.4444444444444446,10.0,4.636363636363637,3.0,3.3846153846153846,2.0,5.533333333333333
2158491,2016-04-29,22,Players and electronics,1.0,0,45.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,4,2016,5.0,1.0,4.285714285714286,5.0,3.111111111111111,3.0,4.7272727272727275,6.0,3.769230769230769,5.0,5.4
2160273,2016-04-30,22,Players and electronics,3.0,0,45.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,4,2016,3.0,10.0,4.0,0.0,3.4444444444444446,7.0,5.454545454545454,4.0,4.230769230769231,2.0,5.333333333333333
2162055,2016-05-01,22,Players and electronics,2.0,0,45.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6,5,2016,3.0,4.0,3.857142857142857,6.0,3.111111111111111,8.0,5.181818181818182,8.0,4.384615384615385,7.0,5.466666666666667
2163837,2016-05-02,22,Players and electronics,8.0,0,44.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,5,2016,4.0,3.0,3.7142857142857144,6.0,3.4444444444444446,1.0,5.363636363636363,3.0,4.769230769230769,13.0,5.666666666666667
2165619,2016-05-03,22,Players and electronics,2.0,1,43.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,5,2016,4.0,0.0,4.0,2.0,3.888888888888889,2.0,5.7272727272727275,6.0,5.3076923076923075,8.0,5.466666666666667
2167401,2016-05-04,22,Players and electronics,8.0,0,43.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,5,2016,2.0,5.0,3.142857142857143,4.0,3.4444444444444446,4.0,5.7272727272727275,1.0,5.846153846153846,11.0,5.533333333333333
2169183,2016-05-05,22,Players and electronics,3.0,0,44.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2016,2.0,3.0,3.142857142857143,2.0,4.555555555555555,12.0,6.090909090909091,6.0,6.0,2.0,5.466666666666667
2170965,2016-05-06,22,Players and electronics,6.0,0,44.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,5,2016,7.0,3.0,3.0,6.0,4.333333333333333,3.0,6.2727272727272725,6.0,6.0,3.0,5.333333333333333
2172747,2016-05-07,22,Players and electronics,5.0,0,44.20333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,5,2016,7.0,4.0,3.2857142857142856,4.0,4.0,6.0,6.181818181818182,3.0,6.230769230769231,3.0,5.2
2174529,2016-05-08,22,Players and electronics,2.0,0,43.82666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,5,2016,4.0,4.0,3.5714285714285716,1.0,3.7777777777777777,7.0,6.636363636363637,7.0,6.461538461538462,5.0,5.533333333333333
2176311,2016-05-09,22,Players and electronics,5.0,0,43.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,5,2016,2.0,2.0,4.142857142857143,10.0,3.888888888888889,10.0,6.909090909090909,10.0,6.3076923076923075,13.0,5.6
2178093,2016-05-10,22,Players and electronics,9.0,0,44.68,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,5,2016,2.0,2.0,4.285714285714286,4.0,4.0,7.0,6.909090909090909,13.0,6.230769230769231,2.0,4.933333333333334
2179875,2016-05-11,22,Players and electronics,7.0,0,46.21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,5,2016,2.0,7.0,4.0,3.0,3.6666666666666665,9.0,6.0,5.0,6.461538461538462,3.0,4.733333333333333
2181657,2016-05-12,22,Players and electronics,1.0,0,46.64,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,5,2016,0.0,7.0,3.7142857142857144,0.0,3.6666666666666665,7.0,5.909090909090909,6.0,6.230769230769231,3.0,4.6
2183439,2016-05-13,22,Players and electronics,1.0,0,46.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,5,2016,1.0,4.0,3.7142857142857144,5.0,4.0,6.0,5.545454545454546,7.0,5.846153846153846,0.0,4.733333333333333
2185221,2016-05-14,22,Players and electronics,6.0,0,46.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5,5,2016,0.0,2.0,3.4285714285714284,3.0,3.111111111111111,5.0,5.818181818181818,11.0,6.230769230769231,3.0,4.866666666666666
2187003,2016-05-15,22,Players and electronics,9.0,0,47.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,5,2016,1.0,2.0,2.5714285714285716,3.0,2.888888888888889,4.0,5.090909090909091,1.0,6.3076923076923075,7.0,5.0
2188785,2016-05-16,22,Players and electronics,4.0,0,47.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,5,2016,3.0,2.0,1.5714285714285714,4.0,3.3333333333333335,2.0,4.818181818181818,5.0,5.846153846153846,8.0,4.8
2190567,2016-05-17,22,Players and electronics,6.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,5,2016,2.0,0.0,1.1428571428571428,4.0,4.111111111111111,2.0,4.090909090909091,4.0,5.076923076923077,3.0,4.466666666666667
2192349,2016-05-18,22,Players and electronics,3.0,0,48.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,5,2016,8.0,1.0,1.2857142857142858,2.0,4.0,2.0,3.5454545454545454,3.0,5.0,5.0,4.4
2194131,2016-05-19,22,Players and electronics,3.0,0,48.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,5,2016,2.0,0.0,1.2857142857142858,2.0,3.888888888888889,10.0,3.4545454545454546,1.0,5.0,9.0,4.666666666666667
2195913,2016-05-20,22,Players and electronics,7.0,0,47.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,4,5,2016,8.0,1.0,2.142857142857143,7.0,3.7777777777777777,2.0,3.090909090909091,8.0,4.769230769230769,4.0,4.6
2197695,2016-05-21,22,Players and electronics,6.0,0,47.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,5,2016,3.0,3.0,2.4285714285714284,7.0,3.5555555555555554,4.0,3.1818181818181817,8.0,4.153846153846154,5.0,4.733333333333333
2199477,2016-05-22,22,Players and electronics,10.0,0,47.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6,5,2016,6.0,2.0,3.4285714285714284,4.0,3.111111111111111,1.0,3.272727272727273,4.0,4.846153846153846,5.0,4.8
2201259,2016-05-23,22,Players and electronics,4.0,0,48.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,5,2016,5.0,8.0,3.857142857142857,2.0,3.0,1.0,3.090909090909091,3.0,4.6923076923076925,2.0,4.933333333333334
2203041,2016-05-24,22,Players and electronics,6.0,0,48.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,1,5,2016,2.0,2.0,4.571428571428571,2.0,2.7777777777777777,5.0,3.3636363636363638,4.0,4.923076923076923,8.0,4.866666666666666
2204823,2016-05-25,22,Players and electronics,6.0,0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2,5,2016,5.0,8.0,4.857142857142857,2.0,2.111111111111111,1.0,2.4545454545454546,6.0,5.3076923076923075,1.0,4.866666666666666
2206605,2016-05-26,22,Players and electronics,5.0,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,5,2016,9.0,3.0,4.857142857142857,0.0,1.6666666666666667,5.0,2.8181818181818183,4.0,5.3076923076923075,7.0,4.733333333333333
2208387,2016-05-27,22,Players and electronics,5.0,0,49.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,4,5,2016,7.0,6.0,4.428571428571429,1.0,1.4444444444444444,3.0,3.0,3.0,4.846153846153846,2.0,4.333333333333333
2210169,2016-05-28,22,Players and electronics,9.0,0,49.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,5,5,2016,1.0,5.0,5.428571428571429,0.0,2.111111111111111,0.0,3.090909090909091,10.0,4.538461538461538,2.0,4.4
2211951,2016-05-29,22,Players and electronics,8.0,0,49.230000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,6,5,2016,1.0,2.0,5.285714285714286,1.0,2.111111111111111,5.0,3.3636363636363638,3.0,5.153846153846154,4.0,5.066666666666666
2213733,2016-05-30,22,Players and electronics,10.0,0,49.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,5,2016,6.0,5.0,5.0,3.0,2.7777777777777777,0.0,3.090909090909091,7.0,5.153846153846154,9.0,5.466666666666667
2215515,2016-05-31,22,Players and electronics,6.0,0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1,5,2016,9.0,9.0,4.285714285714286,2.0,3.111111111111111,6.0,3.5454545454545454,8.0,5.3076923076923075,7.0,5.8
2217297,2016-06-01,22,Players and electronics,8.0,0,49.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,6,2016,4.0,7.0,4.428571428571429,8.0,3.6666666666666665,6.0,3.4545454545454546,1.0,5.384615384615385,3.0,5.333333333333333
2219079,2016-06-02,22,Players and electronics,5.0,0,49.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,6,2016,6.0,1.0,5.428571428571429,2.0,4.222222222222222,2.0,3.272727272727273,2.0,5.846153846153846,3.0,5.466666666666667
2220861,2016-06-03,22,Players and electronics,8.0,0,48.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,6,2016,3.0,1.0,5.285714285714286,8.0,4.333333333333333,4.0,4.181818181818182,4.0,6.153846153846154,3.0,5.466666666666667
2222643,2016-06-04,22,Players and electronics,5.0,0,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,6,2016,3.0,6.0,4.857142857142857,3.0,4.555555555555555,2.0,4.090909090909091,12.0,6.076923076923077,5.0,5.6
2224425,2016-06-05,22,Players and electronics,4.0,0,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,6,2016,7.0,9.0,4.285714285714286,6.0,5.333333333333333,6.0,4.363636363636363,3.0,6.384615384615385,15.0,5.8
2226207,2016-06-06,22,Players and electronics,4.0,0,49.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,6,2016,6.0,4.0,4.571428571428571,5.0,5.222222222222222,4.0,3.8181818181818183,6.0,6.3076923076923075,11.0,6.0
2227989,2016-06-07,22,Players and electronics,2.0,0,50.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,6,2016,10.0,6.0,5.428571428571429,2.0,5.111111111111111,1.0,3.727272727272727,7.0,6.076923076923077,7.0,5.8
2229771,2016-06-08,22,Players and electronics,1.0,0,51.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,6,2016,4.0,3.0,5.428571428571429,5.0,4.333333333333333,10.0,3.8181818181818183,10.0,6.3076923076923075,1.0,5.4
2231553,2016-06-09,22,Players and electronics,5.0,0,50.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,6,2016,6.0,3.0,5.571428571428571,9.0,4.666666666666667,4.0,3.727272727272727,7.0,6.3076923076923075,3.0,5.466666666666667
2233335,2016-06-10,22,Players and electronics,2.0,0,49.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,6,2016,6.0,7.0,5.571428571428571,7.0,5.0,3.0,3.909090909090909,9.0,6.153846153846154,7.0,5.6
2235117,2016-06-11,22,Players and electronics,4.0,0,49.02333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,6,2016,5.0,6.0,5.571428571428571,1.0,4.888888888888889,0.0,3.727272727272727,7.0,5.384615384615385,4.0,5.466666666666667
2236899,2016-06-12,22,Players and electronics,7.0,0,48.95666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,6,2016,5.0,10.0,6.0,1.0,5.333333333333333,5.0,3.5454545454545454,6.0,5.923076923076923,5.0,5.4
2238681,2016-06-13,22,Players and electronics,5.0,0,48.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,6,2016,9.0,4.0,6.285714285714286,6.0,5.111111111111111,3.0,3.6363636363636362,5.0,5.615384615384615,7.0,4.8
2240463,2016-06-14,22,Players and electronics,1.0,0,48.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,6,2016,8.0,6.0,6.0,9.0,4.444444444444445,3.0,3.3636363636363638,4.0,5.384615384615385,6.0,4.4
2242245,2016-06-15,22,Players and electronics,2.0,0,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,6,2016,10.0,6.0,6.428571428571429,4.0,4.444444444444445,4.0,3.6363636363636362,2.0,4.6923076923076925,1.0,4.533333333333333
2244027,2016-06-16,22,Players and electronics,4.0,0,46.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,6,2016,6.0,5.0,6.142857142857143,6.0,5.0,4.0,3.727272727272727,2.0,4.230769230769231,4.0,5.133333333333334
2245809,2016-06-17,22,Players and electronics,9.0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,6,2016,8.0,5.0,7.0,3.0,6.0,2.0,3.909090909090909,2.0,3.923076923076923,5.0,5.466666666666667
2247591,2016-06-18,22,Players and electronics,9.0,0,48.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,6,2016,5.0,9.0,7.0,3.0,5.777777777777778,2.0,3.6363636363636362,10.0,3.4615384615384617,1.0,6.066666666666666
2249373,2016-06-19,22,Players and electronics,5.0,0,48.93333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,6,2016,8.0,8.0,7.285714285714286,7.0,5.444444444444445,7.0,3.5454545454545454,2.0,3.3846153846153846,4.0,6.2
2251155,2016-06-20,22,Players and electronics,10.0,0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,6,2016,5.0,10.0,7.285714285714286,6.0,5.666666666666667,7.0,3.272727272727273,4.0,3.230769230769231,6.0,6.4
2252937,2016-06-21,22,Players and electronics,4.0,0,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,6,2016,4.0,6.0,7.714285714285714,10.0,5.555555555555555,4.0,3.0,1.0,2.923076923076923,5.0,6.4
2254719,2016-06-22,22,Players and electronics,4.0,0,49.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,6,2016,4.0,8.0,7.142857142857143,4.0,5.777777777777778,2.0,2.6363636363636362,1.0,3.1538461538461537,9.0,6.2
2256501,2016-06-23,22,Players and electronics,8.0,0,49.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,6,2016,2.0,5.0,6.571428571428571,6.0,6.444444444444445,2.0,2.5454545454545454,5.0,3.0,10.0,6.933333333333334
2258283,2016-06-24,22,Players and electronics,3.0,0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,6,2016,1.0,8.0,5.714285714285714,6.0,6.555555555555555,2.0,2.6363636363636362,1.0,3.3076923076923075,8.0,7.0
2260065,2016-06-25,22,Players and electronics,1.0,0,46.4,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25,5,6,2016,5.0,5.0,5.142857142857143,5.0,7.0,0.0,2.1818181818181817,5.0,3.0,16.0,7.6
2261847,2016-06-26,22,Players and electronics,3.0,0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,6,2016,2.0,4.0,4.142857142857143,5.0,6.555555555555555,1.0,2.272727272727273,3.0,3.0,6.0,7.866666666666666
2263629,2016-06-27,22,Players and electronics,2.0,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,6,2016,4.0,4.0,4.142857142857143,9.0,7.0,0.0,2.090909090909091,0.0,3.0,8.0,7.733333333333333
2265411,2016-06-28,22,Players and electronics,6.0,0,47.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,6,2016,7.0,2.0,3.2857142857142856,8.0,6.888888888888889,1.0,2.6363636363636362,5.0,3.076923076923077,7.0,7.333333333333333
2267193,2016-06-29,22,Players and electronics,2.0,0,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2,6,2016,5.0,1.0,3.142857142857143,10.0,7.111111111111111,3.0,2.727272727272727,0.0,3.4615384615384617,3.0,7.066666666666666
2268975,2016-06-30,22,Players and electronics,3.0,0,48.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,6,2016,1.0,5.0,3.5714285714285716,6.0,7.111111111111111,2.0,3.090909090909091,6.0,3.3846153846153846,12.0,6.666666666666667
2270757,2016-07-01,22,Players and electronics,8.0,0,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,7,2016,2.0,2.0,3.7142857142857144,8.0,7.0,8.0,3.5454545454545454,6.0,3.3846153846153846,5.0,6.466666666666667
2272539,2016-07-02,22,Players and electronics,10.0,0,48.447500000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,7,2016,4.0,4.0,3.5714285714285716,5.0,6.444444444444445,2.0,3.6363636363636362,2.0,3.769230769230769,14.0,6.066666666666666
2274321,2016-07-03,22,Players and electronics,3.0,0,47.875,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,7,2016,9.0,7.0,3.7142857142857144,8.0,5.777777777777778,8.0,4.090909090909091,4.0,3.8461538461538463,5.0,5.333333333333333
2276103,2016-07-04,22,Players and electronics,4.0,0,47.302499999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,7,2016,9.0,5.0,3.5714285714285716,5.0,4.777777777777778,3.0,4.818181818181818,2.0,4.076923076923077,2.0,5.133333333333334
2277885,2016-07-05,22,Players and electronics,7.0,0,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,7,2016,5.0,1.0,4.571428571428571,4.0,4.666666666666667,6.0,5.181818181818182,6.0,3.6923076923076925,0.0,4.733333333333333
2279667,2016-07-06,22,Players and electronics,2.0,0,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,7,2016,10.0,2.0,5.285714285714286,4.0,4.0,5.0,5.090909090909091,4.0,4.076923076923077,1.0,4.533333333333333
2281449,2016-07-07,22,Players and electronics,3.0,0,45.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,7,2016,4.0,4.0,5.0,2.0,3.888888888888889,2.0,4.454545454545454,1.0,3.8461538461538463,3.0,4.4
2283231,2016-07-08,22,Players and electronics,4.0,0,45.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,7,2016,4.0,9.0,5.714285714285714,1.0,3.7777777777777777,5.0,4.818181818181818,10.0,3.6153846153846154,7.0,4.0
2285013,2016-07-09,22,Players and electronics,4.0,0,45.156666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,7,2016,8.0,9.0,6.142857142857143,5.0,3.7777777777777777,9.0,4.909090909090909,4.0,3.769230769230769,2.0,3.8
2286795,2016-07-10,22,Players and electronics,6.0,0,44.94333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,7,2016,3.0,5.0,6.428571428571429,2.0,3.4444444444444446,7.0,5.0,3.0,3.769230769230769,5.0,3.1333333333333333
