,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
2135329,2016-04-16,22,School and office supplies,0.0,0,40.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,4,2016,0.0,1.0,0.7142857142857143,0.0,0.6666666666666666,0.0,0.36363636363636365,0.0,0.3076923076923077,0.0,0.0
2137111,2016-04-17,22,School and office supplies,2.0,0,39.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,4,2016,0.0,1.0,0.8571428571428571,0.0,0.6666666666666666,0.0,0.36363636363636365,2.0,0.38461538461538464,0.0,0.0
2138893,2016-04-18,22,School and office supplies,0.0,0,39.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,4,2016,0.0,2.0,0.8571428571428571,0.0,0.3333333333333333,0.0,0.5454545454545454,0.0,0.38461538461538464,0.0,0.0
2140675,2016-04-19,22,School and office supplies,1.0,0,40.88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,4,2016,1.0,1.0,0.8571428571428571,0.0,0.3333333333333333,1.0,0.5454545454545454,2.0,0.46153846153846156,0.0,0.0
2142457,2016-04-20,22,School and office supplies,1.0,0,42.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,4,2016,1.0,1.0,0.7142857142857143,1.0,0.2222222222222222,0.0,0.5454545454545454,0.0,0.5384615384615384,0.0,0.0
2144239,2016-04-21,22,School and office supplies,0.0,0,43.18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,4,2016,0.0,0.0,0.7142857142857143,1.0,0.3333333333333333,2.0,0.5454545454545454,0.0,0.5384615384615384,0.0,0.0
2146021,2016-04-22,22,School and office supplies,0.0,0,42.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,4,2016,1.0,0.0,0.5714285714285714,0.0,0.4444444444444444,1.0,0.5454545454545454,0.0,0.5384615384615384,0.0,0.0
2147803,2016-04-23,22,School and office supplies,0.0,0,42.39666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,4,2016,2.0,0.0,0.42857142857142855,0.0,0.6666666666666666,2.0,0.6363636363636364,1.0,0.5384615384615384,0.0,0.0
2149585,2016-04-24,22,School and office supplies,0.0,0,42.03333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,6,4,2016,2.0,1.0,0.42857142857142855,0.0,0.7777777777777778,0.0,0.8181818181818182,0.0,0.6923076923076923,0.0,0.0
2151367,2016-04-25,22,School and office supplies,0.0,0,41.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,4,2016,0.0,1.0,0.7142857142857143,1.0,0.7777777777777778,0.0,0.7272727272727273,1.0,0.6923076923076923,0.0,0.0
2153149,2016-04-26,22,School and office supplies,0.0,0,42.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,4,2016,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.7272727272727273,1.0,0.6153846153846154,0.0,0.0
2154931,2016-04-27,22,School and office supplies,0.0,0,45.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,4,2016,0.0,1.0,1.0,2.0,0.6666666666666666,0.0,0.5454545454545454,0.0,0.6153846153846154,0.0,0.0
2156713,2016-04-28,22,School and office supplies,1.0,0,46.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,4,2016,0.0,2.0,1.0,1.0,0.6666666666666666,1.0,0.5454545454545454,0.0,0.8461538461538461,0.0,0.0
2158495,2016-04-29,22,School and office supplies,0.0,0,45.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,4,4,2016,3.0,2.0,0.8571428571428571,1.0,0.7777777777777778,2.0,0.45454545454545453,0.0,0.8461538461538461,0.0,0.0
2160277,2016-04-30,22,School and office supplies,0.0,0,45.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,4,2016,1.0,0.0,0.8571428571428571,0.0,0.7777777777777778,0.0,0.6363636363636364,4.0,0.7692307692307693,0.0,0.0
2162059,2016-05-01,22,School and office supplies,0.0,0,45.16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6,5,2016,0.0,1.0,1.1428571428571428,0.0,0.6666666666666666,0.0,0.6363636363636364,0.0,0.8461538461538461,0.0,0.0
2163841,2016-05-02,22,School and office supplies,1.0,0,44.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,5,2016,0.0,0.0,1.0,0.0,0.5555555555555556,0.0,0.6363636363636364,1.0,0.7692307692307693,0.0,0.0
2165623,2016-05-03,22,School and office supplies,0.0,0,43.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,5,2016,2.0,0.0,0.7142857142857143,1.0,0.6666666666666666,1.0,0.8181818181818182,0.0,0.6923076923076923,0.0,0.0
2167405,2016-05-04,22,School and office supplies,0.0,0,43.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,5,2016,0.0,3.0,0.7142857142857143,1.0,0.7777777777777778,1.0,0.9090909090909091,3.0,0.6923076923076923,0.0,0.0
2169187,2016-05-05,22,School and office supplies,0.0,0,44.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2016,1.0,1.0,0.8571428571428571,0.0,0.7777777777777778,2.0,0.7272727272727273,0.0,0.7692307692307693,0.0,0.0
2170969,2016-05-06,22,School and office supplies,0.0,0,44.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,5,2016,1.0,0.0,0.8571428571428571,1.0,0.8888888888888888,0.0,0.7272727272727273,0.0,0.7692307692307693,0.0,0.0
2172751,2016-05-07,22,School and office supplies,0.0,0,44.20333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,5,2016,0.0,0.0,1.0,2.0,0.8888888888888888,0.0,0.8181818181818182,1.0,0.46153846153846156,0.0,0.0
2174533,2016-05-08,22,School and office supplies,0.0,0,43.82666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,5,2016,0.0,2.0,0.7142857142857143,2.0,0.7777777777777778,2.0,1.0909090909090908,0.0,0.46153846153846156,0.0,0.0
2176315,2016-05-09,22,School and office supplies,0.0,0,43.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,5,2016,0.0,0.0,0.5714285714285714,0.0,1.0,2.0,1.0,0.0,0.38461538461538464,0.0,0.0
2178097,2016-05-10,22,School and office supplies,0.0,0,44.68,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,5,2016,0.0,1.0,0.5714285714285714,1.0,1.1111111111111112,0.0,1.0,0.0,0.38461538461538464,0.0,0.0
2179879,2016-05-11,22,School and office supplies,0.0,0,46.21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,5,2016,0.0,1.0,0.5714285714285714,0.0,1.0,0.0,0.8181818181818182,1.0,0.15384615384615385,0.0,0.0
2181661,2016-05-12,22,School and office supplies,0.0,0,46.64,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,5,2016,0.0,0.0,0.2857142857142857,0.0,0.7777777777777778,1.0,0.8181818181818182,0.0,0.15384615384615385,0.0,0.0
2183443,2016-05-13,22,School and office supplies,0.0,0,46.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,5,2016,0.0,0.0,0.2857142857142857,3.0,0.7777777777777778,3.0,0.8181818181818182,0.0,0.23076923076923078,0.0,0.0
2185225,2016-05-14,22,School and office supplies,0.0,0,46.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5,5,2016,1.0,0.0,0.14285714285714285,1.0,0.7777777777777778,0.0,0.6363636363636364,0.0,0.15384615384615385,0.0,0.0
2187007,2016-05-15,22,School and office supplies,1.0,0,47.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,5,2016,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,0.5454545454545454,0.0,0.3076923076923077,0.0,0.0
2188789,2016-05-16,22,School and office supplies,0.0,0,47.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,5,2016,0.0,0.0,0.14285714285714285,0.0,0.8888888888888888,0.0,0.6363636363636364,0.0,0.38461538461538464,0.0,0.06666666666666667
2190571,2016-05-17,22,School and office supplies,0.0,0,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,5,2016,0.0,0.0,0.14285714285714285,2.0,0.8888888888888888,0.0,0.6363636363636364,0.0,0.5384615384615384,0.0,0.06666666666666667
2192353,2016-05-18,22,School and office supplies,0.0,0,48.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,5,2016,1.0,0.0,0.14285714285714285,0.0,0.5555555555555556,0.0,0.5454545454545454,0.0,0.46153846153846156,0.0,0.06666666666666667
