,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
665183,2014-01-10,23,Beauty,0.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,1.0,1.0,0.42857142857142855,0.0,0.1111111111111111,1.0,0.5454545454545454,0.0,0.7692307692307693,0.0,0.3333333333333333,0.0,0.7647058823529411
666965,2014-01-11,23,Beauty,1.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,2.0,2.0,0.7142857142857143,0.0,0.1111111111111111,0.0,0.45454545454545453,0.0,0.7692307692307693,1.0,0.3333333333333333,0.0,0.7647058823529411
668747,2014-01-12,23,Beauty,3.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,3.0,0.0,0.8571428571428571,0.0,0.1111111111111111,0.0,0.36363636363636365,2.0,0.6923076923076923,1.0,0.3333333333333333,2.0,0.7058823529411765
670529,2014-01-13,23,Beauty,1.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,1.0,0.0,1.1428571428571428,0.0,0.1111111111111111,0.0,0.7272727272727273,2.0,0.46153846153846156,0.0,0.3333333333333333,1.0,0.6470588235294118
672311,2014-01-14,23,Beauty,0.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,0.0,2.0,1.4285714285714286,1.0,0.1111111111111111,1.0,0.7272727272727273,1.0,0.6153846153846154,0.0,0.4,0.0,0.6470588235294118
674093,2014-01-15,23,Beauty,1.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,0.0,1.0,1.2857142857142858,0.0,0.2222222222222222,0.0,0.7272727272727273,0.0,0.6153846153846154,0.0,0.4,0.0,0.47058823529411764
675875,2014-01-16,23,Beauty,0.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,2.0,2.0,1.2857142857142858,0.0,0.4444444444444444,0.0,0.6363636363636364,1.0,0.6923076923076923,0.0,0.6,1.0,0.4117647058823529
677657,2014-01-17,23,Beauty,1.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,1.0,3.0,1.2857142857142858,0.0,0.4444444444444444,1.0,0.8181818181818182,0.0,0.6923076923076923,0.0,0.6,0.0,0.4117647058823529
679439,2014-01-18,23,Beauty,2.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,1.0,1.0,1.2857142857142858,0.0,0.4444444444444444,4.0,0.8181818181818182,0.0,0.7692307692307693,0.0,0.6,0.0,0.4117647058823529
681221,2014-01-19,23,Beauty,4.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,2.0,0.0,1.2857142857142858,1.0,0.5555555555555556,1.0,1.0909090909090908,0.0,0.6923076923076923,1.0,0.5333333333333333,0.0,0.4117647058823529
683003,2014-01-20,23,Beauty,0.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,0.0,0.0,1.1428571428571428,2.0,0.6666666666666666,0.0,1.0909090909090908,2.0,0.5384615384615384,1.0,0.4666666666666667,0.0,0.47058823529411764
684785,2014-01-21,23,Beauty,3.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,1.0,2.0,1.0,0.0,0.8888888888888888,0.0,1.0909090909090908,0.0,0.46153846153846156,2.0,0.4666666666666667,0.0,0.4117647058823529
686567,2014-01-22,23,Beauty,0.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,0.0,1.0,0.8571428571428571,0.0,1.2222222222222223,2.0,1.1818181818181819,1.0,0.5384615384615384,0.0,0.4666666666666667,3.0,0.35294117647058826
688349,2014-01-23,23,Beauty,0.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,0.0,1.0,1.0,2.0,1.3333333333333333,0.0,1.0909090909090908,0.0,0.6153846153846154,3.0,0.5333333333333333,0.0,0.35294117647058826
690131,2014-01-24,23,Beauty,1.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,1.0,2.0,1.0,1.0,1.2222222222222223,3.0,0.8181818181818182,1.0,0.6923076923076923,0.0,0.6,0.0,0.47058823529411764
691913,2014-01-25,23,Beauty,0.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,0.0,0.0,0.7142857142857143,2.0,1.0,1.0,0.8181818181818182,1.0,0.7692307692307693,0.0,0.7333333333333333,0.0,0.4117647058823529
693695,2014-01-26,23,Beauty,1.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,0.0,1.0,0.7142857142857143,3.0,1.2222222222222223,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4117647058823529
695477,2014-01-27,23,Beauty,0.0,0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,2014,1.0,0.0,0.5714285714285714,1.0,1.3333333333333333,1.0,1.0,0.0,0.9230769230769231,0.0,1.0,0.0,0.47058823529411764
697259,2014-01-28,23,Beauty,1.0,0,97.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,1,2014,3.0,0.0,0.2857142857142857,0.0,1.2222222222222223,0.0,0.8181818181818182,1.0,1.0,0.0,1.0666666666666667,1.0,0.47058823529411764
