,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
665239,2014-01-10,24,Personal care,226.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,307.0,292.0,287.42857142857144,257.0,235.66666666666666,284.0,215.45454545454547,174.0,194.76923076923077,134.0,196.93333333333334,231.0,274.47058823529414
667021,2014-01-11,24,Personal care,340.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,275.0,245.0,292.2857142857143,192.0,256.1111111111111,382.0,220.0909090909091,154.0,189.3846153846154,181.0,199.46666666666667,230.0,275.52941176470586
668803,2014-01-12,24,Personal care,343.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,267.0,236.0,288.57142857142856,294.0,271.3333333333333,196.0,232.1818181818182,164.0,182.30769230769232,242.0,206.46666666666667,251.0,274.6470588235294
670585,2014-01-13,24,Personal care,234.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,286.0,313.0,292.57142857142856,200.0,274.1111111111111,149.0,236.54545454545453,186.0,182.69230769230768,266.0,206.46666666666667,305.0,268.52941176470586
672367,2014-01-14,24,Personal care,204.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,359.0,380.0,289.0,213.0,270.0,230.0,240.45454545454547,175.0,186.30769230769232,165.0,203.66666666666666,198.0,259.1764705882353
674149,2014-01-15,24,Personal care,303.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,228.0,307.0,294.85714285714283,348.0,273.8888888888889,163.0,240.36363636363637,172.0,190.0,231.0,203.26666666666668,263.0,250.52941176470588
675931,2014-01-16,24,Personal care,201.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,325.0,275.0,312.42857142857144,346.0,279.77777777777777,238.0,236.0,242.0,188.07692307692307,227.0,212.8,258.0,250.0
677713,2014-01-17,24,Personal care,218.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,221.0,267.0,300.2857142857143,333.0,273.3333333333333,313.0,215.45454545454547,141.0,188.3846153846154,156.0,209.13333333333333,249.0,248.52941176470588
679495,2014-01-18,24,Personal care,319.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,273.0,286.0,292.42857142857144,247.0,285.8888888888889,285.0,214.72727272727272,195.0,186.6153846153846,197.0,210.66666666666666,207.0,248.0
681277,2014-01-19,24,Personal care,306.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,290.0,359.0,280.14285714285717,292.0,304.44444444444446,225.0,221.54545454545453,237.0,186.76923076923077,256.0,214.26666666666668,357.0,250.47058823529412
