,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
661694,2014-01-08,25,Frozen foods,100.293,0,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,1,2014,574.867,153.575,288.9654142857143,94.0,115.79599999999999,129.0,62.07272727272728,98.0,143.85730738461538,59.0,64.8680664,34.885002,35.02023529411765
663476,2014-01-09,25,Frozen foods,107.709,0,91.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,1,2014,540.144,126.919,332.26141428571424,57.363,136.21755555555558,109.0,60.74727272727273,242.0,145.46153784615385,43.0,65.60139973333334,23.744999,36.452294176470595
665258,2014-01-10,25,Frozen foods,211.347,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,525.567,139.057,382.85798571428575,152.309,152.4317777777778,45.0,62.656363636363636,463.521,141.96023015384617,70.701996,68.2680664,22.809,35.18758829411765
667040,2014-01-11,25,Frozen foods,501.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,601.847,1030.7319,441.36227142857143,216.43,159.9427777777778,37.0,77.50554545454546,287.965,135.35669169230772,144.0,78.08273306666666,17.0,34.36405888235294
668822,2014-01-12,25,Frozen foods,160.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,1026.845,524.242,494.5039857142857,61.875,157.56655555555554,23.0,75.68736363636364,83.854996,138.22946092307694,82.595,74.0160664,13.465,32.99241182352941
670604,2014-01-13,25,Frozen foods,50.641,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,1212.019,574.867,562.3508428571429,263.647,164.186,50.0,68.60554545454545,37.0,137.94999938461538,53.0,73.8364664,25.664,32.47917652941177
672386,2014-01-14,25,Frozen foods,89.866,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,1116.272,540.144,689.1777000000001,221.17,171.91444444444446,45.32,60.91918181818182,53.0,134.02692246153845,35.0,77.22233306666666,12.0,34.486058882352935
674168,2014-01-15,25,Frozen foods,106.138,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,1290.676,525.567,715.0758571428571,220.691,170.442,45.0,55.646454545454546,88.854996,130.90346092307692,59.284,80.61213306666666,38.807,34.89782358823529
675950,2014-01-16,25,Frozen foods,79.078,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,1483.146,601.847,799.6515714285714,130.614,260.91998888888884,194.341,57.99390909090909,41.0,116.3649993846154,63.0,81.41973306666665,31.936,32.963941235294115
677732,2014-01-17,25,Frozen foods,169.377,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,179.0,1026.845,901.9099999999999,153.575,312.29409999999996,40.0,62.77972727272727,135.154,83.32492246153848,90.0,85.81973306666666,54.0,35.97211758823529
679514,2014-01-18,25,Frozen foods,436.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,253.0,1212.019,1036.6245714285715,126.919,346.8741,37.0,76.05245454545455,147.0,67.78915323076923,226.0,92.90626666666665,59.361,36.28123529411764
681296,2014-01-19,25,Frozen foods,115.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,229.609,1116.272,987.115,139.057,382.3156555555555,44.45,76.35427272727273,47.0,73.10799969230769,67.0,86.16233333333335,26.0,36.82699988235294
683078,2014-01-20,25,Frozen foods,59.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,411.04,1290.676,937.2797142857144,1030.7319,416.19076666666666,51.0,76.35618181818182,18.0,73.97107661538462,38.306,83.456,41.0,37.570176294117644
