,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
665351,2014-01-10,28,Bread/bakery,416.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,606.0,406.0,520.8571428571429,454.0,428.44444444444446,559.0,460.1818181818182,272.0,482.6923076923077,454.0,535.8666666666667,340.0,401.4117647058824
667133,2014-01-11,28,Bread/bakery,544.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,784.0,550.0,494.42857142857144,453.0,443.22222222222223,973.0,450.3636363636364,476.0,491.0,323.0,530.4,214.0,398.2352941176471
668915,2014-01-12,28,Bread/bakery,930.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,337.0,438.0,524.4285714285714,332.0,500.8888888888889,390.0,452.45454545454544,460.0,491.7692307692308,558.0,541.8,468.0,414.29411764705884
670697,2014-01-13,28,Bread/bakery,444.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,383.0,503.0,567.5714285714286,371.0,488.77777777777777,462.0,514.5454545454545,1057.0,483.0769230769231,1037.0,566.0,722.0,422.7647058823529
672479,2014-01-14,28,Bread/bakery,421.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,528.0,686.0,557.7142857142857,293.0,457.8888888888889,316.0,539.4545454545455,444.0,532.3076923076923,524.0,530.8666666666667,299.0,420.1764705882353
674261,2014-01-15,28,Bread/bakery,427.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,409.0,606.0,533.8571428571429,469.0,452.55555555555554,379.0,554.0,543.0,526.3846153846154,670.0,534.1333333333333,422.0,395.6470588235294
676043,2014-01-16,28,Bread/bakery,450.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,594.0,784.0,546.7142857142857,871.0,463.3333333333333,362.0,541.6363636363636,477.0,540.5384615384615,444.0,523.6,395.0,391.3529411764706
677825,2014-01-17,28,Bread/bakery,321.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,763.0,337.0,533.2857142857143,396.0,475.1111111111111,506.0,488.8181818181818,459.0,558.3846153846154,339.0,537.6,377.0,389.88235294117646
679607,2014-01-18,28,Bread/bakery,589.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,496.0,383.0,520.1428571428571,482.0,489.77777777777777,1000.0,476.27272727272725,450.0,549.2307692307693,298.0,529.6,412.0,395.3529411764706
681389,2014-01-19,28,Bread/bakery,932.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,341.0,528.0,542.5714285714286,406.0,533.4444444444445,647.0,484.8181818181818,520.0,544.5384615384615,600.0,548.4666666666667,407.0,412.52941176470586
