,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
665359,2014-01-10,28,Grocery ii,8.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,12.0,5.0,16.857142857142858,6.0,5.777777777777778,14.0,8.272727272727273,10.0,13.615384615384615,3.0,4.133333333333334,3.0,5.764705882352941
667141,2014-01-11,28,Grocery ii,6.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,17.0,12.0,17.428571428571427,1.0,6.333333333333333,10.0,7.818181818181818,17.0,13.23076923076923,3.0,4.4,0.0,6.235294117647059
668923,2014-01-12,28,Grocery ii,13.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,14.0,23.0,18.857142857142858,11.0,7.111111111111111,9.0,8.181818181818182,12.0,12.615384615384615,6.0,4.933333333333334,6.0,5.9411764705882355
670705,2014-01-13,28,Grocery ii,6.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,20.0,58.0,20.0,15.0,6.666666666666667,9.0,9.727272727272727,20.0,12.076923076923077,9.0,5.666666666666667,11.0,5.823529411764706
672487,2014-01-14,28,Grocery ii,0.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,20.0,13.0,21.285714285714285,1.0,6.777777777777778,3.0,10.909090909090908,9.0,12.0,6.0,5.4,3.0,5.117647058823529
674269,2014-01-15,28,Grocery ii,4.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,23.0,12.0,22.428571428571427,7.0,6.666666666666667,4.0,10.909090909090908,17.0,11.307692307692308,6.0,5.466666666666667,1.0,4.588235294117647
676051,2014-01-16,28,Grocery ii,5.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,14.0,17.0,22.0,9.0,7.888888888888889,6.0,10.090909090909092,7.0,10.846153846153847,3.0,5.466666666666667,2.0,4.176470588235294
677833,2014-01-17,28,Grocery ii,3.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,39.0,14.0,17.0,2.0,9.222222222222221,11.0,9.363636363636363,8.0,10.23076923076923,2.0,5.266666666666667,5.0,4.117647058823529
679615,2014-01-18,28,Grocery ii,4.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,13.0,20.0,17.142857142857142,9.0,14.0,24.0,9.090909090909092,11.0,9.307692307692308,7.0,5.333333333333333,4.0,4.470588235294118
681397,2014-01-19,28,Grocery ii,10.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,5.0,20.0,21.0,5.0,15.333333333333334,19.0,9.272727272727273,12.0,8.846153846153847,10.0,5.4,14.0,4.470588235294118
683179,2014-01-20,28,Grocery ii,4.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,15.0,23.0,20.428571428571427,12.0,15.88888888888889,11.0,10.0,7.0,8.307692307692308,17.0,5.666666666666667,8.0,4.9411764705882355
684961,2014-01-21,28,Grocery ii,2.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,14.0,14.0,19.142857142857142,23.0,16.77777777777778,5.0,9.818181818181818,6.0,9.23076923076923,1.0,5.333333333333333,0.0,4.823529411764706
686743,2014-01-22,28,Grocery ii,5.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,14.0,39.0,18.428571428571427,58.0,18.11111111111111,2.0,9.545454545454545,5.0,8.923076923076923,2.0,5.2,3.0,4.823529411764706
688525,2014-01-23,28,Grocery ii,2.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,14.0,13.0,17.571428571428573,13.0,19.333333333333332,6.0,9.363636363636363,2.0,9.923076923076923,2.0,5.0,2.0,4.764705882352941
690307,2014-01-24,28,Grocery ii,8.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,7.0,5.0,16.285714285714285,12.0,21.0,11.0,8.272727272727273,5.0,9.76923076923077,2.0,5.2,2.0,4.764705882352941
