,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1772010,2015-09-24,29,Deli,169.253,0,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,9,2015,288.777,274.972,355.28271428571423,249.123,311.08577777777776,396.942,249.7620909090909,203.805,285.6862307692308,259.616,314.71740000000005
1773792,2015-09-25,29,Deli,503.327,54,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,9,2015,167.774,396.766,343.7061428571428,168.63,331.9767777777777,258.067,263.0978181818182,252.744,297.96253846153843,248.685,296.54479999999995
1775574,2015-09-26,29,Deli,296.315,0,45.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,9,2015,322.598,335.254,332.7397142857143,210.73,320.3977777777778,277.214,295.81427272727274,489.943,295.86746153846155,404.158,285.2092
1777356,2015-09-27,29,Deli,596.407,0,44.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,9,2015,372.177,464.691,315.8405714285714,369.525,317.9506666666667,140.537,308.89336363636363,294.535,305.65438461538463,270.918,269.17220000000003
1779138,2015-09-28,29,Deli,262.467,1,44.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,9,2015,262.154,282.65,322.6442857142857,410.664,322.25466666666665,245.719,313.30781818181816,313.841,318.55069230769226,301.724,269.15139999999997
1780920,2015-09-29,29,Deli,314.103,0,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,9,2015,489.984,288.777,319.1315714285714,476.324,325.12677777777776,285.53,312.3658181818182,304.764,327.42853846153844,251.178,264.62806666666665
1782702,2015-09-30,29,Deli,241.859,0,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,9,2015,396.727,167.774,308.6887142857143,363.686,350.4752222222222,403.445,299.63409090909096,265.252,334.91584615384613,174.544,270.01413333333335
1784484,2015-10-01,29,Deli,329.471,0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,2015,306.98,322.598,312.302,365.542,364.3112222222222,555.51,304.3015454545455,448.796,340.9797692307693,311.792,269.1023333333333
1786266,2015-10-02,29,Deli,257.134,47,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,10,2015,236.191,372.177,328.59871428571427,286.068,374.8852222222222,342.464,300.02454545454543,308.077,340.9590769230769,241.842,268.9494
1788048,2015-10-03,29,Deli,431.273,0,45.78666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,10,2015,370.689,262.154,331.1991428571429,274.972,360.66144444444444,279.851,310.64945454545455,378.406,325.8460769230769,368.681,273.3530666666667
1789830,2015-10-04,29,Deli,408.93,0,46.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,10,2015,224.049,489.984,340.973,396.766,339.8228888888889,250.745,328.48554545454544,431.549,333.0636153846154,260.991,260.0742
1791612,2015-10-05,29,Deli,278.322,0,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,10,2015,309.129,396.727,347.8431428571429,335.254,318.05488888888885,256.893,329.4912727272727,327.11,329.00176923076924,259.577,260.4302666666667
