,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1772021,2015-09-24,29,Lawn and garden,5.0,0,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,9,2015,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2727272727272727,0.0,0.15384615384615385,0.0,0.13333333333333333
1773803,2015-09-25,29,Lawn and garden,0.0,0,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,9,2015,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.18181818181818182,0.0,0.15384615384615385,2.0,0.13333333333333333
1775585,2015-09-26,29,Lawn and garden,2.0,0,45.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,9,2015,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.18181818181818182,0.0,0.07692307692307693,0.0,0.13333333333333333
1777367,2015-09-27,29,Lawn and garden,1.0,0,44.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,9,2015,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.18181818181818182,0.0,0.07692307692307693,0.0,0.13333333333333333
1779149,2015-09-28,29,Lawn and garden,1.0,0,44.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,9,2015,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.18181818181818182,0.0,0.07692307692307693,0.0,0.2
1780931,2015-09-29,29,Lawn and garden,0.0,0,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,9,2015,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.18181818181818182,0.0,0.15384615384615385,0.0,0.2
1782713,2015-09-30,29,Lawn and garden,0.0,0,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,9,2015,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2727272727272727,0.0,0.15384615384615385,0.0,0.26666666666666666
1784495,2015-10-01,29,Lawn and garden,0.0,0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,2015,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.36363636363636365,0.0,0.15384615384615385,0.0,0.26666666666666666
1786277,2015-10-02,29,Lawn and garden,1.0,0,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,10,2015,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.45454545454545453,1.0,0.3076923076923077,0.0,0.26666666666666666
1788059,2015-10-03,29,Lawn and garden,1.0,0,45.78666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,10,2015,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.36363636363636365,0.0,0.3076923076923077,0.0,0.13333333333333333
1789841,2015-10-04,29,Lawn and garden,1.0,0,46.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,10,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.38461538461538464,0.0,0.13333333333333333
1791623,2015-10-05,29,Lawn and garden,1.0,0,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,10,2015,3.0,0.0,0.0,0.0,0.0,1.0,0.36363636363636365,1.0,0.38461538461538464,1.0,0.13333333333333333
1793405,2015-10-06,29,Lawn and garden,0.0,0,48.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,10,2015,0.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.0,0.38461538461538464,0.0,0.13333333333333333
1795187,2015-10-07,29,Lawn and garden,0.0,0,47.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,10,2015,0.0,0.0,0.42857142857142855,0.0,0.0,2.0,0.45454545454545453,0.0,0.38461538461538464,1.0,0.13333333333333333
1796969,2015-10-08,29,Lawn and garden,0.0,0,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,10,2015,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.45454545454545453,2.0,0.38461538461538464,0.0,0.13333333333333333
1798751,2015-10-09,29,Lawn and garden,2.0,0,49.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,4,10,2015,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.45454545454545453,0.0,0.3076923076923077,0.0,0.13333333333333333
1800533,2015-10-10,29,Lawn and garden,0.0,0,48.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,10,2015,5.0,3.0,0.42857142857142855,0.0,0.0,0.0,0.45454545454545453,1.0,0.3076923076923077,0.0,0.2
1802315,2015-10-11,29,Lawn and garden,0.0,0,47.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,10,2015,0.0,0.0,0.42857142857142855,0.0,0.0,1.0,0.36363636363636365,0.0,0.3076923076923077,0.0,0.26666666666666666
1804097,2015-10-12,29,Lawn and garden,0.0,0,47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,10,2015,2.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.36363636363636365,0.0,0.23076923076923078,0.0,0.3333333333333333
1805879,2015-10-13,29,Lawn and garden,0.0,0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,10,2015,1.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.2727272727272727,0.0,0.3076923076923077,0.0,0.26666666666666666
1807661,2015-10-14,29,Lawn and garden,0.0,0,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,10,2015,1.0,0.0,1.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.3076923076923077,0.0,0.3333333333333333
1809443,2015-10-15,29,Lawn and garden,0.0,0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,10,2015,0.0,5.0,1.1428571428571428,0.0,0.3333333333333333,0.0,0.36363636363636365,0.0,0.15384615384615385,0.0,0.26666666666666666
1811225,2015-10-16,29,Lawn and garden,1.0,0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,10,2015,0.0,0.0,1.2857142857142858,0.0,0.3333333333333333,0.0,0.36363636363636365,0.0,0.15384615384615385,0.0,0.26666666666666666
1813007,2015-10-17,29,Lawn and garden,0.0,0,46.836666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,10,2015,0.0,2.0,1.2857142857142858,0.0,0.3333333333333333,1.0,0.36363636363636365,0.0,0.07692307692307693,1.0,0.4
1814789,2015-10-18,29,Lawn and garden,1.0,0,46.37333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,10,2015,1.0,1.0,1.2857142857142858,0.0,0.3333333333333333,1.0,0.36363636363636365,0.0,0.07692307692307693,1.0,0.4
1816571,2015-10-19,29,Lawn and garden,0.0,0,45.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,10,2015,1.0,1.0,0.5714285714285714,3.0,0.3333333333333333,0.0,0.36363636363636365,1.0,0.07692307692307693,1.0,0.4666666666666667
1818353,2015-10-20,29,Lawn and garden,0.0,0,45.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,10,2015,1.0,0.0,0.7142857142857143,0.0,0.8888888888888888,1.0,0.36363636363636365,0.0,0.15384615384615385,0.0,0.4666666666666667
1820135,2015-10-21,29,Lawn and garden,0.0,0,45.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,10,2015,1.0,0.0,0.5714285714285714,0.0,0.8888888888888888,0.0,0.36363636363636365,0.0,0.23076923076923078,1.0,0.4666666666666667
1821917,2015-10-22,29,Lawn and garden,0.0,0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,10,2015,0.0,0.0,0.5714285714285714,0.0,1.1111111111111112,1.0,0.36363636363636365,0.0,0.23076923076923078,0.0,0.4666666666666667
1823699,2015-10-23,29,Lawn and garden,0.0,0,43.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,10,2015,0.0,1.0,0.5714285714285714,0.0,1.2222222222222223,0.0,0.2727272727272727,0.0,0.23076923076923078,0.0,0.4666666666666667
1825481,2015-10-24,29,Lawn and garden,0.0,0,43.669999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,10,2015,0.0,1.0,0.5714285714285714,5.0,1.0,0.0,0.2727272727272727,0.0,0.23076923076923078,2.0,0.4666666666666667
1827263,2015-10-25,29,Lawn and garden,0.0,0,43.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6,10,2015,2.0,1.0,0.5714285714285714,0.0,1.0,0.0,0.2727272727272727,0.0,0.23076923076923078,0.0,0.4
