,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1772022,2015-09-24,29,Lingerie,4.0,0,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,9,2015,3.0,11.0,6.857142857142857,2.0,3.5555555555555554,10.0,4.454545454545454,0.0,5.0,2.0,4.8
1773804,2015-09-25,29,Lingerie,2.0,0,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,9,2015,1.0,3.0,6.142857142857143,4.0,3.888888888888889,1.0,4.818181818181818,6.0,4.846153846153846,7.0,4.733333333333333
1775586,2015-09-26,29,Lingerie,7.0,0,45.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,9,2015,1.0,6.0,6.142857142857143,2.0,3.888888888888889,2.0,5.545454545454546,7.0,4.769230769230769,6.0,4.2
1777368,2015-09-27,29,Lingerie,9.0,0,44.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,9,2015,1.0,17.0,6.0,8.0,3.6666666666666665,1.0,5.181818181818182,7.0,5.0,5.0,4.2
1779150,2015-09-28,29,Lingerie,7.0,0,44.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,9,2015,4.0,1.0,4.571428571428571,2.0,3.6666666666666665,8.0,5.454545454545454,5.0,5.923076923076923,3.0,4.266666666666667
1780932,2015-09-29,29,Lingerie,4.0,0,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,9,2015,3.0,3.0,4.285714285714286,4.0,4.666666666666667,8.0,5.090909090909091,3.0,6.230769230769231,3.0,4.133333333333334
1782714,2015-09-30,29,Lingerie,4.0,0,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,9,2015,3.0,1.0,4.0,6.0,4.555555555555555,5.0,4.2727272727272725,4.0,6.384615384615385,3.0,4.333333333333333
1784496,2015-10-01,29,Lingerie,5.0,0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,2015,9.0,1.0,2.0,3.0,5.0,13.0,4.181818181818182,2.0,7.230769230769231,7.0,4.333333333333333
1786278,2015-10-02,29,Lingerie,5.0,0,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,10,2015,2.0,1.0,2.2857142857142856,2.0,6.0,1.0,4.2727272727272725,11.0,7.615384615384615,7.0,4.533333333333333
1788060,2015-10-03,29,Lingerie,6.0,0,45.78666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,10,2015,4.0,4.0,3.142857142857143,11.0,5.888888888888889,5.0,4.363636363636363,11.0,8.384615384615385,7.0,4.133333333333334
