,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1772023,2015-09-24,29,"Liquor,wine,beer",22.0,2,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,9,2015,30.0,37.0,88.42857142857143,24.0,89.55555555555556,0.0,104.0909090909091,60.0,79.6923076923077,152.0,140.33333333333334
1773805,2015-09-25,29,"Liquor,wine,beer",173.0,0,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,9,2015,38.0,132.0,89.0,42.0,72.88888888888889,54.0,133.54545454545453,173.0,48.30769230769231,336.0,122.26666666666667
1775587,2015-09-26,29,"Liquor,wine,beer",292.0,0,45.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,9,2015,49.0,342.0,85.28571428571429,33.0,54.44444444444444,81.0,130.63636363636363,0.0,76.53846153846153,0.0,101.33333333333333
1777369,2015-09-27,29,"Liquor,wine,beer",0.0,0,44.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,9,2015,102.0,0.0,88.14285714285714,123.0,60.666666666666664,237.0,124.18181818181819,17.0,74.6923076923077,45.0,103.26666666666667
1779151,2015-09-28,29,"Liquor,wine,beer",22.0,0,44.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,9,2015,245.0,38.0,89.85714285714286,175.0,56.111111111111114,39.0,111.54545454545455,58.0,79.0,94.0,99.93333333333334
1780933,2015-09-29,29,"Liquor,wine,beer",32.0,0,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,9,2015,0.0,30.0,85.57142857142857,0.0,57.55555555555556,128.0,95.45454545454545,41.0,78.61538461538461,37.0,91.4
1782715,2015-09-30,29,"Liquor,wine,beer",43.0,0,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,9,2015,39.0,38.0,71.71428571428571,34.0,67.55555555555556,367.0,99.63636363636364,64.0,77.23076923076923,85.0,94.33333333333333
1784497,2015-10-01,29,"Liquor,wine,beer",69.0,4,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,2015,95.0,49.0,71.71428571428571,56.0,101.88888888888889,0.0,106.0,54.0,74.3076923076923,216.0,100.8
1786279,2015-10-02,29,"Liquor,wine,beer",167.0,0,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,10,2015,30.0,102.0,71.85714285714286,18.0,88.22222222222223,25.0,132.63636363636363,367.0,67.92307692307692,206.0,107.6
1788061,2015-10-03,29,"Liquor,wine,beer",459.0,0,45.78666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,10,2015,73.0,245.0,81.14285714285714,37.0,73.0,38.0,111.0909090909091,0.0,85.84615384615384,0.0,85.2
1789843,2015-10-04,29,"Liquor,wine,beer",0.0,0,46.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,10,2015,71.0,0.0,80.0,132.0,76.33333333333333,81.0,114.9090909090909,84.0,84.53846153846153,29.0,88.26666666666667
1791625,2015-10-05,29,"Liquor,wine,beer",37.0,0,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,10,2015,177.0,39.0,83.42857142857143,342.0,76.77777777777777,46.0,105.27272727272727,45.0,81.61538461538461,28.0,87.73333333333333
1793407,2015-10-06,29,"Liquor,wine,beer",26.0,0,48.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,10,2015,0.0,95.0,79.0,0.0,76.0,124.0,75.45454545454545,41.0,80.38461538461539,42.0,85.46666666666667
1795189,2015-10-07,29,"Liquor,wine,beer",53.0,0,47.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,10,2015,57.0,30.0,69.28571428571429,38.0,85.33333333333333,374.0,79.72727272727273,22.0,77.53846153846153,109.0,89.53333333333333
1796971,2015-10-08,29,"Liquor,wine,beer",655.0,6,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,10,2015,41.0,73.0,69.28571428571429,30.0,108.44444444444444,0.0,83.63636363636364,90.0,76.53846153846153,133.0,88.86666666666666
1798753,2015-10-09,29,"Liquor,wine,beer",248.0,0,49.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,4,10,2015,41.0,71.0,71.85714285714286,38.0,93.77777777777777,81.0,101.27272727272727,233.0,54.38461538461539,254.0,92.26666666666667
1800535,2015-10-10,29,"Liquor,wine,beer",276.0,0,48.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,10,2015,22.0,177.0,64.14285714285714,49.0,60.111111111111114,22.0,93.9090909090909,0.0,80.92307692307692,0.0,78.53333333333333
1802317,2015-10-11,29,"Liquor,wine,beer",0.0,0,47.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,10,2015,173.0,0.0,65.71428571428571,102.0,70.66666666666667,39.0,94.54545454545455,20.0,74.46153846153847,46.0,80.2
1804099,2015-10-12,29,"Liquor,wine,beer",56.0,0,47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,10,2015,292.0,57.0,58.42857142857143,245.0,69.77777777777777,47.0,89.0,25.0,72.07692307692308,37.0,85.46666666666667
1805881,2015-10-13,29,"Liquor,wine,beer",145.0,0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,10,2015,0.0,41.0,73.0,0.0,74.55555555555556,68.0,57.63636363636363,27.0,72.23076923076923,60.0,84.6
1807663,2015-10-14,29,"Liquor,wine,beer",16.0,0,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,10,2015,22.0,41.0,89.42857142857143,39.0,78.22222222222223,232.0,65.0,41.0,73.0,98.0,85.73333333333333
1809445,2015-10-15,29,"Liquor,wine,beer",42.0,2,46.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,10,2015,32.0,22.0,89.42857142857143,95.0,92.44444444444444,0.0,71.27272727272727,79.0,73.46153846153847,75.0,84.46666666666667
1811227,2015-10-16,29,"Liquor,wine,beer",43.0,0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,10,2015,43.0,173.0,84.42857142857143,30.0,81.11111111111111,53.0,87.45454545454545,345.0,69.15384615384616,267.0,85.66666666666667
1813009,2015-10-17,29,"Liquor,wine,beer",221.0,0,46.836666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,10,2015,69.0,292.0,83.14285714285714,73.0,60.22222222222222,63.0,83.9090909090909,0.0,89.0,0.0,68.73333333333333
1814791,2015-10-18,29,"Liquor,wine,beer",0.0,0,46.37333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,10,2015,167.0,0.0,83.42857142857143,71.0,64.77777777777777,29.0,85.0,14.0,87.46153846153847,25.0,70.46666666666667
1816573,2015-10-19,29,"Liquor,wine,beer",17.0,0,45.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,10,2015,459.0,22.0,90.14285714285714,177.0,65.0,81.0,81.0,43.0,89.6923076923077,108.0,71.73333333333333
1818355,2015-10-20,29,"Liquor,wine,beer",26.0,0,45.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,10,2015,0.0,32.0,89.28571428571429,0.0,56.888888888888886,150.0,63.72727272727273,32.0,93.84615384615384,15.0,72.13333333333334
1820137,2015-10-21,29,"Liquor,wine,beer",45.0,0,45.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,10,2015,37.0,43.0,113.14285714285714,57.0,72.77777777777777,200.0,66.72727272727273,96.0,108.92307692307692,59.0,73.93333333333334
1821919,2015-10-22,29,"Liquor,wine,beer",164.0,5,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,10,2015,26.0,69.0,113.14285714285714,41.0,97.11111111111111,0.0,73.0909090909091,177.0,105.84615384615384,90.0,97.46666666666667
1823701,2015-10-23,29,"Liquor,wine,beer",90.0,0,43.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,10,2015,53.0,167.0,115.28571428571429,41.0,89.22222222222223,59.0,83.27272727272727,258.0,89.15384615384616,151.0,102.0
1825483,2015-10-24,29,"Liquor,wine,beer",307.0,0,43.669999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,10,2015,655.0,459.0,114.42857142857143,22.0,72.0,24.0,80.63636363636364,0.0,117.38461538461539,0.0,84.2
1827265,2015-10-25,29,"Liquor,wine,beer",0.0,0,43.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6,10,2015,248.0,0.0,115.85714285714286,173.0,75.55555555555556,42.0,76.36363636363636,54.0,116.3076923076923,26.0,86.2
1829047,2015-10-26,29,"Liquor,wine,beer",14.0,0,43.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,10,2015,276.0,37.0,199.57142857142858,292.0,74.0,33.0,67.81818181818181,81.0,114.92307692307692,65.0,87.86666666666666
1830829,2015-10-27,29,"Liquor,wine,beer",36.0,0,43.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,10,2015,0.0,26.0,211.14285714285714,0.0,77.11111111111111,123.0,51.27272727272727,237.0,115.38461538461539,43.0,82.66666666666667
1832611,2015-10-28,29,"Liquor,wine,beer",17.0,0,45.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2,10,2015,56.0,53.0,185.0,22.0,91.11111111111111,175.0,54.63636363636363,39.0,114.23076923076923,87.0,84.06666666666666
1834393,2015-10-29,29,"Liquor,wine,beer",92.0,4,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,10,2015,145.0,655.0,185.0,32.0,139.66666666666666,0.0,61.27272727272727,128.0,104.15384615384616,451.0,87.66666666666667
1836175,2015-10-30,29,"Liquor,wine,beer",108.0,0,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,10,2015,16.0,248.0,187.71428571428572,43.0,120.44444444444444,34.0,90.18181818181819,367.0,93.84615384615384,143.0,104.0
1837957,2015-10-31,29,"Liquor,wine,beer",218.0,0,46.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,5,10,2015,42.0,276.0,204.71428571428572,69.0,92.11111111111111,56.0,86.36363636363636,0.0,122.61538461538461,0.0,93.93333333333334
1839739,2015-11-01,29,"Liquor,wine,beer",42.0,0,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,11,2015,43.0,0.0,199.42857142857142,167.0,95.0,18.0,86.81818181818181,25.0,118.46153846153847,30.0,97.86666666666666
1841521,2015-11-02,29,"Liquor,wine,beer",114.0,0,46.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,11,2015,221.0,56.0,111.85714285714286,459.0,98.44444444444444,37.0,78.36363636363636,38.0,118.46153846153847,50.0,98.46666666666667
