,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181
1772030,2015-09-24,29,Prepared foods,59.978,0,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,9,2015,67.597,66.559,70.823,49.93,57.40977755555556,97.826004,58.05209127272727,37.007,66.76961507692307,52.0,79.04826666666666
1773812,2015-09-25,29,Prepared foods,31.028,1,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,9,2015,39.589,42.142,72.59285714285714,52.487,65.75555533333333,58.118,59.16163672727273,79.249,65.76515353846153,77.768,72.19513333333333
1775594,2015-09-26,29,Prepared foods,51.0,0,45.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,5,9,2015,60.072,74.993,69.296,39.0,64.44788866666667,54.162,64.78818218181817,75.621,64.587692,95.802,68.14
1777376,2015-09-27,29,Prepared foods,97.994,0,44.78333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6,9,2015,47.079,94.46,64.89571428571428,49.614998,63.86088866666666,51.7,65.16400036363636,51.523,70.60176892307692,58.0,63.21873333333334
1779158,2015-09-28,29,Prepared foods,50.307,0,44.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,9,2015,50.106,68.93,63.969,63.682,65.18988866666668,49.006,67.80509127272727,90.744,70.84415353846154,63.0,65.01873333333334
1780940,2015-09-29,29,Prepared foods,49.0,0,45.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,9,2015,86.693,67.597,64.67428571428572,114.388,67.03755533333333,52.445,68.24145490909092,87.423996,73.676692,48.97,61.8912
1782722,2015-09-30,29,Prepared foods,61.498,10,45.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,9,2015,53.0,39.589,61.11899999999999,56.541,65.88811088888889,88.442,66.15536363636365,65.697,74.03976892307693,60.597,61.398933333333325
1784504,2015-10-01,29,Prepared foods,74.020996,0,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,2015,58.975998,60.072,60.00942857142858,90.675,69.8873331111111,110.498,68.03836363636364,65.642,73.42384584615385,103.325,60.27986666666667
1786286,2015-10-02,29,Prepared foods,60.928,1,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,10,2015,57.614998,47.079,57.73371428571429,70.391,74.87011111111111,60.327,70.31281818181817,84.754,70.38599969230769,63.63,60.26286666666667
1788068,2015-10-03,29,Prepared foods,107.195,0,45.78666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,10,2015,40.294,50.106,56.50214257142857,66.559,75.45322222222222,75.181,72.64645454545455,122.183,70.44015353846154,71.732,61.368
1789850,2015-10-04,29,Prepared foods,83.675,0,46.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,10,2015,33.0,86.693,59.07728514285714,42.142,70.25422222222223,52.951,78.32136363636364,75.85,75.03907661538462,34.0,57.73853333333333
1791632,2015-10-05,29,Prepared foods,52.211,0,46.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,10,2015,78.808,53.0,56.25185657142857,74.993,68.37066666666666,74.879,79.567,70.823,71.9623843076923,53.0,57.5828
1793414,2015-10-06,29,Prepared foods,52.088,0,48.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,10,2015,86.448,58.975998,54.24057085714286,94.46,64.97033333333334,78.831,77.74027272727272,56.0,70.92053846153846,40.613,56.0064
1795196,2015-10-07,29,Prepared foods,39.54,9,47.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,10,2015,72.831,57.614998,58.34085657142857,68.93,62.380111111111106,79.181,72.9079090909091,29.0,69.058,46.616,56.30526666666666
1796978,2015-10-08,29,Prepared foods,51.414,0,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,10,2015,59.154,40.294,58.30585657142857,67.597,60.55199999999999,77.37,71.68536363636365,39.757,67.08361538461538,35.145,54.92686666666667
1798760,2015-10-09,29,Prepared foods,57.513,1,49.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,4,10,2015,52.571,33.0,61.13885657142857,39.589,65.5021111111111,111.43,72.41536363636364,76.325,65.82746123076923,51.745,51.91506666666666
1800542,2015-10-10,29,Prepared foods,62.979,0,48.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,10,2015,59.978,78.808,61.164285428571425,60.072,63.058444444444454,66.147,75.94690945454546,111.309,62.62261538461538,94.345,52.56493333333333
1802324,2015-10-11,29,Prepared foods,80.291,0,47.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6,10,2015,31.028,86.448,60.44371428571429,47.079,59.11577755555556,68.348,76.90881854545454,50.747,63.77315384615384,41.36,50.04946666666667
1804106,2015-10-12,29,Prepared foods,56.267,0,47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,10,2015,51.0,72.831,63.255714285714284,50.106,57.85855511111111,57.342,75.13854581818181,73.88,63.03584615384615,55.664,51.389466666666664
1805888,2015-10-13,29,Prepared foods,63.192,0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,10,2015,97.994,59.154,62.974,86.693,54.82488844444445,46.879,74.677364,41.484,64.59253846153845,39.354,50.38106666666667
1807670,2015-10-14,29,Prepared foods,58.748,9,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,10,2015,50.307,52.571,59.00142857142857,53.0,54.09277733333334,83.211,73.40981872727274,39.975,66.1006923076923,53.453,50.17046666666667
1809452,2015-10-15,29,Prepared foods,76.357,0,46.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,10,2015,49.0,59.978,60.65085714285715,58.975998,56.17455511111112,91.798004,66.85036418181818,68.423996,67.365,39.921,48.76646666666667
1811234,2015-10-16,29,Prepared foods,62.264,1,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,10,2015,61.498,31.028,57.433142857142855,57.614998,60.54888844444445,85.46,67.04700054545455,80.520004,65.04223076923077,58.148,53.27406666666666
1813016,2015-10-17,29,Prepared foods,68.546,0,46.836666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,10,2015,74.020996,51.0,55.982571428571426,40.294,63.07388844444444,59.358,69.55700054545454,90.807,60.18392307692307,73.378,54.14006666666667
1814798,2015-10-18,29,Prepared foods,88.442,0,46.37333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6,10,2015,60.928,97.994,57.257857142857134,33.0,60.01399955555556,74.108,69.65590963636363,61.238,63.80538492307692,34.0,49.8954
1816580,2015-10-19,29,Prepared foods,53.138,0,45.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,10,2015,107.195,50.307,59.26399942857143,78.808,59.96633288888889,63.427002,69.93327327272726,76.237,62.59292338461539,54.1,49.92806666666667
1818362,2015-10-20,29,Prepared foods,64.483,1,45.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,10,2015,83.675,49.0,63.535428,86.448,60.07766644444444,39.276,67.14018236363637,48.606,63.56815415384615,37.874,48.57586666666667
1820144,2015-10-21,29,Prepared foods,75.735,12,45.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2,10,2015,52.211,61.498,71.56328514285714,72.831,57.12355555555556,68.31,62.34036381818181,56.193,64.47007723076923,37.454,48.105266666666665
