,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
665069,2014-01-10,2,Lawn and garden,6.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,3.0,4.0,5.428571428571429,6.0,5.333333333333333,4.0,5.090909090909091,8.0,6.461538461538462,3.0,7.533333333333333,12.0,6.0588235294117645
666851,2014-01-11,2,Lawn and garden,13.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,11.0,6.0,5.285714285714286,0.0,5.777777777777778,7.0,6.090909090909091,11.0,6.461538461538462,9.0,7.733333333333333,2.0,6.294117647058823
668633,2014-01-12,2,Lawn and garden,14.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,0.0,2.0,5.714285714285714,7.0,5.888888888888889,4.0,5.818181818181818,7.0,6.6923076923076925,22.0,7.2,2.0,6.882352941176471
670415,2014-01-13,2,Lawn and garden,1.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,1.0,13.0,6.714285714285714,1.0,5.666666666666667,4.0,6.0,9.0,6.6923076923076925,6.0,7.2,9.0,6.764705882352941
672197,2014-01-14,2,Lawn and garden,5.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,3.0,8.0,6.142857142857143,10.0,5.111111111111111,10.0,6.181818181818182,1.0,6.769230769230769,1.0,7.2,0.0,6.705882352941177
673979,2014-01-15,2,Lawn and garden,5.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,8.0,3.0,5.428571428571429,9.0,4.888888888888889,1.0,5.636363636363637,1.0,6.615384615384615,14.0,7.266666666666667,5.0,6.352941176470588
675761,2014-01-16,2,Lawn and garden,6.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,8.0,11.0,5.571428571428571,9.0,5.555555555555555,12.0,5.818181818181818,10.0,6.538461538461538,12.0,7.133333333333334,11.0,6.411764705882353
677543,2014-01-17,2,Lawn and garden,7.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,11.0,0.0,4.857142857142857,0.0,5.0,5.0,5.363636363636363,10.0,6.6923076923076925,4.0,7.266666666666667,10.0,6.705882352941177
679325,2014-01-18,2,Lawn and garden,8.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,9.0,1.0,4.857142857142857,4.0,6.333333333333333,12.0,5.818181818181818,7.0,6.230769230769231,8.0,7.933333333333334,1.0,6.529411764705882
681107,2014-01-19,2,Lawn and garden,14.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,0.0,3.0,6.0,4.0,6.111111111111111,2.0,5.818181818181818,6.0,6.230769230769231,7.0,8.066666666666666,6.0,6.294117647058823
