,date,store_nbr,family,sales,onpromotion,oil_price,Additional_Local,Additional_National,Bridge_National,Event_National,Holiday_Local,Holiday_National,Holiday_Regional,Moved_Local,Moved_National,Transfer_Local,Transfer_National,day_of_month,day_of_week,month,year,sales_lag16,sales_lag21,sales_window7_lag21,sales_lag30,sales_window9_lag30,sales_lag60,sales_window11_lag60,sales_lag90,sales_window13_lag90,sales_lag181,sales_window15_lag181,sales_lag363,sales_window17_lag363
665619,2014-01-10,35,Deli,43.0,0,92.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1,2014,71.0,58.0,57.857142857142854,26.0,48.666666666666664,51.0,45.45454545454545,74.0,57.76923076923077,29.0,31.866666666666667,55.0,52.88235294117647
667401,2014-01-11,35,Deli,47.0,0,92.07666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5,1,2014,79.0,68.0,54.857142857142854,42.0,45.0,47.0,42.27272727272727,67.0,57.53846153846154,20.0,31.066666666666666,49.0,53.76470588235294
669183,2014-01-12,35,Deli,55.0,0,91.76333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,1,2014,77.0,45.0,59.0,39.0,50.0,47.0,40.36363636363637,58.0,57.23076923076923,31.0,31.066666666666666,81.0,52.588235294117645
670965,2014-01-13,35,Deli,41.0,0,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,2014,35.0,58.0,61.857142857142854,61.0,49.55555555555556,41.0,42.27272727272727,59.0,57.61538461538461,33.0,30.6,59.0,51.705882352941174
672747,2014-01-14,35,Deli,57.0,0,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,1,2014,89.0,54.0,64.57142857142857,53.0,48.666666666666664,65.0,43.0,79.0,59.69230769230769,41.0,30.466666666666665,45.0,50.705882352941174
674529,2014-01-15,35,Deli,38.0,0,93.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,1,2014,84.0,71.0,59.857142857142854,41.0,52.22222222222222,29.0,48.18181818181818,43.0,58.38461538461539,40.0,31.4,58.0,48.94117647058823
676311,2014-01-16,35,Deli,63.0,0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,1,2014,115.0,79.0,66.14285714285714,75.0,55.111111111111114,34.0,46.0,62.0,58.61538461538461,23.0,30.133333333333333,42.0,48.94117647058823
678093,2014-01-17,35,Deli,75.0,0,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,1,2014,89.0,77.0,69.85714285714286,42.0,55.77777777777778,46.0,43.36363636363637,52.0,57.23076923076923,27.0,30.666666666666668,44.0,49.05882352941177
679875,2014-01-18,35,Deli,65.0,0,94.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1,2014,91.0,35.0,78.57142857142857,59.0,55.44444444444444,57.0,41.72727272727273,40.0,56.53846153846154,26.0,30.666666666666668,32.0,52.588235294117645
681657,2014-01-19,35,Deli,56.0,0,94.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,1,2014,79.0,89.0,81.14285714285714,58.0,55.55555555555556,40.0,43.36363636363637,50.0,54.69230769230769,24.0,32.46666666666667,74.0,52.411764705882355
683439,2014-01-20,35,Deli,57.0,0,94.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,2014,64.0,84.0,82.85714285714286,68.0,58.888888888888886,73.0,43.36363636363637,66.0,54.84615384615385,46.0,33.4,58.0,52.35294117647059
685221,2014-01-21,35,Deli,82.0,0,94.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,2014,53.0,115.0,83.14285714285714,45.0,59.333333333333336,27.0,49.09090909090909,68.0,54.07692307692308,39.0,33.6,36.0,49.88235294117647
687003,2014-01-22,35,Deli,38.0,0,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,1,2014,57.0,89.0,87.28571428571429,58.0,63.22222222222222,18.0,48.54545454545455,44.0,54.38461538461539,38.0,36.13333333333333,46.0,48.76470588235294
688785,2014-01-23,35,Deli,62.0,0,97.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,1,2014,71.0,91.0,82.14285714285714,54.0,60.55555555555556,29.0,46.90909090909091,56.0,53.69230769230769,16.0,35.733333333333334,37.0,50.588235294117645
690567,2014-01-24,35,Deli,60.0,0,96.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,1,2014,34.0,79.0,78.28571428571429,71.0,64.0,59.0,45.90909090909091,58.0,55.07692307692308,27.0,38.4,41.0,51.0
692349,2014-01-25,35,Deli,73.0,0,96.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,1,2014,50.0,64.0,72.0,79.0,65.77777777777777,65.0,49.54545454545455,34.0,57.07692307692308,29.0,39.4,43.0,53.588235294117645
694131,2014-01-26,35,Deli,81.0,0,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,6,1,2014,43.0,53.0,64.14285714285714,77.0,73.55555555555556,92.0,49.27272727272727,61.0,57.30769230769231,47.0,41.8,94.0,55.470588235294116
